pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.979492188,3455.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.609375,325.8804321,11.3,pen
0.977539063,504.8,-0.336425781,0,0.336425781,-0.799987793,0,0.799987793,-0.030038016,0,0.030038016,-0.071427482,0,0.071427482,-0.002681966,0,0.002681966,-0.006377454,0,0.006377454,82.28222656,326.2168579,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4056.5,-0.332611084,-0.997741699,1.051721746,-0.799987793,-2.399963379,2.529783526,-0.030237371,-0.090703791,0.095611068,-0.072726163,-0.218178489,0.229980321,-0.002748852,-0.008245799,0.008691915,-0.006611469,-0.019834408,0.020907302,135.9063416,329.1227112,11,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.98046875,4525.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.6599121,332.6867676,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.98046875,3995.4,-1.239929199,-0.619995117,1.386296637,-3.199951172,-1.600036621,3.577681469,-0.109728248,-0.054866825,0.122681118,-0.28318152,-0.141596161,0.316608979,-0.009710464,-0.004855471,0.010856736,-0.025060311,-0.012530634,0.028018494,259.4433289,332.9377136,11.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.98046875,3757.8,-0.739318848,-0.739349365,1.045576321,-1.599975586,-1.600006104,2.262728752,-0.065426447,-0.065429147,0.092528878,-0.14159076,-0.14159346,0.200241482,-0.005789951,-0.00579019,0.008188396,-0.012530156,-0.012530395,0.017720485,330.5024719,332.5256958,11.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,4416.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.4031067,320.3917236,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,4382.4,0,-0.358917236,0.358917236,0,-0.799987793,0.799987793,0,-0.028713379,0.028713379,0,-0.063999023,0.063999023,0,-0.00229707,0.00229707,0,-0.005119922,0.005119922,592.7984314,322.5793152,12.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,3946.4,0.29901123,-0.299041748,0.422887317,0.800018311,-0.799987793,1.131375166,0.026000977,-0.02600363,0.03677281,0.06956681,-0.069564156,0.098380449,0.002260954,-0.002261185,0.003197636,0.006049288,-0.006049057,0.008554822,643.2771301,314.2244568,11.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,3965.8,0,-0.33895874,0.33895874,0,-0.799987793,0.799987793,0,-0.030264173,0.030264173,0,-0.071427481,0.071427481,0,-0.002702158,0.002702158,0,-0.006377454,0.006377454,710.6748352,309.1069946,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4245.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.8016052,308.0701599,12,pen
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,5750.2,0.335601807,0,0.335601807,0.799987793,0,0.799987793,0.026015644,0,0.026015644,0.062014558,0,0.062014558,0.002016717,0,0.002016717,0.00480733,0,0.00480733,16.9866333,276.9595642,12.89999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,5153.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6385498,306.0622253,10.89999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,4461.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.8439941,336.5485535,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,4478.1,0.362640381,-0.362670898,0.512872525,0.799987793,-0.799987793,1.131353587,0.032092069,-0.03209477,0.045386949,0.07079538,-0.07079538,0.100119787,0.002840006,-0.002840245,0.004016544,0.006265078,-0.006265078,0.008860158,150.2367249,369.0760193,11.29999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,5034.2,0,-0.346801758,0.346801758,0,-0.799987793,0.799987793,0,-0.030690421,0.030690421,0,-0.07079538,0.07079538,0,-0.002715966,0.002715966,0,-0.006265078,0.006265078,17.2947998,399.2247009,11.30000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,5080.7,0,0.393280029,0.393280029,0,0.800018311,0.800018311,0,0.036755143,0.036755143,0,0.074768066,0.074768066,0,0.00343506,0.00343506,0,0.00698767,0.00698767,468.8403625,275.7035828,10.70000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,5006.9,0,0.40335083,0.40335083,0,0.799987793,0.799987793,0,0.038783734,0.038783734,0,0.076921903,0.076921903,0,0.003729205,0.003729205,0,0.007396337,0.007396337,646.1973572,307.4841309,10.40000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,4581.9,-0.833129883,-0.416564941,0.931467526,-1.600006104,-0.799987793,1.788854382,-0.079345703,-0.039672852,0.088711193,-0.152381534,-0.076189314,0.170367084,-0.007556734,-0.003778367,0.008448685,-0.014512527,-0.007256125,0.016225437,502.5881042,338.1672363,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,3917.9,0,0.385070801,0.385070801,0,0.799987793,0.799987793,0,0.036327434,0.036327434,0,0.075470547,0.075470547,0,0.003427116,0.003427116,0,0.007119863,0.007119863,469.6836853,365.4443054,10.59999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,5395.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.3424377,400.393219,10.40000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0.98046875,5879.1,0,0.822570801,0.822570801,0,1.600006104,1.600006104,0,0.071527896,0.071527896,0,0.139130966,0.139130966,0,0.006219817,0.006219817,0,0.012098345,0.012098345,58.3465271,251.0328674,11.5,pen
0.98046875,118.9,0.4112854,-0.822570801,0.919662113,0.799987793,-1.600006104,1.788854382,0.039546673,-0.079093346,0.088429049,0.076921903,-0.153846741,0.172005229,0.003802565,-0.007605129,0.008502793,0.007396337,-0.014792956,0.016538964,54.64511108,256.7906189,10.40000001,pen
0.98046875,157.1,0.4112854,0.4112854,0.581645391,0.800048828,0.800018311,1.131418324,0.038081981,0.038081981,0.053856055,0.074078595,0.074075769,0.104760956,0.003526109,0.003526109,0.004986672,0.006859129,0.006858868,0.009700088,76.03112793,251.8554382,10.80000001,pen
0.981445313,169.8,0.822540283,-0.4112854,0.919634818,1.600036621,-0.800018311,1.788895326,0.07833717,-0.039170038,0.087584268,0.15238444,-0.07619222,0.170370983,0.007460683,-0.00373048,0.008341359,0.014512804,-0.007256402,0.016225808,62.04794312,269.1287231,10.5,pen
0.98046875,128.3,0.822509766,0,0.822509766,1.599975586,0,1.599975586,0.060926649,0,0.060926649,0.11851671,0,0.11851671,0.004513085,0,0.004513085,0.008779016,0,0.008779016,71.50714111,285.9907532,13.5,pen
0.981445313,193.7,0,0.4112854,0.4112854,0,0.800018311,0.800018311,0,0.037732606,0.037732606,0,0.073396175,0.073396175,0,0.003461707,0.003461707,0,0.006733594,0.006733594,117.1581116,259.2582703,10.89999998,pen
0.981445313,136.3,-0.4112854,0.411254883,0.581623812,-0.799987793,0.799987793,1.131353587,-0.039546673,0.039543739,0.055925367,-0.076921903,0.076921903,0.108783999,-0.003802565,0.003802283,0.005377439,-0.007396337,0.007396337,0.01046,142.6567383,256.379364,10.40000001,pen
0.981445313,116.3,-0.4112854,0.822570801,0.919662113,-0.799987793,1.600006104,1.788854382,-0.040322098,0.080644196,0.090162952,-0.078430176,0.156863343,0.17537788,-0.003953147,0.007906294,0.008839505,-0.007689233,0.015378759,0.01719391,128.673584,255.5568542,10.20000002,pen
0.98046875,117.4,0.411315918,0,0.411315918,0.800048828,0,0.800048828,0.035766602,0,0.035766602,0.069569463,0,0.069569463,0.003110139,0,0.003110139,0.006049519,0,0.006049519,123.3271484,283.1118774,11.5,pen
0.981445313,137.5,0,0.4112854,0.4112854,0,0.799987793,0.799987793,0,0.038437888,0.038437888,0,0.074765214,0.074765214,0,0.003592326,0.003592326,0,0.006987403,0.006987403,148.0032654,269.1287231,10.69999999,pen
0.98046875,140.8,1.233825684,-0.822509766,1.482851352,2.400024414,-1.600006104,2.88446472,0.097922673,-0.065278553,0.117686615,0.190478128,-0.126984611,0.228925772,0.007771641,-0.005180838,0.009340208,0.015117312,-0.010078144,0.018168712,148.4145508,269.9512634,12.59999999,pen
0.981445313,120.3,0,0.822540283,0.822540283,0,1.600006104,1.600006104,0,0.072152656,0.072152656,0,0.140351413,0.140351413,0,0.00632918,0.00632918,0,0.012311527,0.012311527,158.2850037,272.4188843,11.40000001,pen
0.98046875,155,0.822540283,-0.822570801,1.163269203,1.599975586,-1.600006104,2.262728752,0.07985828,-0.079861243,0.112938758,0.155337436,-0.155340399,0.219682404,0.007753231,-0.007753519,0.010964928,0.015081304,-0.015081592,0.021328389,151.7046814,285.9907532,10.29999998,pen
0.98046875,118.9,0.411254883,-0.4112854,0.581623812,0.799987793,-0.799987793,1.131353587,0.034852109,-0.034854695,0.049290154,0.067795576,-0.067795576,0.095877422,0.002953569,-0.002953788,0.004177132,0.005745388,-0.005745388,0.008125205,150.4708862,303.2640686,11.80000001,pen
0.981445313,281,1.645050049,-1.233795166,2.056317139,3.200012207,-2.400024414,4.000024414,0.158177889,-0.118634151,0.197722802,0.307693481,-0.230771578,0.384617732,0.015209412,-0.01140713,0.019011808,0.029585912,-0.022189575,0.036982474,197.3555603,269.1287231,10.40000001,pen
0.981445313,129.9,0,0.4112854,0.4112854,0,0.800018311,0.800018311,0,0.040322098,0.040322098,0,0.078433168,0.078433168,0,0.003953147,0.003953147,0,0.007689526,0.007689526,211.3387146,260.0808105,10.19999999,pen
0.98046875,116.8,-0.411254883,0,0.411254883,-0.799987793,0,0.799987793,-0.036719186,0,0.036719186,-0.071427481,0,0.071427481,-0.003278499,0,0.003278499,-0.006377454,0,0.006377454,219.1528625,284.3456726,11.20000002,pen
0.98046875,570.2,3.701446533,-2.878875732,4.689203762,7.200012207,-5.599975586,9.121398048,0.222978707,-0.173426249,0.282482154,0.433735675,-0.337347927,0.54948181,0.013432452,-0.010447364,0.017016997,0.026128655,-0.020322164,0.033101314,84.25653076,373.591156,16.59999999,pen
0.98046875,122,0.4112854,-0.822509766,0.919607522,0.800048828,-1.599975586,1.788854383,0.039930621,-0.079855317,0.089282284,0.077674643,-0.155337435,0.173675183,0.003876759,-0.007752943,0.008668183,0.007541228,-0.015081304,0.016861668,86.31286621,387.9855957,10.30000001,pen
0.98046875,113.5,0.411254883,-0.411254883,0.581602233,0.799987793,-0.799987793,1.131353587,0.038435036,-0.038435036,0.054355349,0.074765214,-0.074765214,0.10573398,0.003592059,-0.003592059,0.005079939,0.006987403,-0.006987403,0.00988168,78.49871826,404.8476257,10.70000002,pen
0.981445313,148.6,0.411254883,0,0.411254883,0.799987793,0,0.799987793,0.038435036,0,0.038435036,0.074765214,0,0.074765214,0.003592059,0,0.003592059,0.006987403,0,0.006987403,97.41711426,361.2530823,10.70000002,pen
0.98046875,116.8,-0.411254883,0.411254883,0.581602233,-0.799987793,0.799987793,1.131353587,-0.039543739,0.039543739,0.055923292,-0.076921903,0.076921903,0.108783999,-0.003802283,0.003802283,0.00537724,-0.007396337,0.007396337,0.01046,97.00585938,397.4447632,10.40000001,pen
0.98046875,94.59999999,0.822601318,0.4112854,0.919689409,1.600036621,0.799987793,1.788881678,0.077603898,0.038800509,0.086763152,0.150946851,0.075470547,0.168762423,0.007321122,0.003660425,0.008185203,0.014240269,0.007119863,0.015920983,106.8763733,395.7996826,10.59999999,pen
0.981445313,167.4,0,1.233764648,1.233764648,0,2.400024414,2.400024414,0,0.088760047,0.088760047,0,0.172663627,0.172663627,0,0.006385615,0.006385615,0,0.012421844,0.012421844,133.1975708,367.8333435,13.90000001,pen
0.981445313,147.3,0.411224365,2.056335449,2.097050538,0.799987793,4,4.079213217,0.030237086,0.151201136,0.154194893,0.058822632,0.294117647,0.299942148,0.002223315,0.011117731,0.01133786,0.004325194,0.021626298,0.02205457,157.051178,360.8417664,13.59999999,pen
0.981445313,160,1.645019531,-1.645050049,2.326430511,3.199951172,-3.199951172,4.525414346,0.152316624,-0.152319449,0.215410233,0.296291776,-0.296291776,0.419019848,0.014103391,-0.014103653,0.019945392,0.027434424,-0.027434424,0.038798134,118.8031311,383.8728943,10.79999998,pen
0.98046875,136.6,0.822540283,-0.822509766,1.163226045,1.599975586,-1.600036621,2.262750332,0.07833717,-0.078334263,0.110783433,0.152378627,-0.15238444,0.215500032,0.007460683,-0.007460406,0.010550803,0.01451225,-0.014512804,0.020523813,116.3355408,401.5574646,10.5,pen
0.981445313,198.2,0,0.411224365,0.411224365,0,0.799987793,0.799987793,0,0.037727006,0.037727006,0,0.073393375,0.073393375,0,0.003461193,0.003461193,0,0.006733337,0.006733337,198.1781311,367.8333435,10.90000001,pen
0.98046875,569.4,0.411254883,0.4112854,0.581623812,0.799987793,0.799987793,1.131353587,0.036394237,0.036396938,0.051471134,0.07079538,0.07079538,0.100119786,0.003220729,0.003220968,0.004554968,0.006265078,0.006265078,0.008860158,263.9812317,422.532196,11.30000001,pen
0.977539063,1049.5,0,-0.4112854,0.4112854,0,-0.800048828,0.800048828,0,-0.038081981,0.038081981,0,-0.074078595,0.074078595,0,-0.003526109,0.003526109,0,-0.006859129,0.006859129,283.3108826,373.1798706,10.80000001,pen
0.98046875,122.2,1.233886719,-1.233856201,1.744957753,2.400024414,-2.400024414,3.394147076,0.116404407,-0.116401528,0.164618656,0.226417398,-0.226417398,0.320202555,0.010981548,-0.010981276,0.015530062,0.021360132,-0.021360132,0.030207788,283.7221985,374.4136658,10.59999999,pen
0.98046875,123.2,0.822570801,-1.233795166,1.482859816,1.600036621,-2.400024414,2.884481648,0.077601019,-0.11639577,0.139892436,0.150946851,-0.226417398,0.27212091,0.007320851,-0.010980733,0.0131974,0.014240269,-0.021360132,0.025671784,283.7221985,391.2757263,10.59999999,pen
0.98046875,114.6,0.411254883,0,0.411254883,0.800048828,0,0.800048828,0.034559234,0,0.034559234,0.067230994,0,0.067230994,0.002904137,0,0.002904137,0.005649663,0,0.005649663,290.3024597,404.4363403,11.90000001,pen
0.981445313,135.8,0,1.233825684,1.233825684,0,2.400024414,2.400024414,0,0.106364283,0.106364283,0,0.206898656,0.206898656,0,0.009169335,0.009169335,0,0.017836091,0.017836091,297.2940369,380.1714478,11.60000002,pen
0.98046875,109.7,0.822509766,-0.822509766,1.163204466,1.599975586,-1.599975586,2.262707173,0.070906014,-0.070906014,0.100276247,0.13792893,-0.13792893,0.195060963,0.006112587,-0.006112587,0.008644504,0.011890425,-0.011890425,0.0168156,291.5362854,415.5406189,11.59999999,pen
0.979492188,130.7,0.822509766,-0.411315918,0.919621171,1.599975586,-0.799987793,1.788827086,0.080638212,-0.04032509,0.090158938,0.156860351,-0.078430176,0.175375204,0.007905707,-0.00395344,0.008839112,0.015378466,-0.007689233,0.017193647,285.367218,433.6364441,10.20000002,pen
0.981445313,185.2,1.233886719,-0.822570801,1.482935992,2.400024414,-1.600036621,2.884481648,0.102823893,-0.068547567,0.123577999,0.200002035,-0.133336385,0.240373471,0.008568658,-0.005712297,0.010298167,0.016666836,-0.011111365,0.020031123,321.9702454,376.8812866,12,pen
0.98046875,153.4,0.411254883,-0.411254883,0.581602233,0.800048828,-0.800048828,1.131439903,0.039543739,-0.039543739,0.055923292,0.076927772,-0.076927772,0.108792298,0.003802283,-0.003802283,0.00537724,0.007396901,-0.007396901,0.010460798,314.1560974,397.8560486,10.40000001,pen
0.981445313,320.4,2.87878418,-3.701416016,4.689123465,5.599975586,-7.200012207,9.121398048,0.276806171,-0.355905386,0.450877256,0.538459191,-0.692308866,0.877057504,0.026615978,-0.034221672,0.043353582,0.051774922,-0.06656816,0.084332452,363.5083923,376.4700317,10.40000001,pen
0.981445313,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.0887146,361.6643066,11,pen
0.981445313,120.6,0,0.411254883,0.411254883,0,0.799987793,0.799987793,0,0.033709417,0.033709417,0,0.06557277,0.06557277,0,0.002763067,0.002763067,0,0.005374817,0.005374817,405.0466614,356.7290955,12.19999999,pen
0.981445313,96.09999999,-0.822509766,0,0.822509766,-1.599975586,0,1.599975586,-0.074773615,0,0.074773615,-0.145452326,0,0.145452326,-0.006797601,0,0.006797601,-0.013222939,0,0.013222939,398.4663391,376.8812866,11,pen
0.98046875,109.7,0.411376953,0,0.411376953,0.800048828,0,0.800048828,0.038090459,0,0.038090459,0.074078595,0,0.074078595,0.003526894,0,0.003526894,0.006859129,0,0.006859129,368.855011,393.7433472,10.79999998,pen
0.98046875,98.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.0718689,395.3883972,11,pen
0.981445313,95,-0.411254883,0.4112854,0.581623812,-0.799926758,0.800048828,1.13135359,-0.027600999,0.027603047,0.039035155,-0.05368636,0.053694552,0.075929771,-0.001852416,0.001852553,0.002619809,-0.003603111,0.003603661,0.005095958,400.5226746,392.0982666,14.90000001,pen
0.979492188,102.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.8717346,415.5406189,11.30000001,pen
0.981445313,125.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.8944397,402.3799744,11.19999999,pen
0.98046875,80.79999998,-0.411254883,0,0.411254883,-0.800048828,0,0.800048828,-0.037049989,0,0.037049989,-0.072076471,0,0.072076471,-0.003337837,0,0.003337837,-0.006493376,0,0.006493376,382.8381042,416.3631287,11.09999999,pen
0.981445313,92.20000002,0.822570801,0.411254883,0.919648466,1.600097656,0.799987793,1.78893627,0.079861243,0.039927659,0.089286259,0.155349287,0.077668718,0.173683133,0.007753519,0.003876472,0.008668569,0.015082455,0.007540652,0.01686244,389.4184265,415.5406189,10.29999998,pen
0.98046875,3395.3,0.426818848,-0.426818848,0.603613003,0.799987793,-0.800018311,1.131375166,0.038452148,-0.038452148,0.05437955,0.072070972,-0.072073722,0.101925691,0.003464158,-0.003464158,0.004899059,0.00649288,-0.006493128,0.009182495,485.7060242,281.5915527,11.09999999,pen
0.981445313,118.3,-1.280517578,0.853637695,1.538968025,-2.399993896,1.599975586,2.8844224,-0.120803545,0.080531858,0.145185663,-0.226414519,0.150941093,0.272115321,-0.011396561,0.007597345,0.013696761,-0.02135986,0.014239726,0.025671257,498.0837708,270.9210815,10.59999999,pen
0.98046875,110.6,0.426879883,0.426818848,0.603656163,0.799987793,0.799987793,1.131353587,0.038807262,0.038801713,0.054877833,0.072726163,0.072726163,0.102850326,0.003527933,0.003527428,0.004988894,0.006611469,0.006611469,0.00935003,517.7174988,273.0551758,11,pen
0.98046875,136.3,0.426818848,0.426818848,0.603613003,0.799987793,0.800018311,1.131375166,0.040265929,0.040265929,0.056944623,0.075470546,0.075473425,0.106733506,0.003798673,0.003798673,0.005372134,0.007119863,0.007120134,0.010069199,515.5833435,306.3470764,10.60000002,pen
0.98046875,136.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.7289124,304.2129822,10.90000001,pen
0.98046875,88.29999998,-0.853637695,0.853668213,1.207247585,-1.599975586,1.600006104,2.262728752,-0.081298828,0.081301735,0.114975961,-0.152378627,0.152381534,0.215497976,-0.007742746,0.007743022,0.010950091,-0.01451225,0.014512527,0.020523617,571.4966736,309.7616272,10.5,pen
0.98046875,121.5,0,0.42678833,0.42678833,0,0.799987793,0.799987793,0,0.039154893,0.039154893,0,0.073393375,0.073393375,0,0.003592192,0.003592192,0,0.006733337,0.006733337,588.9963074,307.2006836,10.90000001,pen
0.98046875,112.4,0,0.426849365,0.426849365,0,0.799987793,0.799987793,0,0.041043208,0.041043208,0,0.076921903,0.076921903,0,0.003946462,0.003946462,0,0.007396337,0.007396337,603.0812683,309.3348083,10.40000001,pen
0.98046875,133.1,0.426879883,0,0.426879883,0.799987793,0,0.799987793,0.039525915,0,0.039525915,0.074072944,0,0.074072944,0.003659807,0,0.003659807,0.006858606,0,0.006858606,618.4468079,311.4689026,10.79999998,pen
0.98046875,89.70000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.9585876,302.0788879,10.29999998,pen
