pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.978515625,10263.7,0,-0.289398193,0.289398193,0,-0.799987793,0.799987793,0,-0.020524695,0.020524695,0,-0.056736723,0.056736723,0,-0.001455652,0.001455652,0,-0.004023881,0.004023881,81.80667114,323.4736023,14.10000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,9511.9,0,0.383270264,0.383270264,0,0.799987793,0.799987793,0,0.034528853,0.034528853,0,0.072070972,0.072070972,0,0.003110707,0.003110707,0,0.00649288,0.00649288,138.9083862,318.5612488,11.10000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4649,-0.338897705,-0.338928223,0.47929531,-0.800048828,-0.799987793,1.131396746,-0.031971482,-0.031974361,0.045216539,-0.075476304,-0.075470546,0.106735542,-0.003016177,-0.003016449,0.004265711,-0.007120406,-0.007119863,0.010069391,189.287262,325.5757751,10.60000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4810.7,-0.583679199,-0.583740234,0.825490199,-0.799987793,-0.800018311,1.131375166,-0.050754713,-0.05076002,0.071781756,-0.069564156,-0.06956681,0.098380449,-0.004413453,-0.004413915,0.006241892,-0.006049057,-0.006049288,0.008554822,260.7256775,327.6329041,11.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,3158.4,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.075470546,0.075470546,0,0.075470546,0.075470546,0,0.007119863,0.007119863,0,0.007119863,0.007119863,328.5874939,326.6000061,10.60000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,8796.5,0,0.500427246,0.500427246,0,0.799987793,0.799987793,0,0.043897126,0.043897126,0,0.070174367,0.070174367,0,0.003850625,0.003850625,0,0.006155646,0.006155646,540.4559631,324.1199646,11.4000001,pen
0.979492188,457.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.4576111,328.1234741,10.70000005,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,6088.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.825592,317.011261,6.199999928,pen
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,5860.1,-22.39996338,5.599945068,23.08934265,-22.39996338,5.599975586,23.08935005,-2.074070692,0.518513435,2.137902107,-2.074070692,0.51851626,2.137902792,-0.192043583,0.048010503,0.1979539,-0.192043583,0.048010765,0.197953963,626.9875183,504.2000122,10.79999995,page
0.979492188,362,-20.80004883,3.199981689,21.04475978,-20.80004883,3.200012207,21.04476442,-1.873878269,0.288286638,1.8959243,-1.873878269,0.288289387,1.895924718,-0.168817862,0.025971769,0.170803991,-0.168817862,0.025972017,0.170804028,645.3874817,465,11.10000002,page
0.98046875,361.4,-5.599975586,-2.400054932,6.092617684,-5.599975586,-2.400024414,6.092605662,-0.533331008,-0.22857666,0.580249303,-0.533331008,-0.228573754,0.580248158,-0.050793429,-0.021769206,0.055261838,-0.050793429,-0.021768929,0.055261729,706.1875305,488.2000122,10.5,page
0.98046875,276.3000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.7875061,458.6000671,10.60000002,page
0.98046875,663.3000001,-0.799926758,0,0.799926758,-0.799926758,0,0.799926758,-0.069558849,0,0.069558849,-0.069558849,0,0.069558849,-0.006048596,0,0.006048596,-0.006048596,0,0.006048596,741.3875427,473.8000183,11.5,page
0.979492188,751.4000001,-1.599975586,0,1.599975586,-1.599975586,0,1.599975586,-0.148145888,0,0.148145888,-0.148145888,0,0.148145888,-0.013717212,0,0.013717212,-0.013717212,0,0.013717212,749.3875427,478.6000671,10.79999995,page
0.979492188,680.5,-0.800048828,-0.799987793,1.131396746,-0.800048828,-0.799987793,1.131396746,-0.067800748,-0.067795576,0.095881081,-0.067800748,-0.067795576,0.095881081,-0.005745826,-0.005745388,0.008125515,-0.005745826,-0.005745388,0.008125515,786.1874695,488.2000122,11.79999995,page
0.979492188,813.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782.1874695,496.2000122,10.9000001,page
0.98046875,617.1,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.071432932,0,0.071432932,-0.071432932,0,0.071432932,-0.00637794,0,0.00637794,-0.00637794,0,0.00637794,754.1874695,478.6000671,11.19999993,page
