velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-3.391305679,0,-1.266373424,-0.646467112,-0.288289388,0,-0.242420543,0.950498673,0.100863116,0,-0.216218416,0,0,3.459852869,1.295963408,0.690425555,0.36036256,0,-3.391305679,0,-1.266373424,-0.646467112,-0.288289388,0,-0.242420543,0.950498673,0.100863116,0,-0.216218416,0,0,3.459852869,1.295963408,0.690425555,0.36036256,0,-0.368620183,0.310909369,-0.002370954,-0.025972017,-0.025972017,0.310909369,0.158651488,0.158651488,0.038870807,0.106597021,0.004007899,0.006393607,-0.088831652,0.066162283,0.000976573,0.007944268,-0.019479137,-0.088831652,-0.027494753,-0.027494753,-0.003172267,0.00499015,0.003652013,0.009120492,-0.323350736,0.37451073,0.002444386,0.030075336,0.032465096,-0.323350736,-0.160964766,-0.160964766,-0.038897836,-0.10337567,-0.004324061,0.001421204,-0.368620183,0.310909369,-0.002370954,-0.025972017,-0.025972017,0.310909369,0.158651488,0.158651488,0.038870807,0.106597021,0.004007899,0.006393607,-0.088831652,0.066162283,0.000976573,0.007944268,-0.019479137,-0.088831652,-0.027494753,-0.027494753,-0.003172267,0.00499015,0.003652013,0.009120492,-0.323350736,0.37451073,0.002444386,0.030075336,0.032465096,-0.323350736,-0.160964766,-0.160964766,-0.038897836,-0.10337567,-0.004324061,0.001421204,0.978515625,0.979492188,0.979225852,0.979492188,0.978515625,0.978515625,116.6,148,20.79998779,148,20.79998779,page
-3.047619048,0,-1.173485452,-0.989694498,-0.070174368,-2.588237683,-0.380952381,0.784313724,0.004330506,0,-0.070174368,0.784313724,0,3.071336285,1.195108872,1.020152594,0.099241543,2.704463407,-3.047619048,0,-1.173485452,-0.989694498,-0.070174368,-2.588237683,-0.380952381,0.784313724,0.004330506,0,-0.070174368,0.784313724,0,3.071336285,1.195108872,1.020152594,0.099241543,2.704463407,-0.290249433,0.293356474,-0.017516318,-0.020740988,-0.006155646,-0.253748792,0.019803841,0.019803841,-0.053414772,-0.126633385,-0.010191995,-0.020740988,-0.036281179,0.076893502,0.006150946,0,-0.006155646,0.076893502,0.02119043,0.02119043,0.015970135,0.010749839,0.010232076,0.017179288,-0.295379659,0.292508218,0.018425642,0.022001333,0.008705398,0.265143471,-0.015118094,-0.015118094,0.056072732,0.127263558,0.011004153,0.022001333,-0.290249433,0.293356474,-0.017516318,-0.020740988,-0.006155646,-0.253748792,0.019803841,0.019803841,-0.053414772,-0.126633385,-0.010191995,-0.020740988,-0.036281179,0.076893502,0.006150946,0,-0.006155646,0.076893502,0.02119043,0.02119043,0.015970135,0.010749839,0.010232076,0.017179288,-0.295379659,0.292508218,0.018425642,0.022001333,0.008705398,0.265143471,-0.015118094,-0.015118094,0.056072732,0.127263558,0.011004153,0.022001333,0.978515625,0.98046875,0.980024858,0.98046875,0.979492188,0.978515625,118.7,133.6000366,11.20001221,133.6000366,11.20001221,page
-3.961163859,0,-1.443147206,-1.028144751,-0.293573502,0,0,1.600002713,0.308737008,0.037382607,0,0,0,4.061744232,1.492558298,1.044762038,0.293573502,0,-3.961163859,0,-1.443147206,-1.028144751,-0.293573502,0,0,1.600002713,0.308737008,0.037382607,0,0,0,4.061744232,1.492558298,1.044762038,0.293573502,0,-0.384579015,0.421400412,0.011167545,-0.083598458,-0.026933349,0.397162832,0.089102826,0.089102826,0.009607647,-0.149382712,0.042756213,0.020755116,-0.170213054,0.132580454,-0.000967015,0.003493702,0,-0.170213054,-0.0188163,-0.0188163,-0.001053278,0.034472765,-0.002453921,0.013259509,-0.43210045,0.386422823,-0.011150708,0.083671211,0.026933349,-0.43210045,-0.090900156,-0.090900156,-0.009497195,0.153308728,-0.042758015,-0.018874922,-0.384579015,0.421400412,0.011167545,-0.083598458,-0.026933349,0.397162832,0.089102826,0.089102826,0.009607647,-0.149382712,0.042756213,0.020755116,-0.170213054,0.132580454,-0.000967015,0.003493702,0,-0.170213054,-0.0188163,-0.0188163,-0.001053278,0.034472765,-0.002453921,0.013259509,-0.43210045,0.386422823,-0.011150708,0.083671211,0.026933349,-0.43210045,-0.090900156,-0.090900156,-0.009497195,0.153308728,-0.042758015,-0.018874922,0.978515625,0.979492188,0.979125977,0.979492188,0.978515625,0.978515625,90.30000001,136,40,136,40,page
-2.319995117,0,-0.575046873,-0.083476987,0,0,-0.250002543,0.242426708,-0.05707497,-0.070177045,-0.140354089,0,0,2.332375524,0.614337606,0.223710935,0.140354089,0,-2.319995117,0,-0.575046873,-0.083476987,0,0,-0.250002543,0.242426708,-0.05707497,-0.070177045,-0.140354089,0,0,2.332375524,0.614337606,0.223710935,0.140354089,0,-0.231999512,0.226720895,0.00125412,0.002390104,0,0.149953394,0.00179093,0.087418909,0.017107949,0.082536867,0.002392154,0.007407294,-0.026041932,0.023999634,-0.000117498,-0.001700966,-0.012311762,-0.024992444,-0.000249106,0.000245492,0.00269747,0.00788811,0.00190213,0.00906823,-0.22729851,0.233237552,-0.001290372,-0.000154921,0.012311762,-0.152021849,-0.001809028,-0.086642787,-0.017381632,-0.082917717,-0.003828206,-0.023424458,-0.231999512,0.226720895,0.00125412,0.002390104,0,0.149953394,0.00179093,0.087418909,0.017107949,0.082536867,0.002392154,0.007407294,-0.026041932,0.023999634,-0.000117498,-0.001700966,-0.012311762,-0.024992444,-0.000249106,0.000245492,0.00269747,0.00788811,0.00190213,0.00906823,-0.22729851,0.233237552,-0.001290372,-0.000154921,0.012311762,-0.152021849,-0.001809028,-0.086642787,-0.017381632,-0.082917717,-0.003828206,-0.023424458,0.9765625,0.979492188,0.978794643,0.978515625,0.9765625,0.978515625,142.5,88,11.19995117,88,11.19995117,page
-1.951219515,0,-0.82094748,-0.720140771,-0.148151539,-0.969694503,-0.156860352,0.240002441,0.059881413,0,-0.074072944,0.161619861,0,1.960951047,0.831151091,0.739556285,0.165637192,0.983070907,-1.951219515,0,-0.82094748,-0.720140771,-0.148151539,-0.969694503,-0.156860352,0.240002441,0.059881413,0,-0.074072944,0.161619861,0,1.960951047,0.831151091,0.739556285,0.165637192,0.983070907,-0.183999634,0.199999602,-0.009659562,-0.022664529,-0.013717735,0.03542398,-0.046384705,-0.046384705,-0.01919236,-0.046384705,-0.00640832,-0.009226153,-0.026087222,0.024000244,0.001920428,-0.003429303,-0.006858606,-0.007210737,0.00770561,0.00770561,0.003331061,0.00770561,0.004272412,0.007399073,-0.201693787,0.185558285,0.009803223,0.023864686,0.015336777,-0.036133574,0.047020266,0.047020266,0.019476257,0.047020266,0.006287857,0.009464742,-0.183999634,0.199999602,-0.009659562,-0.022664529,-0.013717735,0.03542398,-0.046384705,-0.046384705,-0.01919236,-0.046384705,-0.00640832,-0.009226153,-0.026087222,0.024000244,0.001920428,-0.003429303,-0.006858606,-0.007210737,0.00770561,0.00770561,0.003331061,0.00770561,0.004272412,0.007399073,-0.201693787,0.185558285,0.009803223,0.023864686,0.015336777,-0.036133574,0.047020266,0.047020266,0.019476257,0.047020266,0.006287857,0.009464742,0.977539063,0.979492188,0.979003906,0.979492188,0.977539063,0.978515625,111.3,83.19995117,9.599975586,83.19995117,9.599975586,page
-2.447057387,0,-0.7114992,-0.322591703,-0.072076471,-2.064517439,-0.076921903,0.602154475,0.078317464,0,0,0.602154475,0,2.463293458,0.723558675,0.327281988,0.072076471,2.150539994,-2.447057387,0,-0.7114992,-0.322591703,-0.072076471,-2.064517439,-0.076921903,0.602154475,0.078317464,0,0,0.602154475,0,2.463293458,0.723558675,0.327281988,0.072076471,2.150539994,-0.287889104,0.159862859,-0.021546972,-0.011783879,-0.006493376,-0.221991122,-0.031064132,-0.031064132,-0.033204406,0.084985204,-0.022352306,0.007172245,-0.030449626,0.064747793,0.005717443,0,0,0.064747793,0.017149084,0.017149084,0.01504112,0.00761603,0.006860931,3.65357E-05,-0.162736945,0.28979923,0.022307229,0.011762857,0.006493376,0.231240859,0.034251957,0.034251957,0.03498878,-0.084056626,0.023264616,-0.007676802,-0.287889104,0.159862859,-0.021546972,-0.011783879,-0.006493376,-0.221991122,-0.031064132,-0.031064132,-0.033204406,0.084985204,-0.022352306,0.007172245,-0.030449626,0.064747793,0.005717443,0,0,0.064747793,0.017149084,0.017149084,0.01504112,0.00761603,0.006860931,3.65357E-05,-0.162736945,0.28979923,0.022307229,0.011762857,0.006493376,0.231240859,0.034251957,0.034251957,0.03498878,-0.084056626,0.023264616,-0.007676802,0.977539063,0.979492188,0.978841146,0.978515625,0.977539063,0.978515625,130,88.79998779,14.40002441,88.79998779,14.40002441,page
0,3.615388135,1.116031621,0.494850395,0.220180126,2.479998779,-0.430107526,0,-0.127712912,-0.079998779,0,-0.079998779,0,3.628457888,1.126749542,0.52161679,0.220180126,2.481288728,0,3.615388135,1.116031621,0.494850395,0.220180126,2.479998779,-0.430107526,0,-0.127712912,-0.079998779,0,-0.079998779,0,3.628457888,1.126749542,0.52161679,0.220180126,2.481288728,-0.376602931,0.247999878,0.028499989,0.028316523,0.020200012,0.247999878,-0.064301526,-0.064301526,0.060872141,0.186045808,0.02971191,0.112846825,-0.046248121,0.032051404,-0.001482849,0,0,-0.007999878,0.012025763,0.012025763,-0.002606503,0.001885352,0.000522728,0.011770581,-0.377964364,0.248128873,0.028590757,0.031075945,0.020200012,0.248128873,-0.064917745,-0.064917745,0.060999299,0.186916344,0.029434407,0.11417455,-0.376602931,0.247999878,0.028499989,0.028316523,0.020200012,0.247999878,-0.064301526,-0.064301526,0.060872141,0.186045808,0.02971191,0.112846825,-0.046248121,0.032051404,-0.001482849,0,0,-0.007999878,0.012025763,0.012025763,-0.002606503,0.001885352,0.000522728,0.011770581,-0.377964364,0.248128873,0.028590757,0.031075945,0.020200012,0.248128873,-0.064917745,-0.064917745,0.060999299,0.186916344,0.029434407,0.11417455,0.978515625,0.981445313,0.980360243,0.98046875,0.981445313,0.978515625,97.29999998,110.4000854,11.20001221,110.4000854,11.20001221,page
0,3.134023139,1.007790606,0.416666667,0.072070972,0.932036466,-0.659796332,0,-0.174470098,0,0,-0.543692877,0,3.202722629,1.032197903,0.424918044,0.072070972,1.079024522,0,3.134023139,1.007790606,0.416666667,0.072070972,0.932036466,-0.659796332,0,-0.174470098,0,0,-0.543692877,0,3.202722629,1.032197903,0.424918044,0.072070972,1.079024522,-0.323095168,0.291545189,0.01010835,0.009853453,0.00649288,-0.030870246,-0.05583018,-0.030870246,-0.042000606,-0.030870246,0.008902029,-0.001162943,-0.058308784,0.06802024,-0.004419237,0,0,-0.044695225,-0.017791883,-0.008680423,0.002928918,0,-0.004876966,-0.004340212,-0.33017759,0.297318871,0.011240275,0.009853453,0.00649288,-0.016868941,-0.051066738,-0.016868941,-0.040559025,-0.016868941,0.01028758,0.006462318,-0.323095168,0.291545189,0.01010835,0.009853453,0.00649288,-0.030870246,-0.05583018,-0.030870246,-0.042000606,-0.030870246,0.008902029,-0.001162943,-0.058308784,0.06802024,-0.004419237,0,0,-0.044695225,-0.017791883,-0.008680423,0.002928918,0,-0.004876966,-0.004340212,-0.33017759,0.297318871,0.011240275,0.009853453,0.00649288,-0.016868941,-0.051066738,-0.016868941,-0.040559025,-0.016868941,0.01028758,0.006462318,0.977539063,0.98046875,0.979567308,0.979492188,0.98046875,0.977539063,131.3,127.2000122,22.40002441,127.2000122,22.40002441,page
0,3.183674721,0.921531472,0.291613133,0.142860413,0,-0.792079206,0,-0.196436198,-0.145803804,-0.071427482,0,0,3.193080168,0.949020389,0.326032158,0.159721579,0,0,3.183674721,0.921531472,0.291613133,0.142860413,0,-0.792079206,0,-0.196436198,-0.145803804,-0.071427482,0,0,3.193080168,0.949020389,0.326032158,0.159721579,0,-0.300346672,0.258797797,-0.001600821,0.017688546,0.012755394,-0.300346672,-0.098698077,-0.098698077,-0.067592354,-0.090582228,-0.001654412,0.031511118,-0.078423684,0.086095566,0.001034452,0.002477543,-0.006377454,0.023103816,0.018870738,0.018870738,0.021533301,0.018870738,0.001119764,0.005914445,-0.301233978,0.270419256,-0.001793352,0.018074789,0.014260855,-0.301233978,-0.100417061,-0.100417061,-0.070806432,-0.098236729,-0.001854167,0.03352889,-0.300346672,0.258797797,-0.001600821,0.017688546,0.012755394,-0.300346672,-0.098698077,-0.098698077,-0.067592354,-0.090582228,-0.001654412,0.031511118,-0.078423684,0.086095566,0.001034452,0.002477543,-0.006377454,0.023103816,0.018870738,0.018870738,0.021533301,0.018870738,0.001119764,0.005914445,-0.301233978,0.270419256,-0.001793352,0.018074789,0.014260855,-0.301233978,-0.100417061,-0.100417061,-0.070806432,-0.098236729,-0.001854167,0.03352889,0.979492188,0.981445313,0.980371094,0.98046875,0.98046875,0.979492188,108.9,112.7999878,19.20001221,112.7999878,19.20001221,page
-2.556699776,0,-1.300618498,-1.632653064,-0.754716982,-1.632653064,0,0.89795794,0.396068616,0.50908869,0.150941093,0.89795794,0,2.621071538,1.367211645,1.863299356,0.769662872,1.863299356,-2.556699776,0,-1.300618498,-1.632653064,-0.754716982,-1.632653064,0,0.89795794,0.396068616,0.50908869,0.150941093,0.89795794,0,2.621071538,1.367211645,1.863299356,0.769662872,1.863299356,-0.187955205,0.223776467,-0.017355131,-0.071199715,-0.071199715,-0.166597252,-0.166597252,-0.166597252,-0.045198111,-0.166597252,-0.008381034,-0.059647084,-0.065687549,0.091628361,0.011196738,0.014239726,0.014239726,0.091628361,0.091628361,0.091628361,0.02744249,0.056386657,0.010689573,0.018876891,-0.230663429,0.196231022,0.020445724,0.072609705,0.072609705,0.190132588,0.190132588,0.190132588,0.052588195,0.190132588,0.011751727,0.071337461,-0.187955205,0.223776467,-0.017355131,-0.071199715,-0.071199715,-0.166597252,-0.166597252,-0.166597252,-0.045198111,-0.166597252,-0.008381034,-0.059647084,-0.065687549,0.091628361,0.011196738,0.014239726,0.014239726,0.091628361,0.091628361,0.091628361,0.02744249,0.056386657,0.010689573,0.018876891,-0.230663429,0.196231022,0.020445724,0.072609705,0.072609705,0.190132588,0.190132588,0.190132588,0.052588195,0.190132588,0.011751727,0.071337461,0.978515625,0.98046875,0.979631696,0.979492188,0.978515625,0.978515625,76.59999999,95.20001221,31.20001221,95.20001221,31.20001221,page
