v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
-14.34326172,-0.796844482,14.36537914,-14.34326172,-0.796844482,14.36537914,648.4226379,253.7657471,12.69999993,-1.129390693,-0.06274366,1.131132222,-1.129390693,-0.06274366,1.131132222,page
-96.41900635,4.781097412,96.53747292,-82.07574463,5.577941895,82.17209378,552.0036316,258.5468445,13.4000001,-7.592047787,0.376464365,7.601375863,-6.462657094,0.439208026,6.470243641,page
0,0,0,96.41900635,-4.781097412,-96.53747292,552.0036316,258.5468445,11.29999995,0,0,0,7.592047787,-0.376464365,-7.601375863,page
-58.96704102,8.765350342,59.61495863,-58.96704102,8.765350342,59.61495863,493.0365906,267.3121948,11.20000005,-4.643074122,0.69018507,4.694091257,-4.643074122,0.69018507,4.694091257,page
-100.4032593,23.9055481,103.2099303,-41.43621826,15.14019775,43.59497162,392.6333313,291.2177429,11.39999998,-7.905768492,1.882326632,8.126766208,-3.26269437,1.192141562,3.43267495,page
0,0,0,100.4032593,-23.9055481,-103.2099303,392.6333313,291.2177429,10.79999995,0,0,0,7.905768492,-1.882326632,-8.126766208,page
-102.7938843,35.85830688,108.868732,-102.7938843,35.85830688,108.868732,289.839447,327.0760498,14.80000007,-8.094006682,2.823488747,8.572341154,-8.094006682,2.823488747,8.572341154,page
-23.10870361,-1.593688965,23.16359271,-23.10870361,-1.593688965,23.16359271,562.3627014,265.7185059,11.5,-1.819582972,-0.125487321,1.823904948,-1.819582972,-0.125487321,1.823904948,page
-64.54498291,1.593688965,64.56465491,-41.4362793,3.18737793,41.4010622,497.8177185,267.3121948,11.5,-5.082282148,0.125487321,5.083831124,-3.262699176,0.250974642,3.259926176,page
-48.60797119,6.374847412,49.02421384,15.93701172,4.781158447,-15.54044107,449.2097473,273.6870422,13.89999998,-3.827399328,0.501956492,3.86017434,1.25488282,0.376469171,-1.223656784,page
-54.18585205,11.95275879,55.48851237,-5.577880859,5.577911377,6.464298528,395.0238953,285.639801,10.60000002,-4.266602548,0.941162115,4.369174227,-0.43920322,0.439205623,0.508999887,page
