v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,v_x/msec,v_y/msec,v/msec,aX/msec,aY/msec,a/msec,Mode
-0.799987793,-0.800018311,1.131375166,-0.799987793,-0.800018311,1.131375166,667.2875061,272.3999939,12.39999998,-0.064515145,-0.064517606,0.091239933,-0.064515145,-0.064517606,0.091239933,page
-3.200012207,-2.399993896,4.000006104,-2.400024414,-1.599975586,2.868630938,664.0874939,270,11.5,-0.258065501,-0.193547895,0.322581138,-0.193550356,-0.129030289,0.231341205,page
-12.79998779,0,12.79998779,-9.599975586,2.399993896,8.799981689,651.2875061,270,11.20000005,-1.032257082,0,1.032257082,-0.774191581,0.193547895,0.709675944,page
-28.79998779,4.800018311,29.19725111,-16,4.800018311,16.39726332,622.4875183,274.8000183,11.69999993,-2.322579665,0.387098252,2.35461703,-1.290322583,0.387098252,1.322359948,page
0,0,0,28.79998779,-4.800018311,-29.19725111,622.4875183,274.8000183,10.70000005,0,0,0,2.322579665,-0.387098252,-2.35461703,page
-44.79998779,11.19998169,46.17876672,-44.79998779,11.19998169,46.17876672,577.6875305,286,11.60000002,-3.612902248,0.903224332,3.724094098,-3.612902248,0.903224332,3.724094098,page
-39.20001221,4.800018311,39.49279849,5.599975586,-6.399963379,-6.68596823,538.4875183,290.8000183,12.19999993,-3.161291313,0.387098252,3.18490311,0.451610935,-0.51612608,-0.539190987,page
-65.60003662,16,67.52306869,-26.40002441,11.19998169,28.03027019,472.8874817,306.8000183,11.89999998,-5.290325544,1.290322583,5.445408775,-2.129034231,0.903224332,2.260505665,page
0,0,0,65.60003662,-16,-67.52306869,472.8874817,306.8000183,11.70000005,0,0,0,5.290325544,-1.290322583,-5.445408775,page
-44,14.3999939,46.29643425,-44,14.3999939,46.29643425,428.8874817,321.2000122,11.89999998,-3.548387104,1.161289833,3.733583414,-3.548387104,1.161289833,3.733583414,page
-64,22.3999939,67.80678231,-20,8,21.51034806,364.8874817,343.6000061,12.10000002,-5.161290333,1.806451124,5.468288906,-1.612903229,0.645161292,1.734705492,page
-8,0.800018311,8.039902319,-8,0.800018311,8.039902319,596.8874817,305.2000122,11.60000002,-0.645161292,0.064517606,0.648379221,-0.645161292,0.064517606,0.648379221,page
-25.59997559,4.799987793,26.04608671,-17.59997559,3.999969482,18.00618439,571.2875061,310,10.79999995,-2.064514164,0.38709579,2.100490868,-1.419352873,0.322578185,1.452111647,page
-17.59997559,3.200012207,17.88852198,8,-1.599975586,-8.157564725,553.6875305,313.2000122,11.30000007,-1.419352873,0.258065501,1.442622743,0.645161292,-0.129030289,-0.657868124,page
-47.20001221,4.799987793,47.44345092,-29.60003662,1.599975586,29.55492894,506.4875183,318,11.69999993,-3.806452605,0.38709579,3.826084759,-2.387099732,0.129030289,2.383462016,page
0,0,0,47.20001221,-4.799987793,-47.44345092,506.4875183,318,10.9000001,0,0,0,3.806452605,-0.38709579,-3.826084759,page
-56.79998779,16.80001831,59.23241704,-56.79998779,16.80001831,59.23241704,449.6875305,334.8000183,12,-4.580644186,1.354840189,4.776807835,-4.580644186,1.354840189,4.776807835,page
-62.40002441,14.3999939,64.04000992,-5.600036621,-2.400024414,4.807592883,387.2875061,349.2000122,11.0999999,-5.032260043,1.161289833,5.164516939,-0.451615857,-0.193550356,0.387709104,page
0,0,0,62.40002441,-14.3999939,-64.04000992,387.2875061,349.2000122,11.60000002,0,0,0,5.032260043,-1.161289833,-5.164516939,page
-40,12.79998779,41.99809147,-40,12.79998779,41.99809147,347.2875061,362,11.89999998,-3.225806458,1.032257082,3.386942867,-3.225806458,1.032257082,3.386942867,page
-36.79998779,9.600006104,38.03155557,3.200012207,-3.199981689,-3.966535909,310.4875183,371.6000061,11.80000007,-2.967740957,0.774194042,3.067060939,0.258065501,-0.25806304,-0.319881929,page
0.799987793,-0.799987793,1.131353587,0.799987793,-0.799987793,1.131353587,344.8874817,334.8000183,11.60000002,0.064515145,-0.064515145,0.091238193,0.064515145,-0.064515145,0.091238193,page
8.800048828,0,8.800048828,8.000061035,0.799987793,7.668695242,353.6875305,334.8000183,10.80000007,0.709681358,0,0.709681358,0.645166214,0.064515145,0.618443166,page
0,0,0,-8.800048828,0,-8.800048828,353.6875305,334.8000183,12,0,0,0,-0.709681358,0,-0.709681358,page
36,2.399993896,36.0799109,36,2.399993896,36.0799109,389.6875305,337.2000122,11.19999993,2.903225812,0.193547895,2.90967024,2.903225812,0.193547895,2.90967024,page
23.19995117,0.799987793,23.21373979,-12.80004883,-1.600006104,-12.86617112,412.8874817,338,10.5,1.870963808,0.064515145,1.872075793,-1.032262004,-0.129032751,-1.037594447,page
0,0,0,-23.19995117,-0.799987793,-23.21373979,412.8874817,338,11.70000005,0,0,0,-1.870963808,-0.064515145,-1.872075793,page
24,1.600006104,24.05327461,24,1.600006104,24.05327461,436.8874817,339.6000061,11.89999998,1.935483875,0.129032751,1.939780214,1.935483875,0.129032751,1.939780214,page
36,1.600006104,36.03553829,12,0,11.98226367,472.8874817,341.2000122,13.20000005,2.903225812,0.129032751,2.906091803,0.967741937,0,0.966311588,page
32.80004883,1.600006104,32.83905027,-3.199951172,0,-3.196488015,505.6875305,342.8000183,12.89999998,2.645165233,0.129032751,2.648310511,-0.258060579,0,-0.257781292,page
0,0,0,-32.80004883,-1.600006104,-32.83905027,505.6875305,342.8000183,13,0,0,0,-2.645165233,-0.129032751,-2.648310511,page
28,1.599975586,28.04567564,28,1.599975586,28.04567564,533.6875305,344.3999939,12.69999993,2.25806452,0.129030289,2.26174804,2.25806452,0.129030289,2.26174804,page
15.19995117,1.600006104,15.28393062,-12.80004883,3.05176E-05,-12.76174502,548.8874817,346,11.60000002,1.225802516,0.129032751,1.232575052,-1.032262004,2.4611E-06,-1.029172987,page
0,0,0,-15.19995117,-1.600006104,-15.28393062,548.8874817,346,11.80000007,0,0,0,-1.225802516,-0.129032751,-1.232575052,page
-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,586.4875183,314.8000183,13.70000005,-0.064515145,0,0.064515145,-0.064515145,0,0.064515145,page
-1.600036621,-0.800018311,1.788895326,-0.800048828,-0.800018311,0.988907533,584.8874817,314,12.60000002,-0.129035212,-0.064517606,0.144265752,-0.064520067,-0.064517606,0.079750608,page
-8,0,8,-6.399963379,0.800018311,6.211104674,576.8874817,314,11.10000002,-0.645161292,0,0.645161292,-0.51612608,0.064517606,0.500895539,page
-21.59997559,0.800018311,21.61478602,-13.59997559,0.800018311,13.61478602,555.2875061,314.8000183,11.79999995,-1.741933518,0.064517606,1.743127908,-1.096772227,0.064517606,1.097966616,page
0,0,0,21.59997559,-0.800018311,-21.61478602,555.2875061,314.8000183,12.20000005,0,0,0,1.741933518,-0.064517606,-1.743127908,page
-40,1.599975586,40.03198623,-40,1.599975586,40.03198623,515.2875061,316.3999939,10.69999993,-3.225806458,0.129030289,3.228385993,-3.225806458,0.129030289,3.228385993,page
-31.20001221,1.600006104,31.24101121,8.799987793,3.05176E-05,-8.790975027,484.0874939,318,12.5,-2.516130022,0.129032751,2.519436393,0.709676436,2.4611E-06,-0.7089496,page
-53.59997559,9.600006104,54.45289249,-22.39996338,8,23.21188128,430.4875183,327.6000061,12.80000007,-4.322578685,0.774194042,4.391362306,-1.806448663,0.645161292,1.871925913,page
0,0,0,53.59997559,-9.600006104,-54.45289249,430.4875183,327.6000061,11.69999993,0,0,0,4.322578685,-0.774194042,-4.391362306,page
-35.20001221,8.799987793,36.28333839,-35.20001221,8.799987793,36.28333839,395.2875061,336.3999939,11.20000005,-2.838710667,0.709676436,2.926075682,-2.838710667,0.709676436,2.926075682,page
-50.40002441,7.200012207,50.91171414,-15.20001221,-1.599975586,14.62837575,344.8874817,343.6000061,11.39999998,-4.064518106,0.580646147,4.105783406,-1.225807438,-0.129030289,1.179707724,page
0,0,0,50.40002441,-7.200012207,-50.91171414,344.8874817,343.6000061,12.10000002,0,0,0,4.064518106,-0.580646147,-4.105783406,page
-43.19995117,16,46.06773037,-43.19995117,16,46.06773037,301.6875305,359.6000061,12.89999998,-3.483867037,1.290322583,3.715139553,-3.483867037,1.290322583,3.715139553,page
-24.80004883,6.399993896,25.6125427,18.39990234,-9.600006104,-20.45518766,276.8874817,366,12.20000005,-2.000003942,0.516128541,2.065527641,1.483863095,-0.774194042,-1.649611912,page
0,0,0,24.80004883,-6.399993896,-25.6125427,276.8874817,366,11.69999993,0,0,0,2.000003942,-0.516128541,-2.065527641,page
0.799987793,0.799987793,1.131353587,0.799987793,0.799987793,1.131353587,243.2875061,385.2000122,11.80000007,0.064515145,0.064515145,0.091238193,0.064515145,0.064515145,0.091238193,page
12.79998779,-2.399993896,13.02304335,12,-3.199981689,11.89168977,256.0874939,382.8000183,11.10000002,1.032257082,-0.193547895,1.050245434,0.967741937,-0.25806304,0.959007241,page
10.40002441,-0.800018311,10.43074959,-2.399963379,1.599975586,-2.592293759,266.4875183,382,11.5,0.838711648,-0.064517606,0.841189485,-0.193545434,0.129030289,-0.209055949,page
20.79998779,-1.599975586,20.86143365,10.39996338,-0.799957275,10.43068406,287.2875061,380.4000244,11.19999993,1.677418374,-0.129030289,1.682373685,0.838706726,-0.064512684,0.8411842,page
0,0,0,-20.79998779,1.599975586,-20.86143365,287.2875061,380.4000244,10.60000002,0,0,0,-1.677418374,0.129030289,-1.682373685,page
