velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-3.183674711,0,-0.792878432,-0.084209241,0,0,-0.24490045,0.073398975,-0.044911683,0,-0.069564156,0,0,3.193080158,0.799050734,0.084209241,0.069564156,0,-3.183674711,0,-0.792878432,-0.084209241,0,0,-0.24490045,0.073398975,-0.044911683,0,-0.069564156,0,0,3.193080158,0.799050734,0.084209241,0.069564156,0,-0.295857988,0.315215318,0.00159855,-0.000271351,0,0.176146901,0.079716633,0.082626938,0.029731231,0.082626938,0.002058433,-0.010893024,-0.022189575,0.024247569,0.000166425,0,-0.006049057,-0.007339898,0.00554995,0.002646065,0.00183215,0.002646065,0.00014085,0,-0.316146551,0.296688938,-0.001654868,0.001231352,0.006049057,-0.176299758,-0.079933118,-0.08266441,-0.029797444,-0.08266441,-0.002059814,0.010970938,-0.295857988,0.315215318,0.00159855,-0.000271351,0,0.176146901,0.079716633,0.082626938,0.029731231,0.082626938,0.002058433,-0.010893024,-0.022189575,0.024247569,0.000166425,0,-0.006049057,-0.007339898,0.00554995,0.002646065,0.00183215,0.002646065,0.00014085,0,-0.316146551,0.296688938,-0.001654868,0.001231352,0.006049057,-0.176299758,-0.079933118,-0.08266441,-0.029797444,-0.08266441,-0.002059814,0.010970938,0.17578125,0.278320313,0.234837582,0.251953125,0.17578125,0.208984375,193.6,172,8.800048828,172,8.800048828,page
-3.183668483,0,-1.109964069,-0.476416761,-0.073393376,0,-0.603775888,0,-0.129755083,-0.039215088,0,0,0,3.234543673,1.120090154,0.479865104,0.073393376,0,-3.183668483,0,-1.109964069,-0.476416761,-0.073393376,0,-0.603775888,0,-0.129755083,-0.039215088,0,0,0,3.234543673,1.120090154,0.479865104,0.073393376,0,-0.324864131,0.346050923,0.000719845,-0.025585697,-0.006733337,0.122323939,0.089794374,0.122323939,0.055856822,0.022815945,0.005163618,-0.07669205,-0.058308784,0.06211153,0.000413519,0,0,0.007195429,0.002558669,0.007195429,0.010459446,0.007682619,0.000600743,0,-0.351580835,0.330055476,-0.000765471,0.0259449,0.006733337,-0.122535384,-0.089829576,-0.122535384,-0.056790032,-0.023530018,-0.005227848,0.075475349,-0.324864131,0.346050923,0.000719845,-0.025585697,-0.006733337,0.122323939,0.089794374,0.122323939,0.055856822,0.022815945,0.005163618,-0.07669205,-0.058308784,0.06211153,0.000413519,0,0,0.007195429,0.002558669,0.007195429,0.010459446,0.007682619,0.000600743,0,-0.351580835,0.330055476,-0.000765471,0.0259449,0.006733337,-0.122535384,-0.089829576,-0.122535384,-0.056790032,-0.023530018,-0.005227848,0.075475349,0.18359375,0.420898438,0.297433036,0.280761719,0.18359375,0.224609375,143.1,165.6000366,20,165.6000366,20,page
-3.643563139,0,-1.16639441,-0.712872496,-0.071427482,-1.531911002,-0.079206712,0.340426831,0.02378858,0,0,0.340426831,0,3.644423967,1.169502619,0.712872496,0.071427482,1.569280646,-3.643563139,0,-1.16639441,-0.712872496,-0.071427482,-1.531911002,-0.079206712,0.340426831,0.02378858,0,0,0.340426831,0,3.644423967,1.169502619,0.712872496,0.071427482,1.569280646,-0.360748825,0.328248932,-0.010250709,-0.001455064,-0.006377454,-0.162969256,0.055091547,0.147544284,-0.035741246,-0.007712486,-0.006981077,0.072086934,-0.01633962,0.03621562,0.002680747,0,0,0.03621562,0.006625333,0,0.006323893,0.003921124,0.003350934,0,-0.328326484,0.360834055,0.010514975,0.001455064,0.006377454,0.16694475,-0.053902459,-0.147544284,0.03640936,0.009700233,0.00731141,-0.072061351,-0.360748825,0.328248932,-0.010250709,-0.001455064,-0.006377454,-0.162969256,0.055091547,0.147544284,-0.035741246,-0.007712486,-0.006981077,0.072086934,-0.01633962,0.03621562,0.002680747,0,0,0.03621562,0.006625333,0,0.006323893,0.003921124,0.003350934,0,-0.328326484,0.360834055,0.010514975,0.001455064,0.006377454,0.16694475,-0.053902459,-0.147544284,0.03640936,0.009700233,0.00731141,-0.072061351,0.125976563,0.530273438,0.392838542,0.403320313,0.323242188,0.125976563,158.7,181.6000366,7.200012207,181.6000366,7.200012207,page
-1.676193964,0,-0.359611892,-0.080806848,0,-0.79999889,-0.163262815,0,-0.037161592,0,-0.076921903,-0.072726163,0,1.677924616,0.374519832,0.103797867,0.076921903,0.803297777,-1.676193964,0,-0.359611892,-0.080806848,0,-0.79999889,-0.163262815,0,-0.037161592,0,-0.076921903,-0.072726163,0,1.677924616,0.374519832,0.103797867,0.076921903,0.803297777,-0.15963752,0.175091066,-0.000898112,0,0,-0.072727172,0.011473572,0.001270182,-0.002817827,-0.048010765,-0.00072449,0.000763048,-0.016659471,0.016040467,-0.0001999,0,-0.007396337,-0.006611469,-0.00126482,0,-0.000702678,0,1.37558E-05,0,-0.175091066,0.159802344,0.000849884,-0.000787016,0.007396337,0.073027071,-0.011414898,-0.001441534,0.002850424,0.048010765,0.000612819,-0.001159692,-0.15963752,0.175091066,-0.000898112,0,0,-0.072727172,0.011473572,0.001270182,-0.002817827,-0.048010765,-0.00072449,0.000763048,-0.016659471,0.016040467,-0.0001999,0,-0.007396337,-0.006611469,-0.00126482,0,-0.000702678,0,1.37558E-05,0,-0.175091066,0.159802344,0.000849884,-0.000787016,0.007396337,0.073027071,-0.011414898,-0.001441534,0.002850424,0.048010765,0.000612819,-0.001159692,0.0859375,0.189453125,0.178158967,0.182617188,0.184570313,0.0859375,238.5,89.59997559,8,89.59997559,8,page
-1.826085632,0,-0.58905234,-0.157946661,-0.073393375,0,-0.571426081,0,-0.141449187,-0.077933172,-0.073393375,0,0,1.858917063,0.608265714,0.167680942,0.103793907,0,-1.826085632,0,-0.58905234,-0.157946661,-0.073393375,0,-0.571426081,0,-0.141449187,-0.077933172,-0.073393375,0,0,1.858917063,0.608265714,0.167680942,0.103793907,0,-0.198487569,0.174926987,-0.000181918,-0.008086197,-0.006733337,0.098441095,-0.004993389,0.085066307,0.024451741,0.091753701,-0.000287975,-0.014239726,-0.037807328,0.058308784,-7.78863E-06,-0.00046802,-0.006733337,0.016406641,-0.000832221,0.016406641,0.008713735,0.017655332,-7.36622E-05,0,-0.184389167,0.202056203,0.000166946,0.008917213,0.009522377,-0.099798933,0.005062265,-0.087070475,-0.025917241,-0.093434704,0.00029609,0.014239726,-0.198487569,0.174926987,-0.000181918,-0.008086197,-0.006733337,0.098441095,-0.004993389,0.085066307,0.024451741,0.091753701,-0.000287975,-0.014239726,-0.037807328,0.058308784,-7.78863E-06,-0.00046802,-0.006733337,0.016406641,-0.000832221,0.016406641,0.008713735,0.017655332,-7.36622E-05,0,-0.184389167,0.202056203,0.000166946,0.008917213,0.009522377,-0.099798933,0.005062265,-0.087070475,-0.025917241,-0.093434704,0.00029609,0.014239726,0.161132813,0.276367188,0.202148438,0.193359375,0.161132813,0.174804688,167.3,100.8000488,21.59997559,100.8000488,21.59997559,page
-3.999997105,0,-0.977305357,-0.329891874,-0.156860352,0,-0.571434386,0.082472968,-0.1292476,0,-0.07843616,0,0,4.040608135,0.989927171,0.34004476,0.175377881,0,-3.999997105,0,-0.977305357,-0.329891874,-0.156860352,0,-0.571434386,0.082472968,-0.1292476,0,-0.07843616,0,0,4.040608135,0.989927171,0.34004476,0.175377881,0,-0.952380266,0.421052327,-0.043167598,0.03026531,-0.015378466,0.03026531,-0.003484586,0.03026531,-0.008814831,0.03026531,-0.05867096,0.030930383,-0.136055807,0.060150988,-0.005818715,0,-0.00768982,-0.007566327,0.000312014,0,-0.000520578,0,-0.00797694,0.004245145,-0.425327172,0.962049559,0.043608827,-0.030548767,0.01719391,-0.031196767,0.003522996,-0.030548767,0.008875027,-0.030548767,0.059247547,-0.030872767,-0.952380266,0.421052327,-0.043167598,0.03026531,-0.015378466,0.03026531,-0.003484586,0.03026531,-0.008814831,0.03026531,-0.05867096,0.030930383,-0.136055807,0.060150988,-0.005818715,0,-0.00768982,-0.007566327,0.000312014,0,-0.000520578,0,-0.00797694,0.004245145,-0.425327172,0.962049559,0.043608827,-0.030548767,0.01719391,-0.031196767,0.003522996,-0.030548767,0.008875027,-0.030548767,0.059247547,-0.030872767,0.09765625,0.28125,0.198242188,0.205078125,0.28125,0.09765625,142.6,124.8000488,19.19995117,124.8000488,19.19995117,page
-2.157304741,0,-0.515681613,-0.246248102,-0.070174368,-0.310680796,-0.093021836,0,-0.033099345,0,0,0,0,2.15917653,0.517437096,0.246248102,0.070174368,0.310680796,-2.157304741,0,-0.515681613,-0.246248102,-0.070174368,-0.310680796,-0.093021836,0,-0.033099345,0,0,0,0,2.15917653,0.517437096,0.246248102,0.070174368,0.310680796,-0.242393791,0.222402551,-0.005277586,-0.013408244,-0.006155646,-0.030163184,0.005903873,0.012097774,-0.005943896,0.012097774,-0.006403115,-0.032086652,-0.010816493,0.009266626,-0.00016791,0,0,0,0.001923214,0.003734073,-0.000166281,0.000715277,-0.000209887,0,-0.222595519,0.242604104,0.005282555,0.013408244,0.006155646,0.030163184,-0.006040708,-0.012373702,0.005950187,-0.012373702,0.006409325,0.032609987,-0.242393791,0.222402551,-0.005277586,-0.013408244,-0.006155646,-0.030163184,0.005903873,0.012097774,-0.005943896,0.012097774,-0.006403115,-0.032086652,-0.010816493,0.009266626,-0.00016791,0,0,0,0.001923214,0.003734073,-0.000166281,0.000715277,-0.000209887,0,-0.222595519,0.242604104,0.005282555,0.013408244,0.006155646,0.030163184,-0.006040708,-0.012373702,0.005950187,-0.012373702,0.006409325,0.032609987,0.094726563,0.236328125,0.202490234,0.218261719,0.169921875,0.094726563,202.6,98.39996338,6.399963379,98.39996338,6.399963379,page
-1.703705967,0,-0.661630042,-0.643675353,-0.078430176,-0.857146128,-0.18390524,0.214282445,-0.012434307,0,0,0.214282445,0,1.710134856,0.665253177,0.643675353,0.078430176,0.883525014,-1.703705967,0,-0.661630042,-0.643675353,-0.078430176,-0.857146128,-0.18390524,0.214282445,-0.012434307,0,0,0.214282445,0,1.710134856,0.665253177,0.643675353,0.078430176,0.883525014,-0.179679953,0.169082003,-0.005275998,-0.007689233,-0.007689233,-0.019059891,0.015928223,-0.019059891,-0.018896585,-0.019059891,-0.006703562,0.011655414,-0.021138533,0.019132361,0.000946035,0,0,0.019132361,0.011900134,0.01656804,0.002113483,0.007246036,0.001148757,0,-0.169847061,0.180919106,0.00541953,0.007689233,0.007689233,0.021415148,-0.01546688,0.021415148,0.019268157,0.021415148,0.00687785,-0.01079923,-0.179679953,0.169082003,-0.005275998,-0.007689233,-0.007689233,-0.019059891,0.015928223,-0.019059891,-0.018896585,-0.019059891,-0.006703562,0.011655414,-0.021138533,0.019132361,0.000946035,0,0,0.019132361,0.011900134,0.01656804,0.002113483,0.007246036,0.001148757,0,-0.169847061,0.180919106,0.00541953,0.007689233,0.007689233,0.021415148,-0.01546688,0.021415148,0.019268157,0.021415148,0.00687785,-0.01079923,0.0390625,0.280273438,0.221449908,0.23828125,0.170898438,0.0390625,175.3,112,5.599975586,112,5.599975586,page
-2.426970413,0,-0.747433949,-0.227897325,0,-0.727273962,-0.359551934,0,-0.082813401,-0.037735273,0,0,0,2.453459391,0.75439218,0.247876343,0,0.727273962,-2.426970413,0,-0.747433949,-0.227897325,0,-0.727273962,-0.359551934,0,-0.082813401,-0.037735273,0,0,0,2.453459391,0.75439218,0.247876343,0,0.727273962,-0.272693306,0.210393436,-0.00957009,-0.00384491,0,-0.073462017,-0.023896888,-0.073462017,-0.012309945,-0.066489945,-0.011802716,-0.035599858,-0.040399094,0.030995856,-0.000663988,0,0,0,2.95221E-05,0,-1.41586E-05,3.24E-07,-0.000841358,0,-0.211505119,0.275669595,0.009609163,0.005437316,0,0.073462017,0.02389615,0.073462017,0.012310731,0.066358557,0.011860806,0.036304852,-0.272693306,0.210393436,-0.00957009,-0.00384491,0,-0.073462017,-0.023896888,-0.073462017,-0.012309945,-0.066489945,-0.011802716,-0.035599858,-0.040399094,0.030995856,-0.000663988,0,0,0,2.95221E-05,0,-1.41586E-05,3.24E-07,-0.000841358,0,-0.211505119,0.275669595,0.009609163,0.005437316,0,0.073462017,0.02389615,0.073462017,0.012310731,0.066358557,0.011860806,0.036304852,0.18359375,0.338867188,0.25378418,0.254882813,0.185546875,0.18359375,173.4,120,13.59997559,120,13.59997559,page
-0.083332062,2.422014988,0.441551865,0,0,1.739130437,-0.452834794,0.347827414,-0.001107538,0,0,0.347827414,0,2.423126738,0.470049848,0,0,1.773572267,-0.083332062,2.422014988,0.441551865,0,0,1.739130437,-0.452834794,0.347827414,-0.001107538,0,0,0.347827414,0,2.423126738,0.470049848,0,0,1.773572267,-0.266155493,0.216612697,0.003706384,0,0,-0.062894068,-0.006077651,0.000206979,0.00900668,0.035287865,0.004705616,0,-0.042720263,0.047170291,0.001437118,0,0,0.005300713,0.008033719,0.010492904,0.003410581,0.002650356,0.001812019,0,-0.266277664,0.218408428,0.003824376,0,0,-0.061238904,-0.005616988,0.000726076,0.009181651,0.035510396,0.00478969,0,-0.266155493,0.216612697,0.003706384,0,0,-0.062894068,-0.006077651,0.000206979,0.00900668,0.035287865,0.004705616,0,-0.042720263,0.047170291,0.001437118,0,0,0.005300713,0.008033719,0.010492904,0.003410581,0.002650356,0.001812019,0,-0.266277664,0.218408428,0.003824376,0,0,-0.061238904,-0.005616988,0.000726076,0.009181651,0.035510396,0.00478969,0,0.034179688,0.193359375,0.163793103,0.168945313,0.180664063,0.034179688,292.9,134.4000244,10.40002441,134.4000244,10.40002441,page
