velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
0,6.612243644,3.041976542,3.954144755,4.03199707,5.257138207,-0.576003418,0.380952381,0.000298218,0,-0.576003418,0.380952381,0,6.612747438,3.049946343,3.974612541,4.072932643,5.27092277,0,6.612243644,3.041976542,3.954144755,4.03199707,5.257138207,-0.576000977,0.380952381,0.000298188,0,-0.576000977,0.380952381,0,6.612747515,3.049946337,3.974612369,4.072932297,5.27092277,-0.6679034,0.674718738,0.066375589,0.194565465,0.322559766,0.066571165,0.29829378,0.29829378,0.0902829,0.066571165,0.112880303,0.233094471,-0.046080273,0.066977141,0.007870706,0.004122484,-0.046080273,0.009703849,0.021076457,0.021076457,0.014050972,0.009703849,0.007011464,0.004122484,-0.667954288,0.674770146,0.066376565,0.196452892,0.325834611,0.067071173,0.299039974,0.299039974,0.090780363,0.067071173,0.113129121,0.233344475,-0.6679034,0.674718738,0.066375589,0.194565465,0.322559766,0.066571165,0.29829378,0.29829378,0.0902829,0.066571165,0.112880303,0.233094471,-0.046080078,0.066976858,0.007870704,0.004122798,-0.046080078,0.009703511,0.021076495,0.021076495,0.014050997,0.009703511,0.007011475,0.004122798,-0.667954296,0.674770154,0.066376567,0.196452868,0.325834584,0.067071152,0.299039977,0.299039977,0.090780365,0.067071152,0.113129122,0.233344465,0.978515625,0.98046875,0.979980469,0.98046875,0.979492188,0.978515625,90.69999999,214.4000244,7.999969482,214.4000244,8,page
0,5.6,2.330522899,3.30434385,0.721315475,3.555557812,-0.888882865,0.74074074,0.017254541,0,-0.327868851,0.74074074,0,5.60228544,2.355837805,3.314624775,0.792334524,3.631898704,0,5.6,2.330522899,3.30434385,0.721315475,3.555557812,-0.888882865,0.74074074,0.017254834,0,-0.327868851,0.74074074,0,5.602285353,2.355837807,3.314625036,0.792334524,3.631898704,-0.595744679,0.56,0.042808949,0.157608743,0.059124219,0.329218316,-0.011153812,-0.011153812,-0.028285008,-0.011153812,0.001454998,0.157608743,-0.06926099,0.079364542,0.005294241,0.017005709,-0.026874496,0.068587105,0.0204179,0.0204179,0.008369027,0.000301645,0.01715246,0.017021991,-0.59598781,0.560228544,0.043507864,0.158801007,0.064945453,0.336286917,-0.008166369,-0.008166369,-0.026865666,-0.008166369,0.001281832,0.158801007,-0.595744679,0.56,0.042808949,0.157608743,0.059124219,0.329218316,-0.011153812,-0.011153812,-0.028285008,-0.011153812,0.001454998,0.157608743,-0.06926099,0.079364542,0.005294239,0.017005384,-0.026874496,0.068587105,0.020417724,0.020417724,0.008369029,0.000301649,0.017152458,0.017021666,-0.595987801,0.560228535,0.043507864,0.158801022,0.064945453,0.336286917,-0.008166383,-0.008166383,-0.026865666,-0.008166383,0.001281832,0.158801022,0.978515625,0.98046875,0.980202415,0.98046875,0.979492188,0.978515625,114.5,253.5999756,19.20001221,253.5999756,19.20001221,page
-10.57471266,0,-3.51614257,-2.288057598,-0.152378627,-10.57471266,-1.478254901,1.379310347,-0.002264779,0,-0.228570847,1.379310347,0,10.66428829,3.575145005,2.375786335,0.274706895,10.66428829,-10.57471266,0,-3.51614257,-2.288057598,-0.152378627,-10.57471266,-1.478258218,1.379310347,-0.002265124,0,-0.228573754,1.379310347,0,10.66428829,3.575145153,2.375785484,0.274709314,10.66428829,-1.215484215,0.638864648,-0.13972278,-0.03008194,-0.01451225,-1.215484215,-0.355015673,-0.355015673,-0.338890104,-0.322764534,-0.16713299,-0.070607667,-0.105343852,0.158541419,0.016456083,-0.003218761,-0.021768652,0.158541419,0.058498471,0.058498471,0.041638146,0.024777821,0.02647892,0.004361204,-0.656430841,1.225780265,0.140632824,0.038286409,0.026162561,1.225780265,0.359311473,0.359311473,0.341522578,0.323733682,0.166219428,0.070959451,-1.215484215,0.638864648,-0.13972278,-0.03008194,-0.01451225,-1.215484215,-0.355015673,-0.355015673,-0.338890104,-0.322764534,-0.16713299,-0.070607667,-0.105344514,0.158541419,0.016456075,-0.003218761,-0.021768929,0.158541419,0.058498471,0.058498471,0.041638146,0.024777821,0.02647888,0.004361204,-0.656430918,1.225780265,0.140632829,0.038286336,0.026162792,1.225780265,0.359311473,0.359311473,0.341522578,0.323733682,0.166219452,0.070959451,0.978515625,0.98046875,0.980273438,0.98046875,0.98046875,0.978515625,108.8,359.2000122,25.59997559,359.2000122,25.60003662,page
-7.175255224,0,-2.227185788,-0.734695122,-0.290904652,0,-0.218186812,1.402056194,0.143102643,0,-0.218186812,0,0,7.310954049,2.244235823,0.739216557,0.363635809,0,-7.175255224,0,-2.227185788,-0.734695122,-0.290904652,0,-0.218184038,1.40205934,0.143102888,0,-0.218184038,0,0,7.310954652,2.244235719,0.739216213,0.363634144,0,-0.516451865,0.747422417,0.017645295,-0.026445877,-0.026445877,0.747422417,0.02099871,-0.3013404,0.105904717,0.045408292,0.027982635,0.020683386,-0.14604752,0.092530479,-0.000729984,0.000959694,-0.019835165,-0.14604752,-0.002688547,0.045451401,-0.00377743,0.005231507,-0.000459362,0.004412624,-0.761557711,0.516519024,-0.017751122,0.033057801,0.033057801,-0.761557711,-0.021176551,0.312255295,-0.106027348,-0.039991679,-0.028073014,-0.021055094,-0.516451865,0.747422417,0.017645295,-0.026445877,-0.026445877,0.747422417,0.02099871,-0.3013404,0.105904717,0.045408292,0.027982635,0.020683386,-0.146047848,0.092531086,-0.000729979,0.00095894,-0.019834913,-0.146047848,-0.002688536,0.045451153,-0.003777439,0.005231625,-0.000459379,0.004412547,-0.761557774,0.516519035,-0.017751121,0.033057649,0.033057649,-0.761557774,-0.02117655,0.31225539,-0.106027348,-0.039991631,-0.028073012,-0.021055052,0.979492188,0.98046875,0.980273438,0.98046875,0.979492188,0.979492188,160,388.8000183,34.39993286,388.8000183,34.39996338,page
-10.17143032,0,-2.846135404,-1.980581929,-0.152378627,-4.288663574,-0.699027348,1.485713414,0.131355516,0,-0.152375721,0.989691352,0,10.27936472,2.87879485,2.053439063,0.215493866,4.401377537,-10.17143032,0,-2.846135404,-1.980581929,-0.152378627,-4.288663574,-0.699030311,1.485717773,0.131355642,0,-0.152378627,0.989688206,0,10.27936535,2.878794875,2.053438041,0.215495921,4.40137683,-1.453061474,0.908163422,-0.083193828,-0.098388807,-0.01451225,-0.442130266,-0.329009439,-0.442130266,-0.091040113,0.006980731,-0.076431157,-0.151245288,-0.132652984,0.212244773,0.014381211,-0.003695784,-0.014511973,0.102030036,0.060540609,0.102030036,0.027333075,0.006426175,0.024447446,0.023296388,-0.917800422,1.468480674,0.08441873,0.099238749,0.020523225,0.453750262,0.334810171,0.453750262,0.09388864,-0.001644836,0.07736199,0.151952045,-1.453061474,0.908163422,-0.083193828,-0.098388807,-0.01451225,-0.442130266,-0.329009439,-0.442130266,-0.091040113,0.006980731,-0.076431157,-0.151245288,-0.132653373,0.212245396,0.014381216,-0.003695922,-0.01451225,0.102029712,0.060540579,0.102029712,0.027333081,0.006426237,0.024447477,0.023296684,-0.917800478,1.468480764,0.084418727,0.09923852,0.020523421,0.453750189,0.334810158,0.453750189,0.093888635,-0.001644881,0.077361981,0.151952045,0.979492188,0.98046875,0.980259487,0.98046875,0.98046875,0.979492188,148.9,402.3999939,38.3999939,402.3999939,38.40002441,page
-6.795700229,0,-2.404285233,-1.761902495,-0.384615385,-6.795700229,-0.565663349,1.462362964,0.155145808,0,-0.230768644,1.462362964,0,6.951262262,2.429273131,1.780725946,0.44853446,6.951262262,-6.795700229,0,-2.404285233,-1.761902495,-0.384615385,-6.795700229,-0.565660266,1.462369527,0.155145851,0,-0.230771579,1.462369527,0,6.951263643,2.429273322,1.780726332,0.44853597,6.951263643,-0.730720454,0.636889736,-0.048092386,-0.05632188,-0.036982249,-0.730720454,-0.226664684,-0.324648975,-0.118460992,-0.200155244,-0.059735034,-0.156287082,-0.067567109,0.157243329,0.008968313,0.008796448,-0.022189293,0.157243329,0.04937088,0.058436419,0.025161983,0.026243779,0.010884557,0.011338128,-0.6388204,0.747447554,0.049117875,0.059748718,0.043128314,0.747447554,0.231968649,0.329866295,0.121134101,0.203117709,0.061014811,0.156409947,-0.730720454,0.636889736,-0.048092386,-0.05632188,-0.036982249,-0.730720454,-0.226664684,-0.324648975,-0.118460992,-0.200155244,-0.059735034,-0.156287082,-0.067567109,0.157244035,0.008968358,0.00879671,-0.022189575,0.157244035,0.049371115,0.058436419,0.025162101,0.026243779,0.010884609,0.011337695,-0.6388204,0.747447703,0.049117883,0.059748791,0.043128459,0.747447703,0.231968699,0.329866295,0.121134126,0.203117709,0.061014821,0.15640998,0.978515625,0.98046875,0.979553223,0.979492188,0.979492188,0.978515625,168.2,395.1999512,40,395.1999512,40,page
-6.367349422,0,-2.463768002,-2.807017535,-0.799997965,-6.127660239,-0.200002035,2.553191496,0.354343313,0,-0.200002035,2.553191496,0,6.638298489,2.516133986,2.81052401,0.824619645,6.638298489,-6.367349422,0,-2.463768002,-2.807017535,-0.799997965,-6.127660239,-0.199996948,2.553191496,0.354343216,0,-0.199996948,2.553191496,0,6.638298489,2.516133859,2.810524277,0.824618411,6.638298489,-0.651878751,0.62406204,-0.030852959,-0.043689834,-0.066666497,-0.651878751,-0.221495356,-0.636669357,-0.111038023,-0.206271934,-0.020523631,0.090217827,-0.144014646,0.271616117,0.018116595,0.008681085,-0.016666836,0.271616117,0.091508502,0.146924033,0.045006702,0.029154499,0.023052535,0.009427226,-0.64046362,0.706201969,0.034376268,0.04404916,0.068718304,0.706201969,0.239713544,0.653402282,0.120056949,0.214844605,0.024978358,-0.089301175,-0.651878751,0.62406204,-0.030852959,-0.043689834,-0.066666497,-0.651878751,-0.221495356,-0.636669357,-0.111038023,-0.206271934,-0.020523631,0.090217827,-0.144014035,0.271616117,0.018116574,0.008681085,-0.016666412,0.271616117,0.091508497,0.14692341,0.045006684,0.0291546,0.023052564,0.009427335,-0.640463482,0.706201969,0.034376269,0.044049171,0.068718201,0.706201969,0.239713543,0.653402142,0.120056946,0.214844622,0.024978353,-0.089301139,0.977539063,0.98046875,0.979557292,0.979492188,0.979492188,0.977539063,155.3,373.6000061,56,373.6000061,56,page
-6.153846168,0,-2.444198811,-2.025152552,-0.444443314,-5.358489402,-0.244891109,1.886792449,0.333267561,0,-0.222221657,1.886792449,0,6.247365514,2.494426729,2.045003052,0.496902731,5.680967736,-6.153846168,0,-2.444198811,-2.025152552,-0.444443314,-5.358489402,-0.244894224,1.886792449,0.333267363,0,-0.222224483,1.886792449,0,6.247365514,2.494426887,2.045003551,0.496903994,5.680967736,-0.591715979,0.541176591,-0.032158575,-0.047879766,-0.041152159,-0.505517867,0.050417444,0.22042243,-0.069215339,-0.067788074,-0.041219051,-0.229515332,-0.113450354,0.177999287,0.0113309,0.006544912,-0.020576079,0.177999287,0.019341223,-0.006525266,0.026425481,0.018097499,0.014253219,0.015403034,-0.544801872,0.600708224,0.034136817,0.049170031,0.046009512,0.535940351,-0.043960424,-0.216966481,0.073912458,0.070793088,0.043779048,0.232132818,-0.591715979,0.541176591,-0.032158575,-0.047879766,-0.041152159,-0.505517867,0.050417444,0.22042243,-0.069215339,-0.067788074,-0.041219051,-0.229515332,-0.113450686,0.177999287,0.011330901,0.006544751,-0.020576341,0.177999287,0.019341207,-0.006524978,0.026425474,0.018097643,0.014253219,0.01540274,-0.544801803,0.600708224,0.034136815,0.049170064,0.046009629,0.535940351,-0.043960428,-0.216966409,0.073912456,0.070793125,0.043779047,0.232132726,0.977539063,0.98046875,0.97984096,0.979980469,0.979492188,0.977539063,150.8,346.4000244,55.20001221,346.4000244,55.20001221,page
-6.612243644,0,-2.456760606,-1.671477335,-0.384615385,-6.279565947,-0.366972478,2.150537632,0.290438242,0,-0.153846741,2.150537632,0,6.644415261,2.503142531,1.688092592,0.414243666,6.637602021,-6.612243644,0,-2.456760606,-1.671477335,-0.384615385,-6.279565947,-0.366972478,2.150537632,0.290438505,0,-0.153843807,2.150537632,0,6.644415567,2.503142533,1.688093006,0.414242576,6.637602021,-0.675222144,0.696025647,-0.042133329,-0.035948747,-0.036982249,-0.675222144,-0.087323252,-0.016056557,-0.106563524,-0.207387426,-0.054387104,-0.253748794,-0.099070641,0.231240605,0.01715835,0.012043325,-0.014792956,0.231240605,0.055680105,0.034870352,0.038169388,0.049475374,0.021615384,0.031999817,-0.699412133,0.713720646,0.044850276,0.0375431,0.039831122,0.713720646,0.098530215,0.02246183,0.113002484,0.213148334,0.057876533,0.253748794,-0.675222144,0.696025647,-0.042133329,-0.035948747,-0.036982249,-0.675222144,-0.087323252,-0.016056557,-0.106563524,-0.207387426,-0.054387104,-0.253748794,-0.099070956,0.231240605,0.01715836,0.012043479,-0.014792674,0.231240605,0.055680315,0.034871296,0.038169401,0.049475574,0.021615392,0.032000122,-0.699412165,0.713720646,0.044850276,0.037543138,0.039831017,0.713720646,0.098530249,0.022462002,0.113002487,0.213148377,0.057876534,0.253748794,0.978515625,0.98046875,0.979771205,0.979492188,0.979492188,0.978515625,146.8,358.3999939,52.80004883,358.3999939,52.80004883,page
-6.417578376,0,-2.366530928,-1.756433228,-0.36036036,-3.916664138,-0.824742269,1.279998779,0.132773594,0,-0.216218415,1.083332702,0,6.456000118,2.40761009,1.808316824,0.420249916,4.063725841,-6.417578376,0,-2.366530928,-1.756433228,-0.36036036,-3.916664138,-0.824742269,1.279998779,0.132774026,0,-0.216212917,1.083335881,0,6.456000483,2.407609968,1.808316911,0.420247087,4.063726689,-0.705228391,0.567927289,-0.035522067,-0.033683245,-0.032464897,0.183681328,0.06120271,0.183681328,-0.085776482,-0.085674242,-0.045698538,-0.225297963,-0.085024976,0.127999878,0.00847362,-0.008215988,-0.019479136,-0.02048605,0.015091747,-0.02048605,0.020354238,0.000851763,0.010500153,-0.007999268,-0.571327443,0.709450561,0.036608535,0.038496578,0.037860353,-0.183199793,-0.057427617,-0.183199793,0.088365459,0.086261388,0.047158157,0.225245096,-0.705228391,0.567927289,-0.035522067,-0.033683245,-0.032464897,0.183681328,0.06120271,0.183681328,-0.085776482,-0.085674242,-0.045698538,-0.225297963,-0.085024976,0.127999878,0.008473641,-0.008216615,-0.019478641,-0.020485719,0.015091759,-0.020485719,0.020354307,0.000851646,0.010500184,-0.007999878,-0.571327476,0.709450601,0.036608544,0.038496591,0.037860098,-0.183199705,-0.057427599,-0.183199705,0.088365476,0.086261414,0.047158165,0.225245088,0.978515625,0.979492188,0.979422433,0.979492188,0.979492188,0.978515625,149.1,341.5999756,38.39993286,341.5999756,38.39996338,page
