pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.98046875,7228.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88775635,274.5331726,11,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,3623.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9078064,305.2692261,10.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.119140625,3887.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.5598755,331.0332642,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,2950.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4199219,366.2893372,10.7,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,2668.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79174805,398.3813477,10.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,6087.9,-0.391052246,-0.391082764,0.55305297,-0.800003052,-0.799987793,1.131364376,-0.038338455,-0.038341447,0.054220879,-0.078431672,-0.078430176,0.110918076,-0.003758672,-0.003758965,0.005315772,-0.00768938,-0.007689233,0.010874321,469.1783752,274.1278076,10.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.98046875,3029.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643.9842834,306.9772644,10.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,2835.2,0,-0.391082764,0.391082764,0,-0.799987793,0.799987793,0,-0.034609094,0.034609094,0,-0.07079538,0.07079538,0,-0.003062752,0.003062752,0,-0.006265078,0.006265078,503.2010193,333.9606934,11.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,2972.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.6979675,362.5084229,11.4,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.9604797,394.9667969,10.7,pen


0.977539063,10439.7,0.656585693,0,0.656585693,0.800003052,0,0.800003052,0.06313324,0,0.06313324,0.07692337,0,0.07692337,0.006070504,0,0.006070504,0.007396478,0,0.007396478,15.60244751,283.459198,10.39999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,4728.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2293396,293.3077698,11.59999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,5851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0682678,337.2980957,11.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,6148.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.4825134,365.5307007,11.40000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
