pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.978515625,11167.6,-0.274993896,0,0.274993896,-0.799987793,0,0.799987793,-0.02594282,0,0.02594282,-0.075470547,0,0.075470547,-0.002447436,0,0.002447436,-0.007119863,0,0.007119863,79.64624023,321.7256775,10.59999999,pen
0.98046875,369.3,-0.550048828,-0.274993896,0.614959638,-1.600006104,-0.799987793,1.788854382,-0.048249897,-0.024122272,0.053943828,-0.140351413,-0.070174368,0.156917051,-0.004232447,-0.002115989,0.004731915,-0.012311527,-0.006155646,0.013764654,76.89605713,325.0258789,11.40000001,pen
0.98046875,358.9,-1.375091553,-0.550018311,1.481012127,-4,-1.599975586,4.308122779,-0.106596244,-0.042637078,0.114807142,-0.310077519,-0.124029115,0.333963006,-0.008263275,-0.0033052,0.008899778,-0.024037017,-0.00961466,0.025888605,78.27114868,326.4009705,12.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,7059.7,-0.275390625,0,0.275390625,-0.799987793,0,0.799987793,-0.023740571,0,0.023740571,-0.068964465,0,0.068964465,-0.002046601,0,0.002046601,-0.005945212,0,0.005945212,137.0512695,328.51828,11.6,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,5993.9,-0.591308594,0,0.591308594,-1.599975586,0,1.599975586,-0.054750796,0,0.054750796,-0.148145888,0,0.148145888,-0.005069518,0,0.005069518,-0.013717212,0,0.013717212,193.4272461,335.15448,10.8,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,5520.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.6860046,335.5552673,10.9,pen
0.981445313,283.7,-1.914611816,-0.478668213,1.973540389,-3.200012207,-0.800018311,3.298500784,-0.172487551,-0.043123262,0.177796431,-0.288289388,-0.072073722,0.297162233,-0.015539419,-0.003884979,0.016017697,-0.025972017,-0.006493128,0.026771372,262.2500305,332.6833191,11.1,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4879,-0.421508789,-0.421539307,0.596125026,-0.799987793,-0.799987793,1.131353587,-0.036652938,-0.036655592,0.051836959,-0.069564156,-0.069564156,0.098378573,-0.003187212,-0.003187443,0.004507562,-0.006049057,-0.006049057,0.008554658,334.8058167,341.4537048,11.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,6169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.8262634,315.6069336,11.2,pen
0.979492188,349.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.9211121,318.1514587,11.2,pen
0.98046875,368,-1.090393066,0.726989746,1.310523228,-2.399993896,1.600006104,2.884439328,-0.096494962,0.064335376,0.115975507,-0.21238884,0.141593461,0.255260118,-0.008539377,0.005693396,0.010263319,-0.018795473,0.012530395,0.022589391,538.6481628,324.3310547,11.3,pen
0.98046875,352.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.1897278,317.7879639,10.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,5383.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.5067444,314.5238953,11.3,pen
0.979492188,302.5,-0.717773438,0.358917236,0.802508748,-1.600006104,0.799987793,1.788854382,-0.064086914,0.032046182,0.071652567,-0.142857688,0.071427482,0.159719141,-0.005722046,0.002861266,0.006397551,-0.012755151,0.006377454,0.014260638,590.7663269,317.0363159,11.2,pen
0.979492188,292.8,-0.358886719,0,0.358886719,-0.800018311,0,0.800018311,-0.032925387,0,0.032925387,-0.073396175,0,0.073396175,-0.003020678,0,0.003020678,-0.006733594,0,0.006733594,589.6895447,315.2416992,10.9,pen
0.979492188,347.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607.9943542,331.0340881,11.4,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.979492188,4846.2,0,-0.343536377,0.343536377,0,-0.800018311,0.800018311,0,-0.03123058,0.03123058,0,-0.072728937,0.072728937,0,-0.002839144,0.002839144,0,-0.006611722,0.006611722,667.5152283,311.6547546,11,pen
0.979492188,344.6,0.343505859,-0.343536377,0.485812225,0.799987793,-0.799987793,1.131353587,0.032103351,-0.032106203,0.045403012,0.074765214,-0.074765214,0.10573398,0.003000313,-0.00300058,0.004243272,0.006987403,-0.006987403,0.00988168,641.7497864,311.998291,10.7,pen
0.979492188,620.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.0627136,310.6241455,10.7,pen
0.979492188,268.9,-0.343566895,0,0.343566895,-0.799987793,0,0.799987793,-0.031519899,0,0.031519899,-0.073393376,0,0.073393376,-0.002891734,0,0.002891734,-0.006733337,0,0.006733337,645.8722839,337.4201355,10.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
