velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-0.329939318,0.300825531,-6.31565E-05,0,0.042975931,0,-0.333520641,0.382362437,0.000428388,0,0,0,0,0.496623059,0.089753585,0.086632994,0.042975931,0,-0.516131,0.470587039,-9.8791E-05,0,0.067225865,0,-0.521741121,0.598130271,0.000670144,0,0,0,0,0.776877272,0.14040355,0.135519271,0.067225865,0,-0.038821495,0.060882569,0.000167487,0,0.003611423,-0.006147903,0.000175859,0,0.000498385,0,0.000215002,0,-0.053794187,0.121762412,0.000285707,0,0,0.006147903,8.57435E-06,0,0.000522525,0,0.00035093,0,-0.136135125,0.046960359,-0.001736578,-0.001887674,0.003611423,-0.008694448,-0.003606602,-0.002291647,-0.00313727,-0.003760381,-0.002050222,-0.00237758,-0.060728591,0.095238459,0.000261999,0,0.005649232,-0.009617127,0.000275082,0,0.00077962,0,0.000336327,0,-0.084151259,0.190476009,0.000446935,0,0,0.009616394,1.3395E-05,0,0.000817389,0,0.000548963,0,-0.212958856,0.073461471,-0.002716566,-0.002952379,0.005649232,-0.013600153,-0.005641887,-0.003584122,-0.004907691,-0.005882837,-0.003207205,-0.00371887,0.047851563,0.505859375,0.307702934,0.325195313,0.047851563,0.240234375,6217.1,17.38775635,15.85351563,27.19998169,24.79998779,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.888889856,0.580646147,0.000366389,0,0,0,-0.765955501,0.566371141,-0.000986044,0,0,0,0,0.897914741,0.179045493,0.147469132,0,0,-0.888889856,0.580646147,0.000366389,0,0,0,-0.765955501,0.566371141,-0.000986044,0,0,0,0,0.897914741,0.179045493,0.147469132,0,0,-0.141093628,0.096491429,9.0763E-05,0,0,0,0.000126857,0,1.62892E-05,0,0.000114736,0,-0.143884527,0.078431298,-7.57308E-05,0,0,0,-0.000585334,0,-0.000385954,0,-0.000130831,0,-0.144769956,0.142526149,-0.002070449,-0.001243832,0,0,-0.001799256,0,-0.001963113,-0.002211313,-0.002291301,-0.00275048,-0.141093628,0.096491429,9.0763E-05,0,0,0,0.000126857,0,1.62892E-05,0,0.000114736,0,-0.143884527,0.078431298,-7.57308E-05,0,0,0,-0.000585334,0,-0.000385954,0,-0.000130831,0,-0.144769956,0.142526149,-0.002070449,-0.001243832,0,0,-0.001799256,0,-0.001963113,-0.002211313,-0.002291301,-0.00275048,0.131835938,0.870117188,0.5985727,0.665039063,0.131835938,0.760742188,9315.1,22.3999939,25.6000061,22.3999939,25.6000061,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.820512043,0.77777862,-0.000992023,0,0.072726163,0.142856779,-1.238098148,0.867467672,-0.003727136,0,-0.072726163,-0.047620137,0,1.270637345,0.228241295,0.188677252,0.102850326,0.15058465,-0.820512043,0.77777862,-0.000992023,0,0.072726163,0.142856779,-1.238098148,0.867467672,-0.003727136,0,-0.072726163,-0.047620137,0,1.270637345,0.228241295,0.188677252,0.102850326,0.15058465,-0.120936956,0.156739809,0.000495341,0,0.006611469,0.003968302,-0.000386463,0,0.000382812,0,0.000590793,0,-0.219478531,0.118477943,-0.000954421,0,-0.006611469,0.001700546,-0.000643486,0,-0.001225939,0,-0.001239975,0,-0.200308581,0.234403128,-0.00270185,-0.005102575,0.00935003,0.002549803,-0.001744982,-0.00388066,-0.002657563,-0.006581838,-0.003176251,-0.005194961,-0.120936956,0.156739809,0.000495341,0,0.006611469,0.003968302,-0.000386463,0,0.000382812,0,0.000590793,0,-0.219478531,0.118477943,-0.000954421,0,-0.006611469,0.001700546,-0.000643486,0,-0.001225939,0,-0.001239975,0,-0.200308581,0.234403128,-0.00270185,-0.005102575,0.00935003,0.002549803,-0.001744982,-0.00388066,-0.002657563,-0.006581838,-0.003176251,-0.005194961,0.088867188,0.9765625,0.798952499,0.872070313,0.088867188,0.114257813,10710.6,31.20001221,30.3999939,31.20001221,30.3999939,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.919540231,0.959997559,0.000638579,0,0,0.170210168,-1.074624125,1.098037415,-0.001043755,0,0,0.085105084,0,1.118036829,0.235485134,0.196668213,0,0.190300753,-0.919540231,0.959997559,0.000638579,0,0,0.170210168,-1.074624125,1.098037415,-0.001043755,0,0,0.085105084,0,1.118036829,0.235485134,0.196668213,0,0.190300753,-0.147935326,0.259740698,0.000456136,0,0,0.018107465,0.000751602,0,0.000638641,0,0.000493585,0,-0.160391659,0.179641024,-2.08236E-05,0,0,0.009053732,6.45453E-05,0,1.78545E-05,0,2.79224E-05,0,-0.266076794,0.161378669,-0.006090238,-0.005021963,0,0.020244761,-0.002794447,-0.001037848,-0.005057878,-0.003431039,-0.006504763,-0.005069622,-0.147935326,0.259740698,0.000456136,0,0,0.018107465,0.000751602,0,0.000638641,0,0.000493585,0,-0.160391659,0.179641024,-2.08236E-05,0,0,0.009053732,6.45453E-05,0,1.78545E-05,0,2.79224E-05,0,-0.266076794,0.161378669,-0.006090238,-0.005021963,0,0.020244761,-0.002794447,-0.001037848,-0.005057878,-0.003431039,-0.006504763,-0.005069622,0.135742188,0.653320313,0.475547735,0.484375,0.154296875,0.135742188,16626.6,36.79998779,35.19998169,36.79998779,35.19998169,pen
0,1.118282194,0.152642874,0,0,0,-0.350877194,0.184614915,-0.070833419,0,0,0.184614915,0,1.170021862,0.204713615,0.080806847,0,0.184614915,0,1.118282194,0.152642874,0,0,0,-0.350877194,0.184614915,-0.070833419,0,0,0.184614915,0,1.170021862,0.204713615,0.080806847,0,0.184614915,-0.102594696,0.120245397,-0.000563291,0,0,0,-0.001033059,-0.000869209,-0.014856318,-0.001716883,-0.000713502,-0.001369599,-0.036998638,0.032031849,0.000848519,0,0,0.014201147,0.001889485,0.001956056,0.00516981,0.001956056,0.002900445,0.003912112,-0.107341455,0.125808802,-0.000256759,0,0,0.014201147,0.001829338,0.004022126,-0.014044153,-0.00079324,-0.002150882,-0.001468425,-0.102594696,0.120245397,-0.000563291,0,0,0,-0.001033059,-0.000869209,-0.014856318,-0.001716883,-0.000713502,-0.001369599,-0.036998638,0.032031849,0.000848519,0,0,0.014201147,0.001889485,0.001956056,0.00516981,0.001956056,0.002900445,0.003912112,-0.107341455,0.125808802,-0.000256759,0,0,0.014201147,0.001829338,0.004022126,-0.014044153,-0.00079324,-0.002150882,-0.001468425,0.065429688,0.479492188,0.372584293,0.421875,0.171875,0.065429688,197.4,29.60003662,16.79998779,29.60003662,16.79998779,pen
-0.158413424,0.907215238,0.084901029,0,-0.075476304,-0.088887533,-0.158416446,0.177775065,-0.001071598,0,0,0.177775065,0,0.910956244,0.160543479,0.116839651,0.075476304,0.198758565,-0.158413424,0.907215238,0.084901029,0,-0.075476304,-0.088887533,-0.158416446,0.177775065,-0.001071598,0,0,0.177775065,0,0.910956244,0.160543479,0.116839651,0.075476304,0.198758565,-0.079580284,0.093527344,-0.000208705,0,-0.007120406,-0.009876393,-0.004371589,-0.003366639,-0.007200617,-0.000614378,-0.000337233,0,-0.019239726,0.018733241,0.000735477,0.000721062,0,0.003137976,-0.000604141,0.001631781,0.0007754,0.003137976,0.000864451,0.001835239,-0.079908443,0.093913015,0.000304079,0.001855438,0.007120406,0.005469476,-0.001262535,0.000792071,-0.004985407,-0.000217339,0.000488281,0.002626068,-0.079580284,0.093527344,-0.000208705,0,-0.007120406,-0.009876393,-0.004371589,-0.003366639,-0.007200617,-0.000614378,-0.000337233,0,-0.019239726,0.018733241,0.000735477,0.000721062,0,0.003137976,-0.000604141,0.001631781,0.0007754,0.003137976,0.000864451,0.001835239,-0.079908443,0.093913015,0.000304079,0.001855438,0.007120406,0.005469476,-0.001262535,0.000792071,-0.004985407,-0.000217339,0.000488281,0.002626068,0.056640625,0.557617188,0.430524554,0.499511719,0.1796875,0.056640625,289.7,29.60003662,10.3999939,29.60003662,10.3999939,pen
-0.761904762,0.936168911,0.005652634,0,-0.072726163,0.073393375,-0.888888889,0.824742269,-0.002137741,0,0,0,0,0.996143893,0.209335,0.103844213,0.072726163,0.073393375,-0.761904762,0.936168911,0.005652634,0,-0.072726163,0.073393375,-0.888888889,0.824742269,-0.002137741,0,0,0,0,0.996143893,0.209335,0.103844213,0.072726163,0.073393375,-0.090056438,0.099592437,0.000431571,0,-0.006611469,-0.011168169,0.001774493,0,0.001205864,0,0.000778431,0,-0.098765432,0.08,-0.000141126,0,0,-0.008950412,0.000951906,0,0.00039252,0,-0.000196131,0,-0.098579897,0.105972754,-0.001427494,-0.000400351,0.006611469,-0.013281002,-0.003040326,-0.013281002,-0.002642447,-0.00558289,-0.001471083,-0.002408556,-0.090056438,0.099592437,0.000431571,0,-0.006611469,-0.011168169,0.001774493,0,0.001205864,0,0.000778431,0,-0.098765432,0.08,-0.000141126,0,0,-0.008950412,0.000951906,0,0.00039252,0,-0.000196131,0,-0.098579897,0.105972754,-0.001427494,-0.000400351,0.006611469,-0.013281002,-0.003040326,-0.013281002,-0.002642447,-0.00558289,-0.001471083,-0.002408556,0.134765625,0.626953125,0.499929717,0.5,0.134765625,0.477539063,2661,26.40002441,27.20001221,26.40002441,27.20001221,pen
