pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.599609375,7903.6,-0.302093506,0,0.302093506,-0.800048828,0,0.800048828,-0.028233038,0,0.028233038,-0.074770919,0,0.074770919,-0.002638602,0,0.002638602,-0.006987936,0,0.006987936,79.82449341,329.5956726,10.7,pen
0.3046875,78.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5223999,318.7202454,11.1,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.189453125,19666.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.3962402,335.5409241,10.3,pen
0.446289063,132.3,0,-0.365570068,0.365570068,0,-0.799987793,0.799987793,0,-0.032640185,0.032640185,0,-0.071427481,0.071427481,0,-0.002914302,0.002914302,0,-0.006377454,0.006377454,132.2785034,312.876709,11.2,pen
0.515625,159.6,-0.365570068,0,0.365570068,-0.800018311,0,0.800018311,-0.03549224,0,0.03549224,-0.077671681,0,0.077671681,-0.003445849,0,0.003445849,-0.00754094,0,0.00754094,125.6985779,322.7466125,10.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.215820313,18694.1,0,0.374176025,0.374176025,0,0.799987793,0.799987793,0,0.035299625,0.035299625,0,0.075470546,0.075470546,0,0.003330153,0.003330153,0,0.007119863,0.007119863,193.4450073,338.1037292,10.6,pen
0.295898438,305.9,0.374237061,-0.374176025,0.52920797,0.800048828,-0.799987793,1.131396746,0.034021551,-0.034016002,0.048109815,0.072731712,-0.072726163,0.10285425,0.003092868,-0.003092364,0.00437362,0.006611974,-0.006611469,0.009350386,185.9613342,310.0397034,11,pen
0.2109375,202,-0.374206543,0,0.374206543,-0.799987793,0,0.799987793,-0.033712301,0,0.033712301,-0.072070972,0,0.072070972,-0.003037144,0,0.003037144,-0.00649288,0,0.00649288,179.6000977,323.884613,11.1,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.185546875,19136.9,-0.480834961,0,0.480834961,-0.800048828,0,0.800048828,-0.047140682,0,0.047140682,-0.07843616,0,0.07843616,-0.004621636,0,0.004621636,-0.00768982,0,0.00768982,262.6931458,341.9569702,10.2,pen
0.194335938,133.6,0,-0.480834961,0.480834961,0,-0.799987793,0.799987793,0,-0.040748726,0.040748726,0,-0.067795576,0.067795576,0,-0.003453282,0.003453282,0,-0.005745388,0.005745388,259.3275452,305.8965759,11.8,pen
0.327148438,166.7,0,-0.480804443,0.480804443,0,-0.799987793,0.799987793,0,-0.04535891,0.04535891,0,-0.075470546,0.075470546,0,-0.004279142,0.004279142,0,-0.007119863,0.007119863,247.3074036,322.7247314,10.6,pen
0.114257813,126.7,-0.480834961,0,0.480834961,-0.799987793,0,0.799987793,-0.040748725,0,0.040748725,-0.067795576,0,0.067795576,-0.003453282,0,0.003453282,-0.005745388,0,0.005745388,261.7315369,341.4761353,11.8,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.380859375,15779,0.621032715,-0.621154785,0.878359209,0.799987793,-0.800018311,1.131375166,0.054958647,-0.05496945,0.077730903,0.07079538,-0.070798081,0.100121696,0.004863597,-0.004864553,0.006878841,0.006265078,-0.006265317,0.008860327,331.5273743,349.7866516,11.3,pen
0.172851563,237.6,0,-0.621154785,0.621154785,0,-0.799987793,0.799987793,0,-0.056986678,0.056986678,0,-0.073393376,0.073393376,0,-0.005228136,0.005228136,0,-0.006733337,0.006733337,326.5584412,305.6870117,10.9,pen
0.171875,509.3,-0.62109375,-1.242248535,1.388862437,-0.799987793,-1.600006104,1.788854382,-0.040070565,-0.080145067,0.089604028,-0.051612116,-0.1032262,0.11540996,-0.002585198,-0.005170649,0.005780905,-0.003329814,-0.006659755,0.007445804,318.4839172,332.3952332,15.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.18359375,28048,0,-0.628387451,0.628387451,0,-0.799987793,0.799987793,0,-0.052805668,0.052805668,0,-0.067225865,0.067225865,0,-0.004437451,0.004437451,0,-0.005649232,0.005649232,535.6470032,319.5224304,11.9,pen
0.190429688,212,0,-0.628387451,0.628387451,0,-0.799987793,0.799987793,0,-0.06100849,0.06100849,0,-0.077668718,0.077668718,0,-0.005923154,0.005923154,0,-0.007540652,0.007540652,548.8434753,330.8336182,10.3,pen
0.1796875,2979.7,0,-0.443664551,0.443664551,0,-0.799987793,0.799987793,0,-0.041855146,0.041855146,0,-0.075470546,0.075470546,0,-0.003948599,0.003948599,0,-0.007119863,0.007119863,548.4447327,315.6361389,10.6,pen
,,,,,,,,,,,,,,,,,,,,,,,
