velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
0,2.978723412,0.972576264,0.936933641,0,0.936933641,-0.095238458,0.255315254,0.023829819,0,0,0.072069598,0,2.989645304,0.975516993,0.939701375,0,0.939701375,0,2.978723412,0.972576264,0.936933641,0,0.936933641,-0.095236642,0.2553185,0.023829837,0,0,0.072070973,0,2.989645581,0.97551693,0.93970148,0,0.93970148,-0.294923109,0.31688547,0.00389463,0.011337695,0,0.084408436,-0.011938259,-0.038465579,0.008486248,0.02831495,-0.002152272,-0.005075315,-0.025278738,0.027161197,0.000276643,0,0,0.006492757,0.00071285,0,0.000539758,0,-2.35299E-05,0,-0.296004485,0.318047374,0.003944578,0.016034075,0,0.084657782,-0.011917603,-0.037781383,0.008495063,0.028437345,-0.002158572,-0.004672019,-0.294923109,0.31688547,0.00389463,0.011337695,0,0.084408436,-0.011938259,-0.038465579,0.008486248,0.02831495,-0.002152272,-0.005075315,-0.025279059,0.027161543,0.000276651,0,0,0.00649288,0.000712886,0,0.000539775,0,-2.35124E-05,0,-0.296004512,0.318047403,0.003944577,0.016033923,0,0.084657791,-0.0119176,-0.037781409,0.008495065,0.028437341,-0.002158571,-0.004672034,0.041015625,0.330078125,0.262483016,0.2890625,0.190429688,0.041015625,233.2,228,6.400009155,228,6.399993896,page
-3.040002441,0,-0.962376764,-0.551726244,0,0,-0.413795999,0.454545454,-0.013133566,0,-0.074074357,0,0,3.044210004,0.981690906,0.689658595,0.074074357,0,-3.040002441,0,-0.962376764,-0.551726244,0,0,-0.413794683,0.454545454,-0.013133579,0,-0.074072944,0,0,3.044210085,0.981690903,0.689657805,0.074072944,0,-0.304000244,0.307380824,0.005055575,0,0,0.090614986,-0.002479203,-0.093843401,0.006251448,-0.093843401,0.011565391,0.063589418,-0.045913682,0.04310375,0.000515267,0,-0.006858737,-0.019417426,0.001185337,0.013975073,0.0007103,0,0.002034217,0,-0.307380824,0.304421,-0.005089043,0.006858737,0.006858737,-0.092672068,0.0026226,0.097681672,-0.006170422,0.097681672,-0.011755724,-0.064448908,-0.304000244,0.307380824,0.005055575,0,0,0.090614986,-0.002479203,-0.093843401,0.006251448,-0.093843401,0.011565391,0.063589418,-0.045913682,0.043103613,0.000515264,0,-0.006858606,-0.019417426,0.001185337,0.013975073,0.0007103,0,0.002034217,0,-0.307380824,0.304421008,-0.005089041,0.006858606,0.006858606,-0.092672068,0.0026226,0.097681672,-0.006170422,0.097681672,-0.011755724,-0.064448901,0.188476563,0.387695313,0.281717052,0.296875,0.21875,0.188476563,234.5,238.3999634,12.79998779,238.3999634,12.80001831,page
-2.666669123,0,-1.01001915,-1.066665649,-0.149530429,0,-0.366972478,0.351648018,0.036155849,0,-0.074769493,0,0,2.667893215,1.020691062,1.068746891,0.167182015,0,-2.666669123,0,-1.01001915,-1.066665649,-0.149530429,0,-0.366972478,0.351649694,0.036155898,0,-0.074768066,0,0,2.667893169,1.020691057,1.068747049,0.167181377,0,-0.280159551,0.280702013,-0.000872912,-0.038268199,-0.013974806,0.107951336,0.027393096,0.107951336,-0.011020237,-0.103389925,0.004956481,-0.007087875,-0.02906182,0.039039625,0.001009427,-0.005164782,-0.006987803,-0.023132471,0.000888912,-0.016841848,0.002293556,0.006265436,0.00158241,0.003161643,-0.280830865,0.282812,0.000956605,0.044564488,0.015624487,-0.110402003,-0.027122093,-0.110402003,0.011230824,0.10379926,-0.004853765,0.006366234,-0.280159551,0.280702013,-0.000872912,-0.038268199,-0.013974806,0.107951336,0.027393096,0.107951336,-0.011020237,-0.103389925,0.004956481,-0.007087875,-0.029061958,0.039039625,0.001009424,-0.005164646,-0.00698767,-0.023132471,0.000888921,-0.016841848,0.002293564,0.006265317,0.001582396,0.003161768,-0.28083086,0.282812025,0.000956605,0.044564622,0.015624428,-0.110402003,-0.027122092,-0.110402003,0.011230825,0.103799266,-0.004853765,0.006366257,0.182617188,0.333984375,0.216627038,0.215820313,0.333984375,0.182617188,236.1,240.7999878,16.80003357,240.7999878,16.80001831,page
-3.288892958,0,-1.146350027,-1.194116032,-0.720720723,-1.254900765,-0.216218416,0.549020207,0.140610775,0.031745547,-0.216218416,0.549020207,0,3.293694106,1.164827466,1.260293594,0.752455158,1.36974418,-3.288892958,0,-1.146350027,-1.194116032,-0.720720723,-1.254900765,-0.216218416,0.549020207,0.140610804,0.031746758,-0.216218416,0.549020207,0,3.293694106,1.164827461,1.260293594,0.752455158,1.36974418,-0.365432551,0.280354063,-0.005787204,0.004685655,-0.064929795,-0.123029487,0.041528104,0.050530197,-0.017983628,0.008528212,0.000249728,0.034413836,-0.056022317,0.053825511,0.00224582,-0.005469112,-0.019479137,0.053825511,0.004661385,0.010421174,0.006742647,0.005857969,0.001673231,-0.00548752,-0.282287584,0.365966012,0.006273179,-0.004884781,0.067788753,0.134288645,-0.039264308,-0.04834894,0.019366024,-0.003036688,0.000290722,-0.035208216,-0.365432551,0.280354063,-0.005787204,0.004685655,-0.064929795,-0.123029487,0.041528104,0.050530197,-0.017983628,0.008528212,0.000249728,0.034413836,-0.05602247,0.053825511,0.002245813,-0.005469042,-0.019479137,0.053825511,0.004661462,0.010421405,0.006742632,0.005857816,0.00167322,-0.00548768,-0.282287547,0.365966012,0.006273179,-0.004884778,0.067788753,0.134288645,-0.039264299,-0.048348958,0.019366023,-0.003036684,0.000290722,-0.035208218,0.185546875,0.2890625,0.245703125,0.265136719,0.185546875,0.19140625,211,240,37.6000061,240,37.6000061,page
-3.20000257,0,-1.326624438,-1.319592656,-0.888892279,-1.319592656,-0.168421695,0.301885066,0.021081517,0,-0.074075769,0.082476114,0,3.204431668,1.329528286,1.322167572,0.891973488,1.322167572,-3.20000257,0,-1.326624438,-1.319592656,-0.888892279,-1.319592656,-0.168421695,0.301885066,0.021081517,0,-0.074075769,0.082476114,0,3.204431668,1.329528286,1.322167572,0.891973488,1.322167572,-0.307574011,0.346320346,-0.003151209,-0.005125667,-0.082304841,-0.136040479,-0.031845264,-0.136040479,0.035784852,0.125877407,0.019402241,0.109532537,-0.033542785,0.028479723,-0.000161321,-0.000426903,-0.006858868,0.008502692,0.001146543,0.008502692,-0.00206026,-0.00080691,0.001001151,0.003084348,-0.346752979,0.307958241,0.003144143,0.005143414,0.082590138,0.136305935,0.031828678,0.136305935,-0.035859033,-0.125669717,-0.019441241,-0.109474041,-0.307574011,0.346320346,-0.003151209,-0.005125667,-0.082304841,-0.136040479,-0.031845264,-0.136040479,0.035784852,0.125877407,0.019402241,0.109532537,-0.033542785,0.028479723,-0.000161321,-0.000426903,-0.006858868,0.008502692,0.001146543,0.008502692,-0.00206026,-0.00080691,0.001001151,0.003084348,-0.346752979,0.307958241,0.003144143,0.005143414,0.082590138,0.136305935,0.031828678,0.136305935,-0.035859033,-0.125669717,-0.019441241,-0.109474041,0.106445313,0.296875,0.225643382,0.229492188,0.296875,0.106445313,177.1,230.3999634,9.600006104,230.3999634,9.600006104,page
-3.166662844,0,-1.162994058,-1.333330941,-0.366972478,0,-0.079206712,0.547008026,0.123110381,0.071427481,-0.073393376,0,0,3.171045815,1.173784948,1.342526539,0.374239745,0,-3.166662844,0,-1.162994058,-1.333330941,-0.366972478,0,-0.079206712,0.547008026,0.123110381,0.071427481,-0.073393376,0,0,3.171045815,1.173784948,1.342526539,0.374239745,0,-0.329860712,0.310172057,0.00503824,-0.0336672,-0.0336672,0.258494766,0.09044012,0.119902692,0.005499808,0.048103874,0.005842944,-0.018689383,-0.066708296,0.048974781,-0.001073268,0.00216779,-0.006733337,-0.066708296,-0.015891988,-0.018035749,-0.002263202,0.007535537,-0.001394371,0.006377454,-0.314014704,0.330317272,-0.005167472,0.034333922,0.034333922,-0.266963557,-0.091895972,-0.122913661,-0.005785974,-0.046624937,-0.006002446,0.021136234,-0.329860712,0.310172057,0.00503824,-0.0336672,-0.0336672,0.258494766,0.09044012,0.119902692,0.005499808,0.048103874,0.005842944,-0.018689383,-0.066708296,0.048974781,-0.001073268,0.00216779,-0.006733337,-0.066708296,-0.015891988,-0.018035749,-0.002263202,0.007535537,-0.001394371,0.006377454,-0.314014704,0.330317272,-0.005167472,0.034333922,0.034333922,-0.266963557,-0.091895972,-0.122913661,-0.005785974,-0.046624937,-0.006002446,0.021136234,0.186523438,0.302734375,0.225226151,0.213867188,0.302734375,0.186523438,202.3,240.7999878,31.19998169,240.7999878,31.19998169,page
-3.051550171,0,-1.079749655,-1.075174253,-0.448596988,-1.631066774,-0.074765214,0.543689912,0.132604374,0.134606381,-0.074765214,0.543689912,0,3.069330749,1.09211299,1.088834786,0.454784669,1.719295653,-3.051550171,0,-1.079749655,-1.075174253,-0.448596988,-1.631066774,-0.074765214,0.543689912,0.132604374,0.134606381,-0.074765214,0.543689912,0,3.069330749,1.09211299,1.088834786,0.454784669,1.719295653,-0.314592802,0.30487805,-0.004314247,0.000399285,-0.041924952,-0.158355997,-0.043497803,-0.013556531,0.015127521,0.131242935,0.002715258,0.028492728,-0.038117019,0.052785428,0.002498061,0.001870842,-0.006987403,0.052785428,0.01328898,0.019243755,0.00537244,0.004477389,0.001713111,0.001870842,-0.30555481,0.316425851,0.004749684,-0.000404793,0.04250324,0.166921908,0.045607579,0.018998035,-0.013983587,-0.128925837,-0.002290422,-0.029831232,-0.314592802,0.30487805,-0.004314247,0.000399285,-0.041924952,-0.158355997,-0.043497803,-0.013556531,0.015127521,0.131242935,0.002715258,0.028492728,-0.038117019,0.052785428,0.002498061,0.001870842,-0.006987403,0.052785428,0.01328898,0.019243755,0.00537244,0.004477389,0.001713111,0.001870842,-0.30555481,0.316425851,0.004749684,-0.000404793,0.04250324,0.166921908,0.045607579,0.018998035,-0.013983587,-0.128925837,-0.002290422,-0.029831232,0.091796875,0.194335938,0.181206597,0.189453125,0.17578125,0.091796875,191.4,200,28,200,28,page
-2.48739804,0,-0.873190971,-0.772621721,-0.076921903,-0.565654098,-0.149530429,0.410255367,0.090185743,0.036364469,-0.076924838,0.161616778,0,2.501891177,0.885242237,0.785637115,0.108786074,0.588289504,-2.48739804,0,-0.873190971,-0.772621721,-0.076921903,-0.565654098,-0.149530429,0.410255367,0.090185743,0.036364469,-0.076924838,0.161616778,0,2.501891177,0.885242237,0.785637115,0.108786074,0.588289504,-0.219479051,0.296118815,0.010675493,-0.021066163,-0.007396337,-0.057136777,0.047624518,0.047851985,0.013493326,-0.044534045,0.011522112,-0.019390058,-0.048265337,0.035064561,-0.001511357,0.003369829,-0.007396619,0.016324927,-0.010654112,-0.014707835,-0.002817021,0.008293497,-0.002001705,0.006703008,-0.297844189,0.221187094,-0.010834431,0.022243,0.010460199,0.059423182,-0.048816882,-0.050428656,-0.013799565,0.045131226,-0.011712715,0.020031396,-0.219479051,0.296118815,0.010675493,-0.021066163,-0.007396337,-0.057136777,0.047624518,0.047851985,0.013493326,-0.044534045,0.011522112,-0.019390058,-0.048265337,0.035064561,-0.001511357,0.003369829,-0.007396619,0.016324927,-0.010654112,-0.014707835,-0.002817021,0.008293497,-0.002001705,0.006703008,-0.297844189,0.221187094,-0.010834431,0.022243,0.010460199,0.059423182,-0.048816882,-0.050428656,-0.013799565,0.045131226,-0.011712715,0.020031396,0.033203125,0.4375,0.23828125,0.231445313,0.4375,0.033203125,227,209.5999756,26.3999939,209.5999756,26.3999939,page
-2.857142854,0,-1.038381905,-0.983767783,-0.461543158,0,-0.222221657,0.396039605,0.044843551,0,-0.153846741,0,0,2.861803633,1.045342523,0.999315518,0.486508896,0,-2.857142854,0,-1.038381905,-0.983767783,-0.461543158,0,-0.222221657,0.396039605,0.044843551,0,-0.153846741,0,0,2.861803633,1.045342523,0.999315518,0.486508896,0,-0.291545189,0.283870575,-0.001263384,-0.036969479,-0.04437915,0.148514474,0.06284937,0.130292595,0.028192631,0.130292595,0.010550664,0.038850299,-0.030940594,0.039211842,0.000179164,0.000120452,-0.014792956,-0.030940594,-0.001905352,-0.007946329,-0.000929877,-0.003057594,0.001182525,0.001171589,-0.284391445,0.292020779,0.001291112,0.037083684,0.046779702,-0.151703228,-0.062740898,-0.131691204,-0.028142238,-0.131691204,-0.010550478,-0.03865102,-0.291545189,0.283870575,-0.001263384,-0.036969479,-0.04437915,0.148514474,0.06284937,0.130292595,0.028192631,0.130292595,0.010550664,0.038850299,-0.030940594,0.039211842,0.000179164,0.000120452,-0.014792956,-0.030940594,-0.001905352,-0.007946329,-0.000929877,-0.003057594,0.001182525,0.001171589,-0.284391445,0.292020779,0.001291112,0.037083684,0.046779702,-0.151703228,-0.062740898,-0.131691204,-0.028142238,-0.131691204,-0.010550478,-0.03865102,0.184570313,0.28125,0.251513672,0.258300781,0.184570313,0.21875,206,213.5999756,16.79998779,213.5999756,16.79998779,page
-2.947368421,0,-1.100605335,-1.319586364,-0.396693207,-1.758241754,-0.329898164,0.351646339,0.034381284,0,-0.198346604,0.351646339,0,2.947368421,1.108986062,1.342526539,0.443516489,1.793061408,-2.947368421,0,-1.100605335,-1.319586364,-0.396693207,-1.758241754,-0.329898164,0.351646339,0.034381284,0,-0.198346604,0.351646339,0,2.947368421,1.108986062,1.342526539,0.443516489,1.793061408,-0.310249307,0.286152275,-0.00534025,-0.032784563,-0.032784563,-0.193213379,0.022207117,0.003369039,-0.02400892,-0.055352513,0.00040546,-0.021360675,-0.023809463,0.038642455,0.001863775,0,-0.016392281,0.038642455,0.005413835,-0.00039636,0.004574521,0.003625796,0.002018031,0,-0.286152275,0.310249307,0.005460445,0.036654255,0.036654255,0.197039715,-0.021381125,-0.003392274,0.024476512,0.055968275,-0.000180476,0.02181937,-0.310249307,0.286152275,-0.00534025,-0.032784563,-0.032784563,-0.193213379,0.022207117,0.003369039,-0.02400892,-0.055352513,0.00040546,-0.021360675,-0.023809463,0.038642455,0.001863775,0,-0.016392281,0.038642455,0.005413835,-0.00039636,0.004574521,0.003625796,0.002018031,0,-0.286152275,0.310249307,0.005460445,0.036654255,0.036654255,0.197039715,-0.021381125,-0.003392274,0.024476512,0.055968275,-0.000180476,0.02181937,0.109375,0.481445313,0.306280839,0.3125,0.481445313,0.109375,201.3,212.7999878,13.6000061,212.7999878,13.6000061,page
