velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
0,0.226414518,0.03399686,0,0,0,-0.084209241,0.076921903,-0.009967047,0,-0.071430206,0,0,0.226414518,0.041529746,0,0.071430206,0,0,0.226414518,0.03399686,0,0,0,-0.084209241,0.076921903,-0.009967047,0,-0.071430206,0,0,0.226414518,0.041529746,0,0.071430206,0,-0.018407802,0.02135986,-0.000234478,0,0,0,-0.000304393,0,-0.000274967,0,-0.000403563,0,-0.008864131,0.009204076,0.000117492,0,-0.006377697,0,1.94348E-05,0,4.519E-05,0,0.000228257,0,-0.020580626,0.02135986,-0.000328936,0,0.006377697,0,-0.000296342,0,-0.000279316,0,-0.000482841,0,-0.018407802,0.02135986,-0.000234478,0,0,0,-0.000304393,0,-0.000274967,0,-0.000403563,0,-0.008864131,0.009204076,0.000117492,0,-0.006377697,0,1.94348E-05,0,4.519E-05,0,0.000228257,0,-0.020580626,0.02135986,-0.000328936,0,0.006377697,0,-0.000296342,0,-0.000279316,0,-0.000482841,0,0.088867188,0.358398438,0.259386299,0.276367188,0.088867188,0.31640625,1213.4,43.20001221,12.79998779,43.20001221,12.79998779,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.086958512,0.28571356,0.031886117,0,0,0,-0.094116211,0.0879141,-0.002690264,0,0,0,0,0.28571356,0.037965687,0,0,0,-0.086958512,0.28571356,0.031886117,0,0,0,-0.094116211,0.0879141,-0.002690264,0,0,0,0,0.28571356,0.037965687,0,0,0,-0.029211221,0.034013519,-0.000209119,0,0,0,-9.74081E-05,0,-0.000285865,0,-0.000262925,0,-0.011072495,0.00973695,2.35217E-05,0,0,0,8.4887E-06,0,0.000109069,0,4.00121E-05,0,-0.030791291,0.034013519,-0.000244028,0,0,0,-6.01185E-05,0,-0.000338318,0,-0.00031383,0,-0.029211221,0.034013519,-0.000209119,0,0,0,-9.74081E-05,0,-0.000285865,0,-0.000262925,0,-0.011072495,0.00973695,2.35217E-05,0,0,0,8.4887E-06,0,0.000109069,0,4.00121E-05,0,-0.030791291,0.034013519,-0.000244028,0,0,0,-6.01185E-05,0,-0.000338318,0,-0.00031383,0,0.133789063,0.5,0.364195257,0.356445313,0.133789063,0.352539063,2812.3,96,8,96,8,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.089889697,0.326531857,0.048292182,0,0,0,-0.08080993,0.084212454,-0.001643616,0,-0.07619222,0,0,0.326531857,0.051505837,0,0.07619222,0,-0.089889697,0.326531857,0.048292182,0,0,0,-0.08080993,0.084212454,-0.001643616,0,-0.07619222,0,0,0.326531857,0.051505837,0,0.07619222,0,-0.029027502,0.033319577,-0.000430062,0,0,0,-0.000230199,0,-0.000308831,0,-0.000451032,0,-0.008675106,0.009070502,3.73265E-05,0,-0.007256402,0,6.15137E-05,0,5.97884E-05,0,2.86709E-05,0,-0.029027502,0.033319577,-0.000441744,0,0.007256402,0,-0.000245525,0,-0.000315183,0,-0.000461302,0,-0.029027502,0.033319577,-0.000430062,0,0,0,-0.000230199,0,-0.000308831,0,-0.000451032,0,-0.008675106,0.009070502,3.73265E-05,0,-0.007256402,0,6.15137E-05,0,5.97884E-05,0,2.86709E-05,0,-0.029027502,0.033319577,-0.000441744,0,0.007256402,0,-0.000245525,0,-0.000315183,0,-0.000461302,0,0.055664063,0.401367188,0.277015297,0.276367188,0.055664063,0.401367188,3332.2,172.7999878,5.599975586,172.7999878,5.599975586,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.434782609,0.077654769,0,0,0,-0.086955194,0.097559486,-0.000395381,0,-0.070174368,0,0,0.434782609,0.07944968,0,0.070174368,0,0,0.434782609,0.077654769,0,0,0,-0.086955194,0.097559486,-0.000395381,0,-0.070174368,0,0,0.434782609,0.07944968,0,0.070174368,0,-0.034105385,0.047258979,-4.22841E-06,0,0,0,7.57559E-05,0,-0.00032125,0,-4.74292E-05,0,-0.009451652,0.011897498,2.14311E-05,0,-0.006155646,0,-2.27748E-05,0,-8.39914E-06,0,3.08302E-06,0,-0.034105385,0.047258979,-5.66077E-06,0,0.006155646,0,8.51898E-05,0,-0.000318262,0,-4.60029E-05,0,-0.034105385,0.047258979,-4.22841E-06,0,0,0,7.57559E-05,0,-0.00032125,0,-4.74292E-05,0,-0.009451652,0.011897498,2.14311E-05,0,-0.006155646,0,-2.27748E-05,0,-8.39914E-06,0,3.08302E-06,0,-0.034105385,0.047258979,-5.66077E-06,0,0.006155646,0,8.51898E-05,0,-0.000318262,0,-4.60029E-05,0,0.153320313,0.392578125,0.248056326,0.240234375,0.153320313,0.240234375,3111.7,242.4000244,8,242.4000244,8,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.089889697,0.643678863,0.065540487,0,-0.073393376,0,-0.093025385,0.088894314,-0.002446785,0,0,0,0,0.643678863,0.068454556,0,0.073393376,0,-0.089889697,0.643678863,0.065540487,0,-0.073393376,0,-0.093021836,0.088894314,-0.002446789,0,0,0,0,0.643678863,0.068454548,0,0.073393376,0,-0.158808026,0.055497605,-0.000173411,0,-0.006733337,0,-1.01029E-05,0,4.24546E-05,0,-0.000281958,0,-0.010854651,0.009877146,-4.0106E-06,0,0,0,0,0,3.24821E-06,0,-1.93875E-05,0,-0.158808026,0.055497605,-0.000187032,0,0.006733337,0,-1.01029E-05,0,1.17692E-05,0,-0.000291343,0,-0.158808026,0.055497605,-0.000173411,0,-0.006733337,0,-1.01029E-05,0,4.24546E-05,0,-0.000281958,0,-0.010854651,0.009877146,-4.01029E-06,0,0,0,0,0,3.24651E-06,0,-1.93874E-05,0,-0.158808026,0.055497605,-0.000187032,0,0.006733337,0,-1.01029E-05,0,1.17705E-05,0,-0.000291343,0,0.163085938,0.6328125,0.440488873,0.465820313,0.163085938,0.465820313,4665.2,306.4000244,11.99996948,306.4000244,12,pen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
