pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.168945313,6528.7,0.492004395,0,0.492004395,0.799987793,0,0.799987793,0.040328229,0,0.040328229,0.06557277,0,0.06557277,0.003305593,0,0.003305593,0.005374817,0,0.005374817,20.51397705,272.7886658,12.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.25,2521,-0.492034912,0,0.492034912,-0.799987793,0,0.799987793,-0.04432747,0,0.04432747,-0.072070972,0,0.072070972,-0.003993466,0,0.003993466,-0.00649288,0,0.00649288,79.06463623,301.3259583,11.09999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.392578125,2589.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.3626099,332.3233337,11,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.61328125,2501.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.4716797,361.844696,11,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.146484375,2201.8,-0.492004395,0,0.492004395,-0.799987793,0,0.799987793,-0.045555962,0,0.045555962,-0.074072944,0,0.074072944,-0.004218145,0,0.004218145,-0.006858606,0,0.006858606,19.52996826,394.3181458,10.8,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.227539063,10367.3,-0.378662109,-0.757293701,0.846686921,-0.800003052,-1.600006104,1.788861206,-0.034739643,-0.069476486,0.077677699,-0.073394775,-0.146789551,0.164115707,-0.003187123,-0.00637399,0.007126394,-0.006733466,-0.013466931,0.015056487,467.8363953,277.1087036,10.9,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.309570313,2476,0,-0.378662109,0.378662109,0,-0.800018311,0.800018311,0,-0.032364283,0.032364283,0,-0.068377633,0.068377633,0,-0.002766178,0.002766178,0,-0.005844242,0.005844242,646.9375916,303.6141663,11.7,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.274414063,1912.8,-0.378662109,-0.757263184,0.846659626,-0.800018311,-1.599975586,1.788840734,-0.035722841,-0.071439923,0.07987355,-0.075473426,-0.150941093,0.16875856,-0.003370079,-0.006739615,0.007535241,-0.007120134,-0.014239726,0.015920619,501.1575012,332.391571,10.6,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.5546875,1758.2,0,-0.378631592,0.378631592,0,-0.799987793,0.799987793,0,-0.035058481,0.035058481,0,-0.074072944,0.074072944,0,-0.003246156,0.003246156,0,-0.006858606,0.006858606,468.5937195,361.9262085,10.8,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.220703125,2073.9,0,-0.378662109,0.378662109,0,-0.799987793,0.799987793,0,-0.035061306,0.035061306,0,-0.074072944,0.074072944,0,-0.003246417,0.003246417,0,-0.006858606,0.006858606,470.8655701,395.6260071,10.8,pen


0.090820313,39.5,-0.800018311,0,0.800018311,-0.800018311,0,0.800018311,-0.075473426,0,0.075473426,-0.075473426,0,0.075473426,-0.007120134,0,0.007120134,-0.007120134,0,0.007120134,26.98748779,287.3999939,10.59999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.080078125,4317.9,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.076189314,0,0.076189314,-0.076189314,0,0.076189314,-0.007256125,0,0.007256125,-0.007256125,0,0.007256125,86.1875,297.8000183,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.154296875,3880,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.07079538,0.07079538,0,0.07079538,0.07079538,0,0.006265078,0.006265078,0,0.006265078,0.006265078,127.7875061,330.6000061,11.3,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.170898438,3980.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.7875061,371.3999939,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.044921875,104.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5874939,403.3999939,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.1640625,4983.9,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.072070972,0,0.072070972,-0.072070972,0,0.072070972,-0.00649288,0,0.00649288,-0.00649288,0,0.00649288,466.9875183,272.2000122,11.10000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.168945313,3949.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.5874939,310.6000061,11.2,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.163085938,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.3874817,337,10.30000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.077148438,3961.5,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393376,0,0.073393376,-0.073393376,0,0.073393376,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,472.5874939,364.2000122,10.89999999,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.182617188,6179,-0.799987793,-0.799987793,1.131353587,-0.799987793,-0.799987793,1.131353587,-0.069564156,-0.069564156,0.098378573,-0.069564156,-0.069564156,0.098378573,-0.006049057,-0.006049057,0.008554658,-0.006049057,-0.006049057,0.008554658,466.1875305,392.2000122,11.5,pen


0.1640625,7692.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.68353271,275.8002625,10.69999999,pen
0.184570313,2258.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86456299,303.3063965,10.5,pen
0.399414063,3900,-0.416809082,-0.416778564,0.589435478,-0.799987793,-0.799987793,1.131353587,-0.037891735,-0.03788896,0.053585043,-0.072726163,-0.072726163,0.102850326,-0.003444703,-0.003444451,0.004871368,-0.006611469,-0.006611469,0.00935003,121.3740234,335.8136597,11,pen
0.524414063,4981,0,-0.416748047,0.416748047,0,-0.799987793,0.799987793,0,-0.038587782,0.038587782,0,-0.074072944,0.074072944,0,-0.003572943,0.003572943,0,-0.006858606,0.006858606,147.6298828,364.5700684,10.80000001,pen
0.134765625,4050.7,-0.416748047,-0.416778564,0.58939232,-0.800003052,-0.800048828,1.131407535,-0.038233766,-0.038236566,0.05407269,-0.073394776,-0.073398975,0.103798857,-0.003507685,-0.003507942,0.004960797,-0.006733466,-0.006733851,0.009522831,15.93383789,397.0773315,10.89999998,pen
0.135742188,5748.5,-0.434143066,0,0.434143066,-0.800003052,0,0.800003052,-0.03841974,0,0.03841974,-0.07079673,0,0.07079673,-0.003399977,0,0.003399977,-0.006265197,0,0.006265197,463.7402649,274.2259827,11.30000001,pen
0.290039063,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.7671814,307.2189026,10.30000001,pen
0.2265625,2268.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.3767395,335.870636,10.30000001,pen
0.19140625,4615.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.4767761,364.0882263,11.90000001,pen
0.153320313,5062.5,-0.434143066,-0.434143066,0.613971013,-0.800003052,-0.799987793,1.131364376,-0.03841974,-0.03841974,0.054333718,-0.07079673,-0.07079538,0.100120741,-0.003399977,-0.003399977,0.004808294,-0.006265197,-0.006265078,0.008860243,464.60849,393.1740723,11.29999998,pen


0.088867188,4846.5,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.071430206,0.071430206,0,-0.071430206,0.071430206,0,-0.006377697,0.006377697,0,-0.006377697,0.006377697,14.1875,283.3999939,11.20000005,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.133789063,3865.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.38751221,311.3999939,10.60000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.055664063,3870.7,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.07619222,0.07619222,0,-0.07619222,0.07619222,0,-0.007256402,0.007256402,0,-0.007256402,0.007256402,121.3875122,339.3999939,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.153320313,7039.1,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.070174368,0.070174368,0,-0.070174368,0.070174368,0,-0.006155646,0.006155646,0,-0.006155646,0.006155646,143.7875061,365.8000183,11.39999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.163085938,5579.3,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393376,0,0.073393376,-0.073393376,0,0.073393376,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,17.38751221,403.3999939,10.89999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.145507813,3969.9,-0.799987793,-0.799987793,1.131353587,-0.799987793,-0.799987793,1.131353587,-0.068964465,-0.068964465,0.097530481,-0.068964465,-0.068964465,0.097530481,-0.005945212,-0.005945212,0.0084078,-0.005945212,-0.005945212,0.0084078,470.9875183,281.8000183,11.60000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.124023438,4426.2,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.072070972,0,0.072070972,-0.072070972,0,0.072070972,-0.00649288,0,0.00649288,-0.00649288,0,0.00649288,646.9875183,313.8000183,11.10000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.166015625,3414.8,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.074768066,0.074768066,0,-0.074768066,0.074768066,0,-0.00698767,0.00698767,0,-0.00698767,0.00698767,505.3874817,343.3999939,10.70000005,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.100585938,5172.9,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.075473426,0.075473426,0,-0.075473426,0.075473426,0,-0.007120135,0.007120135,0,-0.007120135,0.007120135,461.3874817,371.3999939,10.59999996,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.137695313,6282.3,0,-0.799926758,0.799926758,0,-0.799987793,0.799987793,0,-0.073387776,0.073387776,0,-0.073393375,0.073393375,0,-0.006732823,0.006732823,0,-0.006733337,0.006733337,458.9875183,410.6000671,10.90000004,pen


0.177734375,11589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81091309,273.745697,10.89999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.149414063,2395.4,-0.571166992,0,0.571166992,-0.799987793,0,0.799987793,-0.050102368,0,0.050102368,-0.070174368,0,0.070174368,-0.004394945,0,0.004394945,-0.006155646,0,0.006155646,76.35998535,303.4481812,11.40000004,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.173828125,2012.2,-0.571228027,0,0.571228027,-0.800018311,0,0.800018311,-0.049243796,0,0.049243796,-0.068967096,0,0.068967096,-0.004245155,0,0.004245155,-0.005945439,0,0.005945439,124.3409729,329.1523132,11.59999996,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.099609375,4583.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.045105,362.282074,11.29999995,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.155273438,5208.5,0.57119751,0,0.57119751,0.799987793,0,0.799987793,0.052888658,0,0.052888658,0.074072944,0,0.074072944,0.004897098,0,0.004897098,0.006858606,0,0.006858606,20.3821106,393.6982117,10.80000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.092773438,5396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.1565247,274.316864,11,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.0703125,3297.3,0,-0.571228027,0.571228027,0,-0.800048828,0.800048828,0,-0.055459032,0.055459032,0,-0.077674643,0.077674643,0,-0.005384372,0.005384372,0,-0.007541228,0.007541228,647.9429016,307.4465942,10.30000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.28125,1847.1,-0.571166992,0,0.571166992,-0.800048828,0,0.800048828,-0.055453106,0,0.055453106,-0.077674643,0,0.077674643,-0.005383797,0,0.005383797,-0.007541228,0,0.007541228,500.0014343,330.2947083,10.30000001,pen
0.188476563,643.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.4017639,330.2947083,10.30000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.092773438,5490.2,-0.571166992,0,0.571166992,-0.799987793,0,0.799987793,-0.052400641,0,0.052400641,-0.073393375,0,0.073393375,-0.004807398,0,0.004807398,-0.006733337,0,0.006733337,469.1565247,362.282074,10.90000004,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.083007813,6032.8,0,0.571166992,0.571166992,0,0.799987793,0.799987793,0,0.051924272,0.051924272,0,0.072726163,0.072726163,0,0.004720388,0.004720388,0,0.006611469,0.006611469,467.4429016,394.2693787,11,pen


0.056640625,10275.8,-0.375457764,0,0.375457764,-0.800018311,0,0.800018311,-0.035757882,0,0.035757882,-0.07619222,0,0.07619222,-0.003405513,0,0.003405513,-0.007256402,0,0.007256402,19.4828186,275.1135864,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.22265625,18334.5,-0.579559326,-0.579528809,0.81959908,-0.800003052,-0.800018311,1.131385955,-0.042614656,-0.042612413,0.060264638,-0.058823754,-0.058824876,0.083190144,-0.003133431,-0.003133266,0.004431223,-0.004325276,-0.004325359,0.006116922,80.72640991,305.3740845,13.59999996,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.092773438,13157.9,0,-0.639007568,0.639007568,0,-0.799987793,0.799987793,0,-0.059720333,0.059720333,0,-0.074765214,0.074765214,0,-0.00558134,0.00558134,0,-0.006987403,0.006987403,130.7365112,338.2384644,10.70000005,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.112304688,9901.3,0,-0.622406006,0.622406006,0,-0.799987793,0.799987793,0,-0.058717548,0.058717548,0,-0.075470546,0.075470546,0,-0.005539391,0.005539391,0,-0.007119863,0.007119863,152.3657227,368.5810547,10.60000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
