velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
0,0.247422051,0.030028373,0,0,0,-0.086956854,1.2,0.139270962,0,0,0,0,1.210619757,0.151358007,0,0,0,0,0.247422051,0.030028373,0,0,0,-0.086955195,1.2,0.139270975,0,0,0,0,1.210619757,0.151357912,0,0,0,-0.024257064,0.025507428,-0.000219907,0,0,-0.00776566,-0.001407514,0,-0.000456286,0,-0.000272684,0,-0.09702841,0.12,-0.001012568,0,0,0,-0.001394878,0,-0.000713528,0,-0.001190869,0,-0.100014586,0.121061976,-0.00097226,0,0,-0.00776566,-0.001985307,0,-0.00087086,0,-0.001270318,0,-0.024257064,0.025507428,-0.000219907,0,0,-0.00776566,-0.001407514,0,-0.000456286,0,-0.000272684,0,-0.097028564,0.12,-0.001012566,0,0,0,-0.001394878,0,-0.000713527,0,-0.001190868,0,-0.100014736,0.121061976,-0.00097226,0,0,-0.00776566,-0.001985307,0,-0.00087086,0,-0.001270317,0,0.17578125,0.243164063,0.206905242,0.193359375,0.17578125,0.185546875,321.7,9.600006104,45.60002136,9.600006104,45.6000061,pen
-0.07619222,0.74074074,0.075604811,0,-0.067225865,0,-0.153843806,0.695654829,0.069853781,0,0,0,0,0.74074074,0.164495947,0.071709043,0.067225865,0,-0.07619222,0.74074074,0.075604811,0,-0.067225865,0,-0.153843806,0.695654829,0.06985378,0,0,0,0,0.74074074,0.164495888,0.071709043,0.067225865,0,-0.051851908,0.068587105,0.000194442,0,-0.005649232,0,0,0,0.000320135,0,0.000222076,0,-0.107605436,0.075717098,-0.000708589,0,0,-0.007769889,-0.005481449,-0.007256402,-0.002042024,-0.006690074,-0.000944872,0,-0.108049161,0.075717098,-0.000697859,-0.000577861,0.005649232,-0.007769889,-0.004910567,-0.006123746,-0.001763623,-0.003942389,-0.000767326,-0.001155722,-0.051851908,0.068587105,0.000194442,0,-0.005649232,0,0,0,0.000320135,0,0.000222076,0,-0.107605623,0.075716686,-0.000708598,0,0,-0.007769889,-0.005481462,-0.007256402,-0.002042044,-0.006690074,-0.000944882,0,-0.108049347,0.075716686,-0.000697866,-0.000577804,0.005649232,-0.007769889,-0.00491058,-0.006123746,-0.001763643,-0.003942389,-0.000767335,-0.001155608,0.19140625,0.37890625,0.261997768,0.2578125,0.37890625,0.302734375,573.1,43.19998169,48.00001526,43.19998169,48,pen
0,0.083332062,0.02022404,0,0,0,-0.085105085,1.166667935,0.180306807,0,0,-0.085105085,0,1.169640245,0.200650864,0.080647199,0,0.085105085,0,0.083332062,0.02022404,0,0,0,-0.085105085,1.166664756,0.180306704,0,0,-0.085105085,0,1.169637075,0.200650761,0.080647199,0,0.085105085,-0.009113902,0.008680423,-0.000260847,0,0,-0.008105246,-0.00021228,0,-0.001512238,0,-0.000318812,0,-0.077654824,0.12152791,-0.000806414,0,0,-0.009053732,-0.002420305,-0.004526866,-0.007883307,-0.008474674,-0.001061047,-0.004237337,-0.078042121,0.121837525,-1.72611E-05,0,0,0.000948486,0.002208024,0.004102306,-0.006011214,0,-9.65274E-05,0.000474243,-0.009113902,0.008680423,-0.000260847,0,0,-0.008105246,-0.00021228,0,-0.001512238,0,-0.000318812,0,-0.077654824,0.121527578,-0.000806423,0,0,-0.009053732,-0.002420305,-0.004526866,-0.007883307,-0.008474674,-0.001061057,-0.004237337,-0.078042121,0.121837195,-1.72705E-05,0,0,0.000948486,0.002208024,0.004102306,-0.006011214,0,-9.65374E-05,0.000474243,0.109375,0.405273438,0.304998224,0.340820313,0.173828125,0.109375,230.2,4.799987793,43.19999695,4.799987793,43.19998169,pen
-0.082472968,1.230770577,0.127660797,0,-0.077668718,0,-0.17582317,0.073391976,-0.008742478,0,0,0,0,1.243265861,0.154117035,0,0.077668718,0,-0.082472968,1.230770577,0.127660797,0,-0.077668718,0,-0.175824847,0.073393376,-0.008742476,0,0,0,0,1.243266098,0.154116979,0,0.077668718,0,-0.10162332,0.135249514,-0.001527814,0,-0.007540652,0,-0.000192704,0,-0.00902557,0,-0.001880629,0,-0.019321228,0.016130566,-0.000303577,0,0,0,0,0,-4.32731E-05,0,-0.000386371,0,-0.102248655,0.136622623,-0.001573667,0,0.007540652,0,-0.000695585,0,-0.009376948,0,-0.002066711,0,-0.10162332,0.135249514,-0.001527814,0,-0.007540652,0,-0.000192704,0,-0.00902557,0,-0.001880629,0,-0.019321412,0.01613072,-0.00030358,0,0,0,0,0,-4.3268E-05,0,-0.000386374,0,-0.102248679,0.136622649,-0.001573667,0,0.007540652,0,-0.000695585,0,-0.009376949,0,-0.00206671,0,0.177734375,0.255859375,0.241280692,0.242675781,0.177734375,0.233398438,288.7,40,4,40,4,pen
-0.072728937,1.052631576,0.143182229,0,-0.072728937,0.066668193,-0.074765214,0.129035212,-0.007139071,0,-0.072726163,0,0,1.052631576,0.161199192,0.058835356,0.102852288,0.066668193,-0.072728937,1.052631576,0.143182229,0,-0.072728937,0.066668193,-0.074765214,0.129035212,-0.007139071,0,-0.072726163,0,0,1.052631576,0.161199192,0.058835356,0.102852288,0.066668193,-0.104370416,0.138504154,-0.002637318,0,-0.006611722,0.005555683,0.001158647,0.002227634,-0.005492934,0,-0.003663633,-0.004040106,-0.008960779,0.023358199,0.001291517,0,-0.006611469,0,0.001975225,0,0.002813373,0,0.00160695,0,-0.104370416,0.138504154,-0.002918015,0,0.009350208,0.005555683,0.001227062,-0.000323773,-0.00566933,-0.005102813,-0.003932042,-0.004836382,-0.104370416,0.138504154,-0.002637318,0,-0.006611722,0.005555683,0.001158647,0.002227634,-0.005492934,0,-0.003663633,-0.004040106,-0.008960779,0.023358199,0.001291517,0,-0.006611469,0,0.001975225,0,0.002813373,0,0.00160695,0,-0.104370416,0.138504154,-0.002918015,0,0.009350208,0.005555683,0.001227062,-0.000323773,-0.00566933,-0.005102813,-0.003932042,-0.004836382,0.049804688,0.432617188,0.303955078,0.30078125,0.432617188,0.049804688,287.4,44.80001831,3.200012207,44.80001831,3.200012207,pen
0,0.271187474,0.064316656,0,0.243345775,0,0,0.577946652,0.082769687,0,0.577946652,0,0,0.627088111,0.122810804,0,0.627088111,0,0,0.271187474,0.064316656,0,0.243345775,0,0,0.577947232,0.082769559,0,0.577947232,0,0,0.627088646,0.12281067,0,0.627088646,0,-0.029476899,0.045963978,1.55532E-05,0,0.009252691,0,-0.01473845,-0.01473845,0.005495693,0,0.002747846,0,-0.05197219,0.021975158,-0.004649318,0,0.021975158,0,0,0,0,0,-0.001199585,0,-0.057144975,0.045963978,-0.003001469,0,0.023843654,0,-0.01473845,-0.01473845,0.005495693,0,0.001548262,0,-0.029476899,0.045963978,1.55532E-05,0,0.009252691,0,-0.01473845,-0.01473845,0.005495693,0,0.002747846,0,-0.05197242,0.02197518,-0.004649326,0,0.02197518,0,0,0,0,0,-0.001199562,0,-0.0571452,0.045963978,-0.003001477,0,0.023843675,0,-0.01473845,-0.01473845,0.005495693,0,0.001548285,0,0.181640625,0.325195313,0.250366211,0.283203125,0.325195313,0.181640625,101.1,2.399993896,0.800003052,2.399993896,0.799987793,pen
-0.144144694,0,-0.034900721,0,0,0,-0.059703998,0.504505053,0.078080397,0,0,0,0,0.524693283,0.095213693,0.044692056,0,0,-0.144144694,0,-0.034900721,0,0,0,-0.059702859,0.504505053,0.078080338,0,0,0,0,0.524693283,0.095213525,0.044692056,0,0,-0.012986008,0.044693192,0.002874342,0,0,0.015411053,0.002582858,0,0.004291338,0,0.003672771,0,-0.134077587,0.045450906,-0.005490899,0,0,0,0.002225864,0,-0.004897593,0,-0.007411719,0,-0.141330396,0.047269665,-0.007132007,0,0,-0.015411053,-0.002839357,-0.007982573,-0.008332605,-0.010661428,-0.00950869,-0.005873538,-0.012986008,0.044693192,0.002874342,0,0,0.015411053,0.002582858,0,0.004291338,0,0.003672771,0,-0.134077871,0.045450906,-0.005490925,0,0,0,0.002225821,0,-0.004897637,0,-0.007411745,0,-0.141330666,0.047269665,-0.007132021,0,0,-0.015411053,-0.002839352,-0.007982421,-0.00833262,-0.010661225,-0.009508701,-0.005873509,0.036132813,0.3515625,0.255222486,0.283203125,0.19140625,0.036132813,242.4,11.20001221,24.80003357,11.20001221,24.80001831,pen
-0.176470139,0.078430175,-0.023203642,0,-0.068967096,0,-0.089884555,1.018178766,0.233916884,0.067244838,0,0,0,1.020772793,0.248121275,0.071866155,0.068967096,0,-0.176470139,0.078430175,-0.023203642,0,-0.068967096,0,-0.089886269,1.018180154,0.233916841,0.067244859,0,0,0,1.020774177,0.248121374,0.071866155,0.068967096,0,-0.014239997,0.026338827,0.000560553,0,-0.005945439,0.007820316,0.000241719,0,0.001515894,0,0.000613137,0,-0.131694301,0.092901861,-0.003334574,-0.004002716,0,-0.007820316,0.000326192,-0.000185116,-0.006818747,-0.004002716,-0.004261601,-0.007820316,-0.134302356,0.093624875,-0.003274022,0.000255872,0.005945439,-0.011059597,0.000226069,0.002553549,-0.007006801,-0.004253024,-0.0043446,-0.008699468,-0.014239997,0.026338827,0.000560553,0,-0.005945439,0.007820316,0.000241719,0,0.001515894,0,0.000613137,0,-0.131694469,0.09290164,-0.003334582,-0.004002716,0,-0.007820316,0.000326192,-0.000185116,-0.006818755,-0.004002716,-0.004261602,-0.007820316,-0.13430252,0.093624655,-0.003274027,0.000255951,0.005945439,-0.011059597,0.000226069,0.002553549,-0.007006809,-0.004253024,-0.004344601,-0.008699302,0.186523438,0.416992188,0.257242839,0.23828125,0.390625,0.186523438,247,7.200012207,62.39997864,7.200012207,62.3999939,pen
-0.142857688,0.462810423,0.073932258,0,0,0,-0.21428517,0.727274243,0.104405939,0,0.072724776,0,0,0.862044843,0.162792422,0.030303724,0.072724776,0,-0.142857688,0.462810423,0.073932258,0,0,0,-0.21428517,0.727274243,0.104406009,0,0.072726163,0,0,0.862044843,0.162792492,0.030303724,0.072726163,0,-0.055760292,0.045269352,-0.001340339,0,0,0,0.000779481,0,0.000213583,0,-0.002732233,0,-0.087623403,0.060105309,-0.002224139,0,0.006611343,0,0.003131508,0.003924587,0.000768572,0,-0.004882213,0,-0.103860824,0.071243376,-0.003324955,0,0.006611343,0,-0.003367517,-0.003924587,-0.001062735,0,-0.006507712,-0.003000369,-0.055760292,0.045269352,-0.001340339,0,0,0,0.000779481,0,0.000213583,0,-0.002732233,0,-0.087623403,0.060105309,-0.002224139,0,0.006611469,0,0.003131508,0.003924587,0.000768572,0,-0.004882213,0,-0.103860824,0.071243376,-0.003324956,0,0.006611469,0,-0.003367517,-0.003924587,-0.001062735,0,-0.006507712,-0.003000369,0.040039063,0.387695313,0.24609375,0.282714844,0.169921875,0.040039063,202.4,18.3999939,26.3999939,18.3999939,26.3999939,pen
0,0.123075045,0.021517215,0,0.067795576,0,-0.523365054,1.191490656,0.1896067,0.033897141,0.067794282,0,0,1.191490656,0.253397073,0.079842066,0.095876508,0,0,0.123075045,0.021517215,0,0.067795576,0,-0.523365054,1.191490656,0.189606762,0.033897788,0.067795576,0,0,1.191490656,0.253397114,0.079842066,0.095877422,0,-0.016410006,0.009467311,-0.00095124,0,0.005745388,-0.013350931,-0.00192441,0.000897588,-0.001099663,0,-0.001651207,0,-0.118669339,0.126754325,-0.002513868,-0.000646648,0.005745278,0.093458046,0.009138308,-0.003996095,0.002346134,-0.001293296,-0.00807836,-0.004642744,-0.118971695,0.126754325,-0.007588288,0.000399495,0.008125128,-0.094406852,-0.013580991,-0.002067039,-0.010636323,-0.001293296,-0.014632227,-0.004642744,-0.016410006,0.009467311,-0.00095124,0,0.005745388,-0.013350931,-0.00192441,0.000897588,-0.001099663,0,-0.001651207,0,-0.118669016,0.126754325,-0.00251387,-0.000646648,0.005745388,0.093458046,0.009138308,-0.003996095,0.002346134,-0.001293296,-0.008078342,-0.004642744,-0.118971372,0.126754325,-0.00758829,0.000399505,0.008125205,-0.094406852,-0.013580991,-0.002067039,-0.010636323,-0.001293296,-0.014632209,-0.004642744,0.103515625,0.3203125,0.243815104,0.25390625,0.184570313,0.103515625,191,4.800018311,43.20001221,4.800018311,43.20001221,pen
