velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.533338759,0,-1.134768948,-0.163688911,-0.070789978,-4.170214049,-0.320001221,1.446809154,0.089138995,0,0,1.446809154,0,4.619662732,1.155488065,0.183009399,0.070789978,4.414061842,-4.533338759,0,-1.134768948,-0.163688911,-0.070789978,-4.170214049,-0.319998169,1.446809154,0.089138934,0,0,1.446809154,0,4.619662732,1.155488072,0.183010429,0.070789978,4.414061842,-0.503704307,0.386911262,-0.016970612,-0.008696328,-0.0062646,-0.443639791,-0.089170576,-0.03948233,-0.043458599,-0.087080305,-0.020890802,-0.024765519,-0.058608143,0.153915867,0.005736315,0,0,0.153915867,0.02835154,0.002696927,0.01446882,0.008000678,0.007664116,0.003246645,-0.390051259,0.513295859,0.017908373,0.009558939,0.0062646,0.469581045,0.093738283,0.039706543,0.045883648,0.089346781,0.022007499,0.024054504,-0.503704307,0.386911262,-0.016970612,-0.008696328,-0.0062646,-0.443639791,-0.089170576,-0.03948233,-0.043458599,-0.087080305,-0.020890802,-0.024765519,-0.058608003,0.153915867,0.005736315,0,0,0.153915867,0.028351542,0.002696934,0.014468828,0.008000983,0.007664125,0.003246339,-0.390051239,0.513295859,0.017908374,0.009558986,0.0062646,0.469581045,0.093738283,0.039706536,0.045883648,0.089346757,0.022007496,0.024054555,0.977539063,0.981445313,0.980712891,0.98046875,0.977539063,0.979492188,289.4,327.2000122,41.59999084,327.2000122,41.6000061,page
-4.340424244,0,-1.095494371,-0.322595289,0,-3.764702296,-0.454545457,0.470587039,-0.008740927,0,0,0.470587039,0,4.34792692,1.10821739,0.376386155,0,3.79399994,-4.340424244,0,-1.095494371,-0.322595289,0,-3.764702296,-0.454545457,0.470587039,-0.008740923,0,0,0.470587039,0,4.34792711,1.108217388,0.376386004,0,3.79399994,-0.369088461,0.417348484,-0.018999315,-0.023882607,0,-0.369088461,-0.028184357,-0.18384847,-0.014855424,-0.048979302,-0.02351387,-0.02423787,-0.036215275,0.046135984,0.001604372,0,0,0.046135984,0.006369836,0.00979215,0.005787702,0.008973407,0.002008874,0,-0.418069895,0.371960779,0.019146352,0.024213657,0,0.371960779,0.02866986,0.184104362,0.015141582,0.049043558,0.023684202,0.024899969,-0.369088461,0.417348484,-0.018999315,-0.023882607,0,-0.369088461,-0.028184357,-0.18384847,-0.014855424,-0.048979302,-0.02351387,-0.02423787,-0.036215275,0.046135984,0.001604373,0,0,0.046135984,0.006369908,0.009792827,0.005787723,0.008973823,0.002008876,0,-0.418069913,0.371960779,0.019146352,0.024213669,0,0.371960779,0.028669865,0.184104403,0.015141581,0.049043576,0.023684202,0.024899994,0.979492188,0.98046875,0.980130709,0.98046875,0.979492188,0.979492188,266.7,289.6000366,15.19996643,289.6000366,15.19998169,page
-6.927836276,0,-1.839609076,-0.702223714,-0.150941094,-6.927836276,-0.479998779,0.577320214,-0.103108888,-0.037384033,-0.226414519,0.577320214,0,6.951849689,1.870746029,0.803735773,0.272115322,6.951849689,-6.927836276,0,-1.839609076,-0.702223714,-0.150941094,-6.927836276,-0.479998779,0.577320214,-0.103108888,-0.037384033,-0.226414519,0.577320214,0,6.951849689,1.870746029,0.803735773,0.272115322,6.951849689,-0.714209922,0.42553216,-0.047627431,-0.020707667,-0.014239726,-0.714209922,-0.073417306,0.068425844,-0.112340387,-0.084574798,-0.061291637,-0.096000977,-0.047999878,0.059517548,0.004843985,-0.00649741,-0.02135986,0.059517548,0.025636404,0.025420752,0.010557476,0.000614301,0.005735104,-0.00652418,-0.425607901,0.716685531,0.047707013,0.024966897,0.025671257,0.716685531,0.074164324,-0.06858466,0.112747675,0.084546761,0.061514751,0.107332082,-0.714209922,0.42553216,-0.047627431,-0.020707667,-0.014239726,-0.714209922,-0.073417306,0.068425844,-0.112340387,-0.084574798,-0.061291637,-0.096000977,-0.047999878,0.059517548,0.004843985,-0.00649741,-0.02135986,0.059517548,0.025636404,0.025420752,0.010557476,0.000614301,0.005735104,-0.00652418,-0.425607901,0.716685531,0.047707013,0.024966897,0.025671257,0.716685531,0.074164324,-0.06858466,0.112747675,0.084546761,0.061514751,0.107332082,0.978515625,0.98046875,0.979980469,0.98046875,0.979492188,0.978515625,148.6,278.3999634,19.20001221,278.3999634,19.20001221,page
-0.04182585,0.039226099,0.005094203,0,0,0,-0.114169312,0.313878011,0.033923441,0,-0.067360127,0,0,0.316319605,0.056000514,0,0.067360127,0,-0.087910747,0.082479261,0.010708268,0,0,0,-0.23999939,0.659796332,0.071309708,0,-0.14159346,0,0,0.664931597,0.117716678,0,0.14159346,0,-0.004596247,0.004182585,-3.37E-05,0,0,-0.003806533,1.28E-05,0,-0.00030513,0,-2.45E-05,0,-0.022190935,0.032358558,6.90E-05,0,-0.005961073,-0.003806533,6.67E-05,0,-0.002775134,-0.001601781,6.30E-05,0,-0.022497097,0.032610269,1.10E-05,0,0.005961073,-0.005383251,-3.58E-05,0,-0.002845352,-0.001763577,3.05E-05,0,-0.009660522,0.008791075,-7.09E-05,0,0,-0.008000678,2.69E-05,0,-0.000641609,0,-5.15E-05,0,-0.046647112,0.068020241,0.000145078,0,-0.012530395,-0.008001288,0.000140305,0,-0.005833572,-0.003366925,0.000132493,0,-0.047290534,0.068549649,2.32E-05,0,0.012530395,-0.011315099,-7.53E-05,0,-0.005981195,-0.003707019,6.40E-05,0,0.977539063,0.98046875,0.980334052,0.98046875,0.977539063,0.98046875,296.8,1.902954102,12.55899048,4,26.40002441,pen
-0.038061523,0.320479544,0.027553861,0,0,0.035242151,-0.120181435,0.292745738,0.01697815,0,-0.033980778,0,0,0.342272867,0.058058893,0.033980778,0.033980778,0.035242151,-0.079998779,0.67368678,0.057920418,0,0,0.074072944,-0.252630936,0.615386964,0.035689465,0,-0.071430206,0,0,0.719497233,0.122045214,0.071430206,0.071430206,0.074072944,-0.031419563,0.025842545,2.32E-05,0,0,0.003263162,9.99E-06,0,-3.54E-05,0,-6.86E-05,0,-0.029872014,0.028148629,-5.13E-05,0,-0.003033998,0,-0.001557735,0,-0.000384396,0,-1.22E-05,0,-0.033556163,0.0283676,-0.000119143,0,0.003033998,0.003263162,-0.001385203,0,-0.000351179,0,-0.000244317,0,-0.066047724,0.054323085,4.88E-05,0,0,0.006858606,2.10E-05,0,-7.47E-05,0,-0.000144183,0,-0.062794588,0.059171824,-0.000107769,0,-0.006377697,0,-0.003274479,0,-0.000808032,0,-2.57E-05,0,-0.070538944,0.059632294,-0.000250495,0,0.006377697,0.006858606,-0.002911849,0,-0.000738362,0,-0.000513614,0,0.978515625,0.981445313,0.980435646,0.98046875,0.978515625,0.978515625,593.5,16.74536133,16.36477661,35.20001221,34.40002441,pen
-0.198211671,0.078464783,-0.011497927,0,-0.036929232,0,-0.03805542,0.235406935,0.016143406,0,0,0,0,0.248139371,0.038583713,0,0.036929232,0,-0.416666668,0.164952229,-0.02417006,0,-0.077668718,0,-0.079998779,0.494847249,0.033934863,0,0,0,0,0.521615795,0.081107034,0,0.077668718,0,-0.020647049,0.015101357,-7.55E-05,0,-0.003585362,-0.003872764,-0.000805583,0,-3.03E-05,0,-0.00010385,0,-0.023307617,0.014074314,2.49E-05,0,0,0,-0.001325335,0,8.14E-05,0,3.76E-05,0,-0.024568254,0.020647049,7.32E-05,0,0.003585362,-0.003872764,-0.001573341,-0.000525709,3.12E-05,0,0.000107376,0,-0.043402778,0.031746153,-0.000158772,0,-0.007540652,-0.008139884,-0.001693151,0,-6.36E-05,0,-0.000218283,0,-0.048994777,0.02958563,5.24E-05,0,0,0,-0.002785987,0,0.000171037,0,7.90E-05,0,-0.051645128,0.043402778,0.000153846,0,0.007540652,-0.008139884,-0.003307196,-0.001106227,6.56E-05,0,0.000225712,0,0.979492188,0.98046875,0.980447049,0.98046875,0.979492188,0.98046875,460.2,7.611572266,7.230895996,16,15.19998169,pen
-0.03964742,0.036597619,0.002670643,0,0,0,-0.03624907,0.373116288,0.061149726,0,0,0,0,0.373116288,0.068077203,0,0,0,-0.083332062,0.076921903,0.005614172,0,0,0,-0.076189314,0.784313726,0.128541727,0,0,0,0,0.784313726,0.143102709,0,0,0,-0.00412994,0.003887002,-3.48E-06,0,0,-0.003265682,3.73E-05,0,1.87E-05,0,-4.31E-06,0,-0.03886628,0.028906928,-0.000136195,0,0,0.003265682,-0.000170706,-0.003452292,-0.000518375,-0.003154707,-0.000168623,0,-0.03886628,0.02920046,-0.000118286,0,0,-0.004618372,-8.06E-05,-0.001429203,-0.000473323,-0.002143162,-0.000146449,0,-0.008680423,0.00816981,-7.32E-06,0,0,-0.006863902,7.84E-05,0,3.92E-05,0,-9.06E-06,0,-0.081699346,0.060764286,-0.0002863,0,0,0.006863902,-0.000358795,-0.007256125,-0.001089604,-0.006630865,-0.000354466,0,-0.081699346,0.061381171,-0.000248656,0,0,-0.009707024,-0.000169413,-0.003005585,-0.000994913,-0.004505595,-0.00030786,0,0.979492188,0.98046875,0.980168269,0.98046875,0.979492188,0.979492188,271.4,1.522338867,16.36474609,3.199951172,34.39996338,pen
-0.033682764,0,-0.005613794,0,0,0,0,0.039232392,0.018507879,0.017782906,0.03624907,0.039232392,0,0.039232392,0.024121673,0.034624288,0.03624907,0.039232392,-0.07079538,0,-0.01179923,0,0,0,0,0.082472968,0.038905551,0.037382607,0.076195126,0.082472968,0,0.082472968,0.050704781,0.072780297,0.076195126,0.082472968,-0.002980776,0.003701403,0.000120105,0,0,0,0,0,0,0,0.000144125,0,-0.003207882,0.003452292,0.000657719,0.000188999,0.003452292,0.000377998,0.000377998,0.000377998,0.001850953,0.001850953,9.88E-05,0,-0.003701403,0.003452292,0.000537615,0.000188999,0.003452292,0.000377998,0.000377998,0.000377998,0.001850953,0.001850953,-4.53E-05,0,-0.006265078,0.007779712,0.000252439,0,0,0,0,0,0,0,0.000302927,0,-0.006742932,0.007256679,0.001382627,0.000397307,0.007256679,0.000794614,0.000794614,0.000794614,0.003891009,0.003891009,0.000207817,0,-0.007779712,0.007256679,0.001130188,0.000397307,0.007256679,0.000794614,0.000794614,0.000794614,0.003891009,0.003891009,-9.51E-05,0,0.9765625,0.977539063,0.977213542,0.977539063,0.977539063,0.9765625,62,0.380615234,0.761108398,0.799987793,1.599975586,pen
-0.310681401,0.469835068,0.021102047,0,-0.036952936,-0.147788038,-0.14096107,0.349507234,0.021051619,0,0,-0.073899945,0,0.490525243,0.09740539,0.040064762,0.036952936,0.1652347,-0.653063715,0.987654318,0.044358299,0,-0.077668718,-0.310674871,-0.29629931,0.734688894,0.044252251,0,0,-0.155337435,0,1.031142247,0.204753831,0.084209241,0.077668718,0.347345065,-0.038441873,0.058004329,7.87E-05,0,-0.003587664,-0.000535279,-0.000996509,-0.00026764,-0.000629011,0,-0.000434044,0,-0.028059843,0.035664003,-4.58E-05,0,0,-0.007174752,-0.00037779,0.000193633,-7.37E-05,-0.001308894,-5.22E-05,0,-0.039379519,0.060558672,0.000632235,0,0.003587664,0.00222913,0.001184622,0.00341232,0.000653356,-0.000194329,0.000263548,0.00222913,-0.080807533,0.121932632,0.000165367,0,-0.007540652,-0.00112702,-0.00209484,-0.00056351,-0.001322247,0,-0.000912408,0,-0.058984365,0.074968254,-9.62E-05,0,0,-0.015081304,-0.000794111,0.000406699,-0.000154882,-0.002751597,-0.000109701,0,-0.082778705,0.127301512,0.00132903,0,0.007540652,0.004687233,0.002490236,0.007173877,0.001373455,-0.000407981,0.000554027,0.004687233,0.978515625,0.98046875,0.980412138,0.98046875,0.978515625,0.978515625,700.7,29.30432129,20.93157959,61.59997559,43.99996948,pen
-0.044778263,0.040077611,0.00605666,0,0,0,0,0.271843112,0.063345911,0.017785759,0,0,0,0.271843112,0.067848348,0.043302056,0,0,-0.094116211,0.084209241,0.012731194,0,0,0,0,0.571432308,0.133157083,0.037385459,0,0,0,0.571432308,0.142620929,0.091013479,0,0,-0.005268031,0.004224364,-0.00019789,0,0,-0.003704178,-0.00143666,-0.003704178,-0.000191491,-0.00052883,-0.000163275,0,-0.021942977,0.027739093,-0.000347693,0,0,-0.003705366,-0.004054683,-0.003705366,-0.004721035,-0.005287952,-0.00042793,0.002653037,-0.022245541,0.027739093,-0.000300878,0.001326519,0,-0.005239339,-0.004319864,-0.005239339,-0.004754071,-0.005947416,-0.000450594,0.002653037,-0.011072495,0.008878888,-0.000416004,0,0,-0.007788043,-0.003018816,-0.007788043,-0.000402675,-0.001111865,-0.000343266,0,-0.046127117,0.058309419,-0.000730919,0,0,-0.007788637,-0.008522708,-0.007788637,-0.009924016,-0.011114943,-0.000899592,0.005577851,-0.046763367,0.058309419,-0.000632541,0.002788926,0,-0.011014376,-0.009079825,-0.011014376,-0.009993506,-0.012501707,-0.000947251,0.005577851,0.98046875,0.98046875,0.98046875,0.98046875,0.98046875,0.98046875,170.2,1.902954102,11.03668213,4,23.20001221,pen
