velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.363643746,0,-1.35675089,-1.032268564,-0.218184038,-1.777778906,0,0.666667796,0.106008999,0,0,0.666667796,0,4.363643746,1.371309406,1.032268564,0.218184038,1.898668952,-4.363643746,0,-1.35675089,-1.032268564,-0.218184038,-1.777778906,0,0.666667796,0.106008999,0,0,0.666667796,0,4.363643746,1.371309406,1.032268564,0.218184038,1.898668952,-0.440772094,0.404041089,-0.005966861,-0.038837917,-0.019834913,-0.164609158,0.017259303,-0.038837917,0.053163137,-0.038837917,0.002883613,-0.059418375,-0.061605892,0.0617285,0.004176724,0,0,0.0617285,0.01582515,0.047352843,0.00922702,0.007256125,0.005429741,0,-0.404041089,0.440772094,0.006765688,0.045218722,0.019834913,0.175802681,-0.013844501,0.045218722,-0.051103928,0.045218722,-0.001845138,0.062608777,-0.440772094,0.404041089,-0.005966861,-0.038837917,-0.019834913,-0.164609158,0.017259303,-0.038837917,0.053163137,-0.038837917,0.002883613,-0.059418375,-0.061605892,0.0617285,0.004176724,0,0,0.0617285,0.01582515,0.047352843,0.00922702,0.007256125,0.005429741,0,-0.404041089,0.440772094,0.006765688,0.045218722,0.019834913,0.175802681,-0.013844501,0.045218722,-0.051103928,0.045218722,-0.001845138,0.062608777,0.978515625,0.979492188,0.979417067,0.979492188,0.979492188,0.978515625,136.8,190.4000244,17.59997559,190.4000244,17.59997559,page
-2.981817072,0,-1.243296097,-0.678011359,-0.59813312,0,-0.310680796,0.838099888,0.075119258,0,-0.299060856,0,0,3.087362319,1.26707229,0.722554559,0.668730607,0,-2.981817072,0,-1.243296097,-0.678011359,-0.59813312,0,-0.310680796,0.838099888,0.075119258,0,-0.299060856,0,0,3.087362319,1.26707229,0.722554559,0.668730607,0,-0.286549386,0.298181707,-0.001516119,-0.000762277,-0.055900291,0.291316641,0.11172476,0.11172476,-0.003037433,-0.067867121,-0.001666887,-0.006360627,-0.082166656,0.055363322,0.000577331,0.005480301,-0.027949613,-0.082166656,-0.023582773,-0.023582773,0.001110638,0.026445877,0.000769024,0.005480301,-0.302682581,0.288132553,0.001573437,0.002927485,0.062498187,-0.302682581,-0.114196603,-0.114196603,0.003164108,0.074289375,0.001717675,0.008823079,-0.286549386,0.298181707,-0.001516119,-0.000762277,-0.055900291,0.291316641,0.11172476,0.11172476,-0.003037433,-0.067867121,-0.001666887,-0.006360627,-0.082166656,0.055363322,0.000577331,0.005480301,-0.027949613,-0.082166656,-0.023582773,-0.023582773,0.001110638,0.026445877,0.000769024,0.005480301,-0.302682581,0.288132553,0.001573437,0.002927485,0.062498187,-0.302682581,-0.114196603,-0.114196603,0.003164108,0.074289375,0.001717675,0.008823079,0.978515625,0.979492188,0.979410807,0.979492188,0.978515625,0.979492188,129.8,168.7999878,25.60003662,168.7999878,25.60003662,page
-3.111114499,0,-1.155657056,-0.609514509,-0.293584702,-3.111114499,-0.220180126,1.407408536,0.190677708,0,-0.073398975,1.407408536,0,3.414649647,1.196129584,0.614257884,0.302620863,3.414649647,-3.111114499,0,-1.155657056,-0.609514509,-0.293584702,-3.111114499,-0.220180126,1.407408536,0.190677708,0,-0.073398975,1.407408536,0,3.414649647,1.196129584,0.614257884,0.302620863,3.414649647,-0.301630115,0.337694586,-0.020261152,-0.037356774,-0.026934376,-0.288066157,-0.044109306,-0.044109306,-0.07098299,-0.097856673,-0.025278505,-0.058049001,-0.052134113,0.130315605,0.011928448,0.007892363,-0.006733851,0.130315605,0.039090746,0.039090746,0.03240623,0.025721714,0.01445049,0.013739592,-0.338116429,0.316171263,0.022783981,0.039573799,0.027763382,0.316171263,0.054817768,0.054817768,0.077998144,0.10117852,0.02837781,0.058500751,-0.301630115,0.337694586,-0.020261152,-0.037356774,-0.026934376,-0.288066157,-0.044109306,-0.044109306,-0.07098299,-0.097856673,-0.025278505,-0.058049001,-0.052134113,0.130315605,0.011928448,0.007892363,-0.006733851,0.130315605,0.039090746,0.039090746,0.03240623,0.025721714,0.01445049,0.013739592,-0.338116429,0.316171263,0.022783981,0.039573799,0.027763382,0.316171263,0.054817768,0.054817768,0.077998144,0.10117852,0.02837781,0.058500751,0.978515625,0.979492188,0.979403409,0.979492188,0.979492188,0.978515625,118.9,141.5999756,32,141.5999756,32,page
0,3.603603615,1.20681267,0.331774855,0.074078595,0,-0.739497339,0,-0.2475607,-0.157037693,-0.074072944,0,0,3.649437298,1.235526427,0.373041669,0.104758958,0,0,3.603603615,1.20681267,0.331774855,0.074078595,0,-0.739494774,0,-0.247560977,-0.157037693,-0.074072944,0,0,3.649437732,1.235526465,0.373041669,0.104758958,0,-0.429000429,0.334992935,-0.009213986,0.009529563,0.006859129,-0.429000429,-0.052175727,-0.052175727,-0.025456727,0.012199997,-0.011009245,0.037124794,-0.054323776,0.083089588,0.001842387,-0.013045011,-0.006858606,0.068639349,0.008348029,0.008348029,0.005246091,-0.019231416,0.00216333,-0.02161583,-0.434456819,0.339369031,-0.009398517,0.012666318,0.009699903,-0.434456819,-0.052839342,-0.052839342,-0.026002763,0.015632732,-0.011210994,0.041570281,-0.429000429,0.334992935,-0.009213986,0.009529563,0.006859129,-0.429000429,-0.052175727,-0.052175727,-0.025456727,0.012199997,-0.011009245,0.037124794,-0.054323776,0.0830893,0.001842387,-0.013044903,-0.006858606,0.068639676,0.008348068,0.008348068,0.005246092,-0.0192312,0.002163329,-0.021615722,-0.434456871,0.339369031,-0.009398517,0.012666294,0.009699903,-0.434456871,-0.052839348,-0.052839348,-0.026002763,0.015632685,-0.011210993,0.041570257,0.979492188,0.98046875,0.979654948,0.979492188,0.98046875,0.979492188,129.6,179.1999512,32.79998779,179.1999512,32.79998779,page
-5.132077792,0,-1.735600761,-1.010523746,-0.470593023,-2.833328258,0,2.000001279,0.693443853,0.252637361,0,2.000001279,0,5.25545596,1.891469008,1.041625594,0.470593023,3.468105265,-5.132077792,0,-1.735600761,-1.010523746,-0.470593023,-2.833328258,0,2.000001279,0.693443873,0.252634149,0,2.000001279,0,5.25545596,1.891469004,1.041624814,0.470593023,3.468105265,-0.388825855,0.560647393,-0.000255713,-0.046136571,-0.046136571,-0.295138361,0.132754516,0.132754516,-0.006066689,-0.117387741,-0.000119093,-0.106370921,-0.312668627,0.208333467,0.003957536,0,0,0.208333467,-0.05216758,-0.05216758,0.012081171,0.076329922,0.004836988,0.026593406,-0.64194016,0.397531168,0.002289083,0.046136571,0.046136571,0.361260966,-0.140339597,-0.140339597,0.011779269,0.15309879,0.002604323,0.109644799,-0.388825855,0.560647393,-0.000255713,-0.046136571,-0.046136571,-0.295138361,0.132754516,0.132754516,-0.006066689,-0.117387741,-0.000119093,-0.106370921,-0.312668627,0.208333467,0.003957527,0,0,0.208333467,-0.05216758,-0.05216758,0.012081157,0.076329894,0.004836978,0.026593068,-0.64194016,0.397531241,0.00228908,0.046136571,0.046136571,0.361260966,-0.140339597,-0.140339597,0.011779263,0.153098831,0.002604319,0.109644717,0.979492188,0.98046875,0.980291193,0.98046875,0.979492188,0.979492188,120.1,216,94.40002441,216,94.40002441,page
-4.767678012,0,-1.84492325,-0.666669212,-0.144141944,0,-0.083335241,4.170214075,0.700384321,0,-0.072070972,0,0,6.14300959,2.046983655,0.671857575,0.161155593,0,-4.767678012,0,-1.84492325,-0.666669212,-0.144141944,0,-0.083332062,4.170214075,0.700384361,0,-0.072070972,0,0,6.14300959,2.046983573,0.671857181,0.161155593,0,-0.479855417,0.480708155,-0.001855024,-0.012985761,-0.012985761,0.395670254,0.129287388,0.395670254,-0.014565909,-0.202154056,-0.002205935,-0.091939209,-0.365808251,0.443639796,0.004543794,0,-0.00649288,-0.365808251,-0.056731045,-0.24802468,0.014987411,0.097825511,0.005856544,0.020200397,-0.538860489,0.65351166,0.004038428,0.014518522,0.014518522,-0.538860489,-0.139529617,-0.533240022,0.020617243,0.245248677,0.005065131,0.114857478,-0.479855417,0.480708155,-0.001855024,-0.012985761,-0.012985761,0.395670254,0.129287388,0.395670254,-0.014565909,-0.202154056,-0.002205935,-0.091939209,-0.365808251,0.443639796,0.004543798,0,-0.00649288,-0.365808251,-0.056731045,-0.24802468,0.014987415,0.097825244,0.005856547,0.020200268,-0.538860489,0.65351166,0.004038428,0.014518522,0.014518522,-0.538860489,-0.139529617,-0.533240022,0.020617244,0.245248779,0.005065131,0.114857512,0.978515625,0.981445313,0.98031851,0.98046875,0.98046875,0.978515625,136.2,252.000061,107.2000427,252.000061,107.2000122,page
0,3.961157933,1.324984707,0.372486821,0.15238444,0,-0.897951709,0,-0.312891686,-0.111112241,0,0,0,4.052249566,1.362368228,0.392635612,0.15238444,0,0,3.961157933,1.324984707,0.372486821,0.15238444,0,-0.897957937,0,-0.312891932,-0.111112241,0,0,0,4.052249566,1.362368286,0.392635612,0.15238444,0,-0.391156983,0.38457844,-0.003917903,-0.000439782,0.014512804,-0.358095006,-0.095148416,-0.303349998,-0.066981984,-0.206609056,-0.009894586,-0.06441187,-0.091627725,0.093536637,0.001082051,0,0,0.076190476,0.026818074,0.076190476,0.016201621,0.041179123,0.003247732,0.006167769,-0.402185141,0.393977279,-0.004070224,-0.000439782,0.014512804,-0.366110669,-0.098843432,-0.314835831,-0.068915076,-0.211516567,-0.010427654,-0.068792042,-0.391156983,0.38457844,-0.003917903,-0.000439782,0.014512804,-0.358095006,-0.095148416,-0.303349998,-0.066981984,-0.206609056,-0.009894586,-0.06441187,-0.091628361,0.093537285,0.001082049,0,0,0.076190476,0.026818074,0.076190476,0.016201729,0.041179123,0.003247729,0.006167769,-0.402185292,0.393977427,-0.004070223,-0.000439782,0.014512804,-0.366110669,-0.098843432,-0.314835831,-0.068915101,-0.211516567,-0.010427654,-0.068792042,0.979492188,0.98046875,0.979771205,0.979492188,0.98046875,0.979492188,145.6,211.1999512,48.80001831,211.1999512,48.80004883,page
-0.02621242,0,-0.006189044,0,0,-0.02621242,-0.059917216,0,-0.023524488,-0.017901165,-0.045876503,0,0,0.059917216,0.027488587,0.031007375,0.045876503,0.02621242,-0.071427482,0,-0.016864822,0,0,-0.071427482,-0.163265929,0,-0.064101313,-0.048779743,-0.125000477,0,0,0.163265929,0.074903243,0.084493484,0.125000477,0.071427482,-0.002340395,0.003148639,-0.00013012,0,0,-0.002340395,-0.001170197,-0.001170197,-0.000780132,0,-0.000173493,0,-0.006114002,0.016273786,0.002037697,0.000307139,-0.003584102,0,0.00325637,0.00325637,0.000132913,0,0.0032119,0.003148639,-0.016273786,0.006114002,-0.001783493,0.000863058,0.003584102,0.002340395,-0.002086173,-0.002086173,0.000647218,0.002340395,-0.002872961,-0.002086173,-0.006377454,0.008579878,-0.000354569,0,0,-0.006377454,-0.003188727,-0.003188727,-0.002125818,0,-0.000472759,0,-0.016659789,0.044345221,0.005552655,0.000836616,-0.009765662,0,0.008873148,0.008873148,0.000362169,0,0.008752278,0.008580041,-0.044345221,0.016659789,-0.004859958,0.002352111,0.009765662,0.006377454,-0.005684421,-0.005684421,0.001763649,0.006377454,-0.007828682,-0.005684421,0.9765625,0.978515625,0.978027344,0.978515625,0.9765625,0.978515625,84.29999995,0.587158203,2.055053711,1.599975586,5.599975586,pen
-0.031567645,0.0326199,0.004785265,0,0,0,0,0.513071597,0.106414345,0.014532108,0,0,0,0.5138627,0.107945592,0.014532108,0,0,-0.086020193,0.088887533,0.013039471,0,0,0,0,1.398057658,0.289968883,0.039603356,0,0,0,1.400213429,0.294141582,0.039603356,0,0,-0.00339437,0.003624433,-2.93516E-05,0,0,-0.002859722,-0.000291893,-0.000375641,-0.000170597,0,-3.77378E-05,-0.00014977,-0.051973314,0.049812776,7.33916E-05,0,0,-0.005720039,-0.005271485,-0.005206274,-0.000121978,-0.004692509,-0.000111185,-0.001352337,-0.05206315,0.049889582,7.42022E-05,0,0,-0.006395065,-0.005305514,-0.005375736,-0.000141318,-0.004356407,-0.000110143,-0.001291937,-0.009249483,0.009876393,-7.99828E-05,0,0,-0.007792595,-0.000795394,-0.001023604,-0.000464869,0,-0.000102835,-0.000408115,-0.141622473,0.135733753,0.000200003,0,0,-0.015585487,-0.014364246,-0.014185898,-0.000332334,-0.01278631,-0.000303014,-0.003685513,-0.141867275,0.135943051,0.00020221,0,0,-0.017425038,-0.014456983,-0.014647741,-0.00038504,-0.011870444,-0.000300176,-0.003520922,0.978515625,0.979492188,0.97922092,0.979492188,0.978515625,0.978515625,188.5,1.174346924,19.08325195,3.200012207,52,pen
-0.074641341,0.360549123,0.043033537,0,0,0,-0.088966446,0.547366387,0.059458403,0,0,0,0,0.55243216,0.121974558,0.08906215,0,0,-0.2033919,0.982457208,0.11726239,0,0,0,-0.242423625,1.491525947,0.162018539,0,0,0,0,1.505329836,0.332369067,0.242688605,0,0,-0.042364975,0.035946039,-0.000441766,0,0,0.006396059,0.001886091,0.001623229,0.000813937,0,-0.001392959,-0.000986224,-0.064396046,0.041413307,-0.001478928,-0.000727839,0,-0.019188841,-0.012601854,-0.020449171,-0.004461768,-0.012501032,-0.001659281,-0.00154143,-0.064992019,0.041413307,-0.002212339,0,0,-0.020226745,-0.012747774,-0.020559688,-0.004541136,-0.012885749,-0.00367343,-0.006508288,-0.115440556,0.097949562,-0.001203784,0,0,0.017428928,0.005139409,0.004422754,0.002217933,0,-0.003795688,-0.002687614,-0.175473641,0.112847155,-0.004029969,-0.00198298,0,-0.052287781,-0.034338947,-0.055721972,-0.012157948,-0.034064426,-0.004521414,-0.004199248,-0.177097628,0.112847155,-0.006028443,0,0,-0.055116056,-0.034736566,-0.056023131,-0.012374232,-0.035112925,-0.010009778,-0.017734039,0.978515625,0.979492188,0.979387556,0.979492188,0.979492188,0.978515625,287,15.56018066,22.89990234,42.40002441,62.3999939,pen
