velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.607476673,0,-2.35466156,-2.353169877,-0.206893394,-2.146342195,-1.839996338,0,-0.340299711,-0.250082235,-0.275863121,0,0,5.611960953,2.419662635,2.649493877,0.344826533,2.146342195,-5.607476673,0,-2.35466156,-2.353169877,-0.206893394,-2.146342195,-1.839996338,0,-0.340299908,-0.250082235,-0.275863121,0,0,5.611960953,2.41966265,2.649493877,0.344826533,2.146342195,-0.594916184,0.608695325,-0.009149299,-0.010573271,-0.017835637,0.241458286,-0.108228714,-0.159853218,-0.052935988,0.183133882,-0.011608678,-0.023946869,-0.151999512,0.180391799,0.000915936,-0.005540057,-0.023781303,0.030251292,-0.005059609,-0.006507546,-0.002135078,-0.006666303,0.001163548,0.004870169,-0.609688312,0.596487423,0.00895016,0.017622008,0.029726425,-0.242556876,0.108428791,0.160460963,0.053018931,-0.182431155,0.011405532,0.022686469,-0.594916184,0.608695325,-0.009149299,-0.010573271,-0.017835637,0.241458286,-0.108228714,-0.159853218,-0.052935988,0.183133882,-0.011608678,-0.023946869,-0.151999512,0.180391799,0.000915929,-0.005540057,-0.023781303,0.030251581,-0.00505964,-0.006507608,-0.002135096,-0.006666303,0.001163539,0.004870169,-0.609688312,0.596487453,0.008950161,0.017622008,0.029726425,-0.242556897,0.108428793,0.160460952,0.053018932,-0.182431155,0.011405533,0.022686469,0.978515625,0.983398438,0.982096354,0.982421875,0.98046875,0.978515625,187.7,431.2000275,59.19998169,431.2000275,59.20001221,page
-4.261682794,0,-1.453738074,-1.140387757,-0.41379205,-1.684210262,0,0.587158198,0.198612509,0.153102959,0,0.561400298,0,4.267581139,1.470305796,1.151332464,0.41379205,1.775312508,-4.261682794,0,-1.453738074,-1.140387757,-0.41379205,-1.684210262,0,0.587158198,0.198612509,0.153102959,0,0.561400298,0,4.267581139,1.470305796,1.151332464,0.41379205,1.775312508,-0.377325634,0.463226394,0.005379147,-0.05681651,-0.035671728,-0.147737743,0.042610346,0.007606194,0.033884387,-0.077961291,0.035698819,0.02767316,-0.059308909,0.053867724,0.001197064,0.004624742,0,0.04924564,-0.000912659,-0.00120099,-0.002074205,0.018276925,-4.46627E-05,0.001506458,-0.463867519,0.380482657,-0.005037176,0.057758195,0.035671728,0.155729168,-0.041704362,-0.007700426,-0.033492619,0.079844661,-0.035302828,-0.027154994,-0.377325634,0.463226394,0.005379147,-0.05681651,-0.035671728,-0.147737743,0.042610346,0.007606194,0.033884387,-0.077961291,0.035698819,0.02767316,-0.059308909,0.053867724,0.001197064,0.004624742,0,0.04924564,-0.000912659,-0.00120099,-0.002074205,0.018276925,-4.46627E-05,0.001506458,-0.463867519,0.380482657,-0.005037176,0.057758195,0.035671728,0.155729168,-0.041704362,-0.007700426,-0.033492619,0.079844661,-0.035302828,-0.027154994,0.98046875,0.983398438,0.982855903,0.983398438,0.981445313,0.98046875,186.5,280.8000183,41.59997559,280.8000183,41.59997559,page
-5.833333319,0,-2.060556661,-1.204619818,-0.6666678,0,-0.249996185,0.528299582,0.068772868,0,-0.074072944,0,0,5.838687841,2.06616765,1.210264174,0.670770271,0,-5.833333319,0,-2.060556661,-1.204619818,-0.6666678,0,-0.249996185,0.528299582,0.068772868,0,-0.074072944,0,0,5.838687841,2.06616765,1.210264174,0.670770271,0,-0.607638886,0.473960879,0.004503384,0.097845621,-0.0617285,0.431640697,0.101772992,0.349818023,0.068111718,0.267083713,0.021255961,0.184349402,-0.034438358,0.049839583,-0.000728956,-0.007251509,-0.006858606,-0.02312385,-0.010310735,-0.02312385,-0.006203728,-0.022407618,0.000480341,-0.007644413,-0.474022522,0.608196649,-0.004524349,-0.098249393,0.062108359,-0.432259648,-0.102279358,-0.351400929,-0.068388731,-0.268497645,-0.02134634,-0.185594361,-0.607638886,0.473960879,0.004503384,0.097845621,-0.0617285,0.431640697,0.101772992,0.349818023,0.068111718,0.267083713,0.021255961,0.184349402,-0.034438358,0.049839583,-0.000728956,-0.007251509,-0.006858606,-0.02312385,-0.010310735,-0.02312385,-0.006203728,-0.022407618,0.000480341,-0.007644413,-0.474022522,0.608196649,-0.004524349,-0.098249393,0.062108359,-0.432259648,-0.102279358,-0.351400929,-0.068388731,-0.268497645,-0.02134634,-0.185594361,0.98046875,0.984375,0.982770647,0.983398438,0.982421875,0.98046875,144.6,307.1999969,16,307.1999969,16,page
-0.043871428,0.210158405,0.002518514,0,0.210158405,-0.043871428,0,0.252611565,0.079986935,0.041682434,0.140103893,0,0,0.252611565,0.091561979,0.063618148,0.25257802,0.043871428,-0.084209241,0.40336032,0.004833721,0,0.40336032,-0.084209241,0,0.484847253,0.153521278,0.080000305,0.268906025,0,0,0.484847253,0.175737757,0.122104926,0.484778297,0.084209241,-0.021444735,0.01766037,-0.000268279,0,0.01766037,-0.00023026,-9.80813E-05,-0.00011513,2.90833E-05,0,-0.000131314,0,-0.021701707,0.02551632,-0.000288974,0,0.011773436,0,0,0,-0.001977898,0,-0.00022878,0,-0.021701707,0.02551632,-0.000194719,0.00011513,0.021225044,0.00023026,9.80813E-05,0.00011513,-0.001561732,0,-2.74186E-06,0.00011513,-0.041159216,0.033895825,-0.000514938,0,0.033895825,-0.000443207,-0.000188205,-0.000221603,5.57768E-05,0,-0.000252065,0,-0.04165365,0.04897447,-0.000554659,0,0.022597145,0,0,0,-0.003796281,0,-0.000439133,0,-0.04165365,0.04897447,-0.000373723,0.000221603,0.040737672,0.000443207,0.000188205,0.000221603,-0.00299746,0,-5.25741E-06,0.000221603,0.9765625,0.98046875,0.980202415,0.98046875,0.9765625,0.978515625,224.7,2.08404541,16.25567627,4,31.20001221,pen
-0.042534653,0.202334507,0.023659361,0,0,0,0,0.210509635,0.055326552,0,0,0,0,0.222436625,0.07219354,0.042534653,0,0,-0.081631407,0.388349516,0.045410358,0,0,0,0,0.4040404,0.106190052,0,0,0,0,0.426931988,0.138563462,0.081634522,0,0,-0.016384005,0.019644127,0.00016289,0,0,-0.004296115,0.000301713,-0.004296115,0.0002296,-0.000357373,0.000336724,0,-0.019458874,0.021263599,-0.000123082,0,0,0,2.52808E-05,0,-0.001305942,0,-0.000286983,0,-0.023170482,0.022613141,-5.94693E-05,0,0,-0.004296115,0.000330452,-0.004296115,-0.001130416,-0.006243687,-0.000262597,-0.000673106,-0.031446661,0.037703837,0.000312651,0,0,-0.008245911,0.000579071,-0.008245911,0.000440678,-0.000685861,0.000646323,0,-0.037348415,0.040812161,-0.000236234,0,0,0,4.8494E-05,0,-0.00250657,0,-0.000550802,0,-0.044472082,0.043402778,-0.000114141,0,0,-0.008245911,0.000634222,-0.008245911,-0.002169672,-0.011983997,-0.000504022,-0.001292268,0.978515625,0.98046875,0.979547991,0.979492188,0.978515625,0.979492188,359.6999999,10.00344849,19.59014893,19.19998169,37.6000061,pen
-0.130256017,0.088682784,-0.002010992,0,0,-0.035624708,-0.036246922,0.297723885,0.070915926,0.037894509,0.037550368,0,0,0.300746477,0.085817863,0.051259012,0.037550368,0.035624708,-0.249999364,0.170213416,-0.003859788,0,0,-0.068375025,-0.06956681,0.57142919,0.13611114,0.072728937,0.072073722,0,0,0.577230462,0.164712688,0.098382326,0.072073722,0.068375025,-0.013568335,0.013025602,4.68938E-05,0,0,-0.003044847,0.001648471,0.000116739,0.000274995,0.000116739,-0.000275943,0,-0.027567026,0.030379988,-0.00022677,-0.000233276,0.003382916,-0.003238847,-0.001716581,-0.001692591,-0.00012411,-0.001692591,-0.000741544,-0.003151906,-0.027846896,0.030688416,-0.000292606,-0.000330044,0.003382916,-0.000194,-0.002507178,-0.000262022,-0.00030863,-0.000262022,-0.000939793,-0.000600948,-0.0260416,0.024999936,9.00067E-05,0,0,-0.005844019,0.003163984,0.000224164,0.00052781,0.000224164,-0.000529627,0,-0.05291011,0.058309101,-0.000435244,-0.000448125,0.006493128,-0.006216148,-0.003294676,-0.003248707,-0.000238206,-0.003248707,-0.001423278,-0.006049288,-0.053447265,0.058901067,-0.000561605,-0.000633888,0.006493128,-0.000372129,-0.004812092,-0.000503008,-0.000592357,-0.000503008,-0.001803781,-0.001153792,0.978515625,0.98046875,0.980266703,0.98046875,0.978515625,0.978515625,294.6999999,5.835357666,20.84060669,11.19998169,40,pen
-0.268909083,0.223293303,0.009488471,0,0,-0.037550368,-0.088682784,0.217736088,0.011387669,0,-0.040077796,0,0,0.283457137,0.063268778,0.040272349,0.040077796,0.037550368,-0.516127716,0.428570337,0.018211581,0,0,-0.072070973,-0.170216662,0.417908627,0.021856755,0,-0.076921902,0,0,0.54404569,0.121433897,0.077296792,0.076921902,0.072070973,-0.028914955,0.02513169,-0.000137888,0,0,-0.003382916,-0.000824435,-0.001008581,0.000430402,9.92886E-05,-0.000144418,0,-0.032497924,0.021048306,-0.000242139,0,-0.003853634,0,-0.000193295,0,-0.000331136,0,-0.000309691,0,-0.032827861,0.030479262,-0.000281827,0,0.003853634,0.003382916,-0.000410126,0.003382916,-0.000821194,0.000656695,-0.000334516,0.000683793,-0.055497603,0.048236235,-0.00026465,0,0,-0.006492881,-0.001582368,-0.001936358,0.000826089,0.00019057,-0.000277182,0,-0.062374423,0.040399093,-0.000464736,0,-0.007396337,0,-0.000370994,0,-0.000635505,0,-0.000594385,0,-0.063007716,0.058499536,-0.000540908,0,0.007396337,0.006492881,-0.000787177,0.006492881,-0.00157613,0.001260298,-0.000642036,0.001312008,0.0625,0.977539063,0.916283017,0.977539063,0.0625,0.9765625,848.1,14.58840942,17.50610352,28,33.59997559,pen
-0.102491535,0.077186867,-0.01162294,0,0,0,-0.040466901,0.270159687,0.069946992,0,0,0,0,0.280969872,0.077099086,0,0,0,-0.19672081,0.148148714,-0.022308154,0,0,0,-0.077674643,0.51851626,0.134251779,0,0,0,0,0.539265383,0.147979577,0,0,0,-0.008680224,0.015767928,0.000315964,0,0,0,0.000174315,0,0.001624106,0,0.000403731,0,-0.036792731,0.025014786,-0.001101359,0,0,-0.016100785,-0.001678524,-0.005434402,-0.004700896,-0.005434402,-0.001407292,-0.000192887,-0.040029147,0.026015729,-0.001146109,0,0,-0.016100785,-0.001654111,-0.006313279,-0.004989109,-0.006313279,-0.001464473,0,-0.016659471,0.03026474,0.000606454,0,0,0,0.000334573,0,0.003117255,0,0.000774913,0,-0.070617599,0.048010765,-0.002113914,0,0,-0.030903063,-0.003221807,-0.010428728,-0.009022606,-0.010428728,-0.002701112,-0.000370556,-0.07682968,0.04993198,-0.002199809,0,0,-0.030903063,-0.003174949,-0.012115648,-0.009575809,-0.012115648,-0.002810867,0,0.977539063,0.977539063,0.977539063,0.977539063,0.977539063,0.977539063,238.8,3.751312256,21.67419434,7.200012207,41.60003662,pen
-0.137412941,0.103341096,-0.008596316,0,0.03788896,0,-0.079386393,0.358545449,0.074258978,0.035385804,0,-0.079386393,0,0.358545449,0.094272384,0.073155261,0.03788896,0.079386393,-0.263735592,0.198346605,-0.016499066,0,0.072728937,0,-0.15238444,0.688168109,0.142527308,0.067916493,0,-0.15238444,0,0.688168109,0.180940659,0.140409211,0.072728937,0.15238444,-0.015100323,0.018877223,0.000138665,0,0.003444451,0,0.000176481,0.002074574,0.000993742,0,8.88374E-05,0,-0.044046854,0.038553274,-0.001494997,-0.002140336,0,-0.007560609,-0.0014447,-0.004574252,-0.003006063,-0.004867832,-0.001931139,-0.004926235,-0.04792155,0.038553274,-0.001243962,0.000845669,0.003444451,0.007560609,0.000972581,0.000627801,-0.001828973,-0.00426182,-0.001674245,-0.005283413,-0.028981933,0.036231792,0.000266142,0,0.006611722,0,0.000338719,0.003981886,0.001907329,0,0.000170527,0,-0.084540695,0.073996571,-0.002869466,-0.004107979,0,-0.014512804,-0.002773099,-0.008779713,-0.005769786,-0.009343469,-0.003706569,-0.009455134,-0.091977562,0.073996571,-0.002387534,0.001622555,0.006611722,0.014512804,0.001866958,0.001205462,-0.003510294,-0.00817949,-0.003213348,-0.010140685,0.9765625,0.978515625,0.978097098,0.978515625,0.977539063,0.9765625,294.1999999,6.669006348,23.75823975,12.79998779,45.60003662,pen
-0.18122134,0.119091216,-0.007353362,0,0,0,-0.37465985,0.336818503,0.026726306,0,0,0,0,0.377575535,0.083417832,0.041901394,0,0,-0.347826087,0.228570847,-0.014113562,0,0,0,-0.719103869,0.646467114,0.051296736,0,0,0,0,0.724700305,0.160106426,0.080420617,0,0,-0.018473871,0.021072249,0.000116724,0,0,0,0.000541697,0.002149544,2.31148E-05,-7.76547E-05,0.000202303,0,-0.042096612,0.034372463,-0.000218378,0,0,0.004299088,-0.00180624,0,0.000780314,0,-0.000588422,0,-0.038305915,0.042424218,-0.000221483,0,0,-0.004299088,-0.001812057,-0.002037589,-0.00149755,-0.004405005,-0.000610828,-0.004183404,-0.035457199,0.040444894,0.000224032,0,0,0,0.001039728,0.00412535,4.43663E-05,-0.000149179,0.000388291,0,-0.080798188,0.065972832,-0.000419131,0,0,0.008250699,-0.003466736,0,0.001497713,0,-0.001129361,0,-0.07352122,0.081427001,-0.00042509,0,0,-0.008250699,-0.003477933,-0.003910488,-0.002874283,-0.008454453,-0.001172362,-0.008029253,0.9765625,0.978515625,0.978295898,0.978515625,0.9765625,0.978515625,813.9,9.586669922,26.25912476,18.3999939,50.40002441,pen
