velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-6.18556698,0,-3.027916807,-3.311354706,-2.051282064,0,-0.068375025,1.061220758,0.309470329,0.082472968,-0.068375025,0,0,6.187765835,3.056299408,3.372704717,2.052421314,0,-6.18556698,0,-3.027916807,-3.311354706,-2.051282064,0,-0.068375025,1.061220758,0.309470329,0.082472968,-0.068375025,0,0,6.187765835,3.056299408,3.372704717,2.052421314,0,-0.52031305,0.631180307,0.012673097,-0.047467897,-0.175323254,0.48632206,0.48632206,0.48632206,0.28335476,0.28335476,0.050272368,0.08038746,-0.112895826,0.06786702,-0.001115354,0.009104844,-0.005844019,-0.112895826,-0.112895826,-0.112895826,-0.037968808,-0.037968808,-0.000169621,0.024053707,-0.63140468,0.524720499,-0.012801509,0.051402504,0.175420626,-0.499254057,-0.499254057,-0.499254057,-0.285934837,-0.285934837,-0.050445936,-0.072615618,-0.52031305,0.631180307,0.012673097,-0.047467897,-0.175323254,0.48632206,0.48632206,0.48632206,0.28335476,0.28335476,0.050272368,0.08038746,-0.112895826,0.06786702,-0.001115354,0.009104844,-0.005844019,-0.112895826,-0.112895826,-0.112895826,-0.037968808,-0.037968808,-0.000169621,0.024053707,-0.63140468,0.524720499,-0.012801509,0.051402504,0.175420626,-0.499254057,-0.499254057,-0.499254057,-0.285934837,-0.285934837,-0.050445936,-0.072615618,0.978515625,0.979492188,0.979003906,0.979003906,0.979492188,0.978515625,68.79999995,208,33.59997559,208,33.59997559,page
-7.416668012,0,-2.022788981,-0.314548084,-0.153843805,0,-0.079206713,2.166665417,0.354067783,0,0,0,0,7.726668326,2.067775438,0.317825676,0.153843805,0,-7.416668012,0,-2.022788981,-0.314548084,-0.153843805,0,-0.079206713,2.166665417,0.35406774,0,0,0,0,7.726668326,2.067775469,0.317825676,0.153843805,0,-0.399833025,0.789007227,0.010896938,-0.023307652,-0.014792673,0.789007227,0.227915905,0.227915905,0.024120178,-0.333175417,0.022298468,-0.144379654,-0.230496319,0.165088313,-0.001708022,0.003701248,0,-0.230496319,-0.032704003,-0.032704003,-0.004171831,0.052892512,-0.000970321,0.012031143,-0.821985984,0.400179955,-0.011046298,0.023632166,0.014792673,-0.821985984,-0.230339446,-0.230339446,-0.024525683,0.361307092,-0.022605786,0.158139175,-0.399833025,0.789007227,0.010896938,-0.023307652,-0.014792673,0.789007227,0.227915905,0.227915905,0.024120178,-0.333175417,0.022298468,-0.144379654,-0.230496319,0.165088024,-0.001708025,0.003701248,0,-0.230496319,-0.032704147,-0.032704147,-0.004171844,0.052892764,-0.000970325,0.012030984,-0.821985984,0.400179942,-0.011046299,0.023632166,0.014792673,-0.821985984,-0.230339466,-0.230339466,-0.024525684,0.361307052,-0.022605787,0.158139155,0.977539063,0.98046875,0.978759766,0.978515625,0.98046875,0.977539063,88.20000005,215.2000122,48,215.2000122,48,page
-7.120001221,0,-2.673421766,-0.923074578,-0.370370372,0,0,3.760003662,0.833703464,0,0,0,0,8.051834879,2.832475471,0.923074578,0.370370372,0,-7.120001221,0,-2.673421766,-0.923074578,-0.370370372,0,0,3.760003662,0.833703464,0,0,0,0,8.051834879,2.832475492,0.923074578,0.370370372,0,-0.739969946,0.71684588,-0.002904165,-0.034293553,-0.034293553,0.704950614,0.234099008,0.234099008,0.178625449,0.234099008,0.00616582,0.094191283,-0.372277589,0.231240608,0.001040906,0,0,-0.372277589,-0.097148512,-0.097148512,-0.055563038,-0.023016886,0.001272219,0,-0.797211372,0.775259789,0.003073285,0.034293553,0.034293553,-0.797211372,-0.253439684,-0.253439684,-0.187039585,-0.230350455,-0.005959117,-0.094191283,-0.739969946,0.71684588,-0.002904165,-0.034293553,-0.034293553,0.704950614,0.234099008,0.234099008,0.178625449,0.234099008,0.00616582,0.094191283,-0.372277589,0.231240608,0.001040907,0,0,-0.372277589,-0.097148512,-0.097148512,-0.055563038,-0.023016886,0.00127222,0,-0.797211372,0.775259789,0.003073285,0.034293553,0.034293553,-0.797211372,-0.253439684,-0.253439684,-0.187039585,-0.230350455,-0.005959117,-0.094191283,0.977539063,0.98046875,0.97878196,0.978515625,0.98046875,0.977539063,112.9,310.3999634,104,310.3999634,104,page
-0.088887533,0.158416446,0.020342967,0,0,0,-0.079208223,0.932038691,0.128062809,0,0,0,0,0.932038691,0.147281233,0.072073722,0,0,-0.088887533,0.158416446,0.020342967,0,0,0,-0.079208223,0.932039432,0.128062807,0,0,0,0,0.932039432,0.147281228,0.072073722,0,0,-0.01772237,0.015684797,-0.000261556,0,0,-0.007586708,-0.001269362,0.00467785,-0.000772882,0,-0.0006336,0,-0.07843134,0.090489194,-0.000222368,0,0,0,-0.014527742,-0.026376799,-0.000523664,0,-0.000268241,0,-0.078913985,0.090489194,-0.000276952,0,0,-0.007586708,-0.01499656,-0.023553633,-0.000771154,-0.007586708,-0.000639145,0,-0.01772237,0.015684797,-0.000261556,0,0,-0.007586708,-0.001269362,0.00467785,-0.000772882,0,-0.0006336,0,-0.07843134,0.090489266,-0.000222369,0,0,0,-0.014527756,-0.026376689,-0.000523666,0,-0.000268242,0,-0.078913985,0.090489266,-0.000276952,0,0,-0.007586708,-0.014996574,-0.023553533,-0.000771156,-0.007586708,-0.000639146,0,0.16796875,0.979492188,0.929657907,0.978515625,0.16796875,0.977539063,337.5,7.200012207,43.19999695,7.200012207,43.19999695,pen
-0.079206712,0.527471192,0.052067114,0,0.071427482,-0.079206712,-0.087912424,0.226414518,0.031233531,0,0.142856326,0.079206712,0,0.534747092,0.1090606,0.076190767,0.159717924,0.112015206,-0.079206712,0.527471192,0.052067114,0,0.071427482,-0.079206712,-0.087912424,0.226414518,0.031233531,0,0.142856326,0.079206712,0,0.534747092,0.1090606,0.076190767,0.159717924,0.112015206,-0.049296373,0.057963868,-0.00037157,0,0.006377454,-0.007842249,0.000214742,-2.72E-07,-0.000615322,0,-0.000260659,0,-0.017050363,0.02135986,0.000281091,0,0.012755029,0.007842249,-0.001997987,-0.007119863,0.000582163,-0.001456886,0.000335359,0,-0.049976364,0.058763417,0.000239409,-0.000906594,0.014260529,0.011090614,-0.001769262,-0.006594379,0.000854426,-0.001456886,0.000464799,-0.000728443,-0.049296373,0.057963868,-0.00037157,0,0.006377454,-0.007842249,0.000214742,-2.72E-07,-0.000615322,0,-0.000260659,0,-0.017050363,0.02135986,0.000281091,0,0.012755029,0.007842249,-0.001997987,-0.007119863,0.000582163,-0.001456886,0.000335359,0,-0.049976364,0.058763417,0.000239409,-0.000906594,0.014260529,0.011090614,-0.001769262,-0.006594379,0.000854426,-0.001456886,0.000464799,-0.000728443,0.9765625,0.979492188,0.979275174,0.979492188,0.9765625,0.978515625,284.6999999,16.79998779,10.3999939,16.79998779,10.3999939,pen
0,0.771928747,0.204756825,0,0.074765215,0.190476918,-0.242423626,0,-0.057548584,0,0,0,0,0.800121925,0.218103618,0.037382607,0.074765215,0.190476918,0,0.771928747,0.204756825,0,0.074765215,0.190476918,-0.242423626,0,-0.057548584,0,0,0,0,0.800121925,0.218103618,0.037382607,0.074765215,0.190476918,-0.083905299,0.073462017,0.000596691,0,0.006987403,0.022675824,0.012274107,0.022675824,-0.007822906,-0.013962558,0.000797161,0,-0.024487235,0.025337935,0.000561434,0,0,0,-0.000673645,0,0.004622177,0.003614363,0.000714553,0,-0.086969775,0.077435732,0.000467459,0,0.006987403,0.022675824,0.012321982,0.022675824,-0.008663311,-0.014219424,0.000632684,0,-0.083905299,0.073462017,0.000596691,0,0.006987403,0.022675824,0.012274107,0.022675824,-0.007822906,-0.013962558,0.000797161,0,-0.024487235,0.025337935,0.000561434,0,0,0,-0.000673645,0,0.004622177,0.003614363,0.000714553,0,-0.086969775,0.077435732,0.000467459,0,0.006987403,0.022675824,0.012321982,0.022675824,-0.008663311,-0.014219424,0.000632684,0,0.977539063,0.979492188,0.978585379,0.978515625,0.978515625,0.977539063,141.9,30.3999939,8.800003052,30.3999939,8.800003052,pen
0,0.571429539,0.135417021,0.042104621,0,0,-0.317460014,0,-0.080017218,-0.039216023,0,0,0,0.653691501,0.158026915,0.059545635,0,0,0,0.571429539,0.135417021,0.042104621,0,0,-0.317460317,0,-0.080017139,-0.039215836,0,0,0,0.653691648,0.158026864,0.059545493,0,0,-0.068846933,0.032902079,-0.003326295,0.003561476,0,-0.068846933,-0.068846933,-0.068846933,-0.017972427,-0.017972427,-0.003991554,0.007122951,-0.018970474,0.038248195,0.001829995,0,0,0.038248195,0.038248195,0.038248195,0.009638861,0.009638861,0.002195994,0,-0.078758013,0.037961332,-0.003790397,0.002759189,0,-0.078758013,-0.078758013,-0.078758013,-0.02039834,-0.02039834,-0.004548476,0.005518377,-0.068846933,0.032902079,-0.003326295,0.003561476,0,-0.068846933,-0.068846933,-0.068846933,-0.017972427,-0.017972427,-0.003991554,0.007122951,-0.018970527,0.038248231,0.001829998,0,0,0.038248231,0.038248231,0.038248231,0.009638852,0.009638852,0.002195998,0,-0.07875803,0.037961357,-0.003790399,0.002759194,0,-0.07875803,-0.07875803,-0.07875803,-0.020398337,-0.020398337,-0.004548478,0.005518389,0.977539063,0.979492188,0.978515625,0.978515625,0.979492188,0.977539063,69.29999995,23.19998169,12.80000687,23.19998169,12.80000305,pen
0,0.055171572,0.006130175,0,0,0,0,0.606896762,0.181292001,0,0,0.576576025,0,0.609399362,0.181570068,0,0,0.576576025,0,0.055171572,0.006130175,0,0,0,0,0.606896762,0.181292001,0,0,0.576576025,0,0.609399362,0.181570068,0,0,0.576576025,-0.011738632,0.003804936,-0.000881522,0,0,0,-0.005869316,-0.005869316,-0.001983424,0,-0.001133385,0,-0.129126969,0.051943786,-0.00314861,0,0,0.051943786,-0.038591592,-0.038591592,-0.006438275,0.025715042,-0.004943242,0,-0.129659437,0.051943786,-0.003188597,0,0,0.051943786,-0.038857826,-0.038857826,-0.006528244,0.025801338,-0.004994652,0,-0.011738632,0.003804936,-0.000881522,0,0,0,-0.005869316,-0.005869316,-0.001983424,0,-0.001133385,0,-0.129126969,0.051943786,-0.00314861,0,0,0.051943786,-0.038591592,-0.038591592,-0.006438275,0.025715042,-0.004943242,0,-0.129659437,0.051943786,-0.003188597,0,0,0.051943786,-0.038857826,-0.038857826,-0.006528244,0.025801338,-0.004994652,0,0.977539063,0.979492188,0.978732639,0.979492188,0.979492188,0.977539063,100.4000001,0.799987793,22.40001297,0.799987793,22.40000916,pen
-0.076921903,0.319998169,0.040820896,0,0,-0.076921903,-0.0776702,1.05263157,0.147729717,0,0.076923371,-0.076923371,0,1.061947146,0.192868303,0.083332062,0.076923371,0.108785036,-0.076921903,0.319998169,0.040820896,0,0,-0.076921903,-0.0776702,1.05263157,0.147729715,0,0.076923371,-0.076923371,0,1.061947146,0.1928683,0.083332062,0.076923371,0.108785036,-0.031999817,0.031999817,-0.000652563,0,0,-0.007396337,-0.001147621,0,-0.0008474,0,-0.000845535,0,-0.141612325,0.092336102,-0.004113254,0,0.007396478,-0.007396478,-0.007215261,-0.003698239,-0.013563003,-0.003698239,-0.005126469,0,-0.141612325,0.093153258,-0.003997611,0,0.007396478,0.0104601,-0.004225355,0,-0.012086209,0,-0.004946715,0,-0.031999817,0.031999817,-0.000652563,0,0,-0.007396337,-0.001147621,0,-0.0008474,0,-0.000845535,0,-0.141612325,0.092336102,-0.004113254,0,0.007396478,-0.007396478,-0.007215246,-0.003698239,-0.013563003,-0.003698239,-0.005126469,0,-0.141612325,0.093153258,-0.003997611,0,0.007396478,0.0104601,-0.004225339,0,-0.012086209,0,-0.004946715,0,0.977539063,0.979492188,0.978358115,0.978515625,0.977539063,0.977539063,319.9,15.19998169,51.19999695,15.19998169,51.19999695,pen
0,0.754716988,0.128840974,0,0,0,-0.085106708,0,-0.017841917,0,0,0,0,0.758481071,0.130793761,0,0,0,0,0.754716988,0.128840974,0,0,0,-0.085106708,0,-0.017841917,0,0,0,0,0.758481071,0.130793761,0,0,0,-0.082935933,0.057092803,-0.001137596,0,0,-0.082935933,-0.012921565,-0.012921565,-0.009349977,-0.005778389,-0.001462623,0,-0.009053905,0.008510671,7.0041E-05,0,0,0.008293467,0.000586802,0.000586802,0.002421069,0.004146733,9.00528E-05,0,-0.083349568,0.057447905,-0.001134305,0,0,-0.083349568,-0.012950831,-0.012950831,-0.009709885,-0.006468939,-0.001458392,0,-0.082935933,0.057092803,-0.001137596,0,0,-0.082935933,-0.012921565,-0.012921565,-0.009349977,-0.005778389,-0.001462623,0,-0.009053905,0.008510671,7.0041E-05,0,0,0.008293467,0.000586802,0.000586802,0.002421069,0.004146733,9.00528E-05,0,-0.083349568,0.057447905,-0.001134305,0,0,-0.083349568,-0.012950831,-0.012950831,-0.009709885,-0.006468939,-0.001458392,0,0.977539063,0.979492188,0.978732639,0.978515625,0.979492188,0.977539063,101.6,17.6000061,2.399993896,17.6000061,2.399993896,pen
