velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-8.577314512,0,-2.565498089,-0.659796336,0,-4.466669718,-0.263735596,0,-0.078754105,0,0,-0.200004578,0,8.580882168,2.567534571,0.664931601,0,4.47114529,-8.577314512,0,-2.565498089,-0.659796336,0,-4.466669718,-0.263738949,0,-0.078753945,0,0,-0.200002035,0,8.580882259,2.567534556,0.664931601,0,4.471145176,-0.884259224,0.80059632,-0.051282445,0,0,0.342553733,0.086296943,0.342553733,-0.04667868,0.342553733,-0.059944425,0.108393394,-0.028981934,0.025117676,-0.001875119,0,0,0.003950932,-0.004346224,0.003950932,-0.004457701,0,-0.001587353,0.001975466,-0.800641624,0.884627023,0.051316954,0,0,-0.342478073,-0.086164225,-0.342478073,0.046768152,-0.342478073,0.059936346,-0.109022693,-0.884259224,0.80059632,-0.051282445,0,0,0.342553733,0.086296943,0.342553733,-0.04667868,0.342553733,-0.059944425,0.108393394,-0.028982302,0.025117995,-0.001875113,0,0,0.003951406,-0.004346282,0.003951406,-0.004457666,0,-0.001587345,0.001975703,-0.80064162,0.884627033,0.051316954,0,0,-0.34247809,-0.086164226,-0.34247809,0.04676815,-0.34247809,0.059936346,-0.109022679,0.978515625,0.98046875,0.98031851,0.98046875,0.98046875,0.978515625,135.3,332,10.40005493,332,10.40002441,page
-6.845363308,0,-1.934322829,-0.528299582,-0.220180127,0,-1.402065624,0,-0.351062697,-0.075470546,0,0,0,6.987473566,1.96906642,0.533663051,0.220180127,0,-6.845363308,0,-1.934322829,-0.528299582,-0.220180127,0,-1.402065624,0,-0.351062697,-0.075470546,0,0,0,6.987473566,1.96906642,0.533663051,0.220180127,0,-0.65124368,0.639753584,-0.022556066,-0.020200012,-0.020200012,0.506993271,0.506993271,0.506993271,0.182524332,0.506993271,-0.022948742,-0.017010885,-0.136762378,0.131034171,-0.00404603,0,0,0.069929669,0.069929669,0.069929669,0.039439896,0.069929669,-0.004720369,-0.00493976,-0.653034917,0.665341287,0.022941125,0.020200012,0.020200012,-0.511793254,-0.511793254,-0.511793254,-0.186660535,-0.511793254,0.023397977,0.017514091,-0.65124368,0.639753584,-0.022556066,-0.020200012,-0.020200012,0.506993271,0.506993271,0.506993271,0.182524332,0.506993271,-0.022948742,-0.017010885,-0.136762378,0.131034171,-0.00404603,0,0,0.069929669,0.069929669,0.069929669,0.039439896,0.069929669,-0.004720369,-0.00493976,-0.653034917,0.665341287,0.022941125,0.020200012,0.020200012,-0.511793254,-0.511793254,-0.511793254,-0.186660535,-0.511793254,0.023397977,0.017514091,0.979492188,0.98046875,0.980189732,0.98046875,0.98046875,0.979492188,75.80000007,173.6000366,28,173.6000366,28,page
-4.639996338,0,-1.177391969,-0.119998169,0,0,-0.879998779,0,-0.201675404,-0.03738546,-0.074770919,0,0,4.72270726,1.199732486,0.157383628,0.074770919,0,-4.639996338,0,-1.177391969,-0.119998169,0,0,-0.879998779,0,-0.201675404,-0.03738546,-0.074770919,0,0,4.72270726,1.199732486,0.157383628,0.074770919,0,-0.464588423,0.4549016,-0.006577344,0,0,0.4549016,0.09591595,0.296845884,0.025128438,0.1638056,-0.006189381,0.022429564,-0.087999878,0.08627439,-0.000911498,0,-0.006987936,0.08627439,0.018664773,0.057719806,0.001921799,0.018167332,-0.001232879,0,-0.463010514,0.472270726,0.006596154,-0.00040035,0.006987936,-0.463010514,-0.097715078,-0.302405448,-0.025168052,-0.164712553,0.006286112,-0.022429564,-0.464588423,0.4549016,-0.006577344,0,0,0.4549016,0.09591595,0.296845884,0.025128438,0.1638056,-0.006189381,0.022429564,-0.087999878,0.08627439,-0.000911498,0,-0.006987936,0.08627439,0.018664773,0.057719806,0.001921799,0.018167332,-0.001232879,0,-0.463010514,0.472270726,0.006596154,-0.00040035,0.006987936,-0.463010514,-0.097715078,-0.302405448,-0.025168052,-0.164712553,0.006286112,-0.022429564,0.98046875,0.981445313,0.981305804,0.981445313,0.981445313,0.98046875,145.5,186.3999634,29.59997559,186.3999634,29.59997559,page
-6.139533532,0,-2.294398307,-1.896397241,-0.792791691,-5.142859659,-1.023254406,0,-0.405627049,-0.404081634,-0.504507803,-0.408163267,0,6.22422056,2.345246928,2.037212332,0.939705693,5.159031181,-6.139533532,0,-2.294398307,-1.896397241,-0.792791691,-5.142859659,-1.023254406,0,-0.405627049,-0.404081634,-0.504507803,-0.408163267,0,6.22422056,2.345246928,2.037212332,0.939705693,5.159031181,-0.713899256,0.590339757,-0.089032796,-0.13075526,-0.071422675,-0.190087846,-0.259043862,-0.259043862,0.024084011,-0.190087846,-0.11951161,-0.259043862,-0.118983072,0.098389846,-0.010152783,-0.020416493,-0.045451153,-0.000832986,-0.020416493,-0.020416493,0.01918562,-0.000832986,-0.014046913,-0.020416493,-0.598482741,0.723746585,0.089757912,0.136958278,0.08465817,0.189258385,0.259844143,0.259844143,-0.026264818,0.189258385,0.120626907,0.259844143,-0.713899256,0.590339757,-0.089032796,-0.13075526,-0.071422675,-0.190087846,-0.259043862,-0.259043862,0.024084011,-0.190087846,-0.11951161,-0.259043862,-0.118983072,0.098389846,-0.010152783,-0.020416493,-0.045451153,-0.000832986,-0.020416493,-0.020416493,0.01918562,-0.000832986,-0.014046913,-0.020416493,-0.598482741,0.723746585,0.089757912,0.136958278,0.08465817,0.189258385,0.259844143,0.259844143,-0.026264818,0.189258385,0.120626907,0.259844143,0.978515625,0.981445313,0.980712891,0.980957031,0.981445313,0.978515625,91.69999993,178.4000244,26.39996338,178.4000244,26.39996338,page
0,6.207998047,2.288724773,0.772702253,0.224301346,0,0,1.727998047,0.507152931,0.110090063,0,0,0,6.444006285,2.347662651,0.781813433,0.224301346,0,0,6.207998047,2.288724773,0.772702253,0.224301346,0,0,1.727998047,0.507152931,0.110090063,0,0,0,6.444006285,2.347662651,0.781813433,0.224301346,0,-0.850410697,0.629362746,-0.036458657,0.01964345,0.020962743,-0.850410697,-0.850410697,-0.850410697,-0.41604327,-0.41604327,-0.047942937,0.018324157,-0.236712063,0.115235728,-0.01225851,0.010100006,0,-0.236712063,-0.236712063,-0.236712063,-0.093025686,-0.093025686,-0.014710213,0.020200012,-0.882740593,0.639825553,-0.038319416,0.025107912,0.020962743,-0.882740593,-0.882740593,-0.882740593,-0.426743755,-0.426743755,-0.050175847,0.029253082,-0.850410697,0.629362746,-0.036458657,0.01964345,0.020962743,-0.850410697,-0.850410697,-0.850410697,-0.41604327,-0.41604327,-0.047942937,0.018324157,-0.236712063,0.115235728,-0.01225851,0.010100006,0,-0.236712063,-0.236712063,-0.236712063,-0.093025686,-0.093025686,-0.014710213,0.020200012,-0.882740593,0.639825553,-0.038319416,0.025107912,0.020962743,-0.882740593,-0.882740593,-0.882740593,-0.426743755,-0.426743755,-0.050175847,0.029253082,0.98046875,0.982421875,0.981445313,0.981445313,0.981445313,0.98046875,71.89999998,205.5999756,53.59997559,205.5999756,53.59997559,page
-0.06722843,1.223528694,0.278172416,0.07767168,0.070798081,0,-0.37646978,0,-0.068047658,0,0,0,0,1.280137477,0.29554207,0.07767168,0.070798081,0,-0.06722843,1.223528694,0.278172416,0.07767168,0.070798081,0,-0.376470229,0,-0.068047632,0,0,0,0,1.280137609,0.29554206,0.07767168,0.070798081,0,-0.121141456,0.143944552,0.001079865,0.001105442,0.006265317,0.008509928,0.002418137,0.008509928,-0.019170205,-0.004493336,0.001362091,0.003894119,-0.044290562,0.037274236,-0.000320477,0,0,0,0,0,0.006016417,0,-0.00038915,0,-0.126746286,0.150604409,0.000806264,-0.00072169,0.006265317,-0.008509928,0.000511151,-0.008509928,-0.020869945,-0.008509928,0.00102986,-0.003357703,-0.121141456,0.143944552,0.001079865,0.001105442,0.006265317,0.008509928,0.002418137,0.008509928,-0.019170205,-0.004493336,0.001362091,0.003894119,-0.044290615,0.03727428,-0.000320476,0,0,0,0,0,0.006016422,0,-0.00038915,0,-0.126746299,0.150604425,0.000806264,-0.00072169,0.006265317,-0.008509928,0.000511151,-0.008509928,-0.020869947,-0.008509928,0.00102986,-0.003357711,0.9765625,0.979492188,0.979147518,0.979492188,0.9765625,0.979492188,180.8,46.3999939,11.20000076,46.3999939,11.19999695,pen
-0.470587042,0.859506148,0.029153205,0,0.076924838,0,-0.076923371,2.710744049,0.421999941,0.165388151,-0.076923371,0,0,2.843744735,0.471964693,0.230759205,0.108787111,0,-0.470587042,0.859506148,0.029153205,0,0.076924838,0,-0.076923371,2.710744049,0.421999937,0.165388525,-0.076923371,0,0,2.843744735,0.471964673,0.230759205,0.108787111,0,-0.110193097,0.064355314,-0.002151936,0.002833033,0.007396619,0.050062451,0.004942028,0.004076206,-0.000581644,-0.007689233,-0.00386618,-0.003844617,-0.34753129,0.197315044,-0.008560021,-0.00146176,-0.007396478,-0.01668751,-0.018148943,-0.027567167,-0.015699819,-0.038446824,-0.012655933,-0.019681595,-0.364582661,0.207484717,-0.009036582,-0.001673615,0.010460299,-0.052770465,-0.019291198,-0.035142599,-0.016148122,-0.045324081,-0.013636172,-0.022383781,-0.110193097,0.064355314,-0.002151936,0.002833033,0.007396619,0.050062451,0.004942028,0.004076206,-0.000581644,-0.007689233,-0.00386618,-0.003844617,-0.34753129,0.197315044,-0.008560022,-0.00146176,-0.007396478,-0.01668759,-0.018148982,-0.027567097,-0.015699821,-0.038446604,-0.012655934,-0.019681634,-0.364582661,0.207484717,-0.009036583,-0.001673615,0.010460299,-0.05277049,-0.019291235,-0.035142541,-0.016148124,-0.045324175,-0.013636172,-0.02238371,0.978515625,0.979492188,0.979383681,0.979492188,0.979492188,0.978515625,181.5999999,16.79998779,84.79999542,16.79998779,84.80000305,pen
0,1.000000633,0.277421784,0.118811579,0,1.000000633,-0.833333331,0,-0.244092009,-0.15484813,-0.072072348,-0.833333331,0,1.301708765,0.37315354,0.204061387,0.072072348,1.301708765,0,1.000000633,0.277421784,0.118811579,0,1.000000633,-0.833333331,0,-0.244091987,-0.154847753,-0.072072348,-0.833333331,0,1.301708765,0.373153535,0.20406112,0.072072348,1.301708765,-0.066812756,0.104166732,0.013280228,0.011763523,0,0.104166732,0.018676988,0.018676988,0.026594418,0.042429277,0.01770697,0.025230454,-0.086805555,0.050109726,-0.010707204,-0.015010062,-0.006493004,-0.086805555,-0.018347914,-0.018347914,-0.020208784,-0.023930524,-0.014514111,-0.023728822,-0.08351604,0.135594663,0.016990319,0.019882662,0.006493004,0.135594663,0.026039311,0.026039311,0.033310567,0.04785308,0.022891598,0.035681186,-0.066812756,0.104166732,0.013280228,0.011763523,0,0.104166732,0.018676988,0.018676988,0.026594418,0.042429277,0.01770697,0.025230454,-0.086805555,0.050109646,-0.0107072,-0.015010025,-0.006493004,-0.086805555,-0.018347954,-0.018347954,-0.020208731,-0.023930285,-0.014514106,-0.023728665,-0.083515993,0.135594663,0.016990317,0.019882635,0.006493004,0.135594663,0.026039335,0.026039335,0.03331053,0.04785292,0.022891594,0.035681205,0.978515625,0.979492188,0.978759766,0.978515625,0.978515625,0.978515625,90.5,24.79998779,21.59998322,24.79998779,21.59999084,pen
-0.904347295,0.659793182,0.006148888,0,0.065039658,0.316829869,-0.989690559,1.191489852,0.068163887,0,0,0,0,1.329042029,0.186229676,0.079207468,0.065039658,0.316829869,-0.904347295,0.659793182,0.006148888,0,0.065039658,0.316829869,-0.989689773,1.19148904,0.068163881,0,0,0,0,1.329042029,0.186229678,0.079207468,0.065039658,0.316829869,-0.073310354,0.101612056,-0.000648903,0,0.005287777,0.031369294,0.001975343,0,0.000523886,0,-0.00101154,0,-0.109428551,0.12675424,0.000736823,0,0,0,-0.000605001,0,-0.000920254,0,0.001228815,0,-0.149330565,0.134595511,-0.002228772,0.00168801,0.005287777,0.031369294,0.000499298,0.000369996,-0.001040928,-0.003448338,-0.002006358,0,-0.073310354,0.101612056,-0.000648903,0,0.005287777,0.031369294,0.001975343,0,0.000523886,0,-0.00101154,0,-0.109428551,0.126754154,0.000736822,0,0,0,-0.000605002,0,-0.000920256,0,0.001228815,0,-0.149330565,0.13459543,-0.002228772,0.001687974,0.005287777,0.031369294,0.000499298,0.000369924,-0.001040931,-0.003448373,-0.002006358,0,0.977539063,0.979492188,0.97890111,0.978515625,0.979492188,0.978515625,768.1,27.20001221,52.80000305,27.20001221,52.80000305,pen
-1.212121215,0.907218378,0.033416814,0,0,0.062016923,-1.154638855,1.454545612,-0.026182388,0,0.072072347,-0.248062371,0,1.893393984,0.459098678,0.247421266,0.072072347,0.255697162,-1.212121215,0.907218378,0.033416814,0,0,0.062016923,-1.154638855,1.454544842,-0.026182377,0,0.072072347,-0.248061779,0,1.893393392,0.459098637,0.247422053,0.072072347,0.255696588,-0.122436487,0.110192838,-0.001516821,0,0,0.004807513,-0.017344963,-0.032751978,-0.00427047,-0.013972232,-0.001423444,0.00583306,-0.132231419,0.1469238,0.002296024,-0.011888348,0.006493004,-0.019229641,0.01921256,0.038505969,0.004847267,0.01330881,-0.002412106,-0.016473426,-0.172126726,0.191251918,0.000230761,0.001173135,0.006493004,0.019821485,-0.025496521,-0.060148155,-0.006312845,-0.021505049,-0.005015122,-0.022103336,-0.122436487,0.110192838,-0.001516821,0,0,0.004807513,-0.017344963,-0.032751978,-0.00427047,-0.013972232,-0.001423444,0.00583306,-0.132231349,0.146923722,0.002296032,-0.011888446,0.006493004,-0.019229595,0.019212568,0.038505969,0.004847272,0.013308761,-0.002412097,-0.016473403,-0.172126672,0.191251858,0.000230759,0.001173053,0.006493004,0.019821441,-0.025496529,-0.060148155,-0.006312849,-0.021505008,-0.005015124,-0.022103336,0.977539063,0.979492188,0.97875,0.978515625,0.979492188,0.977539063,254.7,37.6000061,50.40000153,37.6000061,50.3999939,pen
