velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.920001221,0,-1.890818383,-1.236361417,-0.403360324,0,-0.067230995,1.03999939,0.201202255,0,-0.067230995,0,0,6.010658299,1.906349153,1.236361417,0.40892488,0,-5.920001221,0,-1.890818383,-1.236361417,-0.403360324,0,-0.067230995,1.040002441,0.201202517,0,-0.067230995,0,0,6.010658827,1.906349171,1.236361417,0.40892488,0,-0.487999878,0.56380964,-0.004744061,-0.033895826,-0.033895826,0.56380964,-0.01200685,-0.2083269,0.062725119,0.102022181,0.002526132,-0.035501505,-0.099047561,0.074968255,0.000639611,0,-0.005649663,-0.099047561,0.002150581,0.030531049,-0.005937824,-0.005773819,0.00064781,0.003305861,-0.572443647,0.49217878,0.004774428,0.034363436,0.034363436,-0.572443647,0.012198171,0.210421722,-0.062986343,-0.102045426,-0.002475618,0.035562705,-0.487999878,0.56380964,-0.004744061,-0.033895826,-0.033895826,0.56380964,-0.01200685,-0.2083269,0.062725119,0.102022181,0.002526132,-0.035501505,-0.099047852,0.074968255,0.000639617,0,-0.005649663,-0.099047852,0.002150586,0.030531354,-0.005937822,-0.005773666,0.000647817,0.003305735,-0.572443698,0.49217874,0.004774428,0.034363436,0.034363436,-0.572443698,0.012198172,0.210421775,-0.062986343,-0.1020454,-0.002475617,0.035562701,0.9765625,0.98046875,0.979817708,0.98046875,0.9765625,0.979492188,152.1999998,292,33.59997559,292,33.60003662,page
-8.977776421,0,-3.941631602,-3.789474803,-1.090909091,-8.977776421,-0.252630936,1.955549452,0.45074308,0,-0.218186812,1.955549452,0,9.188288368,3.993956409,3.805684444,1.112514328,9.188288368,-8.977776421,0,-3.941631602,-3.789474803,-1.090909091,-8.977776421,-0.252634149,1.955552843,0.450743501,0,-0.218184038,1.955552843,0,9.18828909,3.993956453,3.805684444,1.112513784,9.18828909,-0.997530713,0.684830852,-0.159236456,-0.099173554,-0.099173554,-0.997530713,-0.997530713,-0.997530713,-0.367810797,-0.790732529,-0.169246939,-0.161974339,-0.117820772,0.217283272,0.032406086,-0.003625697,-0.019835165,0.217283272,0.217283272,0.217283272,0.078500993,0.136040479,0.041112961,0.024656807,-0.694892099,1.02092093,0.162720489,0.101137666,0.101137666,1.02092093,1.02092093,1.02092093,0.376126157,0.80234964,0.172984293,0.161594318,-0.997530713,0.684830852,-0.159236456,-0.099173554,-0.099173554,-0.997530713,-0.997530713,-0.997530713,-0.367810797,-0.790732529,-0.169246939,-0.161974339,-0.117820772,0.217283649,0.032406126,-0.003626327,-0.019834913,0.217283649,0.217283649,0.217283649,0.078501119,0.136040479,0.041112966,0.024656632,-0.694892099,1.02092101,0.162720502,0.101137617,0.101137617,1.02092101,1.02092101,1.02092101,0.376126184,0.80234964,0.172984316,0.161594348,0.979492188,0.981445313,0.980747768,0.98046875,0.98046875,0.979492188,82.5,310.4000244,47.99996948,310.4000244,48,page
-7.272727378,0,-2.741965457,-2.327759834,-0.347826087,0,-0.791216827,1.373744175,0.168229035,0,-0.139125658,0,0,7.401333432,2.777987559,2.377186362,0.374618387,0,-7.272727378,0,-2.741965457,-2.327759834,-0.347826087,0,-0.79121012,1.373741093,0.168228775,0,-0.139128312,0,0,7.40133286,2.777987452,2.377186249,0.374619372,0,-0.734618938,0.706090024,-0.000268039,-0.071547014,-0.030245747,0.706090024,-0.014264457,-0.014264457,0.193659803,0.609508324,0.077208617,0.161136145,-0.133373218,0.13876204,-0.001306886,-0.00204885,-0.012097883,-0.133373218,0.002694411,0.002694411,-0.02800187,-0.08939443,0.01221686,0.038692939,-0.718576048,0.747609448,0.000220612,0.075481205,0.032575512,-0.718576048,0.0145167,0.0145167,-0.195665209,-0.616029026,-0.078489239,-0.162006268,-0.734618938,0.706090024,-0.000268039,-0.071547014,-0.030245747,0.706090024,-0.014264457,-0.014264457,0.193659803,0.609508324,0.077208617,0.161136145,-0.133372919,0.138761729,-0.001306875,-0.002049118,-0.012098114,-0.133372919,0.002694405,0.002694405,-0.028001874,-0.08939443,0.012216742,0.038692929,-0.718575993,0.747609391,0.000220608,0.075481251,0.032575598,-0.718575993,0.014516699,0.014516699,-0.195665209,-0.616029026,-0.07848922,-0.162006204,0.979492188,0.981445313,0.98059082,0.98046875,0.98046875,0.979492188,88.4000001,267.2000122,32.80001831,267.2000122,32.79998779,page
-4.435642293,0,-1.206500139,-0.323233553,0,0,-0.15842249,0.712878529,0.131028464,0,0,0,0,4.492562559,1.222439751,0.333179651,0,0,-4.435642293,0,-1.206500139,-0.323233553,0,0,-0.158419469,0.712872486,0.131028325,0,0,0,0,4.4925616,1.22243962,0.333181147,0,0,-0.39150329,0.439172508,0.000195406,-0.009876393,0,0.439172508,-0.003816304,-0.161536361,0.033254855,-0.074321214,0.002633543,-0.032015814,-0.070582033,0.066639473,-0.000136017,0.007769296,0,-0.070582033,0.000673455,0.021588189,-0.002422026,0.021588189,0.000481949,0.007960324,-0.444808178,0.397134291,-0.000179467,0.013967595,0,-0.444808178,0.00387527,0.162882253,-0.033348563,0.076959915,-0.002712516,0.032250389,-0.39150329,0.439172508,0.000195406,-0.009876393,0,0.439172508,-0.003816304,-0.161536361,0.033254855,-0.074321214,0.002633543,-0.032015814,-0.070581435,0.066639155,-0.000136012,0.007769889,0,-0.070581435,0.000673463,0.021586967,-0.002422104,0.021586967,0.000481997,0.007960172,-0.444808083,0.397134238,-0.000179467,0.013967328,0,-0.444808083,0.003875272,0.16288205,-0.033348568,0.076959835,-0.002712526,0.03225039,0.979492188,0.98046875,0.980296415,0.98046875,0.979492188,0.979492188,173.7,221.5999756,28,221.5999756,28,page
-4.153847385,0,-1.045290228,-0.266787974,0,-4.153847385,0,0.923074588,0.231793064,0.110169752,0.076189314,0.923074588,0,4.25517506,1.077665521,0.271304863,0.076189314,4.25517506,-4.153847385,0,-1.045290228,-0.266787974,0,-4.153847385,0,0.923074588,0.231793042,0.110168378,0.076189314,0.923074588,0,4.25517506,1.077665443,0.271305542,0.076189314,4.25517506,-0.399408408,0.352852622,-0.011915295,-0.003246688,0,-0.399408408,0.00673146,0.036740813,-0.016068945,-0.08340938,-0.015137971,-0.009262906,-0.087892771,0.088757173,0.002366747,0.002524267,0.007256125,0.088757173,-0.000443371,-0.001318943,0.00455305,0.010916989,0.003026181,0.002524267,-0.359263642,0.409151454,0.012132475,0.007455815,0.007256125,0.409151454,-0.006774552,-0.038493011,0.016581796,0.083919786,0.01540729,0.010033425,-0.399408408,0.352852622,-0.011915295,-0.003246688,0,-0.399408408,0.00673146,0.036740813,-0.016068945,-0.08340938,-0.015137971,-0.009262906,-0.087892771,0.088757173,0.002366733,0.002524518,0.007256125,0.088757173,-0.000443371,-0.001318943,0.004553015,0.010916989,0.003026175,0.002524518,-0.359263642,0.409151454,0.012132472,0.007455705,0.007256125,0.409151454,-0.006774552,-0.038493011,0.016581791,0.083919786,0.015407288,0.010033491,0.977539063,0.98046875,0.980202415,0.98046875,0.977539063,0.978515625,227.7,255.2000122,55.20001221,255.2000122,55.20001221,page
-3.070703342,0,-0.927787342,-0.388349516,-0.216212919,-3.070703342,-0.175824848,1.858588307,0.248023861,0,-0.072070973,1.858588307,0,3.589368957,1.011320242,0.418263249,0.227908428,3.589368957,-3.070703342,0,-0.927787342,-0.388349516,-0.216212919,-3.070703342,-0.175821495,1.858588307,0.248023855,0,-0.072070973,1.858588307,0,3.589368957,1.011320358,0.418264349,0.227908428,3.589368957,-0.310172052,0.290908968,-0.020721688,-0.019478642,-0.019478642,-0.310172052,-0.091974448,-0.155831602,-0.000666743,-0.018319341,-0.023570087,-0.027402958,-0.129293423,0.187736191,0.010875386,-0.000991845,-0.006492881,0.187736191,0.05639498,0.084408186,0.032165666,0.084408186,0.015512011,0.006868156,-0.318347006,0.362562517,0.024016717,0.035269513,0.020532291,0.362562517,0.107870752,0.177223673,0.009102413,0.040246815,0.02758496,0.037758164,-0.310172052,0.290908968,-0.020721688,-0.019478642,-0.019478642,-0.310172052,-0.091974448,-0.155831602,-0.000666743,-0.018319341,-0.023570087,-0.027402958,-0.129293423,0.187736191,0.010875383,-0.000991216,-0.006492881,0.187736191,0.056394961,0.084408434,0.03216577,0.084408434,0.015512036,0.006868331,-0.318347006,0.362562517,0.024016713,0.035269329,0.020532291,0.362562517,0.107870743,0.177223791,0.009102399,0.040246775,0.027584945,0.037758052,0.977539063,0.98046875,0.979867788,0.98046875,0.977539063,0.978515625,131.3,120.7999878,41.6000061,120.7999878,41.60003662,page
-4.597701124,0,-1.306623901,-0.58039219,-0.533331008,0,-0.078424192,1.103455987,0.263744543,0,-0.07619222,0,0,4.728262973,1.339028375,0.585540696,0.538745969,0,-4.597701124,0,-1.306623901,-0.58039219,-0.533331008,0,-0.078430175,1.103452479,0.263744227,0,-0.076189314,0,0,4.728262154,1.339028393,0.585540861,0.538745558,0,-0.357104637,0.450755021,-0.003914976,-0.022275774,-0.050793429,0.450755021,0.091902378,0.091902378,-0.009146899,-0.208737046,-0.004951938,-0.027636578,-0.108181962,0.085024975,0.000938948,0.00320943,-0.007256402,-0.108181962,-0.024418211,-0.024418211,0.001996688,0.053866954,0.001090456,0.003282204,-0.463555202,0.367087139,0.004007405,0.022476444,0.05130914,-0.463555202,-0.095082784,-0.095082784,0.009358732,0.215575516,0.005065432,0.027818708,-0.357104637,0.450755021,-0.003914976,-0.022275774,-0.050793429,0.450755021,0.091902378,0.091902378,-0.009146899,-0.208737046,-0.004951938,-0.027636578,-0.108181618,0.085024975,0.000938937,0.003209285,-0.007256125,-0.108181618,-0.024418402,-0.024418402,0.001996663,0.05386721,0.001090444,0.003282501,-0.463555122,0.367087139,0.004007403,0.022476424,0.051309101,-0.463555122,-0.095082831,-0.095082831,0.009358726,0.21557558,0.005065429,0.027818745,0.979492188,0.981445313,0.98063151,0.98046875,0.98046875,0.979492188,121,160,35.19995117,160,35.19995117,page
-3.657145182,0,-0.924393582,0,0,0,-0.07477092,1.142857143,0.176391901,0,0,0,0,3.83155756,0.949522144,0.07477092,0,0,-3.657145182,0,-0.924393582,0,0,0,-0.07477092,1.142857143,0.176391944,0,0,0,0,3.83155756,0.94952215,0.07477092,0,0,-0.348299541,0.406349465,0.010511636,0,0,0.406349465,0.10272394,0.250121895,0.072203749,0.103167229,0.013139545,-0.037272478,-0.126984127,0.108843537,-0.002240923,0,0,-0.126984127,-0.021679656,-0.046898377,-0.012140126,-0.020213169,-0.002896099,0.003236019,-0.425728618,0.364910244,-0.010867221,0.006987937,0,-0.425728618,-0.105099687,-0.254480688,-0.073335584,-0.105109634,-0.013489081,0.037509469,-0.348299541,0.406349465,0.010511636,0,0,0.406349465,0.10272394,0.250121895,0.072203749,0.103167229,0.013139545,-0.037272478,-0.126984127,0.108843537,-0.002240913,0,0,-0.126984127,-0.021679656,-0.046898377,-0.012140162,-0.020213437,-0.002896086,0.003235752,-0.425728618,0.364910244,-0.010867219,0.006987937,0,-0.425728618,-0.105099687,-0.254480688,-0.073335589,-0.10510967,-0.013489079,0.037509432,0.979492188,0.98046875,0.980403646,0.98046875,0.979492188,0.98046875,153.2,171.2000122,38.3999939,171.2000122,38.40002441,page
-3.849055487,0,-1.523890146,-1.098406583,-0.304763067,-3.849055487,-0.07619222,0.981131508,0.312332522,0.076920437,-0.07619222,0.981131508,0,3.972133832,1.562374575,1.104456176,0.314142932,3.972133832,-3.849055487,0,-1.523890146,-1.098406583,-0.304763067,-3.849055487,-0.076189314,0.981134388,0.312332819,0.076921904,-0.076189314,0.981134388,0,3.972134543,1.562374677,1.104456698,0.314142227,3.972134543,-0.383173554,0.387878418,-0.02476435,-0.023510037,-0.029025054,-0.101277739,-0.192246598,-0.192246598,-0.01878174,-0.101277739,-0.025015212,-0.022610659,-0.088889074,0.083298626,0.006948482,0.004189527,-0.007256402,0.023249009,0.049108791,0.049108791,0.006980029,0.023249009,0.009026641,0.011399833,-0.397933329,0.392123238,0.02564571,0.023764858,0.029918374,0.103870772,0.198420267,0.198420267,0.019886438,0.103870772,0.02602188,0.023622673,-0.383173554,0.387878418,-0.02476435,-0.023510037,-0.029025054,-0.101277739,-0.192246598,-0.192246598,-0.01878174,-0.101277739,-0.025015212,-0.022610659,-0.088888766,0.083298626,0.00694852,0.004189454,-0.007256125,0.023248987,0.049108939,0.049108939,0.006980099,0.023248987,0.009026735,0.01140028,-0.39793326,0.392123238,0.025645715,0.023764892,0.029918307,0.103870764,0.198420304,0.198420304,0.019886455,0.103870764,0.02602188,0.023622626,0.978515625,0.98046875,0.980224609,0.98046875,0.979492188,0.978515625,127.3000002,188.7999878,40.79992676,188.7999878,40.79998779,page
-3.213673179,0,-1.10247912,-0.377358494,-0.148145888,-2.742861793,-0.07407577,0.533335368,0.177890756,0.075473426,-0.07407577,0.304760161,0,3.24911986,1.120321845,0.384832004,0.165633402,2.759740852,-3.213673179,0,-1.10247912,-0.377358494,-0.148145888,-2.742861793,-0.074072944,0.533331977,0.177890858,0.075470547,-0.074072944,0.304763067,0,3.249120245,1.120321801,0.384831439,0.165632138,2.759741173,-0.303999634,0.391911361,-0.005949744,-0.035599858,-0.013717212,-0.261224933,-0.04314378,-0.151630773,0.005727989,-0.068423494,-0.005569862,-0.080270274,-0.058369243,0.041151636,0.000210151,0.006613908,-0.006858868,0.029024777,0.00387681,0.021559189,-0.002863414,0.0084075,-0.000192154,0.009877523,-0.396234127,0.306619923,0.005902468,0.036304906,0.015336426,0.262832462,0.043290048,0.153280928,-0.00608045,0.068847875,0.00545912,0.081459283,-0.303999634,0.391911361,-0.005949744,-0.035599858,-0.013717212,-0.261224933,-0.04314378,-0.151630773,0.005727989,-0.068423494,-0.005569862,-0.080270274,-0.058369561,0.041152159,0.000210155,0.006613656,-0.006858606,0.029025054,0.003876837,0.021559694,-0.002863435,0.008407731,-0.000192131,0.009876518,-0.396234174,0.306619923,0.005902467,0.036304853,0.015336309,0.262832493,0.04329005,0.15328094,-0.006080455,0.068847901,0.005459122,0.081459386,0.978515625,0.979492188,0.979440789,0.979492188,0.979492188,0.978515625,199.4000001,232.7999878,36.80001831,232.7999878,36.79998779,page
