velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
0,2.869567856,0.956061018,0.499997132,0.071427481,1.292928079,-0.521737801,0.080813014,-0.105024618,-0.071432931,-0.071432931,0.080813014,0,2.916612764,0.968538445,0.533998217,0.101017566,1.29545118,0,2.869567856,0.956061018,0.499997132,0.071427481,1.292928079,-0.521737801,0.080813014,-0.105024618,-0.071432931,-0.071432931,0.080813014,0,2.916612764,0.968538445,0.533998217,0.101017566,1.29545118,-0.292813048,0.311909548,0.010026812,0.006377454,0.006377454,-0.051870928,-0.010361066,-0.051870928,-0.014712855,-0.070011933,0.008540785,-0.055697199,-0.05671063,0.053238551,0.000569868,0,-0.00637794,0.008162931,0.005234956,0.007541938,0.00524911,0.007823592,0.002182503,0.007823592,-0.297613549,0.317023125,0.010002069,0.007374519,0.009019426,-0.05161607,-0.010330742,-0.05161607,-0.014868339,-0.070367508,0.008257284,-0.057593644,-0.292813048,0.311909548,0.010026812,0.006377454,0.006377454,-0.051870928,-0.010361066,-0.051870928,-0.014712855,-0.070011933,0.008540785,-0.055697199,-0.05671063,0.053238551,0.000569868,0,-0.00637794,0.008162931,0.005234956,0.007541938,0.00524911,0.007823592,0.002182503,0.007823592,-0.297613549,0.317023125,0.010002069,0.007374519,0.009019426,-0.05161607,-0.010330742,-0.05161607,-0.014868339,-0.070367508,0.008257284,-0.057593644,0.978515625,0.98046875,0.979947917,0.98046875,0.978515625,0.978515625,161.9000001,148,16,148,16,page
-3.565216138,0,-1.264117956,-0.384151015,-0.073393375,0,-0.079998779,0.981134365,0.158779282,0,0,0,0,3.574747604,1.285345385,0.390641866,0.073393375,0,-3.565216138,0,-1.264117956,-0.384151015,-0.073393375,0,-0.079998779,0.981134365,0.158779282,0,0,0,0,3.574747604,1.285345385,0.390641866,0.073393375,0,-0.342821922,0.336341141,2.87794E-05,-0.011697122,-0.006733337,0.30188666,0.00764287,0.06386387,0.057566931,0.144032948,0.004635909,0.0580549,-0.109014929,0.073461396,-0.000481795,0.003736166,0,-0.109014929,-0.003867953,0.023949675,-0.005705546,-0.000330456,-0.000572028,0.007472331,-0.337240335,0.350604402,-0.000173985,0.012346207,0.006733337,-0.320966993,-0.008431574,-0.054932131,-0.058087682,-0.140705195,-0.004827396,-0.054932131,-0.342821922,0.336341141,2.87794E-05,-0.011697122,-0.006733337,0.30188666,0.00764287,0.06386387,0.057566931,0.144032948,0.004635909,0.0580549,-0.109014929,0.073461396,-0.000481795,0.003736166,0,-0.109014929,-0.003867953,0.023949675,-0.005705546,-0.000330456,-0.000572028,0.007472331,-0.337240335,0.350604402,-0.000173985,0.012346207,0.006733337,-0.320966993,-0.008431574,-0.054932131,-0.058087682,-0.140705195,-0.004827396,-0.054932131,0.979492188,0.981445313,0.980608259,0.98046875,0.98046875,0.979492188,146.0999999,184.7999878,28,184.7999878,28,page
-10.39252469,0,-5.341819329,-5.487376312,-0.864862673,0,0,2.242987842,0.7326127,0.343731478,0.072070973,0,0,10.63181847,5.407070261,5.498231288,0.867860397,0,-10.39252469,0,-5.341819329,-5.487376312,-0.864862673,0,0,2.242990694,0.732612574,0.343729801,0.072070973,0,0,10.63181907,5.40707036,5.498231186,0.867860397,0,-1.015937048,1.049749959,-0.017629277,-0.052165009,-0.077915557,1.049749959,1.049749959,1.049749959,0.511667748,0.511667748,0.00246615,-0.026414462,-0.226564426,0.152111765,-0.002063544,0.033099243,0.006492881,-0.226564426,-0.226564426,-0.226564426,-0.037226331,-0.037226331,-0.004915685,0.059705605,-1.073921047,1.017663916,0.017239513,0.062607591,0.078185622,-1.073921047,-1.073921047,-1.073921047,-0.513445743,-0.513445743,-0.003075857,0.04702956,-1.015937048,1.049749959,-0.017629277,-0.052165009,-0.077915557,1.049749959,1.049749959,1.049749959,0.511667748,0.511667748,0.00246615,-0.026414462,-0.226564714,0.152112345,-0.002063563,0.033099058,0.006492881,-0.226564714,-0.226564714,-0.226564714,-0.037226185,-0.037226185,-0.004915711,0.059705236,-1.073921108,1.017663894,0.017239511,0.062607629,0.078185622,-1.073921108,-1.073921108,-1.073921108,-0.513445736,-0.513445736,-0.003075859,0.047029636,0.977539063,0.979492188,0.978271484,0.978027344,0.979492188,0.977539063,46.5999999,241.6000366,39.20001221,241.6000366,39.20001221,page
-10.34482767,0,-3.999850639,-2.250649076,-0.954130693,-10.34482767,-1.056610669,2.068965534,0.144121097,0,-0.80733554,2.068965534,0,10.54969563,4.091341102,2.475527266,1.249862414,10.54969563,-10.34482767,0,-3.999850639,-2.250649076,-0.954130693,-10.34482767,-1.056604911,2.068965534,0.144121168,0,-0.80733834,2.068965534,0,10.54969563,4.091341189,2.475527348,1.249864222,10.54969563,-0.891795496,0.807378872,-0.089966615,0.003939071,-0.087534927,-0.891795496,-0.042208312,-0.042208312,0.024125304,0.156792537,-0.12126851,-0.088922949,-0.112859401,0.178359099,0.025727067,0.03363344,-0.074067482,0.178359099,0.032749849,0.032749849,0.065395441,0.130686626,0.033191744,0.051322195,-0.815228733,0.909456527,0.091588326,-0.005159982,0.114666278,0.909456527,0.047113897,0.047113897,-0.018223758,-0.14889907,0.123837762,0.100134997,-0.891795496,0.807378872,-0.089966615,0.003939071,-0.087534927,-0.891795496,-0.042208312,-0.042208312,0.024125304,0.156792537,-0.12126851,-0.088922949,-0.112859733,0.178359099,0.025727069,0.033633323,-0.074067739,0.178359099,0.032749683,0.032749683,0.06539564,0.130687554,0.033191743,0.051321622,-0.815228779,0.909456527,0.091588327,-0.005159989,0.114666444,0.909456527,0.047113874,0.047113874,-0.018223761,-0.148899032,0.123837766,0.100134938,0.977539063,0.981445313,0.980102539,0.98046875,0.981445313,0.977539063,84,333.5999756,34.3999939,333.5999756,34.40002441,page
0,7.686271063,2.772519157,1.506669108,0.262291079,0,-0.705883563,0,-0.158188381,-0.076326815,-0.06557277,0,0,7.718616098,2.780173536,1.521097034,0.270363455,0,0,7.686271063,2.772519157,1.506669108,0.262291079,0,-0.705883563,0,-0.158188381,-0.076326815,-0.06557277,0,0,7.718616098,2.780173536,1.521097034,0.270363455,0,-0.776391009,0.722712325,0.000252283,0.028083212,0.021499269,-0.519297813,-0.339356418,-0.339356418,-0.11027682,-0.322260896,-0.017247641,-0.062373934,-0.045674621,0.071301369,0.000268796,-0.005798777,-0.005374817,0.007017437,0.004048407,0.004048407,0.00628133,0.004048407,0.002566212,-0.00257168,-0.779658184,0.722762344,0.000231738,0.028676911,0.022160939,-0.519345225,-0.33938061,-0.33938061,-0.110444262,-0.322597084,-0.017407794,-0.062111555,-0.776391009,0.722712325,0.000252283,0.028083212,0.021499269,-0.519297813,-0.339356418,-0.339356418,-0.11027682,-0.322260896,-0.017247641,-0.062373934,-0.045674621,0.071301369,0.000268796,-0.005798777,-0.005374817,0.007017437,0.004048407,0.004048407,0.00628133,0.004048407,0.002566212,-0.00257168,-0.779658184,0.722762344,0.000231738,0.028676911,0.022160939,-0.519345225,-0.33938061,-0.33938061,-0.110444262,-0.322597084,-0.017407794,-0.062111555,0.979492188,0.98046875,0.980175781,0.98046875,0.98046875,0.979492188,109.7,316,18.40002441,316,18.40002441,page
0,0.181818876,0.044550509,0,0.070798081,0,-0.134453011,0.545454895,0.110210585,0.070796731,0.070796731,-0.134453011,0,0.574960126,0.137500486,0.090909438,0.100122651,0.134453011,0,0.181818876,0.044550509,0,0.070798081,0,-0.134454293,0.545453161,0.110210462,0.07079538,0.07079538,-0.134454293,0,0.574958481,0.13750051,0.090907704,0.100121697,0.134454293,-0.014842357,0.020661236,-0.000202224,0,0.006265317,0,-0.000227238,0,-0.002732396,-0.003965047,-0.000778196,0,-0.038872692,0.061983511,-0.000563087,0,0.006265197,-0.011298572,-0.002386079,-0.004288181,-0.008499242,-0.009937467,-0.001788505,-0.008576362,-0.0396425,0.065336378,0.000515427,0.007689233,0.008860412,0.011298572,0.003035969,0.004437195,-0.006264715,-0.004742658,-0.000533348,-0.001456228,-0.014842357,0.020661236,-0.000202224,0,0.006265317,0,-0.000227238,0,-0.002732396,-0.003965047,-0.000778196,0,-0.038872692,0.061983314,-0.000563101,0,0.006265078,-0.01129868,-0.002386114,-0.004288099,-0.008499246,-0.009937439,-0.0017885,-0.008576198,-0.0396425,0.065336191,0.000515424,0.007689526,0.008860327,0.01129868,0.003035987,0.004437178,-0.006264692,-0.004742576,-0.00053333,-0.001456064,0.977539063,0.979492188,0.979081003,0.979492188,0.977539063,0.977539063,193.5,8,21.59999084,8,21.6000061,pen
-0.166664125,0.527471178,0.079168483,0,0,0,-0.078434663,0.250000956,0.052440137,0,0,0,0,0.534747078,0.146428718,0.083335242,0,0,-0.166664125,0.527471178,0.079168483,0,0,0,-0.078433167,0.249999367,0.052440171,0,0,0,0,0.534746802,0.146428715,0.083335242,0,0,-0.048000183,0.057963865,-0.000324404,0,0,0,-0.000234091,0,-0.000182242,0,-0.000264999,0,-0.025488789,0.026041767,0.000163075,0,0,-0.015740195,0.000629757,0.000509513,0.000160961,0,0.000153818,0,-0.048000183,0.058763414,-0.00016236,1.66E-07,0,-0.015740195,0.000701356,0.000569793,0.000268673,1.66E-07,-5.70586E-05,0.000284979,-0.048000183,0.057963865,-0.000324404,0,0,0,-0.000234091,0,-0.000182242,0,-0.000264999,0,-0.025488789,0.026041601,0.000163075,0,0,-0.015740345,0.000629766,0.000509827,0.000160964,0,0.00015382,0,-0.048000183,0.058763384,-0.000162358,3.31E-07,0,-0.015740345,0.000701364,0.000570075,0.000268675,3.31E-07,-5.70572E-05,0.000285203,0.978515625,0.979492188,0.979017103,0.979492188,0.978515625,0.979492188,380.8,36,21.60003662,36,21.6000061,pen
0,1.03999939,0.25806084,0.070798081,0.072070973,0.527474545,-0.4,0,-0.056361315,0,0,-0.175824848,0,1.114270493,0.266281268,0.070798081,0.072070973,0.55600699,0,1.03999939,0.25806084,0.070798081,0.072070973,0.527474545,-0.4,0,-0.056361295,0,0,-0.175824848,0,1.114270493,0.266281265,0.070798081,0.072070973,0.55600699,-0.098113149,0.103999939,0.003729112,0,0.006492881,0.057964236,0.021283676,0.057964236,-0.000901361,-0.033258108,0.004630136,0.003132658,-0.04,0.037735849,-0.001073604,0,0,-0.019321412,-0.007195188,-0.019321412,-0.001227277,0.003341841,-0.001303663,0,-0.105119856,0.111427049,0.003901295,0,0.006492881,0.06109967,0.022468954,0.06109967,-0.000581276,-0.033232756,0.004839216,0.003132658,-0.098113149,0.103999939,0.003729112,0,0.006492881,0.057964236,0.021283676,0.057964236,-0.000901361,-0.033258108,0.004630136,0.003132658,-0.04,0.037735849,-0.001073596,0,0,-0.019321412,-0.007195188,-0.019321412,-0.00122723,0.003341493,-0.001303652,0,-0.105119856,0.111427049,0.003901293,0,0.006492881,0.06109967,0.022468954,0.06109967,-0.000581284,-0.033232687,0.004839213,0.003132658,0.977539063,0.979492188,0.979204963,0.979492188,0.977539063,0.979492188,186.3999999,47.20001221,12,47.20001221,12,pen
-0.242426706,0.099998474,-0.011549915,0,0,0.099998474,0,1.094732987,0.287280167,0.143847011,0.072070971,0.100002289,0,1.094732987,0.291780433,0.146182935,0.072070971,0.141421896,-0.242426706,0.099998474,-0.011549915,0,0,0.099998474,0,1.0947362,0.287280217,0.143847011,0.072073721,0.100002289,0,1.0947362,0.291780481,0.146182935,0.072073721,0.141421896,-0.024487546,0.016242793,0.000467744,0,0,0.012499809,0.003124952,0,0.002447878,0.003703647,0.00058468,0,-0.100434218,0.097948938,0.001310078,0.003332878,0.00649288,-0.00459347,0.000731691,0.003547284,-0.010948507,-0.011500636,0.000617055,0.003094697,-0.100434218,0.10096353,0.001559359,0.003538431,0.00649288,0.000583981,0.002026054,0.00613601,-0.010332609,-0.00891191,0.000928657,0.006075967,-0.024487546,0.016242793,0.000467744,0,0,0.012499809,0.003124952,0,0.002447878,0.003703647,0.00058468,0,-0.100434513,0.097948938,0.001310077,0.003333162,0.006493128,-0.00459347,0.000731691,0.003547284,-0.010948468,-0.011500636,0.000617055,0.003094758,-0.100434513,0.10096353,0.001559359,0.003538554,0.006493128,0.000583981,0.002026054,0.00613601,-0.01033257,-0.00891191,0.000928657,0.006076026,0.978515625,0.979492188,0.979345703,0.979492188,0.978515625,0.978515625,210.1000001,4,56.00001526,4,56,pen
-0.124998091,0.082472968,-0.009311622,0,0,0,0,1.000000871,0.21804417,0.063895889,0,0,0,1.00295522,0.223524075,0.076077962,0,0,-0.124998091,0.082472968,-0.009311622,0,0,0,0,0.999999404,0.218044156,0.06389467,0,0,0,1.002953757,0.223524074,0.076076908,0,0,-0.009765476,0.015624761,0.000224739,0,0,-0.007849174,-0.00272868,-0.004526952,0.000692289,0.000219411,0.00051497,0.000109706,-0.11235965,0.086265934,-0.002382315,-0.00381987,0,-0.007849174,-0.012138513,-0.012162699,-0.011006699,-0.007849174,-0.003003388,-0.007744457,-0.1126916,0.086621662,-0.002511393,-0.004310361,0,-0.011100408,-0.012578051,-0.014760728,-0.011169303,-0.011100408,-0.003260677,-0.010952161,-0.009765476,0.015624761,0.000224739,0,0,-0.007849174,-0.00272868,-0.004526952,0.000692289,0.000219411,0.00051497,0.000109706,-0.112359485,0.086266233,-0.0023823,-0.003819797,0,-0.007849174,-0.012138513,-0.012162699,-0.011006728,-0.007849174,-0.003003368,-0.007744384,-0.112691435,0.08662196,-0.002511379,-0.004310279,0,-0.011100408,-0.012578051,-0.014760728,-0.011169333,-0.011100408,-0.003260659,-0.01095211,0.978515625,0.979492188,0.979447798,0.979492188,0.978515625,0.979492188,228.9000001,5.600006104,52.80000305,5.600006104,52.79998779,pen
