velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-7.137253708,0,-3.244779523,-4.244901697,-0.896000977,-7.137253708,-0.769230769,3.058824728,0.764553474,0,-0.255998535,3.058824728,0,7.765101365,3.398451881,4.375542629,0.931854602,7.765101365,-7.137253708,0,-3.244779523,-4.244901697,-0.896000977,-7.137253708,-0.769230769,3.058824728,0.764553276,0,-0.256000977,3.058824728,0,7.765101365,3.398451981,4.375543384,0.931855273,7.765101365,-0.699730756,0.706619099,-0.064559928,-0.280037778,-0.071680078,-0.699730756,-0.087035286,-0.087035286,-0.032166264,-0.017329457,-0.015590381,-0.280037778,-0.208450582,0.299884777,0.033698663,0.089445438,-0.020479883,0.299884777,0.045717098,0.045717098,0.028545542,0.011373986,0.048946048,0.099962081,-0.712257704,0.761284448,0.070804784,0.304675349,0.074548368,0.761284448,0.097901055,0.097901055,0.040213336,0.018642275,0.022769259,0.304675349,-0.699730756,0.706619099,-0.064559928,-0.280037778,-0.071680078,-0.699730756,-0.087035286,-0.087035286,-0.032166264,-0.017329457,-0.015590381,-0.280037778,-0.208450927,0.299884777,0.033698663,0.089445438,-0.020480078,0.299884777,0.045716925,0.045716925,0.028545618,0.011374312,0.048946043,0.099961788,-0.712257704,0.761284448,0.070804782,0.304675164,0.074548422,0.761284448,0.097900992,0.097900992,0.04021336,0.018642279,0.022769257,0.304675164,0.98046875,0.983398438,0.982333097,0.982421875,0.981445313,0.98046875,120.9,368.7999878,102.4000244,368.7999878,102.4000244,page
-10.90909091,0,-4.702548948,-4.826268811,-0.747663552,-6.518520776,0,4.363637597,1.432871281,0.71451355,0.074765214,3.259260388,0,11.74945095,4.955666007,5.245322127,0.751392457,7.287927784,-10.90909091,0,-4.702548948,-4.826268811,-0.747663552,-6.518520776,0,4.363637597,1.432871281,0.71451355,0.074765214,3.259260388,0,11.74945095,4.955666007,5.245322127,0.751392457,7.287927784,-1.101928375,1.160541586,-0.040715625,-0.287837579,-0.069875098,-0.603566738,0.278487424,0.278487424,-0.181651176,-0.603566738,0.064952555,-0.029831724,-0.464216766,0.440771475,0.028334641,0.036881469,0.006987403,0.301783369,-0.081216698,-0.081216698,0.092779359,0.301783369,0.025485699,0.06853974,-1.24994159,1.186813227,0.048241771,0.298387713,0.070223594,0.674808128,-0.287566731,-0.287566731,0.203893255,0.674808128,-0.055549772,0.041710361,-1.101928375,1.160541586,-0.040715625,-0.287837579,-0.069875098,-0.603566738,0.278487424,0.278487424,-0.181651176,-0.603566738,0.064952555,-0.029831724,-0.464216766,0.440771475,0.028334641,0.036881469,0.006987403,0.301783369,-0.081216698,-0.081216698,0.092779359,0.301783369,0.025485699,0.06853974,-1.24994159,1.186813227,0.048241771,0.298387713,0.070223594,0.674808128,-0.287566731,-0.287566731,0.203893255,0.674808128,-0.055549772,0.041710361,0.978515625,0.982421875,0.980957031,0.981445313,0.981445313,0.978515625,85.7,421.6000366,136.7999878,421.6000366,136.7999878,page
-11.32672905,0,-4.49066925,-4.024917732,-2.169494628,0,0,4.910888671,1.662710897,1.160656607,0.406781213,0,0,12.34551005,4.810937364,4.195730773,2.207301043,0,-11.32672905,0,-4.49066925,-4.024917732,-2.169494628,0,0,4.910888671,1.662710993,1.160655314,0.406778626,0,0,12.34551005,4.810937402,4.195730535,2.207300567,0,-1.121458321,1.089108562,-0.003295711,0.032468328,-0.183855477,0.791589866,0.003997928,0.003997928,0.365701473,0.791589866,0.147525114,0.454752293,-0.472200834,0.486226601,-3.01151E-05,0.008887941,0.034472984,-0.40404053,-0.002040609,-0.002040609,-0.158760684,-0.40404053,-0.036978085,-0.115906529,-1.187068274,1.222327728,0.003158767,-0.028551069,0.18705941,-0.888742519,-0.004488598,-0.004488598,-0.398681824,-0.888742519,-0.152121464,-0.469505522,-1.121458321,1.089108562,-0.003295711,0.032468328,-0.183855477,0.791589866,0.003997928,0.003997928,0.365701473,0.791589866,0.147525114,0.454752293,-0.472200834,0.486226601,-3.00967E-05,0.008887688,0.034472765,-0.40404053,-0.002040609,-0.002040609,-0.158760684,-0.40404053,-0.036978132,-0.115906672,-1.187068274,1.222327728,0.003158771,-0.028551123,0.18705937,-0.888742519,-0.004488598,-0.004488598,-0.398681824,-0.888742519,-0.152121476,-0.469505555,0.979492188,0.982421875,0.981323242,0.981445313,0.981445313,0.979492188,83.3,416.7999878,171.9999695,416.7999878,172,page
-10.71844897,0,-3.99112597,-2.051282051,-2.051282051,0,0,5.176469394,1.660620319,0.273505317,0.273505317,0,0,11.181501,4.356618972,2.069435481,2.069435481,0,-10.71844897,0,-3.99112597,-2.051282051,-2.051282051,0,0,5.176469394,1.660620319,0.273505317,0.273505317,0,0,11.181501,4.356618972,2.069435481,2.069435481,0,-1.040626113,0.86120758,0.01569124,0.22296544,-0.175323252,0.86120758,0.86120758,0.86120758,0.221660884,0.664982651,0.047526988,0.330402696,-0.507496999,0.507497,-0.004040273,-0.019652742,0.023376523,-0.507496999,-0.507496999,-0.507496999,-0.103816065,-0.311448197,-0.008609739,-0.02469079,-0.999615776,1.085582621,-0.016311052,-0.224938639,0.176874827,-0.999615776,-0.999615776,-0.999615776,-0.244767896,-0.734303688,-0.048508698,-0.321165562,-1.040626113,0.86120758,0.01569124,0.22296544,-0.175323252,0.86120758,0.86120758,0.86120758,0.221660884,0.664982651,0.047526988,0.330402696,-0.507496999,0.507497,-0.004040273,-0.019652742,0.023376523,-0.507496999,-0.507496999,-0.507496999,-0.103816065,-0.311448197,-0.008609739,-0.02469079,-0.999615776,1.085582621,-0.016311052,-0.224938639,0.176874827,-0.999615776,-0.999615776,-0.999615776,-0.244767896,-0.734303688,-0.048508698,-0.321165562,0.979492188,0.982421875,0.981166295,0.981445313,0.981445313,0.979492188,76.9,320.7999878,150.4000244,320.7999878,150.4000244,page
0,6.49056489,3.101743195,3.112604905,1.882354993,6.30769583,-1.980951218,0.230771578,-0.478198621,-0.114286877,-0.941177497,0.230771578,0,6.553445593,3.179839074,3.226701341,2.104536861,6.31191589,0,6.49056489,3.101743195,3.112604905,1.882354993,6.30769583,-1.980951218,0.230771578,-0.478198621,-0.114286877,-0.941177497,0.230771578,0,6.553445593,3.179839074,3.226701341,2.104536861,6.31191589,-0.697647593,0.612317443,0.04235925,0.2651915,0.158181092,0.606509214,0.064636211,0.064636211,0.180959214,0.413605221,-0.031918166,-0.031815786,-0.099026069,0.238668821,0.011402152,0.000210323,-0.079090546,0.022189575,0.023653785,0.023653785,0.00851288,0.022189575,0.044888971,0.023653785,-0.737343184,0.618249585,0.041003646,0.279635993,0.176851837,0.60691499,0.064508823,0.064508823,0.181065115,0.414177697,-0.038540469,-0.031859823,-0.697647593,0.612317443,0.04235925,0.2651915,0.158181092,0.606509214,0.064636211,0.064636211,0.180959214,0.413605221,-0.031918166,-0.031815786,-0.099026069,0.238668821,0.011402152,0.000210323,-0.079090546,0.022189575,0.023653785,0.023653785,0.00851288,0.022189575,0.044888971,0.023653785,-0.737343184,0.618249585,0.041003646,0.279635993,0.176851837,0.60691499,0.064508823,0.064508823,0.181065115,0.414177697,-0.038540469,-0.031859823,0.979492188,0.982421875,0.981811523,0.982421875,0.982421875,0.979492188,91.8,283.1999512,32.79998779,283.1999512,32.79998779,page
-0.170210169,0.218181263,-0.025118567,0,0,0.218181263,-0.363636364,1.786407174,0.376004097,0.043478634,0,-0.363636364,0,1.793148413,0.429674822,0.14069861,0,0.424068943,-0.170210169,0.218181263,-0.025118567,0,0,0.218181263,-0.363636364,1.786407174,0.37600414,0.043478427,0,-0.363636364,0,1.793148413,0.42967486,0.140698774,0,0.424068943,-0.018107465,0.017746297,0.001450244,0,0,0.011929643,0.007127098,0.009451652,0.0065523,0.005800166,0.001784916,0,-0.17343759,0.17343759,-0.00225439,0,0,-0.048868113,-0.025234973,-0.045740379,-0.029859765,-0.03200328,-0.003501702,-0.009555744,-0.174092079,0.174092079,0.002232262,0.004725938,0,0.020875363,-0.001243413,0.020875363,-0.018039188,0.00124162,0.002020332,0.017151471,-0.018107465,0.017746297,0.001450244,0,0,0.011929643,0.007127098,0.009451652,0.0065523,0.005800166,0.001784916,0,-0.17343759,0.17343759,-0.002254387,0,0,-0.048868188,-0.025234992,-0.045740452,-0.029859771,-0.032003418,-0.003501694,-0.009555698,-0.174092079,0.174092079,0.002232265,0.004725916,0,0.020875295,-0.001243433,0.020875295,-0.018039194,0.001241486,0.002020339,0.017151617,0.977539063,0.981445313,0.980773926,0.981445313,0.977539063,0.978515625,170.3,7.199981689,64.79999924,7.199981689,64.80000305,pen
-0.627450382,0.705880558,0.08054953,0,0.07407577,-0.627450382,-0.260869731,0.63999939,0.103771551,0,0,0.392156863,0,0.850411608,0.292662375,0.250477439,0.07407577,0.739919582,-0.627450382,0.705880558,0.08054953,0,0.07407577,-0.627450382,-0.260868902,0.63999939,0.103771549,0,0,0.392156863,0,0.850411608,0.292662373,0.250477439,0.07407577,0.739919582,-0.062794289,0.069203976,-0.003479896,-0.007120134,0.006858868,-0.061514743,-0.006220892,-0.010255871,-0.005833505,-0.007864944,-0.007884614,-0.008609754,-0.06530606,0.063999939,0.00026784,0,0,0.038446751,-0.001805005,-0.00295695,0.002939963,0.003364238,0.001887551,0.007031101,-0.086776695,0.085041161,0.0009484,-0.000329733,0.006858868,0.072541135,0.003499094,0.007865955,0.006456839,0.007269133,-0.002738671,-0.01026148,-0.062794289,0.069203976,-0.003479896,-0.007120134,0.006858868,-0.061514743,-0.006220892,-0.010255871,-0.005833505,-0.007864944,-0.007884614,-0.008609754,-0.06530606,0.063999939,0.000267838,0,0,0.038446751,-0.001805005,-0.00295695,0.002939963,0.003364238,0.001887543,0.007031184,-0.086776695,0.085041161,0.000948398,-0.00032969,0.006858868,0.072541135,0.003499094,0.007865955,0.006456839,0.007269133,-0.002738671,-0.01026148,0.979492188,0.981445313,0.981305804,0.981445313,0.98046875,0.979492188,220.7,33.6000061,30.40000534,33.6000061,30.40000916,pen
0,0.769230769,0.222456011,0.161616778,0,0.769230769,-0.307693481,0,-0.111264669,-0.080806848,0,-0.307693481,0,0.828487329,0.249628169,0.180692362,0,0.828487329,0,0.769230769,0.222456011,0.161616778,0,0.769230769,-0.307693481,0,-0.111264681,-0.080806848,0,-0.307693481,0,0.828487329,0.249628172,0.180692362,0,0.828487329,-0.042964554,0.073964497,0.010328326,0.005142226,0,0.073964497,0.073964497,0.073964497,0.024216419,0.041649313,0.012049714,0.010733577,-0.029585912,0.025778585,-0.004041525,-0.005877177,0,-0.029585912,-0.029585912,-0.029585912,-0.009598924,-0.024989445,-0.004715113,-0.007019742,-0.050104774,0.079662243,0.011081394,0.007411798,0,0.079662243,0.079662243,0.079662243,0.026042808,0.048570954,0.012928294,0.012831776,-0.042964554,0.073964497,0.010328326,0.005142226,0,0.073964497,0.073964497,0.073964497,0.024216419,0.041649313,0.012049714,0.010733577,-0.029585912,0.025778667,-0.004041526,-0.005877114,0,-0.029585912,-0.029585912,-0.029585912,-0.009598923,-0.024989524,-0.004715113,-0.007019711,-0.050104816,0.079662243,0.011081395,0.007411763,0,0.079662243,0.079662243,0.079662243,0.026042807,0.048570995,0.012928294,0.012831758,0.979492188,0.981445313,0.980747768,0.98046875,0.98046875,0.979492188,84.8,20,9.599998474,20,9.599990845,pen
0,0.857143402,0.247013706,0.070174368,0.070174368,0.857143402,-0.428571701,0,-0.118494395,0,0,-0.428571701,0,0.958315457,0.274986438,0.070174368,0.070174368,0.958315457,0,0.857143402,0.247013706,0.070174368,0.070174368,0.857143402,-0.428571701,0,-0.118494398,0,0,-0.428571701,0,0.958315457,0.274986439,0.070174368,0.070174368,0.958315457,-0.0552612,0.076530661,0.010006561,0.006155646,0.006155646,0.076530661,0.076530661,0.076530661,0.022774517,0.047054091,0.01064838,0.01318581,-0.03826533,0.027630688,-0.005059871,0,0,-0.03826533,-0.03826533,-0.03826533,-0.011387254,-0.02352712,-0.005903183,-0.008329855,-0.061783939,0.08556388,0.011201034,0.006155646,0.006155646,0.08556388,0.08556388,0.08556388,0.025462683,0.052608106,0.012041932,0.015152214,-0.0552612,0.076530661,0.010006561,0.006155646,0.006155646,0.076530661,0.076530661,0.076530661,0.022774517,0.047054091,0.01064838,0.01318581,-0.03826533,0.0276306,-0.005059874,0,0,-0.03826533,-0.03826533,-0.03826533,-0.011387259,-0.023527045,-0.005903186,-0.008329894,-0.061783899,0.08556388,0.011201035,0.006155646,0.006155646,0.08556388,0.08556388,0.08556388,0.025462684,0.052608073,0.012041933,0.015152231,0.978515625,0.981445313,0.98046875,0.98046875,0.98046875,0.978515625,86.1,26.3999939,13.59999847,26.3999939,13.6000061,pen
-0.299066561,0.860215054,0.045276293,0,-0.073396175,0,-0.873949708,1.57009303,0.155874198,0,0.146790251,0,0,1.598321911,0.38267163,0.200436782,0.164116959,0,-0.299066561,0.860215054,0.045276293,0,-0.073396175,0,-0.873950349,1.570093743,0.155874177,0,0.146789551,0,0,1.598322611,0.38267161,0.200436955,0.164116333,0,-0.080645298,0.092496242,0.000461195,0,-0.006733594,0.023727379,0.002926041,0,0.000274599,0,0.000594728,0,-0.16699665,0.155086185,-0.001072502,0.005498139,0.013466995,0.102817613,-0.013442658,-0.022189293,-0.004278025,0.011723489,-0.001631079,0.007749567,-0.169065491,0.157007482,-0.002959947,0.006304902,0.015056602,-0.105519903,-0.019578531,0.020200268,-0.007364957,0.021102067,-0.004002545,0.00850253,-0.080645298,0.092496242,0.000461195,0,-0.006733594,0.023727379,0.002926041,0,0.000274599,0,0.000594728,0,-0.166996399,0.155086185,-0.0010725,0.005498172,0.013466931,0.102817688,-0.013442648,-0.022189293,-0.00427802,0.011723523,-0.001631077,0.007749567,-0.169065242,0.157007482,-0.002959945,0.006304935,0.015056544,-0.105519977,-0.019578526,0.020200268,-0.007364955,0.021101975,-0.004002544,0.00850253,0.978515625,0.981445313,0.980579723,0.98046875,0.98046875,0.978515625,443,36,93.59999084,36,93.59999084,pen
