velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-8.145457875,0,-3.39684961,-2.204079152,-0.400004069,0,-0.081628294,3.215679098,0.602967628,0,0,0,0,8.26183399,3.491813724,2.20559019,0.400004069,0,-8.145457875,0,-3.39684961,-2.204079152,-0.400004069,0,-0.081631408,3.215685082,0.602967861,0,0,0,0,8.261834454,3.491813913,2.205590305,0.400004069,0,-0.74049617,0.76885382,0.008978144,-0.033333672,-0.033333672,0.678325276,-0.029926116,-0.029926116,0.195576766,0.421079647,0.035131395,0.202428783,-0.289700819,0.315262657,0.000318908,0.00038385,0,-0.289700819,0.012780919,0.012780919,-0.02990682,-0.07259456,0.001315268,0.007845924,-0.768893852,0.802680869,-0.008689824,0.033333672,0.033333672,-0.737598634,0.032541118,0.032541118,-0.197407027,-0.427355171,-0.034796136,-0.188715642,-0.74049617,0.76885382,0.008978144,-0.033333672,-0.033333672,0.678325276,-0.029926116,-0.029926116,0.195576766,0.421079647,0.035131395,0.202428783,-0.289701358,0.315263244,0.000318909,0.000384152,0,-0.289701358,0.012780943,0.012780943,-0.029906876,-0.072594695,0.001315304,0.007845924,-0.768893852,0.802681099,-0.008689823,0.033333672,0.033333672,-0.737598845,0.032541127,0.032541127,-0.197407033,-0.427355193,-0.034796135,-0.188715775,0.977539063,0.98046875,0.979669744,0.979492188,0.977539063,0.979492188,117.2,421.5999756,95.19998169,421.5999756,95.20001221,page
-8.615382288,0,-3.599257742,-2.640002441,-1.174310803,-8.392154479,-0.152378627,4.235286344,0.790404434,0,-0.14678955,4.235286344,0,9.400314208,3.746319264,2.809132567,1.183449633,9.400314208,-8.615382288,0,-3.599257742,-2.640002441,-1.174310803,-8.392154479,-0.15238444,4.235289336,0.790404414,0,-0.146786751,4.235289336,0,9.400315556,3.746319288,2.809131524,1.183449286,9.400315556,-0.828402145,0.879120641,-0.062065732,0.123611663,-0.107734936,-0.822760244,-0.267901729,-0.267901729,-0.1985393,-0.138846752,-0.077622197,0.283060677,-0.164834446,0.415224152,0.035513303,-0.013466931,-0.013466931,0.415224152,0.155437798,0.155437798,0.101287737,0.047137675,0.043184637,-0.01451225,-0.894440325,0.921599433,0.070777054,-0.124573646,0.10857336,0.921599433,0.308129469,0.308129469,0.222816996,0.142540397,0.088283097,-0.281413587,-0.828402145,0.879120641,-0.062065732,0.123611663,-0.107734936,-0.822760244,-0.267901729,-0.267901729,-0.1985393,-0.138846752,-0.077622197,0.283060677,-0.164835045,0.415224445,0.035513324,-0.013466674,-0.013466674,0.415224445,0.155438111,0.155438111,0.101287817,0.047137524,0.043184667,-0.014512804,-0.894440436,0.921599565,0.070777067,-0.124573609,0.108573329,0.921599565,0.308129592,0.308129592,0.222817032,0.142540409,0.088283113,-0.281413597,0.978515625,0.98046875,0.980113636,0.98046875,0.979492188,0.978515625,115.9,417.5999756,103.9999695,417.5999756,104,page
-7.192657167,0,-3.402502284,-4.594055796,-2.285712108,0,0,1.584158421,0.592933393,0.170213416,0,0,0,7.276423318,3.477712061,4.859517112,2.285712108,0,-7.192657167,0,-3.402502284,-4.594055796,-2.285712108,0,0,1.584158421,0.592932514,0.170210169,0,0,0,7.276423318,3.477711936,4.859517112,2.285712108,0,-0.449886953,0.79918413,0.02163158,-0.199209106,-0.204081438,0.483584821,0.483584821,0.483584821,0.015515039,0.012847249,0.059250417,-0.093180928,-0.166753518,0.123356618,-0.004803174,0.01810781,0,-0.166753518,-0.166753518,-0.166753518,-0.00493052,0.02860534,-0.005603703,0.023356575,-0.80849148,0.466492364,-0.022188408,0.204081438,0.204081438,-0.511528117,-0.511528117,-0.511528117,-0.016287585,-0.003827001,-0.05990005,0.101401235,-0.449886953,0.79918413,0.02163158,-0.199209106,-0.204081438,0.483584821,0.483584821,0.483584821,0.015515039,0.012847249,0.059250417,-0.093180928,-0.166753518,0.123356341,-0.004803179,0.018107465,0,-0.166753518,-0.166753518,-0.166753518,-0.004930516,0.028605628,-0.005603709,0.023356546,-0.80849148,0.466492291,-0.022188408,0.204081438,0.204081438,-0.511528117,-0.511528117,-0.511528117,-0.016287584,-0.003826925,-0.059900049,0.101401279,0.979492188,0.98046875,0.980329241,0.98046875,0.979492188,0.98046875,77.09999996,265.5999756,60.80001831,265.5999756,60.79998779,page
-0.036939201,0.308575925,0.08018081,0.038235313,-0.036939201,0.047375223,-0.154292014,0.036941787,-0.036701332,-0.03823799,0.036941787,-0.04737854,0,0.345000184,0.095614102,0.054074791,0.052241747,0.067001028,-0.067798162,0.566371141,0.147166639,0.070177045,-0.067798162,0.086955195,-0.283186921,0.067798162,-0.067362891,-0.070177045,0.067798162,-0.086955195,0,0.633222789,0.175492587,0.099245329,0.09588108,0.122973216,-0.035468497,0.027307604,-0.001295152,0.001331013,-0.003130441,0.005149481,0.001031789,0.005149481,-0.001222452,0.003240247,-0.001979598,-0.00093374,-0.01365416,0.017734714,0.000340474,0.000639135,0.00313066,-0.005149841,-0.00148839,-0.003537473,-0.000184447,-0.001449169,0.000786276,0.001119224,-0.039655194,0.03053099,-0.001480665,0.001030413,0.004427267,0.00728272,0.001705835,0.00728272,-0.000972681,0.004156567,-0.002131333,-0.001272821,-0.065100131,0.05012134,-0.00237716,0.002443259,-0.005745607,0.009451652,0.001893848,0.009451652,-0.002243727,0.005947455,-0.003633401,-0.001713775,-0.025060789,0.032550221,0.000624955,0.00117271,0.005745607,-0.009451652,-0.002731655,-0.00649288,-0.000338407,-0.002660085,0.001443145,0.002054213,-0.072784229,0.056037415,-0.002717663,0.001891637,0.008125515,0.013366654,0.003130872,0.013366654,-0.001785373,0.007629145,-0.003911895,-0.002336134,0.9765625,0.979492188,0.978515625,0.978515625,0.9765625,0.978515625,155,14.3835144,6.973846436,26.40002441,12.80001831,pen
-0.114703262,0,-0.030113888,0,0,0,0,0.802909447,0.181538159,0.028304063,0,0,0,0.811061291,0.185032773,0.040026588,0,0,-0.21052578,0,-0.055272098,0,0,0,0,1.473685812,0.333200427,0.051949241,0,0,0,1.488647365,0.339614668,0.07346592,0,0,-0.008894344,0.013494501,0.000558211,0,0,0.006738591,0.001276278,0.000758724,0.002082617,0.003820712,0.000677827,0.000379362,-0.094459935,0.05446232,-0.003651623,0,0,-0.006739063,-0.000919048,-0.003355298,-0.013139322,-0.005142265,-0.004930535,-0.004248782,-0.095418975,0.055103034,-0.003780027,0,0,-0.00953014,-0.001511324,-0.003207031,-0.013508493,-0.005528248,-0.005086454,-0.00436764,-0.016324927,0.024767739,0.001024532,0,0,0.012368395,0.002342529,0.001392787,0.00382253,0.00701308,0.001244075,0.000696393,-0.173374801,0.099961495,-0.006702309,0,0,-0.012368867,-0.001686824,-0.00615828,-0.024116316,-0.009437894,-0.0090496,-0.007798087,-0.175134984,0.101137563,-0.006937986,0,0,-0.017491886,-0.002773933,-0.005886228,-0.02479392,-0.010146402,-0.009335779,-0.008016315,0.978515625,0.978515625,0.978515625,0.978515625,0.978515625,0.978515625,183.6,6.537963867,34.86923218,12,64,pen
-0.306465627,0,-0.105296873,-0.06860945,-0.039622914,0,-0.039625688,0.578885081,0.156442379,0.068606059,-0.039625688,0,0,0.655003143,0.195335909,0.097026017,0.056037224,0,-0.562500956,0,-0.193265052,-0.125927113,-0.072726163,0,-0.072726163,1.062500481,0.287139788,0.1259257,-0.072726163,0,0,1.202212376,0.358525619,0.178086832,0.102850326,0,-0.023647149,0.041981593,0.001330069,-0.001835143,-0.003602083,0.010089521,0.001474514,0.010089521,0.007999347,0.012635773,0.003114939,0.010089521,-0.079299326,0.047294299,-0.002157887,0.00190185,-0.003602335,-0.010088815,-0.00147457,-0.010088815,-0.014325051,-0.012636099,-0.004180689,-0.010088815,-0.089726458,0.052876633,-0.002552515,0.002595282,0.005094293,-0.014268238,-0.002085318,-0.014268238,-0.016453256,-0.017869912,-0.005259866,-0.014268238,-0.043402778,0.077054925,0.002441271,-0.003368216,-0.006611469,0.018518589,0.002706382,0.018518589,0.01468235,0.023192177,0.005717294,0.018518589,-0.145548011,0.086805555,-0.003960617,0.00349052,-0.006611469,-0.018518589,-0.002706382,-0.018518589,-0.026292534,-0.023192177,-0.007673308,-0.018518589,-0.164686627,0.097051561,-0.004684944,0.004763285,0.00935003,-0.02618924,-0.003827402,-0.02618924,-0.030198774,-0.032798691,-0.009654096,-0.02618924,0.978515625,0.979492188,0.978724888,0.978515625,0.978515625,0.978515625,146.2,15.25527954,24.40844727,28,44.79998779,pen
0,0.075146906,0.023444093,0,0,0,0,0.22013038,0.071916665,0.044933201,0,0,0,0.224490304,0.077732535,0.063545142,0,0,0,0.137931561,0.043030637,0,0,0,0,0.404040403,0.131998663,0.082472968,0,0,0,0.412042342,0.142673644,0.116634391,0,0,-0.009277396,0.004632289,-0.00029341,0,0,-0.009277396,-0.009277396,-0.009277396,-0.000715817,0.002682618,-0.000342312,0.001341309,-0.018555441,0.022235392,-0.000308209,0,0,-0.018555441,-0.018555441,-0.018555441,-0.000779996,-0.00601994,-0.000359577,-0.000832152,-0.020745468,0.022675788,-0.000387849,0,0,-0.020745468,-0.020745468,-0.020745468,-0.000978744,-0.004866553,-0.000452491,-0.001195455,-0.017028588,0.008502368,-0.000538561,0,0,-0.017028588,-0.017028588,-0.017028588,-0.001313897,0.004924279,-0.000628321,0.002462139,-0.034056851,0.040812162,-0.000565667,0,0,-0.034056851,-0.034056851,-0.034056851,-0.00143156,-0.011049992,-0.000659945,-0.001527834,-0.038076789,0.041620438,-0.000711854,0,0,-0.038076789,-0.038076789,-0.038076789,-0.00179638,-0.008932789,-0.000830496,-0.002194557,0.977539063,0.978515625,0.978097098,0.978515625,0.978515625,0.977539063,71.19999999,1.743438721,6.102111816,3.200012207,11.19998169,pen
-0.041509719,0.040733837,-0.004045197,0,0.040733837,0,0,0.227012634,0.081860264,0.020368344,0.040736689,0,0,0.227012634,0.084888574,0.02880418,0.057608361,0,-0.07619222,0.074768066,-0.007424285,0,0.074768066,0,0,0.416666666,0.150249055,0.037384033,0.074768066,0,0,0.416666666,0.15580776,0.052869007,0.105738014,0,-0.004199365,0.004463411,0.000222129,0,0.003806901,0.003948212,0.000829697,0.000829697,0.000553131,0,0.000361583,0,-0.027636376,0.023647149,-0.000856409,-0.000214552,0.003807167,-0.027636376,-0.01403274,-0.01403274,-0.001472777,-0.000429103,-0.001076464,-0.000214552,-0.027916978,0.023647149,-0.00089932,-0.000133218,0.005383959,-0.027916978,-0.014091707,-0.014091707,-0.001512088,-0.000266436,-0.001106585,-0.000133218,-0.007708048,0.008192712,0.000407683,0,0.00698767,0.007246266,0.001522766,0.001522766,0.001015177,0,0.00066364,0,-0.050724693,0.043402778,-0.00157188,-0.000393809,0.00698767,-0.050724693,-0.025756155,-0.025756155,-0.002703178,-0.000787618,-0.001975778,-0.000393809,-0.051239661,0.043402778,-0.001650642,-0.000244543,0.009882057,-0.051239661,-0.025864373,-0.025864373,-0.002775323,-0.000489085,-0.002031062,-0.000244543,0.9765625,0.978515625,0.978027344,0.978515625,0.978515625,0.9765625,85,1.30758667,7.845550537,2.400024414,14.3999939,pen
0,0.683713428,0.202414181,0.116925479,0.0392687,0.26905201,-0.170928357,0,-0.058367783,-0.039092019,-0.039265951,-0.107614022,0,0.70475567,0.211889352,0.126984225,0.055532384,0.289775365,0,1.254900765,0.371516957,0.21460829,0.072073722,0.493827159,-0.313723695,0,-0.1071305,-0.071750589,-0.072070973,-0.19752785,0,1.293521739,0.388908177,0.233070846,0.101925691,0.531867008,-0.07858775,0.055402518,-0.000800944,0.002966089,0.003537721,0.033216297,0.007253232,0.007253232,-0.008862682,0.002394457,-0.00130584,0.009883937,-0.013285682,0.019646937,-0.000105287,-0.002934518,-0.003537473,-0.013285682,-0.004771779,-0.004771779,0.000846869,-0.002394206,-0.000117035,-0.002934518,-0.081006398,0.056753972,-0.000732839,0.003941822,0.005002917,0.035774736,0.008347173,0.008347173,-0.008742764,0.002880726,-0.001227969,0.010299116,-0.144241467,0.101687691,-0.001470072,0.005443488,0.006493128,0.060966316,0.013312828,0.013312828,-0.016266842,0.004393847,-0.002396738,0.018140801,-0.024386154,0.036060195,-0.000193358,-0.005385667,-0.00649288,-0.024386154,-0.008758933,-0.008758933,0.001554199,-0.004393638,-0.000214943,-0.005385667,-0.148680659,0.104168264,-0.001345028,0.007234355,0.009182495,0.065662593,0.015320912,0.015320912,-0.016046667,0.005286216,-0.002253762,0.018902751,0.977539063,0.979492188,0.978515625,0.978515625,0.978515625,0.977539063,122.4,25.71603394,6.973815918,47.19998169,12.79998779,pen
-0.282505176,0.23992696,-0.006038441,0,-0.041512626,0.099815777,0,0.322861848,0.052553209,0.016636739,0,0.033273479,0,0.429009263,0.09867455,0.054680374,0.041512626,0.105215558,-0.518519083,0.440365854,-0.011083187,0,-0.076189314,0.183205641,0,0.592592027,0.096457789,0.030533885,0,0.061067771,0,0.787418154,0.181110264,0.100363322,0.076189314,0.193115457,-0.026157887,0.031742155,0.001159347,-0.001905629,-0.003953583,0.007619525,-0.004306337,-0.008195492,-7.29998E-05,0.001145349,0.001928668,0.003591724,-0.036276612,0.029894615,-0.001330394,7.37553E-05,0,0.00253996,-0.000764769,0,-0.000877731,0,-0.002127725,0,-0.048203288,0.03972308,-0.002074311,3.15767E-06,0.003953583,0.008031722,-0.004432865,-0.007296328,-0.00137012,-0.005121829,-0.00326524,-0.004559918,-0.048011026,0.058260571,0.002127882,-0.003497447,-0.007256125,0.013985164,-0.007903942,-0.015041714,-0.000134031,0.002102091,0.003539914,0.006592727,-0.066583374,0.054869632,-0.002441843,0.000135512,0,0.004661662,-0.001403822,0,-0.001611035,0,-0.00390529,0,-0.08847395,0.072909088,-0.003807241,5.94463E-06,0.007256125,0.014741638,-0.008136203,-0.013391477,-0.002514766,-0.009400685,-0.005993109,-0.008368949,0.977539063,0.979492188,0.978556315,0.978515625,0.978515625,0.977539063,245.9,10.89660645,14.38354492,20,26.3999939,pen
-0.667139173,0.32895358,-0.00156035,0,-0.038235313,0,-0.205593469,0.578189775,0.021240247,0,0.038232636,0,0,0.882823931,0.087429125,0,0.054071005,0,-1.224489802,0.603775887,-0.002863948,0,-0.070174368,0,-0.37735849,1.061223872,0.038985105,0,0.070177045,0,0,1.620361497,0.160470317,0,0.099243435,0,-0.068075426,0.064770793,-3.30636E-05,0,-0.003353975,0,-4.5575E-05,0,0.000541044,0,2.2076E-05,0,-0.05613493,0.058998957,-1.42892E-05,0,0.00335374,0,0,0,-3.83094E-05,0,-4.47918E-05,0,-0.085711061,0.090084075,-4.02391E-05,0,0.004743071,0,5.24166E-05,0,0.000463967,0,-9.98191E-05,0,-0.12494794,0.118882505,-6.06919E-05,0,-0.006155646,0,-8.36542E-05,0,0.000993061,0,4.05141E-05,0,-0.103031444,0.108288151,-2.622E-05,0,0.006155881,0,0,0,-7.03112E-05,0,-8.22141E-05,0,-0.15731665,0.165343011,-7.38497E-05,0,0.008705564,0,9.6212E-05,0,0.000851601,0,-0.000183213,0,0.978515625,0.979492188,0.979064941,0.979492188,0.978515625,0.978515625,645.9,21.35736084,22.66497803,39.20001221,41.6000061,pen
