pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.979492188,899.8,-5.599975586,-4,6.881840347,-5.599975586,-4,6.881840347,-0.528299585,-0.377358492,0.649230224,-0.528299585,-0.377358492,0.649230224,-0.049839584,-0.035599858,0.061248135,-0.049839584,-0.035599858,0.061248135,518.1875305,438.6000671,10.59999996,page
0.979492188,500.5,-5.599975586,-4.800018311,7.375628946,-5.599975586,-4.799987793,7.375609085,-0.523362205,-0.448599843,0.689311117,-0.523362205,-0.44859699,0.689309261,-0.048912356,-0.041925219,0.0644216,-0.048912356,-0.041924952,0.064421426,550.9875183,451.3999939,10.69999999,page
0.979492188,660.4,-3.200012207,-3.200042725,4.525522242,-3.200012207,-3.200012207,4.525500663,-0.307693482,-0.307696417,0.43514637,-0.307693482,-0.307693482,0.435144296,-0.029585912,-0.029586194,0.041840997,-0.029585912,-0.029585912,0.041840798,528.5874939,399.4000244,10.39999998,page
0.978515625,19019.9,-1.599975586,0,1.599975586,-1.599975586,0,1.599975586,-0.124998093,0,0.124998093,-0.124998093,0,0.124998093,-0.009765476,0,0.009765476,-0.009765476,0,0.009765476,21.38751221,430.6000671,12.80000001,pen
0.978515625,221.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5874939,402.6000671,10.5,pen
0.978515625,174.9,3.199981689,1.599975586,3.577681468,3.199981689,1.600036621,3.577708764,0.226949057,0.113473446,0.253736275,0.226949057,0.113477775,0.253738211,0.016095678,0.008047762,0.017995481,0.016095678,0.008048069,0.017995618,88.5874939,439.3999939,14.09999996,pen
0.978515625,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.9874878,423.3999939,10.30000001,pen
0.505859375,30398.5,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.07079538,0,0.07079538,-0.07079538,0,0.07079538,-0.006265078,0,0.006265078,-0.006265078,0,0.006265078,85.38751221,491.3999939,11.30000001,pen
0.9765625,38.30000001,-0.799987793,-1.600006104,1.788854382,-0.799987793,-1.599975586,1.788827086,-0.071427482,-0.142857688,0.159719141,-0.071427482,-0.142854963,0.159716704,-0.006377454,-0.012755151,0.014260638,-0.006377454,-0.012754907,0.01426042,43.7875061,496.2000122,11.19999999,pen
0.977539063,278.9,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.073393376,0.073393376,0,0.073393376,0.073393376,0,0.006733337,0.006733337,0,0.006733337,0.006733337,70.98748779,508.2000122,10.89999998,pen
0.977539063,328.9,-1.600006104,-1.600067139,2.26279349,-1.600006104,-1.600036621,2.262771911,-0.115108353,-0.115112744,0.162790899,-0.115108353,-0.115110548,0.162789346,-0.008281176,-0.008281492,0.011711575,-0.008281176,-0.008281334,0.011711464,115.7875061,493,13.89999998,pen
0.978515625,81.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.38751221,513,10.39999998,pen
0.978515625,123.6,0,0.800048828,0.800048828,0,0.800048828,0.800048828,0,0.072731712,0.072731712,0,0.072731712,0.072731712,0,0.006611974,0.006611974,0,0.006611974,0.006611974,134.9874878,510.6000366,11,pen
0.977539063,4026.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.7875061,597,12,pen
0.978515625,182.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.7875061,574.6000366,10.39999998,pen
0.978515625,377.1,-0.800018311,3.200012207,3.298500784,-0.800018311,3.200012207,3.298500784,-0.071430206,0.285715374,0.294508997,-0.071430206,0.285715374,0.294508997,-0.006377697,0.025510301,0.026295446,-0.006377697,0.025510301,0.026295446,114.9874878,563.4000244,11.20000005,pen
0.978515625,87.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.3875122,605,11,pen
0.978515625,130,0.800018311,2.399963379,2.529793177,0.800018311,2.399963379,2.529793177,0.074075769,0.222218831,0.234240109,0.074075769,0.222218831,0.234240109,0.006858868,0.020575818,0.021688899,0.006858868,0.020575818,0.021688899,153.3875122,593.7999878,10.80000001,pen
0.065429688,49005,0.799987793,1.599975586,1.788827086,0.799987793,1.599975586,1.788827086,0.066114694,0.132229388,0.14783695,0.066114694,0.132229388,0.14783695,0.005464024,0.010928049,0.01221793,0.005464024,0.010928049,0.01221793,235.7875061,537.7999878,12.09999996,pen
0.114257813,39331.8,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.074765214,0.074765214,0,-0.074765214,0.074765214,0,-0.006987403,0.006987403,0,-0.006987403,0.006987403,274.9875183,540.2000122,10.69999999,pen
0.057617188,131.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.5874939,539.4000244,11.10000002,pen
0.9765625,430.3,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.071432931,0,0.071432931,-0.071432931,0,0.071432931,-0.00637794,0,0.00637794,-0.00637794,0,0.00637794,273.3874817,540.2000122,11.19999999,pen
0.978515625,4906.8,0.799987793,-0.799987793,1.131353587,0.799987793,-0.799987793,1.131353587,0.075470546,-0.075470546,0.10673147,0.075470546,-0.075470546,0.10673147,0.007119863,-0.007119863,0.010069007,0.007119863,-0.007119863,0.010069007,285.3874817,480.2000122,10.60000002,pen
0.978515625,396.8,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.077668718,0,0.077668718,-0.077668718,0,0.077668718,-0.007540652,0,0.007540652,-0.007540652,0,0.007540652,295.7875061,498.6000671,10.30000001,pen
0.979492188,150.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5874939,464.2000122,10.10000002,pen
0.978515625,237.6,-0.799987793,0.799987793,1.131353587,-0.799987793,0.799987793,1.131353587,-0.072726163,0.072726163,0.102850326,-0.072726163,0.072726163,0.102850326,-0.006611469,0.006611469,0.00935003,-0.006611469,0.006611469,0.00935003,308.5874939,493,11,pen
0.978515625,233.1,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.070179722,0,0.070179722,-0.070179722,0,0.070179722,-0.006156116,0,0.006156116,-0.006156116,0,0.006156116,393.3874817,496.2000122,11.40000004,pen
0.978515625,239.7,0,-0.800018311,0.800018311,0,-0.799987793,0.799987793,0,-0.073396175,0.073396175,0,-0.073393376,0.073393376,0,-0.006733594,0.006733594,0,-0.006733337,0.006733337,397.3874817,501,10.89999998,pen
0.2734375,7456.6,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393376,0,0.073393376,-0.073393376,0,0.073393376,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,250.9875183,605,10.89999998,pen
0.978515625,371.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.1875305,610.6000366,11.5,pen
0.979492188,390.1,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.074078595,0,0.074078595,-0.074078595,0,0.074078595,-0.006859129,0,0.006859129,-0.006859129,0,0.006859129,309.3874817,606.6000366,10.80000001,pen
0.978515625,27.70000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.9875183,594.6000366,10.79999995,pen
0.978515625,136.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.9875183,612.2000122,10.59999996,pen
0.978515625,113.1,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.066665649,0.066665649,0,-0.066665649,0.066665649,0,-0.005555471,0.005555471,0,-0.005555471,0.005555471,350.9875183,596.2000122,12,pen
0.978515625,155.4,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.064515145,0.064515145,0,-0.064515145,0.064515145,0,-0.005202834,0.005202834,0,-0.005202834,0.005202834,373.3874817,578.6000366,12.39999998,pen
0.978515625,2514.1,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.070174368,0,0.070174368,-0.070174368,0,0.070174368,-0.006155646,0,0.006155646,-0.006155646,0,0.006155646,398.9875183,590.6000366,11.39999998,pen
0.978515625,293.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.3874817,610.6000366,11.60000002,pen
0.978515625,114.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.5874939,599.4000244,10.70000005,pen
0.978515625,111.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.5874939,617.7999878,10.69999999,pen
0.979492188,108.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.1875305,583.4000244,10.69999999,pen
0.978515625,177.1,0.800048828,2.399963379,2.529802828,0.800048828,2.399963379,2.529802828,0.07843616,0.235290528,0.248019885,0.07843616,0.235290528,0.248019885,0.00768982,0.023067699,0.024315675,0.00768982,0.023067699,0.024315675,438.1875305,593.7999878,10.19999999,pen
0.978515625,105.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.7875061,593.7999878,10.69999999,pen
0.978515625,223.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.3874817,576.2000122,10.39999998,pen
0.977539063,6690.4,-0.799987793,0.799987793,1.131353587,-0.799987793,0.799987793,1.131353587,-0.071427481,0.071427481,0.101013713,-0.071427481,0.071427481,0.101013713,-0.006377454,0.006377454,0.009019081,-0.006377454,0.006377454,0.009019081,504.5874939,612.2000122,11.20000005,pen
0.977539063,106.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.1875305,614.6000366,10.80000001,pen
0.978515625,168.7,0,-0.800048828,0.800048828,0,-0.800048828,0.800048828,0,-0.062019289,0.062019289,0,-0.062019289,0.062019289,0,-0.004807697,0.004807697,0,-0.004807697,0.004807697,514.9875183,625.7999878,12.90000004,pen
0.978515625,60.70000005,0,1.600036621,1.600036621,0,1.600036621,1.600036621,0,0.130084279,0.130084279,0,0.130084279,0.130084279,0,0.010575958,0.010575958,0,0.010575958,0.010575958,518.1875305,635.4000244,12.29999995,pen
0.978515625,202.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.9875183,619.4000244,10.89999998,pen
0.978515625,113.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.1875305,621,11.29999995,pen
0.978515625,72.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.5874939,617.7999878,11.5,pen
