pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.979492188,7728.7,-1.599975586,-2.399963379,2.884397007,-1.599975586,-2.399963379,2.884397007,-0.145452326,-0.218178489,0.26221791,-0.145452326,-0.218178489,0.26221791,-0.013222939,-0.019834408,0.023837992,-0.013222939,-0.019834408,0.023837992,667.7875061,530.6000366,11,page
0.982421875,296.4,-6.400024414,-2.400054932,6.835245144,-6.400024414,-2.400024414,6.835234428,-0.60377589,-0.226420277,0.64483445,-0.60377589,-0.226417398,0.644833439,-0.05695999,-0.021360404,0.060833439,-0.05695999,-0.021360132,0.060833343,656.5874939,484.2000122,10.59999996,page
0.981445313,307.4,-6.399963379,-2.399993896,6.835166564,-6.399963379,-2.400024414,6.835177279,-0.609520322,-0.228570847,0.650968244,-0.609520322,-0.228573754,0.650969265,-0.058049554,-0.021768652,0.061996976,-0.058049554,-0.021768929,0.061997073,678.1875305,489,10.5,page
0.981445313,407.6,-4.799987793,-0.800018311,4.866200994,-4.799987793,-0.799987793,4.866195976,-0.444443314,-0.074075769,0.450574166,-0.444443314,-0.074072944,0.450573701,-0.041152159,-0.006858868,0.04171983,-0.041152159,-0.006858606,0.041719787,686.9875183,497,10.80000001,page
0.981445313,664.5,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.077668718,0.077668718,0,-0.077668718,0.077668718,0,-0.007540652,0.007540652,0,-0.007540652,0.007540652,511.7875061,544.2000122,10.30000001,page
0.905273438,38828.6,0,0.800006866,0.800006866,0,0.800003052,0.800003052,0,0.070797068,0.070797068,0,0.07079673,0.07079673,0,0.006265227,0.006265227,0,0.006265197,0.006265197,76.5874939,55.40001297,11.30000001,pen
0.978515625,206.9,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.066665649,0,0.066665649,-0.066665649,0,0.066665649,-0.005555471,0,0.005555471,-0.005555471,0,0.005555471,73.38751221,83.40001678,12,pen
0.977539063,232.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9874878,70.6000061,10.5,pen
0.977539063,288.2,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.072070973,0,0.072070973,0.072070973,0,0.072070973,0.00649288,0,0.00649288,0.00649288,0,0.00649288,156.5874939,94.59999847,11.09999996,pen
0.979492188,177.2,0,0.800010681,0.800010681,0,0.800003052,0.800003052,0,0.076924104,0.076924104,0,0.076923371,0.076923371,0,0.007396548,0.007396548,0,0.007396478,0.007396478,195.7875061,71.40001678,10.39999998,pen
0.978515625,168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.3874817,92.20000458,10.60000002,pen
0.978515625,282.4,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.076921903,0,0.076921903,0.076921903,0,0.076921903,0.007396337,0,0.007396337,0.007396337,0,0.007396337,243.7875061,108.2000046,10.39999998,pen
