pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.979492188,2354.1,-2.400024414,0,2.400024414,-2.400024414,0,2.400024414,-0.218184038,0,0.218184038,-0.218184038,0,0.218184038,-0.019834913,0,0.019834913,-0.019834913,0,0.019834913,814.9875183,538.6000366,11,page
0.978515625,3911.2,-6.400024414,-3.199951172,7.155417528,-6.400024414,-3.199951172,7.155417528,-0.59813312,-0.299060856,0.668730607,-0.59813312,-0.299060856,0.668730607,-0.055900291,-0.027949613,0.062498187,-0.055900291,-0.027949613,0.062498187,798.1874695,566.6000366,10.70000005,page
0.979492188,491.3,-3.200073242,-0.800048828,3.298567399,-3.200073242,-0.800048828,3.298567399,-0.293584702,-0.073398975,0.302620863,-0.293584702,-0.073398975,0.302620863,-0.026934376,-0.006733851,0.027763382,-0.026934376,-0.006733851,0.027763382,762.1874695,557.7999878,10.89999998,page
0.98046875,21127.3,0.800048828,-0.799987793,1.131396746,0.800048828,-0.799987793,1.131396746,0.074078595,-0.074072944,0.104758958,0.074078595,-0.074072944,0.104758958,0.006859129,-0.006858606,0.009699903,0.006859129,-0.006858606,0.009699903,789.3875427,513,10.80000001,page
0.979492188,1437.7,-4.800048828,0,4.800048828,-4.800048828,0,4.800048828,-0.470593023,0,0.470593023,-0.470593023,0,0.470593023,-0.046136571,0,0.046136571,-0.046136571,0,0.046136571,740.5874939,480.2000122,10.19999999,page
0.98046875,1235.6,-1.599975586,-0.799987793,1.788827086,-1.599975586,-0.799987793,1.788827086,-0.144141944,-0.072070972,0.161155593,-0.144141944,-0.072070972,0.161155593,-0.012985761,-0.00649288,0.014518522,-0.012985761,-0.00649288,0.014518522,841.3875427,488.2000122,11.10000002,page
0.98046875,3788.2,1.600036621,0,1.600036621,1.600036621,0,1.600036621,0.15238444,0,0.15238444,0.15238444,0,0.15238444,0.014512804,0,0.014512804,0.014512804,0,0.014512804,682.9875183,514.6000366,10.5,page
0.9765625,30423.4,0,-0.587219238,0.587219238,0,-1.600006104,1.600006104,0,-0.045876503,0.045876503,0,-0.125000477,0.125000477,0,-0.003584102,0.003584102,0,-0.009765662,0.009765662,13.61065674,438.1089783,12.79999995,pen
0.978515625,521.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72988892,436.0539246,11.09999996,pen
0.979492188,190.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.14273071,437.228241,10.69999999,pen
0.979492188,116.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49145508,447.7974243,11.09999996,pen
0.979492188,147.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19781494,457.7794495,11.10000002,pen
0.979492188,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.45544434,443.3936157,10.69999999,pen
0.98046875,135.2,0,-0.293579102,0.293579102,0,-0.800018311,0.800018311,0,-0.02822876,0.02822876,0,-0.076924838,0.076924838,0,-0.002714304,0.002714304,0,-0.007396619,0.007396619,36.21697998,444.5679626,10.39999998,pen
0.979492188,106.9,0,-0.293609619,0.293609619,0,-0.799987793,0.799987793,0,-0.028231694,0.028231694,0,-0.076921903,0.076921903,0,-0.002714586,0.002714586,0,-0.007396337,0.007396337,34.74902344,453.6691895,10.39999998,pen
0.979492188,189.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14385986,435.4667053,11.5,pen
0.98046875,293.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.82330322,429.007782,10.5,pen
0.979492188,120.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.86941528,429.5949402,11.30000001,pen
0.98046875,115.9,-0.293609619,0.293609619,0.415226705,-0.799987793,0.800018311,1.131375166,-0.025531271,0.025531271,0.03610667,-0.069564156,0.06956681,0.098380449,-0.002220111,0.002220111,0.00313971,-0.006049057,0.006049288,0.008554822,72.03475952,430.1821289,11.5,pen
0.98046875,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.99765015,444.5679626,11,pen
0.979492188,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.87841797,444.2743835,10.60000002,pen
0.979492188,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.81430054,447.2102661,10.39999998,pen
