pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.98046875,4195.3,-2.399963379,-3.200012207,3.999987793,-2.399963379,-3.200012207,3.999987793,-0.206893394,-0.275863121,0.344826533,-0.206893394,-0.275863121,0.344826533,-0.017835637,-0.023781303,0.029726425,-0.017835637,-0.023781303,0.029726425,354.9875183,561,11.60000002,page
0.981445313,458.1999999,-4.799987793,0,4.799987793,-4.799987793,0,4.799987793,-0.41379205,0,0.41379205,-0.41379205,0,0.41379205,-0.035671728,0,0.035671728,-0.035671728,0,0.035671728,189.3875122,550.6000366,11.60000002,page
0.982421875,399.2,-7.200012207,-0.799987793,7.244318895,-7.200012207,-0.799987793,7.244318895,-0.6666678,-0.074072944,0.670770271,-0.6666678,-0.074072944,0.670770271,-0.0617285,-0.006858606,0.062108359,-0.0617285,-0.006858606,0.062108359,194.9874878,543.4000244,10.79999995,page
0.9765625,90000.2,2.50088501,1.667236328,3.005678427,4.799987793,3.199981689,5.768861727,0.210158405,0.140103893,0.25257802,0.40336032,0.268906025,0.484778297,0.01766037,0.011773436,0.021225044,0.033895825,0.022597145,0.040737672,23.43389893,451.064209,11.89999998,pen
0.978515625,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.845489502,452.7314453,10.69999993,pen
0.978515625,334.4000001,0,0.416809082,0.416809082,0,0.800018311,0.800018311,0,0.037550368,0.037550368,0,0.072073722,0.072073722,0,0.003382916,0.003382916,0,0.006493128,0.006493128,36.3550415,455.6491394,11.0999999,pen
0.0625,1653.4,0,-0.416809082,0.416809082,0,-0.799987793,0.799987793,0,-0.040077796,0.040077796,0,-0.076921902,0.076921902,0,-0.003853634,0.003853634,0,-0.007396337,0.007396337,21.7666626,561.102478,10.4000001,pen
0.977539063,220.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51272583,556.9343872,10.79999995,pen
0.977539063,422.7,0.416778564,0,0.416778564,0.800018311,0,0.800018311,0.03788896,0,0.03788896,0.072728937,0,0.072728937,0.003444451,0,0.003444451,0.006611722,0,0.006611722,39.68951416,558.6016235,11,pen
0.9765625,10041.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.69647217,472.7384338,10.60000002,pen
0.978515625,169.9,0.416809082,0,0.416809082,0.799987793,0,0.799987793,0.040863635,0,0.040863635,0.078430175,0,0.078430175,0.004006239,0,0.004006239,0.007689233,0,0.007689233,65.11505127,492.3286133,10.20000005,pen
0.978515625,318.7,0.416778564,-0.833648682,0.93202709,0.799987793,-1.600036621,1.788881678,0.039693197,-0.079395113,0.088764485,0.076189314,-0.15238444,0.170369684,0.003780304,-0.007561439,0.00845376,0.007256125,-0.014512804,0.016225684,93.45822144,478.9905701,10.5,pen
0.978515625,173.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.11682129,482.3251038,11.5,pen
0.978515625,130.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.45999146,486.4932251,10.5,pen
