pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.979492188,5498.2,-24,-0.799987793,24.01332923,-24,-0.799987793,24.01332923,-2.051282064,-0.068375025,2.052421314,-2.051282064,-0.068375025,2.052421314,-0.175323254,-0.005844019,0.175420626,-0.175323254,-0.005844019,0.175420626,498.9875183,514.6000366,11.69999993,page
0.98046875,380.3,-1.599975586,0,1.599975586,-1.599975586,0,1.599975586,-0.153843805,0,0.153843805,-0.153843805,0,0.153843805,-0.014792673,0,0.014792673,-0.014792673,0,0.014792673,626.1875305,469,10.4000001,page
0.98046875,514.6,-4,0,4,-4,0,4,-0.370370372,0,0.370370372,-0.370370372,0,0.370370372,-0.034293553,0,0.034293553,-0.034293553,0,0.034293553,665.3874817,484.2000122,10.79999995,page
0.16796875,22981.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5874939,23.40000916,11.69999993,pen
0.9765625,2849,0.799987793,1.599990845,1.788840734,0.799987793,1.599990845,1.788840734,0.071427482,0.142856326,0.159717924,0.071427482,0.142856326,0.159717924,0.006377454,0.012755029,0.014260529,0.006377454,0.012755029,0.014260529,158.1875,29,11.19999993,pen
0.978515625,482.3000001,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.074765215,0,0.074765215,0.074765215,0,0.074765215,0.006987403,0,0.006987403,0.006987403,0,0.006987403,156.5874939,37.80000305,10.69999993,pen
0.979492188,88.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.7875061,47.40001297,10.69999993,pen
0.979492188,193.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.1875,21,11.10000002,pen
0.977539063,70.29999995,0,0.800003052,0.800003052,0,0.800003052,0.800003052,0,0.076923371,0.076923371,0,0.076923371,0.076923371,0,0.007396478,0.007396478,0,0.007396478,0.007396478,192.5874939,11.40000916,10.39999998,pen
0.979492188,84.70000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5874939,37,10.19999993,pen
0.978515625,103.0999999,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.070795379,0,0.070795379,0.070795379,0,0.070795379,0.006265078,0,0.006265078,0.006265078,0,0.006265078,178.9874878,49,11.30000007,pen
0.979492188,138.2,0,0.799999237,0.799999237,0,0.800003052,0.800003052,0,0.074074004,0.074074004,0,0.074074357,0.074074357,0,0.006858704,0.006858704,0,0.006858737,0.006858737,169.3875122,45.79999924,10.79999995,pen
0.979492188,162.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.1875,47.40001297,11.10000002,pen
