pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.98046875,9725.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.5874939,470.6000671,10.69999993,page
0.98046875,361.9,-2.399963379,0,2.399963379,-2.399963379,0,2.399963379,-0.220180127,0,0.220180127,-0.220180127,0,0.220180127,-0.020200012,0,0.020200012,-0.020200012,0,0.020200012,534.1875305,542.6000366,10.89999998,page
0.981445313,204.5,0,-0.800048828,0.800048828,0,-0.800048828,0.800048828,0,-0.074770919,0.074770919,0,-0.074770919,0.074770919,0,-0.006987936,0.006987936,0,-0.006987936,0.006987936,652.5874939,621.7999878,10.69999993,page
0.981445313,419.9,-8.799987793,-5.600036621,10.43073321,-8.799987793,-5.600036621,10.43073321,-0.792791691,-0.504507803,0.939705693,-0.792791691,-0.504507803,0.939705693,-0.071422675,-0.045451153,0.08465817,-0.071422675,-0.045451153,0.08465817,662.9875183,569,11.10000002,page
0.981445313,423.7,2.400024414,0,2.400024414,2.400024414,0,2.400024414,0.224301346,0,0.224301346,0.224301346,0,0.224301346,0.020962743,0,0.020962743,0.020962743,0,0.020962743,475.7875061,566.6000366,10.70000005,page
0.9765625,41544.3,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.070798081,0,0.070798081,0.070798081,0,0.070798081,0.006265317,0,0.006265317,0.006265317,0,0.006265317,37.38751221,57,11.29999995,pen
0.979492188,112.2,0.800018311,-0.800003052,1.131385955,0.800018311,-0.800003052,1.131385955,0.076924838,-0.076923371,0.108787111,0.076924838,-0.076923371,0.108787111,0.007396619,-0.007396478,0.010460299,0.007396619,-0.007396478,0.010460299,51.7875061,25.80000305,10.39999998,pen
0.978515625,43.9000001,0,-0.800003052,0.800003052,0,-0.800003052,0.800003052,0,-0.072072348,0.072072348,0,-0.072072348,0.072072348,0,-0.006493004,0.006493004,0,-0.006493004,0.006493004,43.7875061,97,11.0999999,pen
0.979492188,95.19999993,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.065039658,0,0.065039658,0.065039658,0,0.065039658,0.005287777,0,0.005287777,0.005287777,0,0.005287777,90.1875,49.79999924,12.30000007,pen
0.979492188,78.39999998,0,0.800003052,0.800003052,0,0.800003052,0.800003052,0,0.072072347,0.072072347,0,0.072072347,0.072072347,0,0.006493004,0.006493004,0,0.006493004,0.006493004,100.5874939,78.6000061,11.10000002,pen
0.979492188,330.8,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.06956681,0,0.06956681,0.06956681,0,0.06956681,0.006049288,0,0.006049288,0.006049288,0,0.006049288,125.3875122,41,11.5,pen
0.979492188,64.89999998,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.072073722,0,0.072073722,0.072073722,0,0.072073722,0.006493128,0,0.006493128,0.006493128,0,0.006493128,113.3875122,101,11.10000002,pen
