pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.9765625,2568.4,-4.799987793,-0.800048828,4.866206011,-4.799987793,-0.800048828,4.866206011,-0.403360324,-0.067230995,0.40892488,-0.403360324,-0.067230995,0.40892488,-0.033895826,-0.005649663,0.034363436,-0.033895826,-0.005649663,0.034363436,707.7875061,469.8000183,11.89999986,page
0.98046875,1990.6,-12,-2.400054932,12.23765761,-12,-2.400024414,12.23765162,-1.090909091,-0.218186812,1.112514328,-1.090909091,-0.218184038,1.112513784,-0.099173554,-0.019835165,0.101137666,-0.099173554,-0.019834913,0.101137617,627.7875061,476.2000122,11,page
0.98046875,747.0999999,-4,-1.599945068,4.308111445,-4,-1.599975586,4.308122779,-0.347826087,-0.139125658,0.374618387,-0.347826087,-0.139128312,0.374619372,-0.030245747,-0.012097883,0.032575512,-0.030245747,-0.012098114,0.032575598,684.5874939,446.6000671,11.5,page
0.979492188,29399.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.7875061,428.2000122,11.39999986,page
0.977539063,2955.4,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.076189314,0.076189314,0,0.076189314,0.076189314,0,0.007256125,0.007256125,0,0.007256125,0.007256125,614.1875305,457,10.5,page
0.977539063,4480.2,-2.399963379,-0.799987793,2.529783526,-2.399963379,-0.799987793,2.529783526,-0.216212919,-0.072070973,0.227908428,-0.216212919,-0.072070973,0.227908428,-0.019478642,-0.006492881,0.020532291,-0.019478642,-0.006492881,0.020532291,578.9875183,484.2000122,11.0999999,page
0.98046875,997.5999999,-5.599975586,-0.800018311,5.65683267,-5.599975586,-0.799987793,5.656828354,-0.533331008,-0.07619222,0.538745969,-0.533331008,-0.076189314,0.538745558,-0.050793429,-0.007256402,0.05130914,-0.050793429,-0.007256125,0.051309101,607.7875061,463.3999939,10.5,page
0.979492188,1737.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.7875061,470.6000671,11.10000014,page
0.979492188,427.5999999,-3.200012207,-0.800018311,3.298500784,-3.200012207,-0.799987793,3.298493382,-0.304763067,-0.07619222,0.314142932,-0.304763067,-0.076189314,0.314142227,-0.029025054,-0.007256402,0.029918374,-0.029025054,-0.007256125,0.029918307,586.9875183,463.3999939,10.5,page
0.979492188,505.8999999,-1.599975586,-0.800018311,1.788840734,-1.599975586,-0.799987793,1.788827086,-0.148145888,-0.07407577,0.165633402,-0.148145888,-0.074072944,0.165632138,-0.013717212,-0.006858868,0.015336426,-0.013717212,-0.006858606,0.015336309,614.9875183,451.3999939,10.79999995,page
0.978515625,640.8,-3.200012207,-0.799987793,3.298493382,-3.200012207,-0.799987793,3.298493382,-0.271187476,-0.067795576,0.279533339,-0.271187476,-0.067795576,0.279533339,-0.02298199,-0.005745388,0.023689266,-0.02298199,-0.005745388,0.023689266,601.3874817,444.2000122,11.79999995,page
0.979492188,479.6999998,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.074765214,0,0.074765214,-0.074765214,0,0.074765214,-0.006987403,0,0.006987403,-0.006987403,0,0.006987403,603.7875061,429,10.70000005,page
0.979492188,6652.8,8.800048828,-1.599975586,8.944315583,8.800048828,-1.600036621,8.944326502,0.778765386,-0.14159076,0.791532356,0.778765386,-0.141596162,0.791533322,0.068917291,-0.012530156,0.070047111,0.068917291,-0.012530634,0.070047197,310.1875305,429.8000183,11.29999995,page
