pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.978515625,2438,0.799987793,-0.800048828,1.131396746,0.799987793,-0.800048828,1.131396746,0.071427481,-0.071432931,0.101017566,0.071427481,-0.071432931,0.101017566,0.006377454,-0.00637794,0.009019426,0.006377454,-0.00637794,0.009019426,442.9875183,533.7999878,11.20000005,page
0.98046875,481.5,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393375,0,0.073393375,-0.073393375,0,0.073393375,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,658.9875183,517.7999878,10.9000001,page
0.979492188,1622.1,-9.599975586,0.799987793,9.63325032,-9.599975586,0.799987793,9.63325032,-0.864862673,0.072070973,0.867860397,-0.864862673,0.072070973,0.867860397,-0.077915557,0.006492881,0.078185622,-0.077915557,0.006492881,0.078185622,666.9875183,489,11.0999999,page
0.981445313,695.9000001,-10.40002441,-8.799957275,13.62350013,-10.40002441,-8.799987793,13.62351985,-0.954130693,-0.80733554,1.249862414,-0.954130693,-0.80733834,1.249864222,-0.087534927,-0.074067482,0.114666278,-0.087534927,-0.074067739,0.114666444,707.7875061,498.6000671,10.89999986,page
0.98046875,5347.5,3.199951172,-0.799987793,3.29843417,3.199951172,-0.799987793,3.29843417,0.262291079,-0.06557277,0.270363455,0.262291079,-0.06557277,0.270363455,0.021499269,-0.005374817,0.022160939,0.021499269,-0.005374817,0.022160939,349.3874817,524.2000122,12.20000005,page
0.977539063,29197.6,0.800018311,0.800003052,1.131385955,0.800018311,0.799987793,1.131375166,0.070798081,0.070796731,0.100122651,0.070798081,0.07079538,0.100121697,0.006265317,0.006265197,0.008860412,0.006265317,0.006265078,0.008860327,125.3875122,215.4000092,11.29999995,pen
0.978515625,236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.7875061,209.8000336,11.0999999,pen
0.977539063,194.9000001,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.072070973,0,0.072070973,0.072070973,0,0.072070973,0.006492881,0,0.006492881,0.006492881,0,0.006492881,124.5874939,238.6000061,11.0999999,pen
0.978515625,332.8,0,0.799987793,0.799987793,0,0.800018311,0.800018311,0,0.072070971,0.072070971,0,0.072073721,0.072073721,0,0.00649288,0.00649288,0,0.006493128,0.006493128,149.3875122,200.1999969,11.10000014,pen
0.978515625,299.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.5874939,204.1999969,10.70000005,pen
0.978515625,251.8,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.076189314,0,0.076189314,0.076189314,0,0.076189314,0.007256125,0,0.007256125,0.007256125,0,0.007256125,182.9874878,202.6000061,10.5,pen
0.979492188,244.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.1875,218.6000061,10.4000001,pen
0.979492188,138.8,0,0.799972534,0.799972534,0,0.799987793,0.799987793,0,0.075469108,0.075469108,0,0.075470547,0.075470547,0,0.007119727,0.007119727,0,0.007119863,0.007119863,199.7875061,218.6000061,10.5999999,pen
0.978515625,207.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.1875,230.6000061,10.5,pen
0.979492188,154.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.7875061,227.4000092,10.5,pen
0.978515625,235.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.7875061,245.8000336,10.70000005,pen
0.978515625,203.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.7875061,258.6000061,10.79999995,pen
0.979492188,426.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.1875305,207.4000092,11.29999995,pen
