pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.977539063,1829.6,-4.800048828,0,4.800048828,-4.800048828,0,4.800048828,-0.400004069,0,0.400004069,-0.400004069,0,0.400004069,-0.033333672,0,0.033333672,-0.033333672,0,0.033333672,701.3874817,401.4000244,12,page
0.979492188,377.1,-12.79998779,-1.600006104,12.89960104,-12.79998779,-1.599975586,12.89959726,-1.174310803,-0.14678955,1.183449633,-1.174310803,-0.146786751,1.183449286,-0.107734936,-0.013466931,0.10857336,-0.107734936,-0.013466674,0.108573329,672.5874939,417.3999939,10.90000004,page
0.979492188,941.8,-25.59997559,0,25.59997559,-25.59997559,0,25.59997559,-2.285712108,0,2.285712108,-2.285712108,0,2.285712108,-0.204081438,0,0.204081438,-0.204081438,0,0.204081438,647.7875061,425.3999939,11.19999999,page
0.9765625,15840.8,-0.435882568,0.435913086,0.616452619,-0.800018311,0.800018311,1.131396745,-0.036939201,0.036941787,0.052241747,-0.067798162,0.067798162,0.09588108,-0.003130441,0.00313066,0.004427267,-0.005745607,0.005745607,0.008125515,19.88278198,430.70578,11.80000001,pen
0.978515625,517.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.34353638,421.1166992,11.90000004,pen
0.978515625,147.6,-0.435852051,-0.435882568,0.616409461,-0.799987793,-0.799987793,1.131353587,-0.039622914,-0.039625688,0.056037224,-0.072726163,-0.072726163,0.102850326,-0.003602083,-0.003602335,0.005094293,-0.006611469,-0.006611469,0.00935003,29.03594971,431.1416016,11,pen
0.978515625,122.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.52285767,432.8851013,11.10000002,pen
0.978515625,202.9,0.435852051,0.435882568,0.616409461,0.800018311,0.800018311,1.131396745,0.040733837,0.040736689,0.057608361,0.074768066,0.074768066,0.105738014,0.003806901,0.003807167,0.005383959,0.00698767,0.00698767,0.009882057,47.34225464,416.7581177,10.69999999,pen
0.978515625,137.8,0.435882568,-0.435852051,0.616409461,0.800018311,-0.799987793,1.131375166,0.0392687,-0.039265951,0.055532384,0.072073722,-0.072070973,0.101925691,0.003537721,-0.003537473,0.005002917,0.006493128,-0.00649288,0.009182495,36.44564819,428.9623108,11.09999996,pen
0.978515625,157.4,-0.435882568,0,0.435882568,-0.799987793,0,0.799987793,-0.041512626,0,0.041512626,-0.076189314,0,0.076189314,-0.003953583,0,0.003953583,-0.007256125,0,0.007256125,51.70089722,428.0905762,10.5,pen
0.978515625,186.4,-0.435882568,0.435852051,0.616409461,-0.799987793,0.800018311,1.131375166,-0.038235313,0.038232636,0.054071005,-0.070174368,0.070177045,0.099243435,-0.003353975,0.00335374,0.004743071,-0.006155646,0.006155881,0.008705564,59.54647827,434.192688,11.40000004,pen
0.978515625,113.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.85406494,445.9610291,10.90000004,pen
0.978515625,215.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.05957031,458.1652527,10.39999998,pen
0.979492188,837.3,1.30758667,-0.871734619,1.571529238,2.400024414,-1.600006104,2.88446472,0.117800601,-0.078534651,0.141579211,0.216218416,-0.144144694,0.259861687,0.010612667,-0.007075194,0.012754884,0.019479137,-0.012986009,0.023410963,79.16040039,423.296051,11.09999996,pen
0.978515625,146.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.62240601,432.0133362,10.29999995,pen
0.978515625,127,0.871704102,-0.435882568,0.974608462,1.599975586,-0.799987793,1.788827086,0.085461187,-0.042733585,0.095549849,0.156860352,-0.078430176,0.175375205,0.008378548,-0.004189567,0.009367632,0.015378466,-0.007689233,0.017193648,75.23760986,436.3719788,10.19999999,pen
