pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.977539063,16913.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25262451,277.5420532,10.29999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,3170.6,-0.428588867,0,0.428588867,-0.799987793,0,0.799987793,-0.040817987,0,0.040817987,-0.076189314,0,0.076189314,-0.003887427,0,0.003887427,-0.007256125,0,0.007256125,79.9697876,303.6860962,10.5,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,85.20000002,0,-0.428588867,0.428588867,0,-0.800048828,0.800048828,0,-0.039684154,0.039684154,0,-0.074078595,0.074078595,0,-0.003674459,0.003674459,0,-0.006859129,0.006859129,127.5433655,340.5448914,10.79999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.6796875,6174.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.8295288,364.54599,11.10000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.977539063,5552.3,-0.428588867,-1.285766602,1.355317,-0.799987793,-2.400024414,2.529841429,-0.032968374,-0.098905123,0.104255154,-0.061537523,-0.184617263,0.194603187,-0.002536029,-0.007608086,0.008019627,-0.004733656,-0.014201328,0.014969476,10.53811646,400.5475769,13,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.233398438,8028.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.434845,278.8389282,10.79999998,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.62890625,3838.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.0787048,309.721344,10.40000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,2977.3,-0.386047363,0,0.386047363,-0.799987793,0,0.799987793,-0.033863804,0,0.033863804,-0.070174368,0,0.070174368,-0.002970509,0,0.002970509,-0.006155646,0,0.006155646,498.5451965,337.1295166,11.40000001,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.9765625,5308.8,0,0.386016846,0.386016846,0,0.799987793,0.799987793,0,0.036076341,0.036076341,0,0.074765214,0.074765214,0,0.003371621,0.003371621,0,0.006987403,0.006987403,463.8025208,365.3097839,10.70000002,pen
,,,,,,,,,,,,,,,,,,,,,,,
0.978515625,5381.5,0,-0.386047363,0.386047363,0,-0.799987793,0.799987793,0,-0.037119939,0.037119939,0,-0.076921903,0.076921903,0,-0.003569225,0.003569225,0,-0.007396337,0.007396337,460.3282166,400.0525208,10.40000001,pen
