pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.224609375,5456,-0.793365479,0.793392181,1.122007102,-0.793365479,0.793392181,1.122007102,41.4694519,32.06613922,13.70000005,pen
0.162109375,344.6,0.793365479,-0.793390274,1.122005753,0.793365479,-0.793390274,1.122005753,85.89920044,20.95868492,12.5,pen
0.198242188,117.4,0,0,0,0,0,0,98.59341431,19.37191772,11,pen
0.383789063,61.30000007,0,0,0,0,0,0,105.7339172,18.57852554,12.39999998,pen
0.524414063,149.8,0,0,0,0,0,0,127.155365,36.82645798,11.19999993,pen
0.31640625,55.10000002,0,0,0,0,0,0,127.948822,23.33886147,14,pen
0.345703125,311.7,0,0,0,0,0,0,152.5438538,32.85951614,10.5,pen
0.295898438,102.2,0,0,0,0,0,0,165.2380981,30.47935486,14.0999999,pen
0.392578125,443.1,0,0,0,0,0,0,190.6265259,14.6115818,11.10000002,pen
0.387695313,116.6,0,0,0,0,0,0,192.2132874,36.82645798,11.30000007,pen
0.510742188,91.70000005,0.793426514,0,0.793426514,0.793426514,0,0.793426514,181.1058655,43.17358017,11.30000007,pen
0.37890625,89.10000002,0,0,0,0,0,0,201.7339478,42.38018417,11.10000002,pen
0.327148438,197.7,0.793365479,0.793392181,1.122007102,0.793365479,0.793392181,1.122007102,215.2215271,4.297533989,18,pen
0.37890625,150.6,0.793365479,0,0.793365479,0.793365479,0,0.793365479,201.7339478,21.7520752,13.60000002,pen
0.483398438,109.8000001,0,0,0,0,0,0,208.8744507,20.165308,10.9000001,pen
0.508789063,186,0,0.793395996,0.793395996,0,0.793395996,0.793395996,217.6017151,37.61985397,12.29999995,pen
0.112304688,51.0999999,0,-0.793388367,0.793388367,0,-0.793388367,0.793388367,224.7422485,37.61985397,11.60000002,pen
0.155273438,957.4000001,0,0,0,0,0,0,256.4778137,13.02479744,11.39999998,pen
0.340820313,82.70000005,0,0,0,0,0,0,254.0976257,14.6115818,11.69999993,pen
0.401367188,92.5,0,0,0,0,0,0,255.6843567,32.06613922,12.80000007,pen
0.40625,88.70000005,0,0,0,0,0,0,250.1306458,42.38018417,11.70000005,pen
0.696289063,171.5999999,0,0,0,0,0,0,271.5521545,13.02479744,12,pen
0.083984375,40.60000002,-0.793273926,0.793390274,1.121941018,-0.793273926,0.793390274,1.121941018,280.2795105,16.19836426,11.69999993,pen
0.42578125,93.19999993,0,0,0,0,0,0,273.9323425,32.06613922,11.19999993,pen
0.3515625,79.9000001,0,0,0,0,0,0,274.7256775,39.20663452,11.20000005,pen
0.180664063,59.89999998,-0.793395996,0,0.793395996,-0.793395996,0,0.793395996,274.7256775,50.31406784,14.0999999,pen
0.328125,86.9000001,-0.793334961,0,0.793334961,-0.793334961,0,0.793334961,273.9323425,56.66118622,11.5,pen
0.283203125,60,0,0,0,0,0,0,277.1058655,61.42150879,10.5,pen
0.3125,108.5,0.793457031,0,0.793457031,0.793457031,0,0.793457031,287.4199524,56.66118622,10.89999998,pen
0.19140625,5252.6,0,0,0,0,0,0,67.65124512,267.7025757,11.79999995,pen
0.25,95.39999998,0,-0.793365479,0.793365479,0,-0.793365479,0.793365479,72.41159058,262.1488647,11.9000001,pen
0.231445313,39.5,0,0,0,0,0,0,80.3454895,260.5621033,11.89999998,pen
0.436523438,67.20000005,0,0,0,0,0,0,60.51074219,288.330719,11.10000002,pen
0.327148438,119.8,0,0,0,0,0,0,75.58514404,289.91745,11.5,pen
0.467773438,52.39999998,0,0,0,0,0,0,82.72564697,287.5372925,13.70000005,pen
0.499023438,262,0,0.793395996,0.793395996,0,0.793395996,0.793395996,120.8083191,255.0083618,11.79999995,pen
0.4609375,75.80000007,0.793395996,0,0.793395996,0.793395996,0,0.793395996,102.5603638,278.0166321,11.10000002,pen
0.278320313,50.19999993,-0.793395996,0,0.793395996,-0.793395996,0,0.793395996,116.0479736,265.3224182,12.5,pen
0.102539063,66.9000001,-1.586791992,0,1.586791992,-1.586791992,0,1.586791992,115.2545776,281.9835815,11.29999995,pen
0.467773438,50.10000002,0,0,0,0,0,0,123.188446,278.8100281,11.69999993,pen
0.625,99.20000005,0,0,0,0,0,0,133.502533,265.3224182,12.29999995,pen
0.3125,55.39999998,0,0,0,0,0,0,135.8827209,269.2893677,10.79999995,pen
0.420898438,1236.7,0,0,0,0,0,0,174.758728,255.8017273,11.5,pen
0.220703125,53.60000002,0,0,0,0,0,0,154.9240112,264.5290527,11.39999998,pen
0.215820313,127.3,0,-0.793365479,0.793365479,0,-0.793365479,0.793365479,152.5438538,272.4629517,12,pen
