v_x,v_y,v,aX,aY,a,pos_x,pos_y,msec,Mode
0.800018311,0,0.800018311,0.800018311,0,0.800018311,72.88751221,33.19999695,11.10000002,pen
0,0.800003052,0.800003052,-0.800018311,0.800003052,-1.52588E-05,72.88751221,34,11.39999998,pen
0.799987793,0,0.799987793,0.799987793,-0.800003052,-1.52588E-05,73.6875,34,11.29999995,pen
0,0,0,-0.799987793,0,-0.799987793,73.6875,34,13.60000002,pen
0,0,0,0,0,0,73.6875,34,11.20000005,pen
0,0,0,0,0,0,73.6875,34,10.89999998,pen
-0.799987793,1.600006104,1.788854382,-0.799987793,1.600006104,1.788854382,72.88751221,35.6000061,14.29999995,pen
-3.200012207,4.800003052,5.768891351,-2.400024414,3.199996948,3.980036969,69.6875,40.40000916,14.60000002,pen
-3.200012207,3.199996948,4.525489873,0,-1.600006104,-1.243401478,66.48748779,43.6000061,19.5,pen
-3.199981689,4,5.122487951,3.05176E-05,0.800003052,0.596998078,63.2875061,47.6000061,14.39999998,pen
-5.600006104,7.199993134,9.121401728,-2.400024414,3.199993134,3.998913776,57.6875,54.79999924,23,pen
-7.200012207,8.000003815,10.76291024,-1.600006104,0.800010681,1.641508511,50.48748779,62.80000305,17.10000002,pen
-3.199981689,4,5.122487951,4.000030518,-4.000003815,-5.640422288,47.2875061,66.80000305,13.20000005,pen
-2.399993896,3.199996948,3.999993896,0.799987793,-0.800003052,-1.122494055,44.88751221,70,17.10000002,pen
-0.800018311,1.600006104,1.78886803,1.599975586,-1.599990845,-2.211125867,44.0874939,71.6000061,15,pen
0.800018311,0.800010681,1.13139135,1.600036621,-0.799995422,-0.65747668,44.88751221,72.40001678,19,pen
3.199981689,-0.800010681,3.298469327,2.399963379,-1.600021362,2.167077977,48.0874939,71.6000061,14.5999999,pen
8.800018311,-1.600006104,8.944291017,5.600036621,-0.799995422,5.64582169,56.88751221,70,16.10000002,pen
8,-2.399993896,8.352243453,-0.800018311,-0.799987793,-0.592047564,64.88751221,67.6000061,14.60000002,pen
22.3999939,-8,23.78570425,14.3999939,-5.600006104,15.43346079,87.2875061,59.6000061,53.39999998,pen
