velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.134836958,0,-1.540916977,-0.468862531,-0.072731712,-3.102043304,-0.136755267,1.359997559,0.33463016,0,0,0.734695122,0,4.300695688,1.589763356,0.479958827,0.072731712,3.187859718,-4.134836958,0,-1.540916977,-0.468862531,-0.072731712,-3.102043304,-0.136755267,1.359997559,0.33463016,0,0,0.734695122,0,4.300695688,1.589763356,0.479958827,0.072731712,3.187859718,-0.407999878,0.409389797,-0.047987808,-0.020864085,-0.006611974,-0.316535031,0.034185258,0.034185258,-0.113209787,-0.316535031,-0.058073644,-0.16470729,-0.128301657,0.135999756,0.011950793,0.007514026,0,0.07496889,-0.026666383,-0.026666383,0.027555663,0.07496889,0.017882471,0.044998471,-0.415534858,0.430069569,0.049274384,0.020593113,0.006611974,0.325291808,-0.040217101,-0.040217101,0.116545122,0.325291808,0.059472945,0.167866305,-0.407999878,0.409389797,-0.047987808,-0.020864085,-0.006611974,-0.316535031,0.034185258,0.034185258,-0.113209787,-0.316535031,-0.058073644,-0.16470729,-0.128301657,0.135999756,0.011950793,0.007514026,0,0.07496889,-0.026666383,-0.026666383,0.027555663,0.07496889,0.017882471,0.044998471,-0.415534858,0.430069569,0.049274384,0.020593113,0.006611974,0.325291808,-0.040217101,-0.040217101,0.116545122,0.325291808,0.059472945,0.167866305,0.109375,0.58203125,0.381713867,0.37890625,0.436523438,0.109375,84.30000001,132.7999878,32,132.7999878,32,page
-6.107532124,0,-2.277802226,-2.467292004,-0.533331008,-6.107532124,-0.15238444,1.63440335,0.339587393,0,-0.15238444,1.63440335,0,6.322438055,2.321620084,2.467292004,0.554673762,6.322438055,-6.107532124,0,-2.277802226,-2.467292004,-0.533331008,-6.107532124,-0.15238444,1.63440335,0.339587393,0,-0.15238444,1.63440335,0,6.322438055,2.321620084,2.467292004,0.554673762,6.322438055,-0.656723883,0.342961882,-0.093414269,-0.088750336,-0.050793429,-0.656723883,-0.656723883,-0.656723883,-0.223622214,-0.357104641,-0.100517742,-0.134747177,-0.065326369,0.175742295,0.025386219,0.014241536,-0.014512804,0.175742295,0.175742295,0.175742295,0.059478722,0.068020241,0.032036056,0.018654911,-0.349128038,0.679832048,0.096754892,0.089554076,0.052826073,0.679832048,0.679832048,0.679832048,0.231409694,0.363525072,0.104076361,0.134151722,-0.656723883,0.342961882,-0.093414269,-0.088750336,-0.050793429,-0.656723883,-0.656723883,-0.656723883,-0.223622214,-0.357104641,-0.100517742,-0.134747177,-0.065326369,0.175742295,0.025386219,0.014241536,-0.014512804,0.175742295,0.175742295,0.175742295,0.059478722,0.068020241,0.032036056,0.018654911,-0.349128038,0.679832048,0.096754892,0.089554076,0.052826073,0.679832048,0.679832048,0.679832048,0.231409694,0.363525072,0.104076361,0.134151722,0.12890625,0.736328125,0.461495536,0.501953125,0.736328125,0.12890625,81.69999999,190.3999634,32.80004883,190.3999634,32.80004883,page
-6.38297874,0,-3.108244613,-4.0388326,-0.897205384,-6.181818182,-0.224301346,1.617016086,0.575026437,0.077674644,-0.224301346,1.527271618,0,6.584615297,3.185119029,4.039579448,0.924818142,6.367686756,-6.38297874,0,-3.108244613,-4.0388326,-0.897205384,-6.181818182,-0.224301346,1.617016086,0.575026437,0.077674644,-0.224301346,1.527271618,0,6.584615297,3.185119029,4.039579448,0.924818142,6.367686756,-0.679040293,0.467788722,-0.081582745,-0.08385097,-0.08385097,-0.561983471,-0.561983471,-0.561983471,0.033620141,0.195055171,-0.081204708,-0.054978591,-0.112914731,0.172022988,0.020658492,-0.007615161,-0.020962743,0.138842874,0.138842874,0.138842874,-0.009384565,-0.054081838,0.027595365,0.010851448,-0.481223467,0.700490991,0.084086968,0.086431602,0.086431602,0.578880614,0.578880614,0.578880614,-0.034893542,-0.202337774,0.083696196,0.050033119,-0.679040293,0.467788722,-0.081582745,-0.08385097,-0.08385097,-0.561983471,-0.561983471,-0.561983471,0.033620141,0.195055171,-0.081204708,-0.054978591,-0.112914731,0.172022988,0.020658492,-0.007615161,-0.020962743,0.138842874,0.138842874,0.138842874,-0.009384565,-0.054081838,0.027595365,0.010851448,-0.481223467,0.700490991,0.084086968,0.086431602,0.086431602,0.578880614,0.578880614,0.578880614,-0.034893542,-0.202337774,0.083696196,0.050033119,0.010742188,0.71875,0.37234933,0.48828125,0.71875,0.010742188,74.40000004,215.999939,44,215.999939,44,page
-0.084212454,0.673683568,0.10264041,0,0,-0.080806847,-0.084209241,0.080808389,-0.00228369,0,0,0.080808389,0,0.673683568,0.108527216,0,0,0.11427923,-0.084212454,0.673683568,0.10264041,0,0,-0.080806847,-0.084209241,0.080808389,-0.002283679,0,0,0.080808389,0,0.673683568,0.108527215,0,0,0.11427923,-0.068899638,0.062049929,-0.000389942,0,0,-0.008162308,-0.000709948,0,-0.000819117,0,-0.000444227,0,-0.008864131,0.008726989,0.000165018,0,0,0.008162463,0.000627882,0,0.000346247,0,0.000204745,0,-0.06932365,0.062679873,-6.71462E-05,0,0,0.011543356,0.000970029,0,-1.38755E-05,0,-4.37218E-05,0,-0.068899638,0.062049929,-0.000389942,0,0,-0.008162308,-0.000709948,0,-0.000819117,0,-0.000444227,0,-0.008864131,0.008726989,0.000165018,0,0,0.008162463,0.000627882,0,0.000346247,0,0.000204745,0,-0.069323642,0.062679873,-6.71462E-05,0,0,0.011543356,0.000970029,0,-1.38755E-05,0,-4.37218E-05,0,0.076171875,0.559570313,0.423828125,0.46875,0.1875,0.076171875,678.4,71.20001221,2.400001526,71.20001221,2.399993896,pen
-0.074765214,0.516128539,0.097884914,0,0,0,-0.089887983,0.074074357,-0.004831629,0,0,0,0,0.516128539,0.104506326,0,0,0,-0.074765214,0.516128539,0.097884914,0,0,0,-0.089887983,0.074074357,-0.00483163,0,0,0,0,0.516128539,0.104506314,0,0,0,-0.064516067,0.045450906,-0.000608369,0,0,0,-0.000276092,0,-0.002609808,0,-0.000784133,0,-0.010099773,0.008256044,-2.40704E-05,0,0,0,-4.26511E-06,0,-0.000122829,0,-5.05191E-05,0,-0.064516067,0.045450906,-0.000678589,0,0,0,-0.000388772,0,-0.002654308,0,-0.000817984,0,-0.064516067,0.045450906,-0.000608369,0,0,0,-0.000276092,0,-0.002609808,0,-0.000784133,0,-0.010099773,0.008255965,-2.40706E-05,0,0,0,-4.26515E-06,0,-0.000122829,0,-5.05191E-05,0,-0.064516067,0.045450906,-0.000678589,0,0,0,-0.000388772,0,-0.002654308,0,-0.000817984,0,0.056640625,0.5703125,0.321865587,0.311523438,0.056640625,0.548828125,839.1,85.59997559,4,85.59997559,4,pen
-0.862743902,0.782610024,-0.00067741,0,-0.076921903,0.220185725,-0.842105263,0.685715448,0.004133785,0,0,0.366972476,0,0.866301526,0.133386573,0,0.076921903,0.427960923,-0.862743902,0.782610024,-0.00067741,0,-0.076921903,0.220185725,-0.842105263,0.685715448,0.004133783,0,0,0.366972476,0,0.866301526,0.133386562,0,0.076921903,0.427960923,-0.084582736,0.085066307,9.66423E-05,0,-0.007396337,-0.000769277,0.00066792,0,0.000864092,0,0.000122578,0,-0.088642659,0.083018897,0.000189758,0,0,-0.029242474,0.000602954,0,0.000291472,0,0.000301763,0,-0.083361259,0.089084757,-0.000494738,0,0.007396337,-0.027050121,0.000683946,0,-0.000185619,0,-0.000522813,0,-0.084582736,0.085066307,9.66423E-05,0,-0.007396337,-0.000769277,0.00066792,0,0.000864092,0,0.000122578,0,-0.088642659,0.08301904,0.000189758,0,0,-0.029242474,0.000602954,0,0.000291471,0,0.000301762,0,-0.083361403,0.089084757,-0.000494738,0,0.007396337,-0.027050121,0.000683946,0,-0.000185619,0,-0.000522813,0,0.063476563,0.5859375,0.448036595,0.5078125,0.166015625,0.063476563,1713.9,72.79998779,42.40000916,72.79998779,42.40000916,pen
-0.083332062,0.680850412,0.093074336,0,-0.074765214,0,-0.097559487,0.078430176,-0.002362759,0,0,0,0,0.680850412,0.101918606,0,0.074765214,0,-0.083332062,0.680850412,0.093074336,0,-0.074765214,0,-0.097559487,0.078430176,-0.002362759,0,0,0,0,0.680850412,0.101918606,0,0.074765214,0,-0.063041705,0.072430895,-1.00015E-05,0,-0.006987403,0,-5.4236E-05,0,-0.000425799,0,-5.20487E-05,0,-0.011897498,0.014775446,-6.03407E-05,0,0,0,-1.77003E-05,0,-4.27759E-06,0,-3.38769E-05,0,-0.063041705,0.072430895,-2.00592E-05,0,0.006987403,0,-0.00013265,0,-0.000464929,0,-4.93631E-05,0,-0.063041705,0.072430895,-1.00015E-05,0,-0.006987403,0,-5.4236E-05,0,-0.000425799,0,-5.20487E-05,0,-0.011897498,0.014775446,-6.03407E-05,0,0,0,-1.77003E-05,0,-4.27759E-06,0,-3.38769E-05,0,-0.063041705,0.072430895,-2.00592E-05,0,0.006987403,0,-0.00013265,0,-0.000464929,0,-4.93631E-05,0,0.161132813,0.66015625,0.46916675,0.477539063,0.161132813,0.606445313,1578.9,150.4000244,4,150.4000244,4,pen
-0.084209241,0.539324469,0.130164909,0,0,0,-0.089893126,0.082466676,-0.009848506,0,0,0,0,0.546764718,0.139701324,0.034783405,0,0,-0.084209241,0.539324469,0.130164909,0,0,0,-0.089893126,0.082472968,-0.009848476,0,0,0,0,0.546764718,0.139701355,0.034783405,0,0,-0.066833824,0.060598255,-0.001050522,0,0,0.008281763,0.000138168,0,-0.001194636,0,-0.001405158,0,-0.010100351,0.008693961,1.32356E-05,0,0,0,7.82767E-05,0,4.15878E-05,0,-4.37E-08,0,-0.066833824,0.061434238,-0.001085752,0,0,-0.008281763,-2.69959E-05,0,-0.001277519,0,-0.001445375,0,-0.066833824,0.060598255,-0.001050522,0,0,0.008281763,0.000138168,0,-0.001194636,0,-0.001405158,0,-0.010100351,0.00869363,1.32343E-05,0,0,0,7.82827E-05,0,4.1591E-05,0,-4.46E-08,0,-0.066833824,0.061434238,-0.001085751,0,0,-0.008281763,-2.69917E-05,0,-0.001277517,0,-0.001445373,0,0.1015625,0.533203125,0.347565407,0.361328125,0.1015625,0.311523438,866.5,121.6000061,9.599945068,121.6000061,9.599975586,pen
-0.086020193,0.505265085,0.087946143,0,0,0.077671681,-0.086023474,0.083338419,-0.01176214,0,0,0.077671681,0,0.505265085,0.094004435,0,0,0.109844345,-0.086020193,0.505265085,0.087946143,0,0,0.077671681,-0.086020193,0.083338419,-0.011762143,0,0,0.077668718,0,0.505265085,0.094004379,0,0,0.10984225,-0.049505139,0.053185798,-0.000124821,0,0,0.00754094,-0.000227542,0,6.63118E-05,0,-0.000122343,0,-0.009249836,0.00910422,8.89247E-05,0,0,0.00754094,0.000234524,0,0.000100068,0,9.61456E-05,0,-0.049505139,0.053185798,-0.000105845,0,0,0.0106645,-6.70847E-05,0,0.000148502,0,-0.00010131,0,-0.049505139,0.053185798,-0.000124821,0,0,0.00754094,-0.000227542,0,6.63118E-05,0,-0.000122343,0,-0.009249483,0.00910422,8.89204E-05,0,0,0.007540652,0.000234515,0,0.00010006,0,9.61407E-05,0,-0.049505139,0.053185798,-0.000105846,0,0,0.010664296,-6.70939E-05,0,0.000148499,0,-0.000101311,0,0.073242188,0.458984375,0.320723684,0.3359375,0.073242188,0.112304688,1332.8,119.2000122,16.80001831,119.2000122,16.79998779,pen
-0.158413425,0,-0.043719407,0,-0.07619222,0,0,0.55445303,0.190729337,0.153843807,0,0.153843807,0,0.576639381,0.205793867,0.153843807,0.07619222,0.153843807,-0.158413425,0,-0.043719407,0,-0.07619222,0,0,0.554459073,0.190730059,0.153849675,0,0.153849675,0,0.576645192,0.205794556,0.153849675,0.07619222,0.153849675,-0.008140713,0.015684497,0.000276507,0,-0.007256402,0,0,0,0.002675289,0,0.001531992,0,-0.05489634,0.05489634,0.001595584,0,0,0.014792674,0.014792674,0.014792674,-0.006906223,-0.009828898,0.001861514,0.002481888,-0.057093008,0.049549224,0.001531214,0.007256402,0.007256402,0.014792674,0.014792674,0.014792674,-0.007171135,-0.010623633,0.000577016,0.00208452,-0.008140713,0.015684497,0.000276507,0,-0.007256402,0,0,0,0.002675289,0,0.001531992,0,-0.054896938,0.054896938,0.001595648,0,0,0.014793238,0.014793238,0.014793238,-0.006906074,-0.009829669,0.001861589,0.002481785,-0.057093583,0.049549799,0.001531278,0.007256402,0.007256402,0.014793238,0.014793238,0.014793238,-0.007170986,-0.010624404,0.000577091,0.002084417,0.1484375,0.194335938,0.183314732,0.189453125,0.1484375,0.173828125,84,2.399993896,14.3999939,2.399993896,14.40002441,pen
