velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-3.698927375,0,-0.997788148,-0.128145874,-0.064510223,0,-0.093018288,0.271184889,0.005457466,0,0,0,0,3.698927375,1.002133117,0.157045706,0.064510223,0,-3.698927375,0,-0.997788148,-0.128145874,-0.064510223,0,-0.093021836,0.271187475,0.005457395,0,0,0,0,3.698927375,1.002133251,0.157046961,0.064510223,0,-0.397734128,0.316383951,0.003827474,-0.004259283,-0.005202437,0.316383951,0.114943853,0.192350628,0.005998283,0.137892615,0.006068006,0.014454731,-0.030131654,0.02298177,-0.000503487,0,0,-0.030131654,-0.001915134,-0.000255325,-0.001094362,0,6.88752E-05,0,-0.317815545,0.397734128,-0.003798311,0.006499185,0.005202437,-0.317815545,-0.115030979,-0.192355028,-0.006048069,-0.137754719,-0.006221182,-0.015344701,-0.397734128,0.316383951,0.003827474,-0.004259283,-0.005202437,0.316383951,0.114943853,0.192350628,0.005998283,0.137892615,0.006068006,0.014454731,-0.030131942,0.022981989,-0.000503496,0,0,-0.030131942,-0.001915146,-0.000255315,-0.001094369,0,6.88682E-05,0,-0.317815572,0.397734128,-0.003798309,0.006499331,0.005202437,-0.317815572,-0.11503098,-0.192355028,-0.00604807,-0.13775473,-0.006221182,-0.015344699,0.545898438,0.916992188,0.844401042,0.885742188,0.545898438,0.796875,191.3,213.6000366,12.79998779,213.6000366,12.79998779,page
-2.03921448,0,-0.641896156,-0.220185727,-0.220185727,0,-0.293579102,0.412371135,0.055397127,0,-0.293579102,0,0,2.063206274,0.657896849,0.366974718,0.366974718,0,-2.03921448,0,-0.641896156,-0.220185727,-0.220185727,0,-0.293579102,0.412371135,0.055397135,0,-0.293579102,0,0,2.063206274,0.65789683,0.366974718,0.366974718,0,-0.178551672,0.226579387,-0.001781438,-0.020200525,-0.020200525,0.226579387,0.010712273,-0.082641983,0.019307322,0.005733099,-0.000552703,0.005866623,-0.040036032,0.042512488,3.17237E-05,0,-0.026933863,-0.034858521,-0.001595352,0.013975073,-0.001691875,0.003066711,-2.38686E-05,0,-0.229245142,0.183542941,0.001758141,0.020660842,0.033667405,-0.229245142,-0.010831029,0.084081413,-0.019372598,-0.005176455,0.000555343,-0.005832955,-0.178551672,0.226579387,-0.001781438,-0.020200525,-0.020200525,0.226579387,0.010712273,-0.082641983,0.019307322,0.005733099,-0.000552703,0.005866623,-0.040036032,0.042512488,3.17221E-05,0,-0.026933863,-0.034858521,-0.001595347,0.013974806,-0.001691973,0.003066279,-2.38706E-05,0,-0.229245142,0.183542941,0.00175814,0.020660842,0.033667405,-0.229245142,-0.010831029,0.084081448,-0.019372606,-0.005176462,0.000555343,-0.005832958,0.150390625,0.5703125,0.431966146,0.463867188,0.293945313,0.150390625,152.6,98.39996338,12.80001831,98.39996338,12.79998779,page
-2.415092031,0,-0.56062591,0,0,-1.887645928,-0.21238884,0.603773008,0.05793261,0,-0.21238884,0.4494382,0,2.489419885,0.594369003,0.080402814,0.21238884,1.940412803,-2.415092031,0,-0.56062591,0,0,-1.887645928,-0.212391541,0.603775887,0.057932402,0,-0.212391541,0.4494382,0,2.489420583,0.594369232,0.080402814,0.212391541,1.940412803,-0.22783887,0.217575859,-0.013637969,0,0,-0.212095047,-0.074119353,-0.212095047,-0.035661031,-0.074768548,-0.016785193,0,-0.054393965,0.056959718,0.00333056,0.007584502,-0.018795473,0.050498674,0.017688142,0.050498674,0.00878941,0.012996763,0.00390498,0.00708832,-0.224272062,0.234850932,0.013943306,-0.000466102,0.018795473,0.21802391,0.076200926,0.21802391,0.036704957,0.075867183,0.017355163,0,-0.22783887,0.217575859,-0.013637969,0,0,-0.212095047,-0.074119353,-0.212095047,-0.035661031,-0.074768548,-0.016785193,0,-0.054394224,0.056959989,0.003330559,0.007584502,-0.018795712,0.050498674,0.017688146,0.050498674,0.008789406,0.012996579,0.003904976,0.00708832,-0.224272125,0.234850998,0.013943304,-0.000466102,0.018795712,0.21802391,0.076200927,0.21802391,0.036704957,0.075867154,0.017355163,0,0.389648438,0.577148438,0.509338379,0.547851563,0.403320313,0.443359375,168.5,104.000061,18.3999939,104.000061,18.40002441,page
-0.208821397,0.049571027,-0.024434544,0,0,0.049567945,-0.053342736,0.417649288,0.045142153,0,0,-0.049567945,0,0.466944647,0.068635768,0,0,0.07009966,-0.340426829,0.08080993,-0.039833376,0,0,0.080806848,-0.086955195,0.680847165,0.073591247,0,0,-0.080806848,0,0.761211724,0.111890227,0,0,0.11427814,-0.022215042,0.020030119,0.00020046,0,0,0.005006863,0.00074912,0,0.000291623,0,0.00016025,0,-0.02503687,0.044430775,-0.000124122,0,0,-0.005006863,5.18594E-05,0,-0.000348841,0,-0.000156302,0,-0.032063227,0.049674962,0.000191963,0,0,0.007080774,0.000227163,-0.001799041,0.000617275,0.002358483,0.000333912,0,-0.03621562,0.032652875,0.000326796,0,0,0.008162308,0.001221231,0,0.000475415,0,0.000261246,0,-0.040816327,0.072430549,-0.000202351,0,0,-0.008162308,8.44647E-05,0,-0.000568698,0,-0.000254812,0,-0.052270285,0.08097997,0.000312937,0,0,0.011543247,0.000370406,-0.002932557,0.001006282,0.003844616,0.000544343,0,0.2109375,0.9765625,0.695053998,0.774902344,0.2265625,0.2109375,349,9.814697266,16.19421387,16,26.39996338,pen
-0.194351649,0.385971925,-0.004901065,0,-0.047187805,0,-0.059123212,0.340116897,0.036700063,0,0,0,0,0.391729584,0.071860783,0.04629459,0.047187805,0,-0.316832891,0.629214166,-0.007989762,0,-0.076924837,0,-0.096391425,0.554453027,0.059828653,0,0,0,0,0.638593173,0.117147904,0.075470546,0.076924837,0,-0.030357584,0.043367632,4.23863E-05,0,-0.004537289,-0.004907717,0.000400746,0,-7.94524E-05,0,-0.000295098,0,-0.023947036,0.03367494,2.25029E-05,0,0,0.004908328,-0.001594066,0,4.56695E-05,0,2.73475E-05,0,-0.030783496,0.0438079,0.00018656,0,0.004537289,-0.006940992,-0.001411242,-0.002478898,0.000206962,-0.002478898,-0.000119734,-0.002539189,-0.04948918,0.070698221,6.90987E-05,0,-0.007396619,-0.008000678,0.000653333,0,-0.000129523,0,-0.000481064,0,-0.039039625,0.054896339,3.66805E-05,0,0,0.008000678,-0.002598753,0,7.44413E-05,0,4.45773E-05,0,-0.050183519,0.071415964,0.000304135,0,0.007396619,-0.011314667,-0.002300689,-0.004041159,0.000337395,-0.004041159,-0.000195181,-0.004138444,0.181640625,0.9765625,0.726137908,0.80078125,0.181640625,0.874023438,693,16.68499756,26.49972534,27.19998169,43.20001221,pen
0,0.104412322,0.02321758,0,0,0,-0.05007374,0.051655016,0.001971899,0,-0.042671535,0,0,0.110837294,0.027355689,0,0.042671535,0,0,0.170213415,0.037849503,0,0,0,-0.081631407,0.084209241,0.003214857,0,-0.069564156,0,0,0.180692361,0.044595687,0,0.069564156,0,-0.010337854,0.011107694,4.40033E-05,0,0,-0.005057954,8.64E-08,0,-0.000939829,0,5.60042E-05,0,-0.005325259,0.00543737,1.47862E-05,0,-0.003710568,0.005057954,-8.60196E-06,0,-5.69031E-05,0,-2.10798E-05,0,-0.010337854,0.011195686,7.00267E-06,0,0.003710568,-0.007153027,3.64941E-06,0,-0.000959511,0,4.88111E-05,0,-0.016852813,0.01810781,7.17361E-05,0,0,-0.008245911,1.42E-07,0,-0.001532112,0,9.13004E-05,0,-0.008681365,0.008864131,2.41051E-05,0,-0.006049057,0.008245597,-1.40231E-05,0,-9.27648E-05,0,-3.43645E-05,0,-0.016852813,0.018251754,1.14167E-05,0,0.006049057,-0.011661257,5.95059E-06,0,-0.001564199,0,7.9574E-05,0,0.171875,0.673828125,0.545933315,0.640625,0.345703125,0.171875,286.2,6.379547119,1.472167969,10.3999939,2.400024414,pen
-0.052207784,0.138886649,0.01807857,0,0,0,-0.052211031,0.055763938,0.000421422,0,-0.043814523,0,0,0.138886649,0.03259942,0.040355482,0.043814523,0,-0.085105084,0.226417397,0.029471945,0,0,0,-0.085105085,0.090907704,0.000687052,0,-0.071427482,0,0,0.226417397,0.053143163,0.06578847,0.071427482,0,-0.010997818,0.013102514,-2.9353E-05,0,0,-0.005235492,9.84234E-06,0,-0.000112925,0,-0.000115789,0,-0.005554365,0.006336811,3.03778E-05,0,-0.003912011,0,-0.000763773,0,0.000146181,0,7.46229E-05,0,-0.012295935,0.013102514,-0.000116431,0,0.003912011,-0.005235492,-0.000963579,-0.002205465,-7.15682E-05,0.000401753,-0.000103091,0,-0.017928906,0.021360132,-4.78554E-05,0,0,-0.008535349,1.60276E-05,0,-0.0001841,0,-0.00018877,0,-0.009053732,0.010330421,4.95354E-05,0,-0.006377454,0,-0.001245121,0,0.000238308,0,0.000121654,0,-0.020045127,0.021360132,-0.000189826,0,0.006377454,-0.008535349,-0.001570867,-0.003595436,-0.000116679,0.000654741,-0.000168067,0,0.258789063,0.807617188,0.70078125,0.748535156,0.258789063,0.611328125,308.3,7.361022949,1.472229004,12,2.399963379,pen
-0.047187805,0.312286377,0.05106925,0,-0.047187805,0,-0.267675226,0,-0.044956399,0,0,0,0,0.411306222,0.07477629,0.045020427,0.047187805,0,-0.076921903,0.509091464,0.083253625,0,-0.076921903,0,-0.436368075,0,-0.073288493,0,0,0,0,0.670515634,0.121900919,0.073393375,0.076921903,0,-0.032529831,0.033175694,-1.1961E-05,0,-0.004537289,-0.005502951,-0.000798609,0,-3.77955E-05,0,-1.8603E-05,-1.50E-07,-0.024334111,0.027882836,4.39239E-05,0,0,0,0.001513609,0,6.34412E-05,0,5.57496E-05,0,-0.042844398,0.03868892,-3.30008E-05,0,0.004537289,-0.005502951,-0.001674255,0.000279322,-5.14936E-05,0.000279322,-3.84638E-05,-1.50E-07,-0.053030361,0.054083288,-1.94993E-05,0,-0.007396337,-0.008970827,-0.001301914,0,-6.16167E-05,0,-3.0327E-05,0,-0.039669825,0.045455008,7.16055E-05,0,0,0,0.002467458,0,0.000103426,0,9.08839E-05,0,-0.069845378,0.06307158,-5.37978E-05,0,0.007396337,-0.008970827,-0.002729353,0.000455837,-8.39487E-05,0.000455837,-6.27039E-05,1.50E-07,0.4375,0.727539063,0.609848485,0.665039063,0.4375,0.486328125,339.6,17.66644287,14.72201538,28.79998779,24,pen
-0.093473889,0.053342736,-0.006226811,0,0,0.053342736,-0.053346053,0.450676122,0.073670277,0,-0.043432185,-0.053346053,0,0.453449387,0.087407566,0.043432185,0.043432185,0.075440367,-0.152381534,0.086958512,-0.010150877,0,0,0.086958512,-0.086961829,0.734695127,0.120098042,0,-0.07079538,-0.086961829,0,0.739216561,0.142491773,0.07079538,0.07079538,0.122980253,-0.008902275,0.009736863,0.000309683,0,0,0.005798124,0.000966354,0,0.00056785,0,0.000357924,0,-0.051213196,0.04598736,-0.000728315,0,-0.003843556,-0.005798484,-0.002709084,-0.002516323,-0.000706921,0.001280899,-0.001103223,0.002530763,-0.051528339,0.046270346,-0.000231366,0,0.003843556,0.00820004,-0.000151053,-0.002439768,0.000562035,0.001828872,-0.000445854,0.002530763,-0.014512527,0.015873076,0.000504848,0,0,0.009452012,0.001575335,0,0.000925702,0,0.000583488,0,-0.083488082,0.074968891,-0.001187298,0,-0.006265078,-0.009452373,-0.00441627,-0.004101973,-0.001152402,0.002088574,-0.001798438,0.004125617,-0.084001882,0.075430262,-0.000377183,0,0.006265078,0.013367419,-0.000246281,-0.003977177,0.000916193,0.002981869,-0.000726826,0.004125617,0.134765625,0.9765625,0.839102909,0.963867188,0.390625,0.134765625,293.7,2.94442749,23.06460571,4.800018311,37.60003662,pen
-0.049072266,0.250374931,0.027815423,0,0,0,0,0.250371817,0.041487122,0,0,0,0,0.354081422,0.05467697,0,0,0,-0.080001831,0.408163267,0.045344907,0,0,0,0,0.408163267,0.067632733,0,0,0,0,0.577230028,0.089135165,0,0,0,-0.024789597,0.014420965,0.00019093,0,0,0,-0.00111275,0,-0.002606814,0,0.000260376,0,-0.024789289,0.018174913,0.000270789,0,0,0,-0.00111275,0,-0.00256176,0,0.000330965,0,-0.035057566,0.021843527,0.000364467,0,0,0,-0.001573666,0,-0.003651582,0,0.000418443,0,-0.040412205,0.023508654,0.000311253,0,0,0,-0.0018141,0,-0.004249655,0,0.000424466,0,-0.040412205,0.029629178,0.000441438,0,0,0,-0.001814031,0,-0.004176259,0,0.000539536,0,-0.057151488,0.035610049,0.000594155,0,0,0,-0.002565477,0,-0.005952882,0,0.000682144,0,0.55078125,0.9765625,0.910378196,0.9765625,0.55078125,0.934570313,227.2,6.870269775,8.833190918,11.20001221,14.39996338,pen
