velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.674424267,0,-1.960130965,-1.527271618,-2.618186257,-0.999997454,-0.072726163,0.860215053,0.248288025,0,-0.072726163,0,0,5.735853254,1.984328311,1.529002187,2.619196131,0.999997454,-5.674424267,0,-1.960130965,-1.527271618,-2.618186257,-0.999997454,-0.072726163,0.860215053,0.248288025,0,-0.072726163,0,0,5.735853254,1.984328311,1.529002187,2.619196131,0.999997454,-0.659816773,0.406646877,-0.025181909,-0.104166401,-0.238016932,-0.104166401,0.114948849,0.114948849,0.038613213,0.09518686,-0.034322242,-0.104166401,-0.083516025,0.097350083,0.002469674,0,-0.006611469,0,-0.041758012,-0.041758012,-0.015714716,-0.03591954,0.002920038,0,-0.40784821,0.666959679,0.025331244,0.104166401,0.238108739,0.104166401,-0.120089495,-0.120089495,-0.040495412,-0.099504015,0.034506129,0.104166401,-0.659816773,0.406646877,-0.025181909,-0.104166401,-0.238016932,-0.104166401,0.114948849,0.114948849,0.038613213,0.09518686,-0.034322242,-0.104166401,-0.083516025,0.097350083,0.002469674,0,-0.006611469,0,-0.041758012,-0.041758012,-0.015714716,-0.03591954,0.002920038,0,-0.40784821,0.666959679,0.025331244,0.104166401,0.238108739,0.104166401,-0.120089495,-0.120089495,-0.040495412,-0.099504015,0.034506129,0.104166401,0.137695313,0.668945313,0.455610795,0.455078125,0.374023438,0.137695313,117,185.5999756,27.20001221,185.5999756,27.20001221,page
-3.232323221,0,-1.258451625,-1.224618983,-0.070789978,-1.962268753,-0.470590031,0.56565718,0.079457918,0,-0.07079538,0.52830534,0,3.281445024,1.288546495,1.284290714,0.100115967,2.032143005,-3.232323221,0,-1.258451625,-1.224618983,-0.070789978,-1.962268753,-0.470587039,0.565654098,0.079457901,0,-0.07079538,0.52830534,0,3.281444493,1.288546404,1.284290583,0.100115967,2.032143005,-0.331597537,0.343864173,-0.013655969,-0.030419721,-0.0062646,-0.185119693,0.07937224,0.07937224,0.032640997,0.095902567,-0.010303218,-0.017408077,-0.060176296,0.057137089,0.004368283,-0.004329587,-0.006265078,0.049840126,-0.005168085,-0.005168085,0.002397106,-0.002394096,0.00901905,0.00664535,-0.349089897,0.333337089,0.014112212,0.035792957,0.00885982,0.191711604,-0.078689147,-0.078689147,-0.03174343,-0.095517311,0.009776063,0.014816964,-0.331597537,0.343864173,-0.013655969,-0.030419721,-0.0062646,-0.185119693,0.07937224,0.07937224,0.032640997,0.095902567,-0.010303218,-0.017408077,-0.060175968,0.057136777,0.004368277,-0.004329448,-0.006265078,0.049840126,-0.005167921,-0.005167921,0.002397103,-0.002393819,0.009019043,0.006645339,-0.349089841,0.333337089,0.014112212,0.035792957,0.00885982,0.191711604,-0.078689118,-0.078689118,-0.03174343,-0.095517273,0.009776063,0.014816949,0.14453125,0.474609375,0.399658203,0.4296875,0.42578125,0.14453125,128.3,158.4000244,21.6000061,158.4000244,21.59997559,page
-3.733328683,0,-1.418686454,-0.98427179,-0.41739555,-1.44681241,0,0.880740106,0.291816363,0.1454551,0,0.425531916,0,3.782757999,1.453008933,1.01491193,0.41739555,1.50809269,-3.733328683,0,-1.418686454,-0.98427179,-0.41739555,-1.44681241,0,0.880737307,0.291816406,0.1454551,0,0.425531916,0,3.782757999,1.45300896,1.01491193,0.41739555,1.50809269,-0.355555113,0.267000162,-0.009739136,0.020679645,-0.036295265,-0.153916214,0.056541974,0.056541974,0.041286974,0.154269348,-0.006923354,0.067322188,-0.084423485,0.080801845,0.00336514,0,0,0.045269353,0.001775269,0.001775269,-0.002566241,-0.028964556,0.004038169,-0.000607511,-0.274994017,0.360262667,0.010262237,-0.020679645,0.036295265,0.160435393,-0.0549022,-0.0549022,-0.040915406,-0.156883431,0.007551074,-0.065902606,-0.355555113,0.267000162,-0.009739136,0.020679645,-0.036295265,-0.153916214,0.056541974,0.056541974,0.041286974,0.154269348,-0.006923354,0.067322188,-0.084423808,0.080801588,0.003365148,0,0,0.045269353,0.001775269,0.001775269,-0.002566241,-0.028964556,0.004038177,-0.000607179,-0.274994116,0.360262667,0.010262238,-0.020679645,0.036295265,0.160435393,-0.0549022,-0.0549022,-0.040915406,-0.156883431,0.007551077,-0.065902513,0.141601563,0.568359375,0.45711263,0.492675781,0.323242188,0.141601563,131.7,172.7999878,36.79998779,172.7999878,36.79998779,page
-0.11007024,0.2234375,0.011498582,0,-0.026601156,0,-0.358295053,0.43927114,0.011113609,0,0,0.031298469,0,0.454620981,0.091430133,0.05015962,0.026601156,0.031298469,-0.275864876,0.559997559,0.028818162,0,-0.066670736,0,-0.897961056,1.100917434,0.027853327,0,0,0.078433168,0,1.13938926,0.229146039,0.125705954,0.066670736,0.078433168,-0.02234375,0.02234375,-0.000153956,0,-0.002216763,0,-0.000675935,0,-0.000132789,0,-0.000132603,0,-0.03656072,0.040300105,-0.000200722,0,0,-0.003067304,-0.000562187,-0.002395935,0.00040748,0.000325834,-0.000317368,0,-0.032411947,0.041708347,0.000161178,0.002173519,0.002216763,-0.003067304,-0.000764934,-0.002407806,-8.1466E-05,0.000496522,-5.99525E-05,-0.001748308,-0.055999756,0.055999756,-0.000385858,0,-0.005555895,0,-0.001694042,0,-0.000332808,0,-0.000332348,0,-0.09162868,0.1010016,-0.000503074,0,0,-0.007689233,-0.001409059,-0.006005563,0.001021186,0.000816025,-0.000795418,0,-0.08123098,0.104531125,0.00040393,0.005447149,0.005555895,-0.007689233,-0.001917189,-0.006035374,-0.000204217,0.001244957,-0.000150263,-0.004381514,0.102539063,0.330078125,0.243566176,0.240234375,0.102539063,0.202148438,521.7,9.576080322,13.40652466,24,33.6000061,pen
0,0.074813366,0.027049644,0.030117395,0,0.071730025,-0.071733453,0,-0.00878815,0,0,-0.071733453,0,0.101443998,0.030118764,0.030117395,0,0.101443998,0,0.187497139,0.067793311,0.075476304,0,0.179772538,-0.179775967,0,-0.022025001,0,0,-0.179775967,0,0.254239186,0.075485025,0.075476304,0,0.254239186,-0.008906353,0.008059553,0.000398996,0,0,0.008059553,0.000947221,0.000947221,-0.000409662,-0.000395925,0.000487662,0.002895087,-0.008059939,0.002968595,-0.000639953,0,0,-0.008059939,-0.004029969,-0.004029969,-0.001272836,0,-0.000782165,0,-0.009388061,0.011398202,0.000687456,0,0,0.011398202,0.002616546,0.002616546,0.000304573,-0.000395925,0.000840224,0.002895087,-0.022321088,0.020199162,0.001,0,0,0.020199162,0.002373668,0.002373668,-0.001026641,-0.000992319,0.001222222,0.007256125,-0.020199547,0.007440363,-0.001603811,0,0,-0.020199547,-0.010099773,-0.010099773,-0.003189796,0,-0.001960214,0,-0.023528492,0.028566201,0.001722908,0,0,0.028566201,0.006557187,0.006557187,0.000763268,-0.000992319,0.002105777,0.007256125,0.103515625,0.28125,0.245294744,0.255859375,0.267578125,0.103515625,120.9,3.511230469,0.957611084,8.799987793,2.399993896,pen
0,0.212800525,0.031436395,0,0,0,-0.060802641,0.03432079,-0.002463226,0,0,0,0,0.221316572,0.036998114,0,0,0,0,0.533331008,0.078787156,0,0,0,-0.152381534,0.086020193,-0.006172667,0,0,0,0,0.554672963,0.092726943,0,0,0,-0.019171218,0.020266717,0.000165852,0,0,-0.019171218,0.000547749,0.000547749,-0.000607419,-0.001762588,0.000202708,0,-0.00652704,0.005477715,9.07409E-06,0,0,0.005477715,-0.000156506,-0.000156506,-0.000911975,-0.001299288,1.10906E-05,0,-0.01993843,0.021077769,0.000184696,0,0,-0.01993843,0.000569669,0.000569669,-0.000952027,-0.002473723,0.00022574,0.002190698,-0.048047838,0.050793429,0.000415667,0,0,-0.048047838,0.001372795,0.001372795,-0.001522192,-0.00441718,0.000508037,0,-0.016359099,0.013728066,2.27484E-05,0,0,0.013728066,-0.00039223,-0.00039223,-0.002285721,-0.003255925,2.78036E-05,0,-0.049970537,0.052825996,0.000462899,0,0,-0.049970537,0.00142773,0.00142773,-0.002385976,-0.006199682,0.000565765,0.005490696,0.129882813,0.533203125,0.397372159,0.412109375,0.3515625,0.129882813,113.4,4.149627686,1.276794434,10.40002441,3.199981689,pen
-0.274586011,0.187765169,0.00773384,0,0,0,-0.080471519,0.240261939,0.024318572,0,0,0,0,0.364860626,0.080476485,0.035866727,0,0,-0.688174667,0.470586182,0.019382762,0,0,0,-0.201680159,0.602151193,0.060947881,0,0,0,0,0.914423552,0.201693142,0.089886269,0,0,-0.029525377,0.01733362,-0.000245833,0,0,0.003426512,0.001528399,0.003285659,-0.000353782,0.003285659,-0.000794809,-0.00171666,-0.12969118,0.025834617,-0.005198827,0,0,0.003426185,-0.000843118,-0.001700588,0.000211596,-0.001700588,-0.006508863,0,-0.12969118,0.039232325,-0.005328047,-0.002153642,0,-0.004845588,-0.002096217,-0.003735696,0.000169272,-0.003735696,-0.007305254,-0.00373555,-0.073997276,0.043442735,-0.000616079,0,0,0.008587901,0.003830578,0.008234577,-0.000886596,0.008234577,-0.001991932,-0.004302403,-0.325037774,0.06474744,-0.01302952,0,0,0.008587246,-0.002113067,-0.004262282,0.000530309,-0.004262282,-0.016312773,0,-0.325037774,0.098325113,-0.013353411,-0.005397369,0,-0.012144662,-0.005253728,-0.009362203,0.000424154,-0.009362203,-0.018308782,-0.009361994,0.189453125,0.302734375,0.258109715,0.287109375,0.19140625,0.189453125,271.7,10.85293579,10.21447754,27.20001221,25.6000061,pen
-0.127676392,0,-0.046312564,-0.014379003,0,0,0,0.298322159,0.101644549,0.028755257,0,0,0,0.321301951,0.111857912,0.032149969,0,0,-0.319995117,0,-0.116070264,-0.036035486,0,0,0,0.747663548,0.254745947,0.072070972,0,0,0,0.805258709,0.280343006,0.080577797,0,0,-0.011314291,0.013582595,0.000294101,-0.001295406,0,0.010105969,-0.000604161,-0.000604161,0.001983488,0.002832824,0.000691478,-0.00064005,-0.032077652,0.027880576,-0.000647699,0.001457088,0,-0.02357995,0.001409671,0.001409671,-0.004509188,-0.010332887,-0.001457265,-0.00170283,-0.034548597,0.03002822,-0.000712607,0.002297714,0,-0.02565433,0.001533683,0.001533683,-0.004928609,-0.010529451,-0.001614857,-0.00123525,-0.028355676,0.034042034,0.000737095,-0.00324644,0,0.0253274,-0.001514138,-0.001514138,0.004971006,0.007098833,0.001732978,-0.001604924,-0.08039393,0.069875098,-0.001623302,0.003652178,0,-0.05909673,0.003532957,0.003532957,-0.011301066,-0.025896187,-0.003652347,-0.004267709,-0.086586958,0.075257823,-0.001785977,0.005759225,0,-0.064295417,0.003843748,0.003843748,-0.012352203,-0.026388484,-0.004047286,-0.003095478,0.202148438,0.44140625,0.330664063,0.328125,0.408203125,0.202148438,107.4,4.78805542,11.81048584,12,29.59997559,pen
-0.271661637,0.24090749,-0.000134456,0,-0.027052023,-0.037998018,-0.330210719,0.172539788,-0.002101731,0,0,0,0,0.348071551,0.083600987,0.03879602,0.027052023,0.037998018,-0.680853663,0.603770132,-0.000336914,0,-0.067795576,-0.095236642,-0.827587611,0.432431332,-0.005267593,0,0,0,0,0.872352459,0.209524217,0.097239092,0.067795576,0.095236642,-0.028900174,0.029528439,0.000492871,-0.000523993,-0.002292544,-0.004523574,-0.000734683,-0.004523574,-0.000270223,-0.004204919,0.00090457,0,-0.037955255,0.021767707,-0.00031868,0,0,0,-7.76191E-05,0,-0.000863026,-0.001355919,-0.000410915,0,-0.033013877,0.040008224,5.31993E-05,-0.002062119,0.002292544,0.004523574,0.000717452,0.004523574,-0.001450174,-0.002131862,-0.00023526,-0.002487609,-0.072431241,0.074005833,0.00123523,-0.001313189,-0.005745388,-0.011337695,-0.0018414,-0.011337695,-0.000677297,-0.010538647,0.002267044,0,-0.095125013,0.054555374,-0.000798697,0,0,0,-0.000194533,0,-0.002162911,-0.003398419,-0.001029859,0,-0.082741037,0.100270398,0.000133384,-0.005167709,0.005745388,0.011337695,0.001798212,0.011337695,-0.003634365,-0.005343248,-0.000589551,-0.006235182,0.251953125,0.412109375,0.339355469,0.3203125,0.354492188,0.251953125,279.6,8.618438721,7.341705322,21.59997559,18.40002441,pen
-0.429696304,0.395470003,0.007757724,0,-0.050668868,0,-0.390136719,0.276231033,0.011792834,0,0.025332012,0,0,0.551739037,0.135231292,0.044384707,0.056648433,0,-1.076924253,0.99114612,0.019442776,0,-0.126982189,0,-0.977776421,0.692305933,0.029555872,0,0.063493517,0,0,1.382789472,0.338921863,0.111237858,0.141971487,0,-0.038605567,0.04939038,-0.00047032,0,-0.004021339,-0.037156201,-0.010339158,-0.018874206,-0.002317455,-0.000296105,0.001738738,0,-0.031750693,0.037155878,-3.87E-07,-0.001951713,0.002010477,0.037155878,0.001018724,-0.004282266,-0.000101974,-0.002150605,-0.001548651,-0.003168958,-0.058715553,0.038076031,-0.001122196,0.002465837,0.004495907,-0.052546575,-0.010027724,-0.012820176,-0.00202315,0.002619691,-0.004192883,-0.000819501,-0.096755056,0.123784397,-0.001178765,0,-0.010077951,-0.09312221,-0.025912497,-0.047303489,-0.00580807,-0.000742384,0.004357687,0,-0.079575395,0.093121564,-9.73E-07,-0.004892256,0.005039168,0.093121564,0.002553039,-0.010732551,-0.000255489,-0.00538991,-0.00388131,-0.007942543,-0.147155769,0.09542789,-0.002812443,0.006179556,0.011267578,-0.131694235,-0.02513194,-0.032130707,-0.005070405,0.00656535,-0.010508344,-0.002054677,0.127929688,0.526367188,0.400097656,0.460449219,0.180664063,0.127929688,203.6,13.40652466,8.299316406,33.59997559,20.79998779,pen
