velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.846150336,0,-1.838125286,-1.890907981,-0.141601563,-1.890907981,-0.51851626,0,-0.123809978,0,0,-0.072726163,0,4.855908603,1.843602379,1.892306024,0.141601563,1.892306024,-4.846150336,0,-1.838125286,-1.890907981,-0.141601563,-1.890907981,-0.51851626,0,-0.123809978,0,0,-0.072726163,0,4.855908603,1.843602379,1.892306024,0.141601563,1.892306024,-0.465975995,0.539326105,-0.000104427,-0.012531112,-0.012531112,0.127164801,-0.043598832,-0.079260167,0.042660992,0.012722946,-0.000308968,-0.101718909,-0.048010765,0.055754436,0.000553755,0,0,0.000185368,-0.001700509,0,0.003227508,9.26842E-05,0.00068405,0,-0.541766493,0.46691429,6.21874E-05,0.012531112,0.012531112,-0.127114932,0.043631147,0.079285102,-0.042773677,-0.012813718,0.00025679,0.101487496,-0.465975995,0.539326105,-0.000104427,-0.012531112,-0.012531112,0.127164801,-0.043598832,-0.079260167,0.042660992,0.012722946,-0.000308968,-0.101718909,-0.048010765,0.055754436,0.000553755,0,0,0.000185368,-0.001700509,0,0.003227508,9.26842E-05,0.00068405,0,-0.541766493,0.46691429,6.21874E-05,0.012531112,0.012531112,-0.127114932,0.043631147,0.079285102,-0.042773677,-0.012813718,0.00025679,0.101487496,0.049804688,0.439453125,0.356212798,0.37890625,0.36328125,0.049804688,213.7,399.1999512,27.19995117,399.1999512,27.19995117,page
-8.355556912,0,-3.334422519,-3.921568609,-0.615386964,-6.593403223,-1.320385985,0.527471185,-0.319039794,0,-0.538459192,0.527471185,0,8.435084245,3.377341071,3.928621234,0.817703747,6.614468377,-8.355556912,0,-3.334422519,-3.921568609,-0.615386964,-6.593403223,-1.320385985,0.527471185,-0.319039794,0,-0.538459192,0.527471185,0,8.435084245,3.377341071,3.928621234,0.817703747,6.614468377,-0.928395212,0.766564856,-0.041258153,-0.145355967,-0.059171824,-0.293608199,-0.0164292,-0.293608199,-0.089454914,-0.293608199,-0.052682837,-0.219482083,-0.128395363,0.119047619,0.00264074,0.023068285,-0.051774922,0.032107107,0.018391797,0.023068285,0.007141486,0.023068285,0.002512971,0.023308203,-0.773860942,0.937231583,0.041393408,0.14337123,0.07862536,0.295148037,0.017172957,0.295148037,0.089814226,0.295148037,0.052933192,0.219259633,-0.928395212,0.766564856,-0.041258153,-0.145355967,-0.059171824,-0.293608199,-0.0164292,-0.293608199,-0.089454914,-0.293608199,-0.052682837,-0.219482083,-0.128395363,0.119047619,0.00264074,0.023068285,-0.051774922,0.032107107,0.018391797,0.023068285,0.007141486,0.023068285,0.002512971,0.023308203,-0.773860942,0.937231583,0.041393408,0.14337123,0.07862536,0.295148037,0.017172957,0.295148037,0.089814226,0.295148037,0.052933192,0.219259633,0.057617188,0.592773438,0.424172794,0.446289063,0.19140625,0.057617188,179.5,560.7999573,56.80004883,560.7999573,56.80004883,page
-7.287132322,0,-3.407368509,-4.227891993,-1.599997781,0,-0.833333331,0.967031636,-0.121348604,0,-0.218178489,0,0,7.287132322,3.423863546,4.270455894,1.614804865,0,-7.287132322,0,-3.407368509,-4.227891993,-1.599997781,0,-0.833333331,0.967031636,-0.121348604,0,-0.218178489,0,0,7.287132322,3.423863546,4.270455894,1.614804865,0,-0.721498248,0.722631685,0.01157084,-0.104926946,-0.145454344,0.668132412,0.000663657,-0.253183419,0.089441327,0.154479607,0.010745832,-0.064399548,-0.096703164,0.08343763,0.001184032,0.005406964,-0.019834408,-0.096703164,0.001623182,0.028479995,0.005203379,0.013175365,0.000834211,0.010813928,-0.724166833,0.721498248,-0.011578457,0.103709596,0.146800442,-0.67509438,-0.000488038,0.259691337,-0.089456394,-0.15153428,-0.010699121,0.06061875,-0.721498248,0.722631685,0.01157084,-0.104926946,-0.145454344,0.668132412,0.000663657,-0.253183419,0.089441327,0.154479607,0.010745832,-0.064399548,-0.096703164,0.08343763,0.001184032,0.005406964,-0.019834408,-0.096703164,0.001623182,0.028479995,0.005203379,0.013175365,0.000834211,0.010813928,-0.724166833,0.721498248,-0.011578457,0.103709596,0.146800442,-0.67509438,-0.000488038,0.259691337,-0.089456394,-0.15153428,-0.010699121,0.06061875,0.146484375,0.590820313,0.47253418,0.533691406,0.443359375,0.146484375,165.7,555.2000122,30.40002441,555.2000122,30.40002441,page
-11.18367103,0,-2.535583364,-1.638146937,-0.075476304,-2.122447718,-5.061228251,0,-0.894465831,-0.314757917,0,-0.244900449,0,12.27560708,2.705478501,1.676395333,0.075476304,2.136530025,-11.18367103,0,-2.535583364,-1.638146937,-0.075476304,-2.122447718,-5.061228251,0,-0.894465831,-0.314757917,0,-0.244900449,0,12.27560708,2.705478501,1.676395333,0.075476304,2.136530025,-1.133489263,0.96440624,-0.038456057,-0.053118822,-0.007120406,-0.216576296,0.06522991,0.06522991,-0.083267719,-0.216576296,0.138826869,0.059179067,-0.516451865,0.449674315,-0.007438758,-0.012494921,0,-0.024989842,0.024687228,0.024687228,-0.010703276,-0.024989842,0.076156966,0.022456595,-1.063398698,1.24491131,0.039486308,0.055408586,0.007120406,0.218013266,-0.068450485,-0.068450485,0.083998139,0.218013266,-0.156023542,-0.062368484,-1.133489263,0.96440624,-0.038456057,-0.053118822,-0.007120406,-0.216576296,0.06522991,0.06522991,-0.083267719,-0.216576296,0.138826869,0.059179067,-0.516451865,0.449674315,-0.007438758,-0.012494921,0,-0.024989842,0.024687228,0.024687228,-0.010703276,-0.024989842,0.076156966,0.022456595,-1.063398698,1.24491131,0.039486308,0.055408586,0.007120406,0.218013266,-0.068450485,-0.068450485,0.083998139,0.218013266,-0.156023542,-0.062368484,0.31640625,0.405273438,0.379760742,0.383789063,0.375,0.31640625,91.39999998,216.7999878,71.20001221,216.7999878,71.20001221,page
-3.797977341,0.070179722,-1.227384438,-0.388349516,0.070179722,-3.065419406,-1.098034436,0.373831774,-0.247679011,-0.070174368,-0.070174368,0.373831774,0,3.819408401,1.282650848,0.452890689,0.099245329,3.088129908,-3.797977341,0.070179722,-1.227384438,-0.388349516,0.070179722,-3.065419406,-1.098034436,0.373831774,-0.247679011,-0.070174368,-0.070174368,0.373831774,0,3.819408401,1.282650848,0.452890689,0.099245329,3.088129908,-0.383634076,0.36519013,-0.016421948,-0.007628231,0.006156116,-0.085726179,-0.075768209,-0.142314446,0.002492247,-0.004912224,-0.018189404,-0.020825751,-0.107650436,0.082559339,0.001748626,0.007627649,-0.006155646,0.034937549,0.008243856,0.017468774,0.01519458,0.036893794,0.003664291,0.02177683,-0.367250809,0.385798829,0.016390722,0.008705731,0.008705731,0.087848656,0.076324847,0.143375684,-0.003703047,-0.000733943,0.017929708,0.014703881,-0.383634076,0.36519013,-0.016421948,-0.007628231,0.006156116,-0.085726179,-0.075768209,-0.142314446,0.002492247,-0.004912224,-0.018189404,-0.020825751,-0.107650436,0.082559339,0.001748626,0.007627649,-0.006155646,0.034937549,0.008243856,0.017468774,0.01519458,0.036893794,0.003664291,0.02177683,-0.367250809,0.385798829,0.016390722,0.008705731,0.008705731,0.087848656,0.076324847,0.143375684,-0.003703047,-0.000733943,0.017929708,0.014703881,0.0546875,0.526367188,0.393297697,0.412109375,0.336914063,0.0546875,195.4,235.2000122,49.60003662,235.2000122,49.60003662,page
-2.639172728,0.076921902,-0.870458001,-0.125792871,0.076921902,-2.181815721,-1.224489787,0,-0.239162193,-0.081938548,-0.076921902,-0.404040405,0,2.884993159,0.920904418,0.151613829,0.108783998,2.218911555,-2.639172728,0.076921902,-0.870458001,-0.125792871,0.076921902,-2.181815721,-1.224489787,0,-0.239162193,-0.081938548,-0.076921902,-0.404040405,0,2.884993159,0.920904418,0.151613829,0.108783998,2.218911555,-0.272079661,0.262156318,-0.013654714,-0.007433274,0.007396337,-0.220385427,0.014748626,0.096614016,-0.02843934,-0.054172281,-0.01623117,-0.010461772,-0.087842044,0.111317253,-0.0033208,-0.003698168,-0.007396337,-0.040812162,-0.002557897,0.009136438,-0.005102217,-0.012436841,-0.00408172,-0.009451652,-0.26702147,0.274197065,0.014143979,0.009000326,0.01046,0.224132481,-0.014188716,-0.096975597,0.028895281,0.055893322,0.016820261,0.012692928,-0.272079661,0.262156318,-0.013654714,-0.007433274,0.007396337,-0.220385427,0.014748626,0.096614016,-0.02843934,-0.054172281,-0.01623117,-0.010461772,-0.087842044,0.111317253,-0.0033208,-0.003698168,-0.007396337,-0.040812162,-0.002557897,0.009136438,-0.005102217,-0.012436841,-0.00408172,-0.009451652,-0.26702147,0.274197065,0.014143979,0.009000326,0.01046,0.224132481,-0.014188716,-0.096975597,0.028895281,0.055893322,0.016820261,0.012692928,0.147460938,0.530273438,0.439941406,0.452148438,0.328125,0.147460938,168.2,145.6000366,38.40002441,145.6000366,38.40002441,page
-1.981649141,0,-0.667149918,-0.523367912,-0.077674643,-1.981649141,-0.510636994,0,-0.152125127,-0.081631407,-0.077674643,0,0,1.981649141,0.691064631,0.565449826,0.109848534,1.981649141,-1.981649141,0,-0.667149918,-0.523367912,-0.077674643,-1.981649141,-0.510636994,0,-0.152125127,-0.081631407,-0.077674643,0,0,1.981649141,0.691064631,0.565449826,0.109848534,1.981649141,-0.181077407,0.168527491,-0.012129017,-0.033654682,-0.007541227,-0.056698421,-0.031587956,-0.064201476,-0.017064209,-0.064201476,-0.012060442,-0.056698421,-0.054323084,0.050558119,-0.000299547,-0.002369769,-0.007541227,0.008340793,0.006386475,0.002985512,0.004061511,0.002985512,0.00103915,-0.002369769,-0.175947829,0.189050323,0.012147362,0.036156474,0.010664906,0.056420686,0.030540078,0.063345099,0.016171363,0.063345099,0.011791855,0.056420686,-0.181077407,0.168527491,-0.012129017,-0.033654682,-0.007541227,-0.056698421,-0.031587956,-0.064201476,-0.017064209,-0.064201476,-0.012060442,-0.056698421,-0.054323084,0.050558119,-0.000299547,-0.002369769,-0.007541227,0.008340793,0.006386475,0.002985512,0.004061511,0.002985512,0.00103915,-0.002369769,-0.175947829,0.189050323,0.012147362,0.036156474,0.010664906,0.056420686,0.030540078,0.063345099,0.016171363,0.063345099,0.011791855,0.056420686,0.065429688,0.4765625,0.381835938,0.436523438,0.247070313,0.065429688,193.5,125.5999756,28,125.5999756,28,page
-0.086023474,0.072728937,-0.011422333,0,0,0,-0.096376718,0.505265085,0.080564161,0,-0.075473426,0,0,0.512234324,0.094575105,0,0.075473426,0,-0.086023474,0.072728937,-0.011422333,0,0,0,-0.096384072,0.505261873,0.080564098,0,-0.075470547,0,0,0.512231155,0.094575323,0,0.075470547,0,-0.009249836,0.008426567,-6.65707E-05,0,0,0,-0.000307257,0,0.000496824,0,-8.32134E-05,0,-0.052434228,0.053185798,1.7361E-05,0,-0.007120135,0.009356963,-0.001023687,-0.000408167,-0.003380101,-0.000204083,1.68111E-05,0,-0.052966558,0.053919403,8.52507E-05,0,0.007120135,-0.009356963,-0.000686748,-0.000408167,-0.00327308,0.001220482,0.000111454,0,-0.009249836,0.008426567,-6.65707E-05,0,0,0,-0.000307257,0,0.000496824,0,-8.32134E-05,0,-0.0524348,0.05318546,1.73503E-05,0,-0.007119863,0.009357677,-0.001023642,-0.000407852,-0.003380088,-0.000203926,1.67979E-05,0,-0.052967124,0.053919069,8.52506E-05,0,0.007119863,-0.009357677,-0.000686653,-0.000407852,-0.003273042,0.001221082,0.000111453,0,0.189453125,0.446289063,0.35594308,0.4140625,0.189453125,0.274414063,355.0999999,4.800018311,30.3999939,4.800018311,30.40002441,pen
-0.076189314,0.571429197,0.096997365,0,0.076924838,-0.076189314,-0.082476114,0.07619222,-0.003585539,0,0,-0.076183501,0,0.571429197,0.109153699,0,0.076924838,0.10774385,-0.076189314,0.571429197,0.096997365,0,0.076924838,-0.076189314,-0.082472968,0.076189314,-0.003585781,0,0,-0.076189314,0,0.571429197,0.10915369,0,0.076924838,0.107747961,-0.058910226,0.058309102,-0.000537417,0,0.007396619,-0.007256125,-0.007206293,-0.008245597,-0.001248728,-0.007256125,-0.000694452,0,-0.008502692,0.008330921,-0.000348948,0,0,-0.007255571,-0.001485469,0,-0.00082526,0,-0.000445878,0,-0.058910226,0.058309102,0.000199954,0,0.007396619,0.010261319,-0.003694694,-0.008245597,0.000702161,0.006409537,0.000247744,0.00032375,-0.058910226,0.058309102,-0.000537417,0,0.007396619,-0.007256125,-0.007206293,-0.008245597,-0.001248728,-0.007256125,-0.000694452,0,-0.008502368,0.008330603,-0.000348971,0,0,-0.007256125,-0.001485578,0,-0.000825321,0,-0.000445907,0,-0.058910226,0.058309102,0.000199972,0,0.007396619,0.010261711,-0.003694617,-0.008245597,0.000702204,0.006409537,0.000247766,0.0003239,0.118164063,0.436523438,0.311693274,0.365234375,0.172851563,0.118164063,240.8,22.3999939,2.399993896,22.3999939,2.400024414,pen
-0.07407577,0.083332063,0.00730494,0,0.072073722,0,-0.073387776,0.518524737,0.104546817,0,0,0,0,0.523789197,0.117419631,0,0.072073722,0,-0.07407577,0.083332063,0.00730494,0,0.072073722,0,-0.073393376,0.518521912,0.104546946,0,0,0,0,0.5237864,0.117420199,0,0.072073722,0,-0.008380665,0.008680423,-9.12432E-05,0,0.006493128,0,0.000127653,0,-0.000172115,0,-5.30328E-05,0,-0.07182968,0.051014207,-0.001469276,0,0,0,-0.005999948,-0.004084593,-0.00980292,-0.004084593,-0.001878188,0,-0.07182968,0.051014207,-0.001626034,0,0.006493128,0,-0.005947069,-0.005776708,-0.00981477,-0.005776708,-0.001885751,0,-0.008380665,0.008680423,-9.12432E-05,0,0.006493128,0,0.000127653,0,-0.000172115,0,-5.30328E-05,0,-0.071828995,0.051014855,-0.001469246,0,0,0,-0.00599986,-0.004084905,-0.009802836,-0.004084905,-0.001878155,0,-0.071828995,0.051014855,-0.001626012,0,0.006493128,0,-0.005946984,-0.005776928,-0.009814687,-0.005776928,-0.001885719,0,0.236328125,0.639648438,0.528924851,0.548828125,0.236328125,0.4609375,214.4000001,1.600006104,24.79992676,1.600006104,24.79998779,pen
