velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-3.954025773,0,-1.46049259,-1.067593689,-0.198349127,0,-0.084209241,1.647057619,0.356198484,0,-0.066114694,0,0,3.980666825,1.524684191,1.073872902,0.209077806,0,-3.954025773,0,-1.46049259,-1.067593689,-0.198349127,0,-0.084209241,1.647057619,0.356198484,0,-0.066114694,0,0,3.980666825,1.524684191,1.073872902,0.209077806,0,-0.322953059,0.473372913,0.006345197,-0.048573715,-0.01639249,0.259379625,0.072087152,0.259379625,0.062613948,0.089312342,0.026399162,-0.080754941,-0.129689577,0.161476236,-0.000518128,0.002587222,-0.005464024,-0.129689577,-0.025069616,-0.106995508,-0.018305854,-0.05402915,7.6102E-05,0.008771796,-0.489023197,0.361072366,-0.006218411,0.047135383,0.017279158,-0.289995132,-0.076171721,-0.289995132,-0.065147736,-0.106501762,-0.0262439,0.076991609,-0.322953059,0.473372913,0.006345197,-0.048573715,-0.01639249,0.259379625,0.072087152,0.259379625,0.062613948,0.089312342,0.026399162,-0.080754941,-0.129689577,0.161476236,-0.000518128,0.002587222,-0.005464024,-0.129689577,-0.025069616,-0.106995508,-0.018305854,-0.05402915,7.6102E-05,0.008771796,-0.489023197,0.361072366,-0.006218411,0.047135383,0.017279158,-0.289995132,-0.076171721,-0.289995132,-0.065147736,-0.106501762,-0.0262439,0.076991609,0.740234375,0.9765625,0.939732143,0.9765625,0.740234375,0.836914063,147.5999999,226.3999634,60.79998779,226.3999634,60.79998779,page
-3.743123754,0,-1.162450002,-0.249999364,0,0,-0.166664123,1.321097561,0.265993508,0,-0.14815154,0,0,3.969417363,1.218698224,0.337597902,0.14815154,0,-3.743123754,0,-1.162450002,-0.249999364,0,0,-0.166664123,1.321097561,0.265993508,0,-0.14815154,0,0,3.969417363,1.218698224,0.337597902,0.14815154,0,-0.34340585,0.406861275,0.006379372,-0.0260416,0,0.406861275,0.123103126,0.305853951,0.069604405,0.122235181,0.012854037,-0.061383589,-0.14359756,0.121201611,-0.002780548,0.01206006,-0.013717735,-0.14359756,-0.045697242,-0.114695779,-0.012982666,-0.00676572,-0.00204705,0.014880725,-0.431458407,0.364166731,-0.006897834,0.03430909,0.013717735,-0.431458407,-0.131314677,-0.326652355,-0.071148554,-0.12210368,-0.01368358,0.066237682,-0.34340585,0.406861275,0.006379372,-0.0260416,0,0.406861275,0.123103126,0.305853951,0.069604405,0.122235181,0.012854037,-0.061383589,-0.14359756,0.121201611,-0.002780548,0.01206006,-0.013717735,-0.14359756,-0.045697242,-0.114695779,-0.012982666,-0.00676572,-0.00204705,0.014880725,-0.431458407,0.364166731,-0.006897834,0.03430909,0.013717735,-0.431458407,-0.131314677,-0.326652355,-0.071148554,-0.12210368,-0.01368358,0.066237682,0.713867188,0.9765625,0.874930246,0.890136719,0.7734375,0.78125,149.9,202.4000244,67.20001221,202.4000244,67.20001221,page
-2.940167798,0,-1.114469701,-1.018947401,-0.072726163,-2.721652022,-0.084215666,1.814430486,0.443350357,0.146789549,-0.072720614,1.814430486,0,3.271016312,1.219221168,1.057945319,0.102846403,3.271016312,-2.940167798,0,-1.114469701,-1.018947401,-0.072726163,-2.721652022,-0.084215666,1.814430486,0.44335022,0.146789549,-0.072726163,1.814430486,0,3.271016312,1.219221454,1.057945319,0.102850326,3.271016312,-0.286458597,0.323095362,-0.015424814,-0.039367306,-0.006611469,-0.280582685,-0.085319262,-0.21043095,-0.035925465,-0.141345182,-0.017997416,-0.078629553,-0.150277072,0.187054691,0.01019329,0.003056548,-0.006610965,0.187054691,0.058105894,0.108843537,0.026207947,0.066603536,0.012583886,0.0270952,-0.356333848,0.337218179,0.018604095,0.039396636,0.009349673,0.337218179,0.103164745,0.236913698,0.044282289,0.156266673,0.021937067,0.082532164,-0.286458597,0.323095362,-0.015424814,-0.039367306,-0.006611469,-0.280582685,-0.085319262,-0.21043095,-0.035925465,-0.141345182,-0.017997416,-0.078629553,-0.150277072,0.187054691,0.010193297,0.00305684,-0.006611469,0.187054691,0.058105894,0.108843537,0.026207947,0.066603536,0.012583888,0.0270952,-0.356333848,0.337218179,0.018604092,0.039396608,0.00935003,0.337218179,0.103164745,0.236913698,0.044282289,0.156266673,0.021937067,0.082532164,0.158203125,0.626953125,0.507080078,0.565429688,0.265625,0.158203125,165.9000001,188.8000488,79.99996948,188.8000488,80,page
0,0.316832891,0.097011814,0,0,0.301887943,-0.452830835,0.43243305,0.052111596,0,0,-0.452830835,0,0.544235331,0.163876029,0.072070972,0,0.544235331,0,0.316832891,0.097011814,0,0,0.301887943,-0.452830476,0.432432706,0.052111598,0,0,-0.452830476,0,0.544235032,0.163875997,0.072070972,0,0.544235032,-0.033136395,0.031369593,0.0013941,0,0,0.028479995,0.008968759,0.014792956,0.003602005,0.009783555,0.000954958,0.002387077,-0.049704949,0.038446751,-0.003205899,0,0,-0.04271989,-0.014502251,-0.008183376,-0.008522744,-0.002277445,-0.004126549,0,-0.059737782,0.051342956,0.002652655,0.001756715,0,0.051342956,0.016527828,0.016539043,0.006717095,0.011079857,0.002647327,0.0021398,-0.033136395,0.031369593,0.0013941,0,0,0.028479995,0.008968759,0.014792956,0.003602005,0.009783555,0.000954958,0.002387077,-0.049704909,0.038446751,-0.003205896,0,0,-0.042719856,-0.014502239,-0.008183337,-0.008522737,-0.002277441,-0.004126545,0,-0.059737749,0.051342927,0.002652654,0.001756715,0,0.051342927,0.016527819,0.016539027,0.006717092,0.011079836,0.002647325,0.002139788,0.051757813,0.368164063,0.297851563,0.307617188,0.234375,0.051757813,154.9,15.20001221,13.60000992,15.20001221,13.6000061,pen
-0.258063858,1.37142799,0.101646666,0,0,1.37142799,-1.142857143,0.666667849,-0.020475665,0,0,-1.142857143,0,1.785199479,0.224266544,0.082474542,0,1.785199479,-0.258063858,1.37142799,0.101646666,0,0,1.37142799,-1.142857143,0.666667395,-0.020475668,0,0,-1.142857143,0,1.785199479,0.224266545,0.082474542,0,1.785199479,-0.08912656,0.13061219,0.003820376,0,0,0.13061219,0.014725304,0,0.009087715,0.007396337,0.003486257,0,-0.108843537,0.07936522,-0.00195695,0,0,-0.108843537,-0.012797202,-0.007930093,-0.005754999,-0.007566472,-0.001894907,-0.003102509,-0.09305089,0.170018998,0.004928602,0,0,0.170018998,0.018719126,-0.007566472,0.010211748,-0.007566472,0.004762854,-0.005569115,-0.08912656,0.13061219,0.003820376,0,0,0.13061219,0.014725304,0,0.009087715,0.007396337,0.003486257,0,-0.108843537,0.079365166,-0.00195695,0,0,-0.108843537,-0.012797202,-0.007930093,-0.005755002,-0.007566472,-0.001894907,-0.003102509,-0.09305089,0.170018998,0.004928602,0,0,0.170018998,0.018719126,-0.007566472,0.01021175,-0.007566472,0.004762854,-0.005569087,0.31640625,0.680664063,0.434411337,0.39453125,0.318359375,0.31640625,445.4,48.79998779,30.40000916,48.79998779,30.40000916,pen
-0.205127685,0.727269563,0.01964623,0,-0.072073722,0.727269563,-0.935065043,0.547009007,0.016003299,0,0,-0.935065043,0,1.184595987,0.145850627,0.084430177,0.072073722,1.184595987,-0.205127685,0.727269563,0.01964623,0,-0.072073722,0.727269563,-0.935064547,0.547008029,0.016003302,0,0,-0.935064547,0,1.184595596,0.145850598,0.084430177,0.072073722,1.184595596,-0.036202371,0.094450594,0.001951902,0,-0.006493128,0.094450594,0.008716761,0,0.00417288,0,0.002456327,0,-0.12143702,0.065164413,-0.004055628,0,0,-0.12143702,-0.013074081,-0.00649288,-0.007661568,-0.00649288,-0.006163385,0,-0.074545371,0.153843636,0.000978422,0,0.006493128,0.153843636,0.012843134,0,0.005581621,-0.010507803,0.000222407,0,-0.036202371,0.094450594,0.001951902,0,-0.006493128,0.094450594,0.008716761,0,0.00417288,0,0.002456327,0,-0.121436955,0.065164378,-0.004055627,0,0,-0.121436955,-0.013074076,-0.00649288,-0.007661566,-0.00649288,-0.006163383,0,-0.074545341,0.153843585,0.000978422,0,0.006493128,0.153843585,0.012843128,0,0.005581618,-0.010507803,0.000222407,0,0.053710938,0.568359375,0.384176587,0.356445313,0.298828125,0.053710938,634.5999999,10.3999939,37.59999847,10.3999939,37.59999084,pen
-0.505261873,0.627450379,0.019116453,0,-0.072070972,0,-0.58394133,1.523809524,0.121086054,0,0,0,0,1.531409387,0.281763917,0.146789551,0.072070972,0,-0.505261873,0.627450379,0.019116453,0,-0.072070972,0,-0.583941609,1.523809524,0.121086054,0,0,0,0,1.531409387,0.28176392,0.146789551,0.072070972,0,-0.158940667,0.061514743,-0.004752976,0,-0.00649288,-0.017034026,0.002871364,0.006817223,0.000116582,0,-0.006520047,0,-0.181405896,0.121315102,0.002416456,0,0,-0.008517013,-0.034691608,-0.016500623,-0.003727909,0.007370481,0.003498521,0.007004137,-0.182310642,0.122038898,-0.008246306,-0.003253714,0.00649288,-0.019044621,-0.034715796,-0.016566912,-0.006091054,-0.00549527,-0.0096706,-0.007736826,-0.158940667,0.061514743,-0.004752976,0,-0.00649288,-0.017034026,0.002871364,0.006817223,0.000116582,0,-0.006520047,0,-0.181405896,0.121315102,0.002416456,0,0,-0.008517013,-0.034691608,-0.016500623,-0.003727909,0.007370481,0.003498522,0.007004137,-0.182310642,0.122038898,-0.008246307,-0.003253714,0.00649288,-0.019044621,-0.034715796,-0.016566912,-0.006091054,-0.00549527,-0.009670601,-0.007736826,0.194335938,0.470703125,0.350619612,0.345703125,0.345703125,0.194335938,294.7,23.20001221,36.00000763,23.20001221,36,pen
-0.237623158,0.360901336,0.026120704,0,-0.075470546,0,-0.757896022,0.554456049,0.00647089,0,0.075471626,0,0,0.829379195,0.17254053,0.101305285,0.106732234,0,-0.237623158,0.360901336,0.026120704,0,-0.075470546,0,-0.757896022,0.554456049,0.006470886,0,0.075471986,0,0,0.829379195,0.172540526,0.101305412,0.106732488,0,-0.097540903,0.041666561,-0.000811951,0,-0.007119863,-0.008417701,0.002217915,0,0.000957215,0,-0.001023125,0,-0.125000013,0.081401973,-0.001701456,0,0.007119965,0.00841742,-0.007808729,0.003928839,-0.003811848,0.000474429,-0.001789326,0.000237214,-0.131761548,0.087303073,-0.004263944,-0.006682506,0.010069079,-0.011904228,-0.00824944,0.003928839,-0.004549832,0.008162503,-0.005001784,-0.003043833,-0.097540903,0.041666561,-0.000811951,0,-0.007119863,-0.008417701,0.002217915,0,0.000957215,0,-0.001023125,0,-0.124999947,0.081401887,-0.001701455,0,0.007119999,0.00841738,-0.007808722,0.003928821,-0.003811846,0.000474399,-0.001789326,0.000237199,-0.131761486,0.087303073,-0.004263939,-0.0066825,0.010069103,-0.0119042,-0.008249433,0.003928821,-0.004549827,0.008162464,-0.005001778,-0.003043825,0.16796875,0.526367188,0.283407888,0.273925781,0.255859375,0.390625,630.4,28,24.80000305,28,24.80000305,pen
-0.831999512,0.771928747,0.027643247,0,-0.074768066,0.367817498,-0.70175438,1.649485315,0.027057091,0,0,-0.27586137,0,1.66793869,0.187946733,0.077676039,0.074768066,0.45977082,-0.831999512,0.771928747,0.027643247,0,-0.074768066,0.367817498,-0.70175438,1.649484528,0.027057091,0,0,-0.27586137,0,1.667937912,0.187946728,0.077676039,0.074768066,0.45977082,-0.116958903,0.113067992,0.000186539,0,-0.00698767,0.042277874,-0.00147639,0.005805897,0.001637485,0,0.000965845,0,-0.151328928,0.170050032,-0.000468353,0,0,-0.031708204,-0.000752521,0,-0.001978323,0,-0.001600894,0,-0.158065471,0.171952441,-0.003418534,0.000397241,0.00698767,0.052847221,-0.003599267,-0.000240289,-0.003342501,0.004082611,-0.003130385,0,-0.116958903,0.113067992,0.000186539,0,-0.00698767,0.042277874,-0.00147639,0.005805897,0.001637485,0,0.000965845,0,-0.151328856,0.170049951,-0.000468353,0,0,-0.031708204,-0.000752522,0,-0.001978323,0,-0.001600894,0,-0.158065471,0.171952361,-0.003418534,0.000397241,0.00698767,0.052847221,-0.003599266,-0.000240289,-0.003342501,0.004082611,-0.003130385,0,0.129882813,0.58203125,0.385004979,0.392578125,0.4140625,0.129882813,1029.7,30.40002441,45.59999084,30.40002441,45.59999084,pen
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109375,0.109375,0.109375,0.109375,0.109375,0.109375,22.80000007,0,0,0,0,pen
