velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.26087087,0,-1.55713044,-1.254262976,-0.273505316,-4.26087087,-0.41379205,0,-0.171465204,-0.189519036,-0.205127683,-0.173910389,0,4.264418529,1.58166027,1.311275716,0.341880862,4.264418529,-4.26087087,0,-1.55713044,-1.254262976,-0.273505316,-4.26087087,-0.41379205,0,-0.171464916,-0.189517732,-0.205125074,-0.173910389,0,4.264418529,1.581660092,1.311275716,0.341879297,4.264418529,-0.32649729,0.320032003,-0.046538661,-0.081921239,-0.023376523,-0.225983987,-0.212165547,-0.212165547,-0.034766364,-0.198347107,-0.055114158,-0.169406531,-0.024487234,0.048115355,-0.000860992,-0.008804853,-0.01753228,-0.010997984,-0.008804853,-0.008804853,0.002130878,-0.006611722,0.002847524,-0.008804853,-0.320930826,0.327414271,0.046439965,0.083460567,0.029220586,0.22623788,0.212347577,0.212347577,0.034588109,0.198457275,0.053922902,0.168078912,-0.32649729,0.320032003,-0.046538661,-0.081921239,-0.023376523,-0.225983987,-0.212165547,-0.212165547,-0.034766364,-0.198347107,-0.055114158,-0.169406531,-0.024487546,0.048115355,-0.000861007,-0.008804877,-0.017532058,-0.010998285,-0.008804877,-0.008804877,0.002130963,-0.006611469,0.002847514,-0.008804877,-0.320930849,0.327414294,0.04643997,0.0834605,0.029220453,0.22623789,0.212347578,0.212347578,0.034588102,0.198457266,0.053922902,0.168078907,0.057617188,0.599609375,0.41015625,0.499023438,0.185546875,0.057617188,86.9000001,123.2000122,12,123.2000122,12,page
-4.752475236,0,-1.674372412,-0.495578464,-0.495578464,0,-1.425741967,0,-0.388578693,-0.212394243,-0.212394243,0,0,4.961729641,1.727908691,0.539174673,0.539174673,0,-4.752475236,0,-1.674372412,-0.495578464,-0.495578464,0,-1.425744988,0,-0.388578757,-0.212391542,-0.212391542,0,0,4.961730509,1.727908652,0.53917361,0.53917361,0,-0.470542101,0.289241516,-0.003235746,0.053867224,-0.043856501,0.289241516,0.289241516,0.289241516,0.222176324,0.222176324,0.006919442,0.104489178,-0.141162571,0.106760449,-0.000378696,0.023086331,-0.018795951,0.028218264,0.028218264,0.028218264,0.067489357,0.067489357,0.004225618,0.025652298,-0.290614737,0.491260359,0.003225317,-0.058605942,0.047714573,-0.290614737,-0.290614737,-0.290614737,-0.232121202,-0.232121202,-0.007896997,-0.116116805,-0.470542101,0.289241516,-0.003235746,0.053867224,-0.043856501,0.289241516,0.289241516,0.289241516,0.222176324,0.222176324,0.006919442,0.104489178,-0.14116287,0.106760737,-0.000378709,0.023086037,-0.018795712,0.028218264,0.028218264,0.028218264,0.0674895,0.0674895,0.004225542,0.025652151,-0.290614737,0.491260445,0.003225322,-0.058605827,0.047714479,-0.290614737,-0.290614737,-0.290614737,-0.232121243,-0.232121243,-0.007896967,-0.116116788,0.1796875,0.608398438,0.4140625,0.515625,0.586914063,0.1796875,56.89999998,113.5999756,20.80001831,113.5999756,20.79998779,page
-2.916666659,0,-0.953561306,-0.698649143,-0.076195126,-1.32110316,-0.249999364,0.366972478,-0.017541895,0,0,0.366972478,0,2.927361283,0.966586676,0.723659807,0.076195126,1.371124487,-2.916666659,0,-0.953561306,-0.698649143,-0.076195126,-1.32110316,-0.250002543,0.366972478,-0.017541483,0,0,0.366972478,0,2.927361555,0.966586574,0.723659807,0.076195126,1.371124487,-0.303819443,0.283171518,-0.020703172,-0.064229402,-0.007256679,-0.121202125,-0.121202125,-0.121202125,0.080984697,0.080984697,-0.023392471,-0.121202125,-0.0260416,0.0336672,0.005785515,0.011696025,0,0.0336672,0.0336672,0.0336672,0.028969491,0.028969491,0.006942618,0.023392051,-0.284209831,0.304933466,0.021443822,0.066065563,0.007256679,0.125791238,0.125791238,0.125791238,-0.079209297,-0.079209297,0.02428125,0.124874448,-0.303819443,0.283171518,-0.020703172,-0.064229402,-0.007256679,-0.121202125,-0.121202125,-0.121202125,0.080984697,0.080984697,-0.023392471,-0.121202125,-0.026041931,0.0336672,0.0057855,0.011695728,0,0.0336672,0.0336672,0.0336672,0.028969646,0.028969646,0.0069426,0.023391456,-0.284209858,0.304933495,0.021443824,0.066065522,0.007256679,0.125791238,0.125791238,0.125791238,-0.07920931,-0.07920931,0.024281253,0.124874366,0.071289063,0.65625,0.40999349,0.406738281,0.55078125,0.071289063,62.60000002,64,7.200012207,64,7.200012207,page
-4.8163278,0,-1.777210158,-0.826378594,-0.720720719,-4.194175962,-1.224489802,0,-0.47032828,-0.410390424,-0.432431332,-0.776699033,0,4.969546131,1.847539332,0.925101779,0.840497003,4.265486301,-4.8163278,0,-1.777210158,-0.826378594,-0.720720719,-4.194175962,-1.224489802,0,-0.47032828,-0.410390424,-0.432431332,-0.776699033,0,4.969546131,1.847539332,0.925101779,0.840497003,4.265486301,-0.491462023,0.450124091,-0.072983189,-0.042722943,-0.064929794,-0.407201552,-0.407201552,-0.407201552,0.02146127,0.02146127,-0.074593868,-0.020516092,-0.12494794,0.114438299,-0.013426545,-0.017338995,-0.038957778,-0.075407673,-0.075407673,-0.075407673,0.019515313,0.019515313,-0.008320299,0.004279788,-0.464443562,0.507096546,0.074138829,0.046074281,0.075720451,0.414124886,0.414124886,0.414124886,-0.025159338,-0.025159338,0.073822505,0.016428112,-0.491462023,0.450124091,-0.072983189,-0.042722943,-0.064929794,-0.407201552,-0.407201552,-0.407201552,0.02146127,0.02146127,-0.074593868,-0.020516092,-0.12494794,0.114438299,-0.013426545,-0.017338995,-0.038957778,-0.075407673,-0.075407673,-0.075407673,0.019515313,0.019515313,-0.008320299,0.004279788,-0.464443562,0.507096546,0.074138829,0.046074281,0.075720451,0.414124886,0.414124886,0.414124886,-0.025159338,-0.025159338,0.073822505,0.016428112,0.08203125,0.787109375,0.517578125,0.559082031,0.787109375,0.08203125,62.60000002,100,24,100,24,page
0,4.988238166,1.965178669,1.91688146,1.142856048,2.969070928,-0.357142856,2.258821375,0.55462253,0.21818265,-0.357142856,0.989691358,0,5.475837288,2.088155264,1.961709205,1.197359998,3.129675888,0,4.988238166,1.965178669,1.91688146,1.142856048,2.969070928,-0.357142856,2.258824966,0.554622141,0.218181263,-0.357142856,0.989688212,0,5.475838769,2.088155271,1.961708983,1.197359998,3.129674893,-0.466190481,0.306089789,0.056090259,0.173334308,0.102040718,0.306089789,0.306089789,0.306089789,-0.080050346,-0.080050346,0.046900168,0.244627897,-0.2111048,0.214406597,0.025117939,0.038631779,-0.031887755,0.102030038,0.102030038,0.102030038,-0.054537381,-0.054537381,0.036519078,0.039669573,-0.511760492,0.323503397,0.060513774,0.177365317,0.106907142,0.322647001,0.322647001,0.322647001,-0.094556745,-0.094556745,0.051235101,0.247823492,-0.466190481,0.306089789,0.056090259,0.173334308,0.102040718,0.306089789,0.306089789,0.306089789,-0.080050346,-0.080050346,0.046900168,0.244627897,-0.211105136,0.214407346,0.025117912,0.038631653,-0.031887755,0.102029713,0.102029713,0.102029713,-0.054537711,-0.054537711,0.036519046,0.039669321,-0.51176063,0.323503624,0.060513765,0.177365297,0.106907142,0.322646899,0.322646899,0.322646899,-0.094556866,-0.094556866,0.05123509,0.247823452,0.17578125,0.9765625,0.670898438,0.6796875,0.537109375,0.17578125,66.10000002,113.5999756,39.20004272,113.5999756,39.20001221,page
-0.084209241,0.071427481,-0.023759649,0,0.071427481,-0.084209241,-0.087912423,0,-0.012558918,0,0,0,0,0.087912423,0.056726419,0.072728937,0.071427481,0.084209241,-0.084209241,0.071427481,-0.023759649,0,0.071427481,-0.084209241,-0.087912423,0,-0.012558918,0,0,0,0,0.087912423,0.056726419,0.072728937,0.071427481,0.084209241,-0.008162308,0.006377454,-0.001444018,0,0.006377454,-0.001208453,-0.001208453,-0.001208453,-0.002878802,-0.001208453,-0.002747597,-0.000604227,-0.009660706,0.008293625,-0.000195297,0,0,0,0,0,0,0,-0.000227847,0,-0.008293625,0.008162308,0.001218824,0.001208453,0.006377454,0.001208453,0.001208453,0.001208453,0.002878802,0.001208453,0.000359052,0.000604227,-0.008162308,0.006377454,-0.001444018,0,0.006377454,-0.001208453,-0.001208453,-0.001208453,-0.002878802,-0.001208453,-0.002747597,-0.000604227,-0.009660706,0.008293625,-0.000195297,0,0,0,0,0,0,0,-0.000227847,0,-0.008293625,0.008162308,0.001218824,0.001208453,0.006377454,0.001208453,0.001208453,0.001208453,0.002878802,0.001208453,0.000359052,0.000604227,0.03125,0.205078125,0.142020089,0.135742188,0.135742188,0.03125,76.20000005,2.399993896,0.800003052,2.399993896,0.800003052,pen
-1.230770569,1.43157959,0.063277461,0,0.07079538,0.195122694,-0.336841784,1.696969239,0.152963858,0,0,0.097560417,0,1.698892093,0.319761785,0.084444682,0.07079538,0.218153388,-1.230770569,1.43157959,0.063277461,0,0.07079538,0.195122694,-0.336841784,1.696970009,0.152963869,0,0,0.097561347,0,1.698892863,0.319761781,0.084444682,0.07079538,0.218153804,-0.150692588,0.12432026,0.000766661,0.000255233,0.006265078,0.02379545,0.002359526,0.000255233,0.009515862,0.008162308,0.000934875,0.004336387,-0.148856951,0.171411035,0.000740875,0,0,0.011897612,-0.013935275,-0.010111013,0.000183197,-0.004492259,0.000883817,0,-0.154807807,0.171605262,-0.000246282,0.003132539,0.006265078,0.026604072,-0.012046283,-0.009272046,-0.005067343,-0.004786561,-0.000329407,0.010595126,-0.150692588,0.12432026,0.000766661,0.000255233,0.006265078,0.02379545,0.002359526,0.000255233,0.009515862,0.008162308,0.000934875,0.004336387,-0.148857019,0.171411112,0.000740878,0,0,0.011897725,-0.01393525,-0.010110935,0.000183206,-0.004492185,0.00088382,0,-0.154807807,0.17160534,-0.000246281,0.003132539,0.006265078,0.026604122,-0.012046266,-0.009271976,-0.005067339,-0.004786488,-0.000329405,0.010595126,0.149414063,0.592773438,0.460449219,0.486328125,0.280273438,0.149414063,426.8,43.20001221,72.80001068,43.20001221,72.80000305,pen
0,0.195121456,0.056493802,0.070798081,0.070798081,0.195121456,-0.543689175,1.130433284,0.020851981,0,0,-0.195120835,0,1.133772735,0.213471809,0.10573398,0.070798081,0.27594297,0,0.195121456,0.056493802,0.070798081,0.070798081,0.195121456,-0.543689915,1.130434113,0.020851989,0,0,-0.195121456,0,1.133773562,0.21347181,0.10573398,0.070798081,0.275943409,-0.017592151,0.017361177,0.000658028,0,0.006265317,0.002313346,0.002299751,0.002313346,0.002035877,0.002313346,0.000536189,0,-0.111924087,0.122873182,-0.00042462,-0.002313231,0,-0.002313231,-0.000488196,-0.002313231,-0.001694077,-0.00234595,-0.006464591,-0.005092179,-0.112254726,0.123236166,0.001043013,0.003265037,0.006265317,0.003271484,0.001763511,0.003271484,0.002588491,0.003271484,-0.004567871,0.001311512,-0.017592151,0.017361177,0.000658028,0,0.006265317,0.002313346,0.002299751,0.002313346,0.002035877,0.002313346,0.000536189,0,-0.111924169,0.122873273,-0.000424622,-0.002313346,0,-0.002313346,-0.000488185,-0.002313346,-0.001694081,-0.002346105,-0.006464598,-0.005092256,-0.112254808,0.123236256,0.001043014,0.003265037,0.006265317,0.003271565,0.001763501,0.003271565,0.002588494,0.003271565,-0.004567875,0.001311582,0.076171875,0.70703125,0.62330163,0.673828125,0.505859375,0.076171875,237.1999999,12.79998779,24.79998779,12.79998779,24.79998779,pen
-0.062499047,0.516127722,0.062246612,0,0.146786751,0,-0.595744512,2.057144165,0.116343114,0,0.073393376,0,0,2.057144165,0.297136446,0.074073651,0.164112577,0,-0.062499047,0.516127722,0.062246612,0,0.146786751,0,-0.595743701,2.057143438,0.116343113,0,0.073393376,0,0,2.057143438,0.297136525,0.074074357,0.164112577,0,-0.051101755,0.055497605,-0.00061417,0,0.013466674,0,0,0,-0.000670075,0,-0.000315886,0,-0.223214287,0.195918492,-0.003615812,-0.007119999,0.006733337,0.025263013,0.001540373,0.006858671,0.001680976,-0.000817554,-0.00413325,-0.007806889,-0.223392781,0.195918492,-0.004698954,-0.001382708,0.0150562,-0.025263013,-0.000772202,-0.001382708,0.000469232,-0.006024657,-0.005282845,-0.005590332,-0.051101755,0.055497605,-0.00061417,0,0.013466674,0,0,0,-0.000670075,0,-0.000315886,0,-0.223214287,0.195918423,-0.003615811,-0.007119999,0.006733337,0.025263094,0.00154039,0.006858737,0.001680977,-0.000817561,-0.004133248,-0.007806929,-0.223392781,0.195918423,-0.00469896,-0.001382721,0.0150562,-0.025263094,-0.000772211,-0.001382721,0.000469221,-0.006024714,-0.005282852,-0.005590338,0.1875,0.515625,0.342890625,0.387695313,0.515625,0.392578125,258.6,15.20001221,49.59999847,15.20001221,49.6000061,pen
-1.217389308,0,-0.206319608,0,0,0,-0.076923371,1.304347405,0.173268751,0,0,0,0,1.784196984,0.285990846,0,0,0,-1.217389308,0,-0.206319608,0,0,0,-0.076923371,1.304347819,0.173268793,0,0,0,0,1.784197287,0.285990876,0,0,0,-0.132324924,0.10585994,-0.003837135,0,0,0.10585994,-0.013232492,-0.013232492,-0.007177707,-0.001122922,-0.004796419,0,-0.113421513,0.141776891,0.003680863,0,0,-0.113421513,0.014177689,0.014177689,0.009005444,0.003833198,0.005525639,0,-0.155147564,0.193934454,0.005222759,0,0,-0.155147564,0.019393445,0.019393445,0.010838483,0.00228352,0.005603889,0,-0.132324924,0.10585994,-0.003837135,0,0,0.10585994,-0.013232492,-0.013232492,-0.007177707,-0.001122922,-0.004796419,0,-0.11342155,0.141776936,0.003680864,0,0,-0.11342155,0.014177693,0.014177693,0.009005446,0.003833198,0.00552564,0,-0.15514759,0.193934487,0.00522276,0,0,-0.15514759,0.019393448,0.019393448,0.010838484,0.00228352,0.00560389,0,0.2109375,0.458984375,0.340820313,0.34765625,0.342773438,0.2109375,105.3,24.79998779,26.40001297,24.79998779,26.40000916,pen
