velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-7.053760852,0.066665649,-1.879096175,-0.787117715,0.066665649,-4.000001265,-0.571426083,1.30612121,0.221909116,0,-0.26667277,1.30612121,0,7.128891461,1.950654189,0.962564002,0.274879383,4.207845379,-7.053760852,0.066665649,-1.879096175,-0.787117715,0.066665649,-4.000001265,-0.571432311,1.30612121,0.221909218,0,-0.266667684,1.30612121,0,7.128891461,1.950654172,0.962566219,0.274874449,4.207845379,-0.758468913,0.684831154,-0.029659035,-0.017283044,0.005555471,-0.408163396,-0.160600385,-0.408163396,-0.074882265,-0.276979413,-0.036574645,-0.11446879,-0.100218976,0.133277675,0.009964018,-0.005933402,-0.022222731,0.133277675,0.04801797,0.11099521,0.024315304,0.034753745,0.011587135,-0.003888959,-0.692125388,0.766547473,0.030521578,0.031007363,0.022906615,0.42937198,0.167931355,0.42937198,0.078663122,0.279271092,0.038297489,0.116237538,-0.758468913,0.684831154,-0.029659035,-0.017283044,0.005555471,-0.408163396,-0.160600385,-0.408163396,-0.074882265,-0.276979413,-0.036574645,-0.11446879,-0.100218976,0.133277675,0.009964012,-0.00593325,-0.022222307,0.133277675,0.04801797,0.11099521,0.02431532,0.034753649,0.011587132,-0.003888959,-0.692125388,0.766547473,0.030521583,0.031007685,0.022906204,0.42937198,0.167931355,0.42937198,0.078663124,0.279271084,0.038297491,0.116237449,0.173828125,0.474609375,0.377868652,0.384277344,0.173828125,0.280273438,172.2,337.5999756,59.20004272,337.5999756,59.20001221,page
-5.89899245,0,-1.986226343,-1.58825429,-0.41739555,0,-0.08247297,1.142858394,0.136683349,0,-0.069564156,0,0,5.978162874,2.003027884,1.589627295,0.423152711,0,-5.89899245,0,-1.986226343,-1.58825429,-0.41739555,0,-0.08247297,1.142858394,0.136683349,0,-0.069564156,0,0,5.978162874,2.003027884,1.589627295,0.423152711,0,-0.595857832,0.518867803,-0.001941921,0.043175436,-0.036295265,0.359183177,-0.000416698,0.23542456,0.090919397,0.297303869,-0.002075175,0.121886091,-0.114285839,0.097949565,-1.07E-05,0,-0.006049057,-0.114285839,0.000444293,0.017669154,-0.001281844,0.003189105,-4.39E-05,0,-0.518927355,0.603854844,0.001953285,-0.043277997,0.036795888,-0.376926794,0.000510202,-0.225397444,-0.090886604,-0.297687853,0.002094459,-0.121886091,-0.595857832,0.518867803,-0.001941921,0.043175436,-0.036295265,0.359183177,-0.000416698,0.23542456,0.090919397,0.297303869,-0.002075175,0.121886091,-0.114285839,0.097949565,-1.07E-05,0,-0.006049057,-0.114285839,0.000444293,0.017669154,-0.001281844,0.003189105,-4.39E-05,0,-0.518927355,0.603854844,0.001953285,-0.043277997,0.036795888,-0.376926794,0.000510202,-0.225397444,-0.090886604,-0.297687853,0.002094459,-0.121886091,0.372070313,0.514648438,0.448913574,0.452636719,0.372070313,0.408203125,166.8,342.3999634,32.79998779,342.3999634,32.79998779,page
-6.08695649,0,-1.98692772,-1.553398065,-0.146786753,-5.098039192,-0.505268298,1.411767093,0.111569652,0,-0.146786753,1.411767093,0,6.22513956,2.021148046,1.561145499,0.207587817,5.289904529,-6.08695649,0,-1.98692772,-1.553398065,-0.146786753,-5.098039192,-0.505268298,1.411767093,0.111569652,0,-0.146786753,1.411767093,0,6.22513956,2.021148046,1.561145499,0.207587817,5.289904529,-0.661625702,0.563607085,-0.027251855,-0.013466675,-0.013466675,-0.499807762,-0.054109531,-0.059209753,-0.016045338,0.177781169,-0.021153773,0.14245972,-0.120772947,0.141776936,0.007559635,0,-0.013466675,0.138408538,0.018876807,0.027251619,0.019170456,0.004918089,0.012093709,6.10E-07,-0.576401814,0.676645601,0.028113948,0.019044754,0.019044754,0.518618089,0.057088276,0.064054658,0.018524987,-0.175703727,0.021967475,-0.14245972,-0.661625702,0.563607085,-0.027251855,-0.013466675,-0.013466675,-0.499807762,-0.054109531,-0.059209753,-0.016045338,0.177781169,-0.021153773,0.14245972,-0.120772947,0.141776936,0.007559635,0,-0.013466675,0.138408538,0.018876807,0.027251619,0.019170456,0.004918089,0.012093709,6.10E-07,-0.576401814,0.676645601,0.028113948,0.019044754,0.019044754,0.518618089,0.057088276,0.064054658,0.018524987,-0.175703727,0.021967475,-0.14245972,0.057617188,0.389648438,0.301525298,0.325195313,0.251953125,0.057617188,214.5,420,41.60003662,420,41.60003662,page
0,0.085108332,0.010649623,0,0,0,-0.161613694,0.727272412,0.093959916,0,-0.074077183,0,0,0.731747844,0.11690418,0,0.074077183,0,0,0.085108332,0.010649623,0,0,0,-0.161613694,0.727273953,0.093959952,0,-0.07407577,0,0,0.731749376,0.116904143,0,0.07407577,0,-0.008426567,0.009054078,7.34E-05,0,0,0,0,0,-0.000450038,0,9.23E-05,0,-0.065520038,0.073461859,0.000306747,0,-0.006858998,0.014559792,0.001780888,0,-0.0040163,0,0.000372893,0,-0.06592323,0.073913923,0.000434163,0,0.006858998,-0.014559792,-0.001514143,0,-0.003731234,0,0.00055922,0,-0.008426567,0.009054078,7.34E-05,0,0,0,0,0,-0.000450038,0,9.23E-05,0,-0.065520177,0.073462015,0.000306747,0,-0.006858868,0.014559792,0.001780888,0,-0.0040163,0,0.000372893,0,-0.065923368,0.073914078,0.000434163,0,0.006858868,-0.014559792,-0.001514143,0,-0.003731234,0,0.00055922,0,0.162109375,0.452148438,0.321990184,0.34375,0.162109375,0.280273438,396.2,4,39.20001221,4,39.20001221,pen
-0.084212454,0.646464024,0.05423147,0,0,-0.084212454,-0.168421695,0.727270871,0.060166698,0,-0.07272755,-0.168421695,0,0.731746313,0.129003308,0,0.07272755,0.188301898,-0.084212454,0.646464024,0.05423147,0,0,-0.084212454,-0.168421695,0.727270871,0.06016672,0,-0.072726163,-0.168421695,0,0.731746313,0.129003316,0,0.072726163,0.188301898,-0.062160002,0.065299396,-0.000487399,0,0,-0.008864469,-0.000855719,0,-0.000916997,0,-0.000794274,0,-0.073439537,0.073461703,-0.000638896,0,-0.006611595,-0.017728599,-0.001296311,-0.006798676,-0.001898537,-0.006798676,-0.000815518,0,-0.077412036,0.073913768,-0.000263728,0,0.006611595,0.019821252,0.001458296,0.004775802,-0.000558578,0.004775802,-0.000502831,0,-0.062160002,0.065299396,-0.000487399,0,0,-0.008864469,-0.000855719,0,-0.000916997,0,-0.000794274,0,-0.073439537,0.073461703,-0.000638895,0,-0.006611469,-0.017728599,-0.001296311,-0.006798676,-0.00189853,-0.006798676,-0.000815517,0,-0.077412036,0.073913768,-0.000263727,0,0.006611469,0.019821252,0.001458296,0.004775802,-0.000558571,0.004775802,-0.00050283,0,0.213867188,0.568359375,0.451295883,0.48828125,0.213867188,0.283203125,638.9000001,36.79998779,46.40000916,36.79998779,46.40002441,pen
-0.183908747,0.747663548,0.067742508,0,0,-0.183908747,-0.139129639,0.091954373,-0.006547662,0,-0.071428844,0.091954373,0,0.751392595,0.099557988,0,0.071428844,0.205616229,-0.183908747,0.747663548,0.067742508,0,0,-0.183908747,-0.139130966,0.091952619,-0.006547619,0,-0.071427481,0.091952619,0,0.751392453,0.099558025,0,0.071427481,0.205615445,-0.064073297,0.069875098,-0.001797433,0,0,-0.012624805,-0.003247235,0,-0.00535182,0,-0.002246791,0,-0.012098229,0.018306532,0.000587014,0,-0.006377575,0.002055337,0.001727003,0.001027668,0.001518615,0,0.000697883,0,-0.066637201,0.070223607,-0.000441525,0,0.006377575,0.011593249,0.003790143,0.004950548,-0.001897998,0.001322416,-0.000516021,0,-0.064073297,0.069875098,-0.001797433,0,0,-0.012624805,-0.003247235,0,-0.00535182,0,-0.002246791,0,-0.012098345,0.018306706,0.000587008,0,-0.006377454,0.00205481,0.001726962,0.001027405,0.001518607,0,0.000697876,0,-0.066637249,0.070223593,-0.000441529,0,0.006377454,0.011592929,0.003790124,0.004950639,-0.00189801,0.001322576,-0.000516027,0,0.106445313,0.4296875,0.321549479,0.356445313,0.137695313,0.106445313,309.8,24.79998779,4.799972534,24.79998779,4.799987793,pen
-0.073393375,0.170213414,0.025558916,0,0,-0.071430206,-0.083332063,0.595745324,0.069958755,0,0,-0.071430206,0,0.619584617,0.097606755,0,0,0.101017566,-0.073393375,0.170213414,0.025558916,0,0,-0.071430206,-0.083332063,0.595745324,0.069958805,0,0,-0.071430206,0,0.619584617,0.097606806,0,0,0.101017566,-0.017582149,0.01810781,-0.000658435,0,0,-0.006377697,-0.002829828,-0.006377697,-0.000855683,0,-0.000831289,0,-0.057283204,0.063377161,-0.000723724,0,0,-0.006377697,-0.001257265,0,-0.000970933,0,-0.000888207,0,-0.059575443,0.065913256,-0.000457874,0,0,0.009019426,-0.000133401,0.00103528,7.84E-05,0.00103528,-0.000585146,0.00051764,-0.017582149,0.01810781,-0.000658435,0,0,-0.006377697,-0.002829828,-0.006377697,-0.000855683,0,-0.000831289,0,-0.057283204,0.063377161,-0.000723724,0,0,-0.006377697,-0.001257265,0,-0.000970933,0,-0.000888206,0,-0.059575443,0.065913256,-0.000457873,0,0,0.009019426,-0.000133401,0.00103528,7.84E-05,0.00103528,-0.000585145,0.00051764,0.220703125,0.392578125,0.333369502,0.375,0.280273438,0.220703125,282.6000001,8.799987793,20.79997253,8.799987793,20.79998779,pen
0,0.633662753,0.099719958,0,0,0.080806847,-0.158416444,0.080806847,-0.013987883,0,0,0.080806847,0,0.653164799,0.107405917,0.074765214,0,0.114278139,0,0.633662753,0.099719958,0,0,0.080806847,-0.158416444,0.080806847,-0.013987883,0,0,0.080806847,0,0.653164799,0.107405917,0.074765214,0,0.114278139,-0.035778312,0.062738886,2.43E-05,0,0,0.008162308,-0.001881368,0.006987403,-0.003802776,0.006987403,-0.000404614,0.000683369,-0.015684796,0.008944749,0.0003735,0,0,0.008162308,0.001574985,0,0.001945404,0,0.00047725,0,-0.036879481,0.064669781,0.000164489,0,0,0.011543246,-0.001214508,0.006987403,-0.003564071,0.006987403,-0.000225501,0.00064545,-0.035778312,0.062738886,2.43E-05,0,0,0.008162308,-0.001881368,0.006987403,-0.003802776,0.006987403,-0.000404614,0.000683369,-0.015684796,0.008944749,0.0003735,0,0,0.008162308,0.001574985,0,0.001945404,0,0.00047725,0,-0.036879481,0.064669781,0.000164489,0,0,0.011543246,-0.001214508,0.006987403,-0.003564071,0.006987403,-0.000225501,0.00064545,0.3359375,0.524414063,0.441109035,0.44140625,0.3359375,0.423828125,249.2,23.19998169,4.800018311,23.19998169,4.800018311,pen
-0.074768066,0.880001831,0.114172366,0,0,0.071427481,-0.155340399,0,-0.031950177,0,0,-0.071427481,0,0.883630594,0.131957749,0.074768066,0,0.101013713,-0.074768066,0.880001831,0.114172366,0,0,0.071427481,-0.155340399,0,-0.031950177,0,0,-0.071427481,0,0.883630594,0.131957749,0.074768066,0,0.101013713,-0.045256801,0.088000183,-0.001096931,0,0,0.006377454,-0.003351352,-0.006363366,-0.000517254,-0.006363366,-0.00140213,0,-0.015081592,0.01553404,-5.47E-05,0,0,-0.006377454,0.000906772,0.00158732,5.41E-05,-0.001968834,-3.75E-05,0,-0.045021997,0.088363059,-0.00105749,0,0,0.009019081,-0.003288928,-0.006170024,-0.000368473,-0.006170024,-0.001289249,0,-0.045256801,0.088000183,-0.001096931,0,0,0.006377454,-0.003351352,-0.006363366,-0.000517254,-0.006363366,-0.00140213,0,-0.015081592,0.01553404,-5.47E-05,0,0,-0.006377454,0.000906772,0.00158732,5.41E-05,-0.001968834,-3.75E-05,0,-0.045021997,0.088363059,-0.00105749,0,0,0.009019081,-0.003288928,-0.006170024,-0.000368473,-0.006170024,-0.001289249,0,0.141601563,0.493164063,0.397925967,0.430664063,0.25390625,0.141601563,218,28,7.199981689,28,7.199981689,pen
0,0.111888537,0.02069279,0,0,0,0,0.152381534,0.033626428,0,0,0.057553078,0,0.170367084,0.041007396,0,0,0.057553078,0,0.111888537,0.02069279,0,0,0,0,0.152381534,0.033626428,0,0,0.057553078,0,0.170367084,0.041007396,0,0,0.057553078,-0.023988098,0.009249483,-0.001051904,0,0,0,-0.003594098,0.001177791,-0.002571321,0.001808975,-0.00128566,0,-0.023988098,0.014512527,-0.000859379,0,0,0.004140509,-0.002058529,0.000620728,-0.002118133,0.001808746,-0.001050352,0,-0.033924294,0.016225437,-0.001294591,0,0,0.004140509,-0.003636403,0.001576622,-0.003181985,0.002558115,-0.001582278,0,-0.023988098,0.009249483,-0.001051904,0,0,0,-0.003594098,0.001177791,-0.002571321,0.001808975,-0.00128566,0,-0.023988098,0.014512527,-0.000859379,0,0,0.004140509,-0.002058529,0.000620728,-0.002118133,0.001808746,-0.001050352,0,-0.033924294,0.016225437,-0.001294591,0,0,0.004140509,-0.003636403,0.001576622,-0.003181985,0.002558115,-0.001582278,0,0.124023438,0.465820313,0.390358665,0.396484375,0.396484375,0.124023438,226,5.600006104,8.799987793,5.600006104,8.799987793,pen
