velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.411765877,0,-2.02864607,-1.459130196,0,-5.075270156,-0.370370372,1.54838973,0.158337547,0,0,1.54838973,0,5.480103735,2.051681043,1.473440961,0,5.306211258,-5.411765877,0,-2.02864607,-1.459130196,0,-5.075270156,-0.370370372,1.54838973,0.158337547,0,0,1.54838973,0,5.480103735,2.051681043,1.473440961,0,5.306211258,-0.545727977,0.557914005,-0.034510467,0.031057763,0,-0.545727977,-0.172793084,-0.53056528,-0.085158291,-0.196481025,-0.042985057,0.062115526,-0.088942669,0.16649352,0.010139729,-0.004092009,0,0.16649352,0.054044528,0.084582735,0.02678607,0.007648105,0.012361826,-0.008184018,-0.564959145,0.570560353,0.036040174,-0.032146183,0,0.570560353,0.180955426,0.53726507,0.08923207,0.196506147,0.044881195,-0.064292365,-0.545727977,0.557914005,-0.034510467,0.031057763,0,-0.545727977,-0.172793084,-0.53056528,-0.085158291,-0.196481025,-0.042985057,0.062115526,-0.088942669,0.16649352,0.010139729,-0.004092009,0,0.16649352,0.054044528,0.084582735,0.02678607,0.007648105,0.012361826,-0.008184018,-0.564959145,0.570560353,0.036040174,-0.032146183,0,0.570560353,0.180955426,0.53726507,0.08923207,0.196506147,0.044881195,-0.064292365,0.163085938,0.7734375,0.687438965,0.740234375,0.7421875,0.163085938,170.2,334.3999634,32.79998779,334.3999634,32.79998779,page
-7.333331589,0,-2.244966955,-1.422220866,-0.631580013,-5.043474254,-0.355556912,1.999996009,0.277648566,0,-0.210528456,1.999996009,0,7.41702906,2.282481585,1.465992124,0.665744353,5.425552192,-7.333331589,0,-2.244966955,-1.422220866,-0.631580013,-5.043474254,-0.355556912,1.999996009,0.277648566,0,-0.210528456,1.999996009,0,7.41702906,2.282481585,1.465992124,0.665744353,5.425552192,-1.01851827,0.614083338,-0.050046964,0.009276855,-0.055401755,-0.54820372,-0.135039177,-0.236706629,0.008409755,0.097085374,-0.053222348,0.111999512,-0.108716873,0.217390869,0.013088608,0.008065206,-0.018467408,0.217390869,0.054044289,0.053751579,0.015066722,-0.016537093,0.016919612,0.008065206,-0.618196945,1.030142918,0.052255986,-0.013105677,0.058398627,0.589733931,0.145391198,0.242706511,-0.004162439,-0.09371655,0.055898365,-0.112738223,-1.01851827,0.614083338,-0.050046964,0.009276855,-0.055401755,-0.54820372,-0.135039177,-0.236706629,0.008409755,0.097085374,-0.053222348,0.111999512,-0.108716873,0.217390869,0.013088608,0.008065206,-0.018467408,0.217390869,0.054044289,0.053751579,0.015066722,-0.016537093,0.016919612,0.008065206,-0.618196945,1.030142918,0.052255986,-0.013105677,0.058398627,0.589733931,0.145391198,0.242706511,-0.004162439,-0.09371655,0.055898365,-0.112738223,0.166015625,0.700195313,0.586681548,0.599609375,0.586914063,0.166015625,221.2,452,64,452,64,page
-5.066670736,0,-1.623107365,-1.216162164,-0.068964465,-1.963634144,-0.080004883,1.108906067,0.097341482,0,-0.068964465,0.072726163,0,5.067450378,1.633491989,1.216162164,0.097530482,1.964980444,-5.066670736,0,-1.623107365,-1.216162164,-0.068964465,-1.963634144,-0.080004883,1.108906067,0.097341482,0,-0.068964465,0.072726163,0,5.067450378,1.633491989,1.216162164,0.097530482,1.964980444,-0.462481193,0.567168122,-0.000143091,0.000510447,-0.005945213,0.157152359,0.083781089,0.157152359,0.001973189,-0.144612493,0.004947646,0.018522805,-0.136901981,0.089654869,-0.001121563,0,-0.005945213,-0.035346466,-0.027719487,-0.035346466,-0.003071832,0.004938196,-0.001437215,0,-0.583456794,0.462573691,-3.55421E-05,-0.000721882,0.0084078,-0.159642166,-0.087213504,-0.159642166,-0.002393645,0.150790559,-0.005148674,-0.018631224,-0.462481193,0.567168122,-0.000143091,0.000510447,-0.005945213,0.157152359,0.083781089,0.157152359,0.001973189,-0.144612493,0.004947646,0.018522805,-0.136901981,0.089654869,-0.001121563,0,-0.005945213,-0.035346466,-0.027719487,-0.035346466,-0.003071832,0.004938196,-0.001437215,0,-0.583456794,0.462573691,-3.55421E-05,-0.000721882,0.0084078,-0.159642166,-0.087213504,-0.159642166,-0.002393645,0.150790559,-0.005148674,-0.018631224,0.174804688,0.71875,0.645094651,0.665039063,0.508789063,0.174804688,269.8,438.4000244,29.60003662,438.4000244,29.60003662,page
-3.505612454,0,-0.817946774,-0.367162993,0,0,-0.377358485,0.479998779,0.013793704,0,-0.072726163,0,0,3.524002875,0.834292701,0.41623181,0.072726163,0,-3.505612454,0,-0.817946774,-0.367162993,0,0,-0.377358485,0.479998779,0.013793704,0,-0.072726163,0,0,3.524002875,0.834292701,0.41623181,0.072726163,0,-0.393889036,0.296876479,0.001800297,0.004085217,0,0.050600757,0.001217272,0.039228317,0.002309834,0.050600757,0.004337921,0.055922213,-0.050600757,0.042719721,-1.91876E-05,0,-0.006611469,-0.050600757,-0.000731218,0.00487203,-0.000189555,0.00174098,-0.000305999,0,-0.296876479,0.395955375,-0.001861073,-0.005537219,0.006611469,-0.071560277,-0.001502026,-0.046301341,-0.002428965,-0.071560277,-0.004409076,-0.063681166,-0.393889036,0.296876479,0.001800297,0.004085217,0,0.050600757,0.001217272,0.039228317,0.002309834,0.050600757,0.004337921,0.055922213,-0.050600757,0.042719721,-1.91876E-05,0,-0.006611469,-0.050600757,-0.000731218,0.00487203,-0.000189555,0.00174098,-0.000305999,0,-0.296876479,0.395955375,-0.001861073,-0.005537219,0.006611469,-0.071560277,-0.001502026,-0.046301341,-0.002428965,-0.071560277,-0.004409076,-0.063681166,0.153320313,0.5546875,0.33686756,0.330078125,0.153320313,0.4375,429,348.7999878,16,348.7999878,16,page
-4.48979594,0,-1.537334388,-1.191960069,-0.074072944,-1.230768074,-0.543686953,1.263157895,-0.002629771,0,-0.074072944,0.692308876,0,4.492763329,1.564032466,1.283760803,0.104754962,1.412119553,-4.48979594,0,-1.537334388,-1.191960069,-0.074072944,-1.230768074,-0.543686953,1.263157895,-0.002629771,0,-0.074072944,0.692308876,0,4.492763329,1.564032466,1.283760803,0.104754962,1.412119553,-0.458142445,0.424446851,-0.005012984,-0.007429242,-0.006858606,-0.118343086,-0.027260668,-0.118343086,0.017185654,0.083833549,0.005780474,0.068368173,-0.127591705,0.132963989,0.003250632,3.05E-07,-0.006858606,0.066568162,0.014482205,0.023999634,0.008671044,0.007558769,0.004529279,6.10E-07,-0.425700766,0.45844524,0.005752505,0.008844572,0.009699534,0.135780728,0.031004907,0.135780728,-0.015351336,-0.083976062,-0.004843734,-0.066116273,-0.458142445,0.424446851,-0.005012984,-0.007429242,-0.006858606,-0.118343086,-0.027260668,-0.118343086,0.017185654,0.083833549,0.005780474,0.068368173,-0.127591705,0.132963989,0.003250632,3.05E-07,-0.006858606,0.066568162,0.014482205,0.023999634,0.008671044,0.007558769,0.004529279,6.10E-07,-0.425700766,0.45844524,0.005752505,0.008844572,0.009699534,0.135780728,0.031004907,0.135780728,-0.015351336,-0.083976062,-0.004843734,-0.066116273,0.358398438,0.564453125,0.465657552,0.458984375,0.463867188,0.418945313,249.3999999,383.2000122,27.19995117,383.2000122,27.19995117,page
-5.842696567,0,-1.703297559,-1.457189348,-0.070174367,0,-0.622226291,0.633665775,0.062854969,0,-0.070174367,0,0,5.842696567,1.724470982,1.46351652,0.099241542,0,-5.842696567,0,-1.703297559,-1.457189348,-0.070174367,0,-0.622226291,0.633665775,0.062854969,0,-0.070174367,0,0,5.842696567,1.724470982,1.46351652,0.099241542,0,-0.656482753,0.578484814,-0.008560405,-0.011704194,-0.006155646,0.070580837,0.00444107,0.070580837,-0.005907993,0.016160055,0.002392987,0.070580837,-0.069136255,0.062739185,-0.000540226,-0.001476597,-0.006155646,-0.039211842,-0.001480351,-0.023527343,0.00026374,-0.014372385,8.77413E-05,0,-0.578484814,0.656482753,0.008563345,0.013096389,0.008705398,-0.080741706,-0.004681297,-0.080741706,0.005850293,-0.021709447,-0.002388988,-0.080741706,-0.656482753,0.578484814,-0.008560405,-0.011704194,-0.006155646,0.070580837,0.00444107,0.070580837,-0.005907993,0.016160055,0.002392987,0.070580837,-0.069136255,0.062739185,-0.000540226,-0.001476597,-0.006155646,-0.039211842,-0.001480351,-0.023527343,0.00026374,-0.014372385,8.77413E-05,0,-0.578484814,0.656482753,0.008563345,0.013096389,0.008705398,-0.080741706,-0.004681297,-0.080741706,0.005850293,-0.021709447,-0.002388988,-0.080741706,0.33203125,0.595703125,0.483927409,0.47265625,0.3984375,0.46875,248.9000001,405.5999756,37.59997559,405.5999756,37.59997559,page
-5.747574027,0,-2.544228395,-3.135607226,-4.941178841,-5.252525328,-1.098034449,2.505055473,0.133408505,0,-0.862749881,2.505055473,0,5.819306252,2.632370698,3.165922487,5.015933183,5.819306252,-5.747574027,0,-2.544228395,-3.135607226,-4.941178841,-5.252525328,-1.098034449,2.505055473,0.133408505,0,-0.862749881,2.505055473,0,5.819306252,2.632370698,3.165922487,5.015933183,5.819306252,-0.558016898,0.563487647,-0.038969831,-0.092812958,-0.484429296,-0.530558122,-0.062632184,-0.062632184,-0.096443955,-0.362426158,-0.046293478,-0.092812958,-0.124069478,0.25303591,0.019998927,0.045298138,-0.084583321,0.25303591,0.064483216,0.064483216,0.047834778,0.075407673,0.024080833,0.045298138,-0.568609434,0.587808721,0.043578995,0.08954856,0.491758153,0.587808721,0.081974972,0.081974972,0.107491408,0.379027573,0.05181736,0.08954856,-0.558016898,0.563487647,-0.038969831,-0.092812958,-0.484429296,-0.530558122,-0.062632184,-0.062632184,-0.096443955,-0.362426158,-0.046293478,-0.092812958,-0.124069478,0.25303591,0.019998927,0.045298138,-0.084583321,0.25303591,0.064483216,0.064483216,0.047834778,0.075407673,0.024080833,0.045298138,-0.568609434,0.587808721,0.043578995,0.08954856,0.491758153,0.587808721,0.081974972,0.081974972,0.107491408,0.379027573,0.05181736,0.08954856,0.1640625,0.680664063,0.481770833,0.552734375,0.174804688,0.1640625,122.0999999,276.7999878,54.40002441,276.7999878,54.40002441,page
-6.079998779,0,-1.923139083,-1.719622738,-0.228567941,0,-1.247704171,1.478264842,0.182335686,0,-0.228573754,0,0,6.197288533,1.987512609,1.812984982,0.323247992,0,-6.079998779,0,-1.923139083,-1.719622738,-0.228567941,0,-1.247704171,1.478264842,0.182335686,0,-0.228573754,0,0,6.197288533,1.987512609,1.812984982,0.323247992,0,-0.607999878,0.584584834,0.005402119,0.053846505,-0.021768375,0.053846505,0.057163495,0.051820713,0.038120496,0.051820713,0.005297612,0.053846505,-0.140787128,0.16068096,0.00022871,-0.007540652,-0.021768929,0.030768761,-0.009552495,-0.000615375,-0.0122043,-0.000918164,-0.000981233,-0.007540652,-0.593782068,0.619728853,-0.005761534,-0.06201744,0.030785523,-0.06201744,-0.057954755,-0.050969741,-0.039917478,-0.050969741,-0.005401965,-0.06201744,-0.607999878,0.584584834,0.005402119,0.053846505,-0.021768375,0.053846505,0.057163495,0.051820713,0.038120496,0.051820713,0.005297612,0.053846505,-0.140787128,0.16068096,0.00022871,-0.007540652,-0.021768929,0.030768761,-0.009552495,-0.000615375,-0.0122043,-0.000918164,-0.000981233,-0.007540652,-0.593782068,0.619728853,-0.005761534,-0.06201744,0.030785523,-0.06201744,-0.057954755,-0.050969741,-0.039917478,-0.050969741,-0.005401965,-0.06201744,0.137695313,0.595703125,0.494397615,0.571289063,0.479492188,0.137695313,193,374.4000244,58.39996338,374.4000244,58.39996338,page
-5.55555558,0,-1.970028892,-1.345796698,-0.149530428,-1.050501341,-1.304347819,1.527271618,0.177602467,0,-0.074765214,-0.080806847,0,5.626216957,2.041753162,1.37862597,0.167180101,1.053604677,-5.55555558,0,-1.970028892,-1.345796698,-0.149530428,-1.050501341,-1.304347819,1.527271618,0.177602467,0,-0.074765214,-0.080806847,0,5.626216957,2.041753162,1.37862597,0.167180101,1.053604677,-0.407999878,0.617283953,0.001093132,-0.106111246,-0.013974806,-0.106111246,-0.041436211,-0.106111246,0.051706778,-0.058843086,0.029568254,-0.082477166,-0.173553594,0.130434782,-0.003013433,-0.007999878,-0.006987403,-0.008162308,-1.63034E-06,-0.008162308,-0.019912852,-0.008162308,0.006142249,0.014512352,-0.625135217,0.423093285,-0.001237792,0.106424714,0.015624308,0.106424714,0.04212228,0.106424714,-0.054225481,0.06699368,-0.031386925,0.086709197,-0.407999878,0.617283953,0.001093132,-0.106111246,-0.013974806,-0.106111246,-0.041436211,-0.106111246,0.051706778,-0.058843086,0.029568254,-0.082477166,-0.173553594,0.130434782,-0.003013433,-0.007999878,-0.006987403,-0.008162308,-1.63034E-06,-0.008162308,-0.019912852,-0.008162308,0.006142249,0.014512352,-0.625135217,0.423093285,-0.001237792,0.106424714,0.015624308,0.106424714,0.04212228,0.106424714,-0.054225481,0.06699368,-0.031386925,0.086709197,0.142578125,0.6640625,0.569335938,0.626953125,0.302734375,0.142578125,175.8999999,344,58.39996338,344,58.39996338,page
-4.666668845,0,-1.777875924,-1.56701156,-0.153849677,-1.046730108,-1.29523577,1.2,0.122694874,0,-0.153849677,1.121495322,0,4.667256679,1.85512615,1.64328814,0.2175763,1.53407812,-4.666668845,0,-1.777875924,-1.56701156,-0.153849677,-1.046730108,-1.29523577,1.2,0.122694874,0,-0.153849677,1.121495322,0,4.667256679,1.85512615,1.64328814,0.2175763,1.53407812,-0.432098959,0.457516562,0.000975268,-0.014793238,-0.014793238,-0.097825243,0.097040413,0.166703356,-0.012652766,-0.097825243,0.000537459,-0.013295025,-0.118811882,0.128241164,0.006417452,0,-0.014793238,0.104812646,-0.003712107,-0.052642989,0.014287381,0.008329735,0.007453729,0.003429303,-0.459200934,0.432153389,0.00156815,0.020920798,0.020920798,0.143371786,-0.087496798,-0.174817886,0.019051915,0.137160312,0.002633746,0.032922353,-0.432098959,0.457516562,0.000975268,-0.014793238,-0.014793238,-0.097825243,0.097040413,0.166703356,-0.012652766,-0.097825243,0.000537459,-0.013295025,-0.118811882,0.128241164,0.006417452,0,-0.014793238,0.104812646,-0.003712107,-0.052642989,0.014287381,0.008329735,0.007453729,0.003429303,-0.459200934,0.432153389,0.00156815,0.020920798,0.020920798,0.143371786,-0.087496798,-0.174817886,0.019051915,0.137160312,0.002633746,0.032922353,0.150390625,0.708984375,0.591164982,0.658203125,0.427734375,0.150390625,181.5,312,45.59997559,312,45.59997559,page
