velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.386134912,0,-1.890698138,-1.207546002,-0.452829041,-5.386134912,-0.226414515,1.083326324,0.230082619,0,-0.075473426,0.871285908,0,5.456151429,1.918212607,1.228588979,0.45907557,5.456151429,-5.386134912,0,-1.890698138,-1.207546002,-0.452829041,-5.386134912,-0.226417394,1.083329502,0.230082613,0,-0.075470547,0.871285908,0,5.456151429,1.918212657,1.22858951,0.459075096,5.456151429,-0.533280677,0.461165414,-0.044739586,-0.071199712,-0.042719721,-0.533280677,-0.08562666,-0.08562666,0.001994821,0.040047274,-0.042024001,-0.228834602,-0.105177313,0.09511525,0.007114295,0,-0.007120135,0.08626593,0.002907703,0.002907703,-0.009177543,-0.008899394,0.011068567,0.018108501,-0.473007195,0.540213005,0.045257085,0.072595604,0.043309016,0.540213005,0.084677208,0.084677208,-0.003710638,-0.04102418,0.042435923,0.240949435,-0.533280677,0.461165414,-0.044739586,-0.071199712,-0.042719721,-0.533280677,-0.08562666,-0.08562666,0.001994821,0.040047274,-0.042024001,-0.228834602,-0.105177622,0.095115919,0.007114298,0,-0.007119863,0.08626593,0.002907703,0.002907703,-0.00917762,-0.008899394,0.011068601,0.018108156,-0.473007264,0.540213005,0.045257085,0.072595698,0.043308972,0.540213005,0.084677208,0.084677208,-0.003710655,-0.04102418,0.042435918,0.240949531,0.1015625,0.3671875,0.275745739,0.260742188,0.233398438,0.1015625,117.4000001,223.1999512,32,223.1999512,32,page
-6.451612936,0,-2.691993915,-3.433913181,-0.538465055,-4.470585925,-0.14159076,1.032255445,0.241400673,0.040815704,0,0.78431374,0,6.53367131,2.713344386,3.482882416,0.538465055,4.538864016,-6.451612936,0,-2.691993915,-3.433913181,-0.538465055,-4.470585925,-0.14159076,1.032255445,0.241400673,0.040815704,0,0.78431374,0,6.53367131,2.713344386,3.482882416,0.538465055,4.538864016,-0.693721825,0.532469971,-0.036864372,-0.040463258,-0.051775486,-0.438292746,-0.032230549,-0.032230549,0.011163237,0.281529135,-0.004354311,0.126189052,-0.08939443,0.11099521,0.006963068,4.33794E-05,0,0.076893505,-0.006250462,-0.006250462,0.011459496,-0.01960997,0.009608697,0.004208247,-0.532907367,0.702545306,0.037394296,0.040460402,0.051775486,0.444986677,0.030307578,0.030307578,-0.009976545,-0.280135822,0.004970336,-0.125495251,-0.693721825,0.532469971,-0.036864372,-0.040463258,-0.051775486,-0.438292746,-0.032230549,-0.032230549,0.011163237,0.281529135,-0.004354311,0.126189052,-0.08939443,0.11099521,0.006963068,4.33794E-05,0,0.076893505,-0.006250462,-0.006250462,0.011459496,-0.01960997,0.009608697,0.004208247,-0.532907367,0.702545306,0.037394296,0.040460402,0.051775486,0.444986677,0.030307578,0.030307578,-0.009976545,-0.280135822,0.004970336,-0.125495251,0.120117188,0.515625,0.373779297,0.380859375,0.307617188,0.120117188,132.5,336,32,336,32,page
-10.03921205,0,-3.401312601,-3.089104106,-0.288289384,0,-1.425745005,1.882348145,0.080093467,0,-0.288289384,0,0,10.21415748,3.474795318,3.402251166,0.407702757,0,-10.03921205,0,-3.401312601,-3.089104106,-0.288289384,0,-1.425745005,1.882348145,0.080093467,0,-0.288289384,0,0,10.21415748,3.474795318,3.402251166,0.407702757,0,-0.984236471,1.115468005,0.009891846,-0.043207893,-0.025972016,1.115468005,0.065615767,0.065615767,0.120765635,0.175915503,0.05604386,-0.043207893,-0.209149794,0.184543935,-0.001003689,0,-0.025972016,-0.209149794,-0.012302929,-0.012302929,-0.00293979,0.00642335,0.018508312,0.033811826,-1.134906387,1.001387984,-0.010118115,0.036729978,0.036729978,-1.134906387,-0.066759202,-0.066759202,-0.121186194,-0.175613186,-0.060611851,0.014381475,-0.984236471,1.115468005,0.009891846,-0.043207893,-0.025972016,1.115468005,0.065615767,0.065615767,0.120765635,0.175915503,0.05604386,-0.043207893,-0.209149794,0.184543935,-0.001003689,0,-0.025972016,-0.209149794,-0.012302929,-0.012302929,-0.00293979,0.00642335,0.018508312,0.033811826,-1.134906387,1.001387984,-0.010118115,0.036729978,0.036729978,-1.134906387,-0.066759202,-0.066759202,-0.121186194,-0.175613186,-0.060611851,0.014381475,0.087890625,0.5625,0.340820313,0.387695313,0.5625,0.087890625,92.10000014,336,32,336,32,page
0,4.571433576,1.684903792,1.692311198,0.495573063,2.938774279,-0.769230762,0.571426083,-0.101112072,0,-0.212388841,0.571426083,0,4.577988936,1.713111201,1.858933338,0.539167581,2.993813961,0,4.571433576,1.684903792,1.692311198,0.495573063,2.938774279,-0.769230762,0.571432311,-0.101112013,0,-0.212391542,0.571432311,0,4.577988769,1.713111388,1.858933338,0.539168645,2.993815149,-0.435374626,0.341042862,0.022432422,0.115070973,0.043856023,0.299874928,0.031909728,0.031909728,-0.033296358,0.001157134,0.00975885,0.178357692,-0.053542492,0.084530854,0.006887697,-0.008984307,-0.018795473,0.058308784,0.021539667,0.021539667,0.02044556,0.019351454,0.016455847,0.015378759,-0.435998946,0.343810603,0.022671928,0.126900552,0.047713945,0.305491222,0.034472493,0.034472493,-0.032047161,0.001159539,0.008308523,0.178582357,-0.435374626,0.341042862,0.022432422,0.115070973,0.043856023,0.299874928,0.031909728,0.031909728,-0.033296358,0.001157134,0.00975885,0.178357692,-0.053542232,0.084530854,0.006887759,-0.008983684,-0.018795712,0.05830942,0.02154013,0.02154013,0.020445644,0.019351159,0.016455921,0.015378466,-0.43599893,0.343810603,0.022671938,0.12690045,0.04771404,0.305491343,0.034472563,0.034472563,-0.032047127,0.001159539,0.008308536,0.178582323,0.17578125,0.833984375,0.614435369,0.65625,0.374023438,0.17578125,113.3,191.2000122,16.79998779,191.2000122,16.79998779,page
-0.077668716,0,-0.012703065,0,0,0,0,0.54368694,0.091304416,0,0,0,0,0.549206626,0.093235264,0,0,0,-0.077668716,0,-0.012703065,0,0,0,0,0.54368694,0.09130426,0,0,0,0,0.549206626,0.093235121,0,0,0,-0.007540652,0.008090491,0.000105851,0,0,0,0.004045246,0.004045246,0.000254044,0,0.000127022,0,-0.030592125,0.052785139,-0.00031532,0,0,-0.024038706,-0.027315415,-0.027315415,-0.000657287,-0.015415949,-0.000378384,-0.000943389,-0.031167092,0.053321031,-0.000332748,0,0,-0.024038706,-0.027602899,-0.027602899,-0.000699114,-0.017235588,-0.000399297,-0.000943389,-0.007540652,0.008090491,0.000105851,0,0,0,0.004045246,0.004045246,0.000254044,0,0.000127022,0,-0.030592125,0.052785139,-0.000315328,0,0,-0.024038706,-0.027315415,-0.027315415,-0.000657284,-0.015415802,-0.000378393,-0.000943272,-0.031167092,0.053321031,-0.000332756,0,0,-0.024038706,-0.027602899,-0.027602899,-0.000699112,-0.017235457,-0.000399307,-0.000943272,0.090820313,0.34765625,0.180826823,0.162109375,0.138671875,0.090820313,122.3000002,1.600006104,12,1.600006104,12,pen
0,0.910570102,0.165400706,0.032786385,0,0.065572771,-0.414815267,0,-0.087429324,0,-0.078430177,0,0,0.990670197,0.192439047,0.072001474,0.078430177,0.065572771,0,0.910570102,0.165400706,0.032786385,0,0.065572771,-0.414815267,0,-0.0874293,0,-0.078430177,0,0,0.990670197,0.19243903,0.072001474,0.078430177,0.065572771,-0.127635467,0.07403009,-0.006377366,0,0,-0.015552929,-0.034070883,-0.015552929,-0.016889247,0.005804307,-0.008116648,0,-0.031727066,0.063817733,0.002942302,0,-0.007689233,0.013951919,0.014874825,0.013951919,0.008826631,-0.002077945,0.003795586,0,-0.14270079,0.080542293,-0.00693019,0.001120787,0.007689233,-0.019777252,-0.036988951,-0.019777252,-0.019046158,0.006433461,-0.00887108,0.002241575,-0.127635467,0.07403009,-0.006377366,0,0,-0.015552929,-0.034070883,-0.015552929,-0.016889247,0.005804307,-0.008116648,0,-0.031727066,0.063817733,0.002942308,0,-0.007689233,0.013951919,0.014874825,0.013951919,0.008826609,-0.002077945,0.003795593,0,-0.14270079,0.080542293,-0.006930194,0.001120836,0.007689233,-0.019777252,-0.036988951,-0.019777252,-0.019046142,0.006433461,-0.008871085,0.002241673,0.079101563,0.295898438,0.194893973,0.181640625,0.127929688,0.079101563,149.6999998,28,13.6000061,28,13.6000061,pen
-0.633665775,0,-0.155206435,-0.072578343,0,0,-0.163269044,0.95049564,0.175006868,0.038094657,0.076189314,0,0,1.142354707,0.255425807,0.130981166,0.076189314,0,-0.633665775,0,-0.155206435,-0.072578343,0,0,-0.16326593,0.95049564,0.175006948,0.038094657,0.076189314,0,0,1.142354707,0.25542564,0.130980652,0.076189314,0,-0.062739185,0.058134475,-0.000452124,0.004466027,0,0.016006464,0.009674318,0.016683507,-0.001330184,0.016006464,-0.000700992,0.014000849,-0.087201436,0.094108478,0.000129719,2.08E-07,0.007256125,0.016006769,-0.008249112,-0.008330053,0.00112628,0,0.00045531,-0.00765893,-0.104803185,0.113104425,0.00045206,-0.007786675,0.007256125,-0.022636774,-0.012443019,-0.022313411,0.001924099,-0.021990048,0.000889248,-0.020881424,-0.062739185,0.058134475,-0.000452124,0.004466027,0,0.016006464,0.009674318,0.016683507,-0.001330184,0.016006464,-0.000700992,0.014000849,-0.087201436,0.094108478,0.000129717,1.38E-07,0.007256125,0.016006464,-0.008249071,-0.008329894,0.001126281,0,0.000455309,-0.00765893,-0.104803185,0.113104425,0.000452058,-0.007786724,0.007256125,-0.022636558,-0.012442997,-0.022313303,0.001924097,-0.021990048,0.000889245,-0.020881424,0.120117188,0.298828125,0.234700521,0.264648438,0.120117188,0.1875,182.5,29.6000061,32.80003357,29.6000061,32.80001831,pen
0,0.8080808,0.194715103,0.073393375,0,0.333334608,-0.083333652,0.242423624,0.044949306,0,0,-0.083333652,0,0.843660947,0.211102006,0.103796876,0,0.34359345,0,0.8080808,0.194715103,0.073393375,0,0.333334608,-0.083335242,0.242423624,0.04494919,0,0,-0.083335242,0,0.843660947,0.21110204,0.103795886,0,0.343593835,-0.06861046,0.081624322,0.001255812,0,0,0.034722355,-0.01534752,-0.012154457,-0.00133852,-0.012154457,0.000959222,-0.0002183,-0.029990016,0.024487234,-0.001444904,0,0,-0.008680589,-0.010349106,-0.008680589,-0.006384927,-0.008680589,-0.002551747,-0.001316663,-0.069032672,0.085218277,0.001079192,0,0,0.035790985,-0.016119477,-0.015116745,-0.002488015,-0.015116745,0.000450684,-0.000309037,-0.06861046,0.081624322,0.001255812,0,0,0.034722355,-0.01534752,-0.012154457,-0.00133852,-0.012154457,0.000959222,-0.0002183,-0.029990016,0.024487234,-0.001444913,0,0,-0.008680754,-0.010349161,-0.008680754,-0.00638496,-0.008680754,-0.002551747,-0.001316651,-0.069032672,0.085218277,0.001079197,0,0,0.035791025,-0.016119464,-0.015116745,-0.002488007,-0.015116745,0.0004507,-0.000308933,0.037109375,0.336914063,0.221754808,0.220703125,0.1953125,0.037109375,131.4000001,26.3999939,8,26.3999939,8,pen
-0.493827166,0,-0.100363752,0,0,0,-0.075474864,0.888888523,0.201126308,0,0,-0.072072348,0,1.016852042,0.244983385,0.07272755,0,0.072072348,-0.493827166,0,-0.100363752,0,0,0,-0.075473425,0.888890406,0.201126495,0,0,-0.072070973,0,1.016853689,0.244983196,0.072728937,0,0.072070973,-0.060966318,0.044893379,-0.000968687,0,0,0,0.002894841,0,-0.002740415,0,-0.001210859,0,-0.080808048,0.109739325,0.001346901,0,0,0.000306533,-0.008060928,-0.00712027,0.003809441,-0.003406869,0.000895144,-0.008022361,-0.092441095,0.125537291,0.002504945,0,0,-0.000306533,-0.004201816,-0.000306533,0.00678938,0.003406869,0.002342699,-0.004615492,-0.060966318,0.044893379,-0.000968687,0,0,0,0.002894841,0,-0.002740415,0,-0.001210859,0,-0.080808219,0.109739558,0.001346909,0,0,0.000306527,-0.008060774,-0.007120134,0.003809471,-0.003406804,0.000895158,-0.008022293,-0.092441244,0.125537494,0.002504936,0,0,-0.000306527,-0.004201761,-0.000306527,0.006789365,0.003406804,0.002342692,-0.004615489,0.022460938,0.215820313,0.170052083,0.1796875,0.158203125,0.022460938,156,14.40002441,30.40002441,14.40002441,30.40002441,pen
-0.076924837,0.07619222,-0.005152347,0,0.07619222,0,0,0.615386957,0.134190327,0.080811471,0,0,0,0.620176215,0.14217836,0.080811471,0.07619222,0,-0.076924837,0.07619222,-0.005152347,0,0.07619222,0,0,0.615386957,0.134190284,0.08080993,0,0,0,0.620176215,0.142178314,0.08080993,0.07619222,0,-0.007696184,0.00964538,0.000294443,0,0.007256402,0,0,0,0.001433317,0,0.000408739,0,-0.05446623,0.059171822,-0.004325355,0,0,-0.014904575,-0.00118709,-0.00118709,-0.00632684,-0.00118709,-0.006193521,-0.014904575,-0.05446623,0.059632328,-0.00441787,0.000466591,0.007256402,-0.014904575,-0.00118709,-0.00118709,-0.006503289,-0.00118709,-0.006257729,-0.014904575,-0.007696184,0.00964538,0.000294443,0,0.007256402,0,0,0,0.001433317,0,0.000408739,0,-0.05446623,0.059171822,-0.004325368,0,0,-0.014904575,-0.00118709,-0.00118709,-0.006326867,-0.00118709,-0.006193518,-0.014904575,-0.05446623,0.059632328,-0.004417882,0.000466435,0.007256402,-0.014904575,-0.00118709,-0.00118709,-0.006503315,-0.00118709,-0.006257726,-0.014904575,0.182617188,0.372070313,0.257990057,0.240234375,0.182617188,0.189453125,117.4000001,1.600006104,17.6000061,1.600006104,17.6000061,pen
