velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-5.224484815,0,-1.864557403,-1.920001221,-0.198349125,0,-0.559994507,1.230763492,0.336226677,0.263728886,-0.264461297,0,0,5.275890305,1.93005864,1.999999634,0.330578512,0,-5.224484815,0,-1.864557403,-1.920001221,-0.198349125,0,-0.559997559,1.2307661,0.336226501,0.263732239,-0.264463819,0,0,5.275890305,1.930058899,2.000000488,0.33058053,0,-0.533110696,0.501011658,0.004439391,-0.01639249,-0.01639249,0.228922069,0.140094098,0.228922069,0.093623584,0.095453601,0.01414564,-0.001966698,-0.146519463,0.115235728,-0.000948235,0.007987028,-0.021856306,-0.10628538,-0.045856372,-0.10628538,-0.023235662,-0.027625823,-0.004444413,0.02206829,-0.514179172,0.538356154,-0.004927433,0.027320538,0.027320538,-0.252392344,-0.147360869,-0.252392344,-0.096468267,-0.101270771,-0.014773563,0.011450993,-0.533110696,0.501011658,0.004439391,-0.01639249,-0.01639249,0.228922069,0.140094098,0.228922069,0.093623584,0.095453601,0.01414564,-0.001966698,-0.146519774,0.115235728,-0.000948234,0.007986731,-0.021856514,-0.10628538,-0.045856475,-0.10628538,-0.023235683,-0.027625582,-0.004444449,0.022068141,-0.514179172,0.538356154,-0.004927437,0.027320705,0.027320705,-0.252392344,-0.147360902,-0.252392344,-0.096468273,-0.101270711,-0.014773571,0.011451053,0.26953125,0.501953125,0.389778646,0.374023438,0.501953125,0.26953125,158.9,304.7999878,69.59994507,304.7999878,69.59997559,page
-5.531914894,0,-2.326083258,-2.301446482,-1.573771492,-4.504856741,-0.196725814,1.617022575,0.441324214,0.109093406,-0.196725814,1.553398059,0,5.763405626,2.384372621,2.315515544,1.586019469,4.765163143,-5.531914894,0,-2.326083258,-2.301446482,-1.573771492,-4.504856741,-0.196723313,1.617022575,0.441324435,0.109092019,-0.196723313,1.553398059,0,5.763405626,2.384372614,2.315515389,1.586019158,4.765163143,-0.588501585,0.566666921,-0.031788107,-0.18504288,-0.128997663,-0.437364732,0.047275081,0.047275081,-0.101984728,-0.399305423,-0.044207064,-0.26758878,-0.15548294,0.172023678,0.014293064,0.021768535,-0.016125067,0.150815346,-0.002333797,-0.002333797,0.034165664,0.086805887,0.016393993,0.024998887,-0.575422757,0.613128258,0.034045705,0.18895314,0.130001596,0.462637199,-0.04576821,-0.04576821,0.107587424,0.408631965,0.046963355,0.27176844,-0.588501585,0.566666921,-0.031788107,-0.18504288,-0.128997663,-0.437364732,0.047275081,0.047275081,-0.101984728,-0.399305423,-0.044207064,-0.26758878,-0.15548294,0.172023678,0.014293055,0.021768258,-0.016124862,0.150815346,-0.002333797,-0.002333797,0.034165661,0.086805556,0.016393992,0.024998761,-0.575422867,0.613128258,0.034045706,0.18895318,0.13000157,0.462637199,-0.04576821,-0.04576821,0.107587423,0.408631895,0.046963354,0.271768493,0.040039063,0.53125,0.312255859,0.309570313,0.53125,0.040039063,121.9,264.7999878,54.40002441,264.7999878,54.40002441,page
-6.020621076,0,-2.682383344,-3.21494985,-1.47572934,-3.95875911,0,1.979382703,0.694883447,0.747663552,0,1.484532307,0,6.337652091,2.779698008,3.300742844,1.47572934,4.227955754,-6.020621076,0,-2.682383344,-3.21494985,-1.47572934,-3.95875911,0,1.979382703,0.6948837,0.747663552,0,1.484532307,0,6.337652091,2.779698045,3.300742844,1.47572934,4.227955754,-0.620682585,0.584526318,-0.040219368,-0.143274693,-0.143274693,-0.408119496,0.079931812,0.079931812,-0.110151174,-0.30023416,-0.049472241,-0.208311575,-0.186734217,0.153044568,0.01502104,0,0,0.153044568,-0.016844825,-0.016844825,0.04120535,0.099255525,0.018359049,0.090488977,-0.600166952,0.637290681,0.042925185,0.143274693,0.143274693,0.435871727,-0.08100999,-0.08100999,0.117596038,0.316202065,0.052779351,0.225740073,-0.620682585,0.584526318,-0.040219368,-0.143274693,-0.143274693,-0.408119496,0.079931812,0.079931812,-0.110151174,-0.30023416,-0.049472241,-0.208311575,-0.186734217,0.153044568,0.01502104,0,0,0.153044568,-0.016844825,-0.016844825,0.04120535,0.099255525,0.018359049,0.090489552,-0.600166883,0.637290607,0.042925185,0.143274693,0.143274693,0.435871727,-0.08100999,-0.08100999,0.117596038,0.316202065,0.052779351,0.225740073,0.108398438,0.510742188,0.308327415,0.321289063,0.258789063,0.108398438,119.2,298.4000244,82.3999939,298.4000244,82.40002441,page
-0.076189314,1.411764107,0.378591281,0,-0.076189314,0.712869474,-0.549020954,0,-0.140107729,-0.079208223,-0.076191493,-0.079208223,0,1.514761335,0.426646644,0.107749502,0.107749502,0.71725646,-0.076189314,1.411764107,0.378591281,0,-0.076189314,0.712869474,-0.549020206,0,-0.140107669,-0.079208223,-0.076190767,-0.079208223,0,1.514761064,0.426646617,0.107748988,0.107748988,0.71725646,-0.144159488,0.138408246,0.002933615,0.007325896,-0.007256125,0.070581136,0.025058911,0.070581136,0.008676136,0.053090497,0.003661205,0.026717861,-0.053825584,0.054902095,1.14476E-05,-0.004706546,-0.007256333,-0.007842398,-0.002954546,-0.007842398,-0.000570607,-0.0074813,0.000680513,-0.005913374,-0.151476134,0.148506013,0.002899487,0.010261857,0.010261857,0.071015491,0.025241064,0.071015491,0.008661982,0.053645659,0.002960563,0.025263941,-0.144159488,0.138408246,0.002933615,0.007325896,-0.007256125,0.070581136,0.025058911,0.070581136,0.008676136,0.053090497,0.003661205,0.026717861,-0.05382551,0.054902021,1.14492E-05,-0.004706603,-0.007256264,-0.007842398,-0.002954545,-0.007842398,-0.000570606,-0.007481266,0.000680515,-0.005913369,-0.151476106,0.148505987,0.002899486,0.010261808,0.010261808,0.071015491,0.025241063,0.071015491,0.008661982,0.053645651,0.002960562,0.025263948,0.1796875,0.23828125,0.195442708,0.190429688,0.18359375,0.1796875,160.3,63.19998169,21.6000061,63.19998169,21.6000061,pen
0,0.452831916,0.069373169,0,0,0,-0.280701487,1.617020952,0.416808411,0.073394775,0.073394775,-0.280701487,0,1.648328903,0.469802852,0.109841202,0.073394775,0.280701487,0,0.452831916,0.069373169,0,0,0,-0.280702825,1.617019329,0.416808334,0.073394775,0.073394775,-0.280702825,0,1.648327519,0.469802797,0.109840154,0.073394775,0.280702825,-0.048173608,0.035018916,-0.000132345,0,0,0,-0.000101558,0,-0.001212551,0,-0.000659824,0,-0.168607169,0.13059895,-0.00061101,0.006987603,0.006733466,-0.024622937,-0.013133188,-0.0226221,-0.02411803,-0.0226221,-0.001170177,0.01146339,-0.175354139,0.130853789,0.002210855,0.00988201,0.006733466,0.024622937,0.003036919,-0.00441711,-0.017218727,-0.00441711,0.00204963,0.019318225,-0.048173608,0.035018916,-0.000132345,0,0,0,-0.000101558,0,-0.001212551,0,-0.000659824,0,-0.168607016,0.130599105,-0.000611017,0.006987536,0.006733466,-0.024623055,-0.013133229,-0.022621957,-0.024118026,-0.022621957,-0.001170181,0.011463315,-0.175353991,0.130853944,0.002210862,0.009881963,0.006733466,0.024623055,0.003036959,-0.004417212,-0.017218687,-0.004417212,0.002049643,0.019318328,0.0234375,0.31640625,0.203297335,0.192382813,0.2734375,0.0234375,177.9,12,72.80000305,12,72.79998779,pen
-0.177777326,0.988762674,0.159820202,0,0,0,-0.412371134,1.490198771,0.154234731,0,-0.142857688,0,0,1.498432009,0.390390906,0.207591774,0.142857688,0,-0.177777326,0.988762674,0.159820202,0,0,0,-0.412371134,1.490197275,0.154234736,0,-0.142856325,0,0,1.498430521,0.390390879,0.207591774,0.142856325,0,-0.116206809,0.11109693,0.001116056,0,0,0.014978526,0.004663816,0.003861957,0.002694064,0.003861957,-0.001236886,-0.00579745,-0.164670573,0.146097919,-0.004425307,-0.001690828,-0.012755151,-0.014978526,-0.026426546,-0.017777229,-0.012098022,-0.013055884,-0.004413165,0,-0.16534961,0.146905099,-0.005187724,-0.013312161,0.012755151,-0.021182834,-0.026910248,-0.0206661,-0.012158404,-0.016730764,-0.009382374,-0.020149366,-0.116206809,0.11109693,0.001116056,0,0,0.014978526,0.004663816,0.003861957,0.002694064,0.003861957,-0.001236886,-0.00579745,-0.164670716,0.146097772,-0.004425313,-0.001690828,-0.012755029,-0.014978526,-0.026426556,-0.017777258,-0.01209803,-0.01305587,-0.004413171,0,-0.165349752,0.146904953,-0.005187726,-0.013312134,0.012755029,-0.021182834,-0.026910258,-0.020666129,-0.012158411,-0.016730779,-0.009382377,-0.020149425,0.15625,0.247070313,0.19841056,0.194335938,0.15625,0.185546875,301.6,55.19998169,65.6000061,55.19998169,65.6000061,pen
-1.029702366,0,-0.204828222,0,-0.146789551,0,-0.067799455,1.307693628,0.313921691,0,0,-0.067799455,0,1.513264569,0.403339842,0.146627968,0.146789551,0.067799455,-1.029702366,0,-0.204828222,0,-0.146789551,0,-0.067798162,1.307692895,0.313921643,0,0,-0.067798162,0,1.513264569,0.403339563,0.146627968,0.146789551,0.067798162,-0.101950729,0.110720685,0.002923841,0,-0.013466931,0,0,0,0.01438435,0,0.004927454,0,-0.161104564,0.125739772,-0.00822433,-0.005745717,0,-0.005745717,-0.019367845,-0.019367845,-0.041457493,-0.019367845,-0.010649173,-0.008406926,-0.171070842,0.149828175,-0.007842991,-1.32445E-05,0.013466931,0.005745717,-0.013622129,-0.013622129,-0.041076204,-0.013622129,-0.011080732,-0.018798457,-0.101950729,0.110720685,0.002923841,0,-0.013466931,0,0,0,0.01438435,0,0.004927454,0,-0.161104674,0.125739701,-0.00822433,-0.005745607,0,-0.005745607,-0.019367712,-0.019367712,-0.041457494,-0.019367712,-0.010649172,-0.008406926,-0.171070945,0.149828175,-0.00784301,-1.32445E-05,0.013466931,0.005745607,-0.013622105,-0.013622105,-0.041076259,-0.013622105,-0.011080756,-0.018798457,0.15234375,0.421875,0.222833807,0.198242188,0.421875,0.15234375,128.1,23.19998169,40.00003052,23.19998169,40.00001526,pen
0,0.897961052,0.164938661,0,0,0.603773009,-0.603772289,1.230768791,0.157207928,0,0,-0.603772289,0,1.233170222,0.359118759,0.079215988,0,0.853863469,0,0.897961052,0.164938661,0,0,0.603773009,-0.603773009,1.230769524,0.157207886,0,0,-0.603773009,0,1.233170954,0.359118755,0.079215988,0,0.853863978,-0.062378108,0.091628679,0.002670471,0,0,0.056959718,-0.01164701,-0.029522638,0.007784993,-0.003073169,0.003286734,0,-0.109936752,0.118343153,-0.005164323,0,0,-0.05695965,-0.021571634,-0.038944305,-0.010087922,-0.011142377,-0.006947581,-0.007547199,-0.111230176,0.11857406,0.002534315,0,0,0.080553157,-0.00472966,-0.025001292,0.010494953,0.006209588,0.002527666,-0.007547199,-0.062378108,0.091628679,0.002670471,0,0,0.056959718,-0.01164701,-0.029522638,0.007784993,-0.003073169,0.003286734,0,-0.109936672,0.118343224,-0.005164325,0,0,-0.056959718,-0.021571679,-0.038944374,-0.010087932,-0.011142372,-0.006947583,-0.007547199,-0.111230096,0.11857413,0.002534319,0,0,0.080553205,-0.004729648,-0.025001305,0.010494962,0.006209582,0.002527672,-0.007547199,0.1015625,0.356445313,0.262329102,0.272949219,0.19140625,0.1015625,168.7,29.6000061,36,29.6000061,36,pen
-0.074075769,1.872341075,0.496733065,0.192307692,-0.074075769,0.666667797,-0.88889228,0.444446846,-0.165240378,-0.037038591,-0.074077182,0.444446846,0,1.940724626,0.606766097,0.415224535,0.104759957,0.80123589,-0.074075769,1.872341075,0.496733065,0.192307692,-0.074075769,0.666667797,-0.888890739,0.44444614,-0.165240309,-0.037037885,-0.074075769,0.44444614,0,1.94072484,0.606766019,0.415224658,0.104758958,0.801235498,-0.106326422,0.199185221,0.008663318,0.000428679,-0.006858868,0.0617285,-0.017827199,-0.017827199,0.018083646,-0.014733869,0.010721978,-0.001334411,-0.089787099,0.077973007,0.002665309,-0.003911524,-0.006858998,0.041152486,0.016518648,0.016518648,0.008501858,0.016518648,0.004309518,0.016518648,-0.131852561,0.206460067,0.009997414,0.003733962,0.009699996,0.074188508,-0.011765968,-0.011765968,0.021394191,-0.01158143,0.011563277,-0.006524105,-0.106326422,0.199185221,0.008663318,0.000428679,-0.006858868,0.0617285,-0.017827199,-0.017827199,0.018083646,-0.014733869,0.010721978,-0.001334411,-0.089786943,0.077972872,0.002665302,-0.003911532,-0.006858868,0.04115242,0.016518577,0.016518577,0.008501837,0.016518577,0.004309511,0.016518577,-0.131852481,0.206460089,0.009997409,0.003733968,0.009699903,0.074188472,-0.011765989,-0.011765989,0.021394182,-0.011581455,0.01156327,-0.006524109,0.0390625,0.392578125,0.282519531,0.33203125,0.392578125,0.0390625,107.8,50.40002441,20.79999542,50.40002441,20.80000305,pen
-0.077671681,1.652175239,0.588277087,0.168421695,-0.077671681,1.652175239,-1.043478924,0,-0.318030113,-0.165150568,-0.077670199,-1.043478924,0,1.954106263,0.692491635,0.265448285,0.109843297,1.954106263,-0.077671681,1.652175239,0.588277087,0.168421695,-0.077671681,1.652175239,-1.043478924,0,-0.318030113,-0.165151309,-0.077671681,-1.043478924,0,1.954106263,0.692491592,0.265448809,0.109844344,1.954106263,-0.169097442,0.134372481,0.007929039,0.004467806,-0.00754094,0.001394671,0.067883576,0.067883576,0.022446129,0.062254738,0.009911299,0.018425935,-0.056401007,0.068389174,-0.007426582,-0.017066763,-0.007540796,-0.056401007,-0.04970008,-0.04970008,-0.02025178,-0.046122514,-0.008340628,-0.030717227,-0.182123495,0.141084693,0.010450355,0.01798834,0.010664398,0.025312283,0.083198488,0.083198488,0.029218042,0.078955484,0.012120344,0.03481684,-0.169097442,0.134372481,0.007929039,0.004467806,-0.00754094,0.001394671,0.067883576,0.067883576,0.022446129,0.062254738,0.009911299,0.018425935,-0.056401007,0.068389174,-0.007426582,-0.017066835,-0.00754094,-0.056401007,-0.04970008,-0.04970008,-0.02025178,-0.046122514,-0.008340645,-0.030717227,-0.182123495,0.141084693,0.010450354,0.017988391,0.010664499,0.025312283,0.083198488,0.083198488,0.029218042,0.078955484,0.012120361,0.03481684,0.03515625,0.352539063,0.240039063,0.240234375,0.352539063,0.03515625,110.4,64.80001831,32.80000305,64.80001831,32.79998779,pen
