velX_min,velX_max,velX_mean,velX_median,velX_first,velX_last,velY_min,velY_max,velY_mean,velY_median,velY_first,velY_last,vel_min,vel_max,vel_mean,vel_median,vel_first,vel_last,velRX_min,velRX_max,velRX_mean,velRX_median,velRX_first,velRX_last,velRY_min,velRY_max,velRY_mean,velRY_median,velRY_first,velRY_last,velR_min,velR_max,velR_mean,velR_median,velR_first,velR_last,accelerationX_min,accelerationX_max,accelerationX_mean,accelerationX_median,accelerationX_first,accelerationX_last,1/5_accelerationX_mean,1/5_accelerationX_median,2/5_accelerationX_mean,2/5_accelerationX_median,4/5_accelerationX_mean,4/5_accelerationX_median,accelerationY_min,accelerationY_max,accelerationY_mean,accelerationY_median,accelerationY_first,accelerationY_last,1/5_accelerationY_mean,1/5_accelerationY_median,2/5_accelerationY_mean,2/5_accelerationY_median,4/5_accelerationY_mean,4/5_accelerationY_median,acceleration_min,acceleration_max,acceleration_mean,acceleration_median,acceleration_first,acceleration_last,1/5_acceleration_mean,1/5_acceleration_median,2/5_acceleration_mean,2/5_acceleration_median,4/5_acceleration_mean,4/5_acceleration_median,accelerationRX_min,accelerationRX_max,accelerationRX_mean,accelerationRX_median,accelerationRX_first,accelerationRX_last,1/5_accelerationRX_mean,1/5_accelerationRX_median,2/5_accelerationRX_mean,2/5_accelerationRX_median,4/5_accelerationRX_mean,4/5_accelerationRX_median,accelerationRY_min,accelerationRY_max,accelerationRY_mean,accelerationRY_median,accelerationRY_first,accelerationRY_last,1/5_accelerationRY_mean,1/5_accelerationRY_median,2/5_accelerationRY_mean,2/5_accelerationRY_median,4/5_accelerationRY_mean,4/5_accelerationRY_median,accelerationR_min,accelerationR_max,accelerationR_mean,accelerationR_median,accelerationR_first,accelerationR_last,1/5_accelerationR_mean,1/5_accelerationR_median,2/5_accelerationR_mean,2/5_accelerationR_median,4/5_accelerationR_mean,4/5_accelerationR_median,pressure_min,pressure_max,pressure_mean,pressure_median,pressure_first,pressure_last,dragTime,widthX,widthY,widthRX,widthRY,Mode
-4.783507677,0,-2.386537836,-2.924307919,-4,-4.783507677,0,0.991148826,0.556206617,0.780880529,0.654552113,0.907208945,0,4.868775387,2.455020553,3.074604229,4.053201015,4.868775387,-4.783507677,0,-2.386537836,-2.924307919,-4,-4.783507677,0,0.991151527,0.556206741,0.780880901,0.654546564,0.907215238,0,4.86877656,2.455020551,3.074603792,4.053200119,4.86877656,-0.493145122,0.579244045,-0.030017407,-0.192066755,-0.363636364,-0.493145122,-0.088485093,-0.088485093,-0.143118481,-0.252385256,-0.044142068,-0.192066755,-0.128720626,0.093526695,0.004107113,0.033153623,0.059504738,0.093526695,-0.007218112,-0.007218112,0.023914901,0.086180927,0.006150153,0.046491718,-0.593373965,0.501935608,0.030176255,0.197952015,0.36847282,0.501935608,0.083917975,0.083917975,0.144843179,0.266693588,0.044408646,0.197952015,-0.493145122,0.579244045,-0.030017407,-0.192066755,-0.363636364,-0.493145122,-0.088485093,-0.088485093,-0.143118481,-0.252385256,-0.044142068,-0.192066755,-0.128720977,0.093527344,0.004107202,0.033153362,0.059504233,0.093527344,-0.007217493,-0.007217493,0.023915157,0.086180457,0.006150265,0.046491474,-0.593374041,0.501935728,0.030176273,0.197951928,0.368472738,0.501935728,0.08391813,0.08391813,0.144843232,0.266693436,0.04440867,0.197951928,0.115234375,0.524414063,0.416259766,0.437988281,0.41015625,0.115234375,89.39999998,176,43.19995117,176,43.19995117,page
-5.414138961,0,-2.020757381,-1.735851356,-1.735851356,0,-0.075470546,1.433963413,0.355763783,0,-0.075470546,0,0,5.45259795,2.060325135,1.737491218,1.737491218,0,-5.414138961,0,-2.020757381,-1.735851356,-1.735851356,0,-0.075470546,1.433963413,0.355764036,0,-0.075470546,0,0,5.452597585,2.060325214,1.737491218,1.737491218,0,-0.546882725,0.542452951,0.014856993,0.170181506,-0.163759562,0.320625491,0.024775606,0.024775606,0.025181505,0.024775606,0.018184427,0.217515104,-0.149371189,0.135279567,-0.00400085,-0.007119863,-0.007119863,-0.070381053,-0.005438536,-0.005438536,-0.006242174,-0.005438536,-0.005183837,-0.008822289,-0.562642832,0.550767471,-0.015359858,-0.170342276,0.163914265,-0.328259346,-0.025365495,-0.025365495,-0.025952626,-0.025365495,-0.018830101,-0.216435931,-0.546882725,0.542452951,0.014856993,0.170181506,-0.163759562,0.320625491,0.024775606,0.024775606,0.025181505,0.024775606,0.018184427,0.217515104,-0.149371189,0.135279567,-0.004000872,-0.007119863,-0.007119863,-0.070381351,-0.005438559,-0.005438559,-0.006242185,-0.005438559,-0.005183866,-0.008821808,-0.562642832,0.550767434,-0.015359862,-0.170342276,0.163914265,-0.32825941,-0.0253655,-0.0253655,-0.025952629,-0.0253655,-0.018830106,-0.216435859,0.280273438,0.885742188,0.551323785,0.56640625,0.702148438,0.280273438,105.7,221.5999756,48,221.5999756,48,page
-6.666666667,0,-2.920846131,-3.027030336,-2.230764541,-3.027030336,-0.076916035,1.422220866,0.553938486,0.340423585,-0.076916035,1.153152057,0,6.816682231,2.987894406,3.239239467,2.232090167,3.239239467,-6.666666667,0,-2.920846131,-3.027030336,-2.230764541,-3.027030336,-0.076921903,1.422220866,0.553938223,0.340426831,-0.076921903,1.153152057,0,6.816682231,2.987894446,3.239239467,2.232090369,3.239239467,-0.740740741,0.52375608,-0.046369772,-0.137245626,-0.214496591,0.327895166,-0.206422787,-0.206422787,-0.108871771,-0.036052417,-0.032805478,-0.137245626,-0.104751901,0.158024541,0.014782587,0.020308086,-0.007395773,-0.024240433,0.066892054,0.066892054,0.03480451,0.035879509,0.017039442,0.020308086,-0.534128629,0.757409137,0.048839298,0.138535543,0.214624055,-0.322292142,0.217558497,0.217558497,0.114600361,0.044533227,0.035903405,0.138535543,-0.740740741,0.52375608,-0.046369772,-0.137245626,-0.214496591,0.327895166,-0.206422787,-0.206422787,-0.108871771,-0.036052417,-0.032805478,-0.137245626,-0.10475133,0.158024541,0.014782593,0.020308128,-0.007396337,-0.024240433,0.066892054,0.066892054,0.034804514,0.035879661,0.017039415,0.020308128,-0.534128517,0.757409137,0.0488393,0.138535556,0.214624074,-0.322292142,0.217558497,0.217558497,0.114600362,0.044533263,0.035903404,0.138535556,0.133789063,0.689453125,0.486762153,0.501953125,0.5625,0.133789063,101.2,256,56.79995728,256,56.79998779,page
-0.457546122,0.56128251,0.01861713,0,-0.034179687,0,-0.359976081,0.444346341,0.037296946,0,0,0.033534788,0,0.627531727,0.134790215,0.035561099,0.034179687,0.033534788,-1.02970237,1.263157362,0.041897875,0,-0.076921903,0,-0.810121949,0.999998611,0.083936825,0,0,0.075470546,0,1.412253462,0.303345167,0.080033845,0.076921903,0.075470546,-0.045301596,0.049235308,-0.000285981,0,-0.003286508,0,-0.000602932,0,-0.000576626,0,-0.000207061,0,-0.028853691,0.050493902,0.000166784,0,0,0.003163659,0.000993534,0.003163659,0.000219839,0,0.000201041,0,-0.054362395,0.055046643,2.32847E-06,-0.002870054,0.003286508,0.003163659,0.001274384,-0.002389157,0.000168784,-0.001034743,0.000150843,-0.002389157,-0.10195073,0.110803278,-0.000643579,0,-0.007396337,0,-0.001356902,0,-0.001297696,0,-0.000465978,0,-0.064934782,0.113636206,0.000375355,0,0,0.007119863,0.00223594,0.007119863,0.00049475,0,0.000452442,0,-0.122342679,0.123881883,5.2483E-06,-0.00645896,0.007396337,0.007119863,0.002867998,-0.005376558,0.000379852,-0.002328877,0.000339475,-0.005376558,0.190429688,0.354492188,0.296495226,0.295898438,0.193359375,0.190429688,546.1,21.68408203,30.21557617,48.80001831,68,pen
-0.056877441,0,-0.011878786,0,0,0,0,0.597202148,0.132026502,0.032614612,0.032614612,0,0,0.599904534,0.135142349,0.034846886,0.032614612,0,-0.127998047,0,-0.026733433,0,0,0,0,1.344003906,0.297124751,0.073393376,0.073393376,0,0,1.350085183,0.304137495,0.078430176,0.073393376,0,-0.004550195,0.007686141,0.000374696,0,0,0,0,0,1.64734E-05,0,0.000461931,0,-0.080702993,0.047776172,-0.004036058,0,0.002992166,-0.003779572,-0.004814764,-0.003779572,-0.000553174,-0.003779572,-0.005226341,7.95699E-05,-0.08106818,0.047992363,-0.004071373,0.00021885,0.002992166,-0.003779572,-0.004814764,-0.003779572,-0.000554086,-0.003779572,-0.005247078,7.95699E-05,-0.010239844,0.017297033,0.000843236,0,0,0,0,0,3.70737E-05,0,0.001039549,0,-0.18162215,0.107520312,-0.009083135,0,0.006733337,-0.008505984,-0.010835437,-0.008505984,-0.001244899,-0.008505984,-0.011761867,0.000179073,-0.182443944,0.108006815,-0.009162614,0.000493804,0.006733337,-0.008505984,-0.010835437,-0.008505984,-0.001246952,-0.008505984,-0.011808532,0.000179073,0.189453125,0.383789063,0.302734375,0.30078125,0.340820313,0.189453125,134.7,1.777374268,19.55123901,4,44,pen
-0.035905934,0.323162658,0.081269719,0,-0.033534788,0,-0.46211853,0.879891276,0.047074452,0,0,0,0,0.923844934,0.198755516,0.050270873,0.033534788,0,-0.080813013,0.727273962,0.18289697,0,-0.075470547,0,-1.039996338,1.980198027,0.105940833,0,0,0,0,2.079114368,0.447298868,0.113135359,0.075470547,0,-0.033662777,0.031992798,-0.000330237,0,-0.003163659,-0.033662777,-0.00389956,-0.006964131,-0.0005389,0.001272887,-0.000415135,0.000326735,-0.065951877,0.087117948,0.000169911,0,0,0.04114318,0.007555733,0.017645803,0.00087747,0.005168455,0.000248673,0.003554687,-0.068448961,0.091469796,-0.000620009,0.00023951,0.003163659,-0.053159607,-0.008513307,-0.018549633,-0.000936466,-0.001043157,-0.000755057,-0.005224669,-0.075757704,0.072000122,-0.000743193,0,-0.007119863,-0.075757704,-0.008775821,-0.015672851,-0.00121279,0.002864299,-0.000934252,0.00073462,-0.148423256,0.196059211,0.000382385,0,0,0.092592464,0.017004245,0.039712074,0.001974728,0.01163169,0.00055964,0.007999878,-0.154043051,0.205852908,-0.001395311,0.000539643,0.007119863,-0.119635255,-0.019159195,-0.041746199,-0.002107502,-0.002348032,-0.001699234,-0.011758616,0.186523438,0.479492188,0.379523026,0.390625,0.186523438,0.2890625,200.8,19.90673828,20.97314453,44.80004883,47.19995117,pen
-0.394973103,0.616645034,0.000841893,0,-0.032614612,-0.109941935,-0.290191027,0.351565855,0.027857965,0,0,0.036655701,0,0.681514439,0.110174688,0.047428565,0.032614612,0.115891628,-0.888890976,1.387752609,0.001894621,0,-0.073393376,-0.247425198,-0.653063715,0.791203429,0.06269411,0,0,0.082479261,0,1.533737109,0.247947723,0.10674097,0.073393376,0.260810385,-0.065600536,0.045927105,-0.000385729,-0.000534503,-0.002992166,-0.01133422,-0.000164469,-0.007574631,7.21743E-05,-0.003104535,-0.001073531,-0.000534503,-0.135575484,0.038633611,-0.002657997,0,0,0.003778938,0.000457363,-3.1303E-05,-0.001026179,-0.003286812,-0.003070703,-0.00280546,-0.13587636,0.04169065,-0.003139622,-0.001318783,0.002992166,0.011947591,0.000251006,0.007619467,-0.00121053,-0.00191061,-0.00464674,-0.002033161,-0.147633257,0.103359416,-0.000868117,-0.001202764,-0.006733337,-0.025507752,-0.000370132,-0.01704704,0.000162437,-0.006987403,-0.002416037,-0.001202764,-0.305110601,0.086945432,-0.005981807,0,0,0.008503017,0.001029109,-7.04532E-05,-0.002309529,-0.007397585,-0.006910574,-0.006314262,-0.305787852,0.093823086,-0.00706568,-0.002967692,0.006733337,0.026887669,0.000564824,0.017148061,-0.002724349,-0.004299356,-0.010457462,-0.004575381,0.274414063,0.458984375,0.408948396,0.427734375,0.278320313,0.274414063,394.3,14.57452393,19.55126953,32.79998779,44,pen
0,0.335353637,0.077187011,0.030646489,0,0.062920224,-0.167676818,0,-0.04034964,0,0,0,0,0.374936764,0.088449192,0.030646489,0,0.062920224,0,0.754716984,0.173708936,0.068964465,0,0.141596161,-0.377358492,0,-0.090805898,0,0,0,0,0.84379924,0.199053779,0.068964465,0,0.141596161,-0.030539208,0.031637136,-0.000508164,0,0,-0.005186509,-0.005935127,-0.005186509,-0.006578153,-0.004767339,-0.000635205,-0.001975738,-0.015818568,0.015269932,0.000384316,0,0,0.005377335,0.003895591,0.005377335,0.00375309,0.003775548,0.000480395,0.00108688,-0.034144019,0.035371393,-0.000587779,0,0,-0.006455926,-0.006854752,-0.006455926,-0.007464137,-0.005658591,-0.000734724,-0.002643992,-0.068728129,0.071199716,-0.001143656,0,0,-0.011672915,-0.013357238,-0.011672915,-0.014804294,-0.010729599,-0.00142957,-0.004446359,-0.035599858,0.034364392,0.000864923,0,0,0.012101774,0.008767058,0.012101774,0.008446367,0.008497296,0.001081154,0.002446409,-0.076840531,0.079603702,-0.001322843,0,0,-0.014529756,-0.01542686,-0.014529756,-0.016798211,-0.012735504,-0.001653554,-0.005949833,0.0546875,0.548828125,0.437369792,0.481445313,0.481445313,0.0546875,157.7,12.44171143,6.398620605,28,14.39996338,pen
-0.185139973,0,-0.040615243,0,-0.033221378,0,0,0.555435815,0.107587891,0,0,0.021942515,0,0.585479081,0.117794254,0.021942515,0.033221378,0.021942515,-0.416666666,0,-0.091405046,0,-0.074765214,0,0,1.249999997,0.242125885,0,0,0.049381962,0,1.317615688,0.265095472,0.049381962,0.074765214,0.049381962,-0.019285414,0.016755036,-0.000208748,0,-0.003104802,0.004140097,0.004692783,0.004140097,0.002627002,0.002754597,-0.000293617,0,-0.04691416,0.057857897,8.83442E-05,0,0,-0.002785621,-0.011018436,-0.002785621,-0.008395712,-0.005090473,0.00011043,-0.00139281,-0.049816359,0.060987404,0.000137399,0,0.003104802,-0.004500505,-0.011867055,-0.004500505,-0.008729294,-0.005969109,0.000204431,-0.001775568,-0.043402778,0.037707391,-0.000469793,0,-0.006987403,0.009317351,0.010560887,0.009317351,0.005912211,0.006199603,-0.000660793,0,-0.105580809,0.130208333,0.000198827,0,0,-0.006269082,-0.024796837,-0.006269082,-0.01889441,-0.01145549,0.000248534,-0.003134541,-0.11211224,0.137251634,0.000309228,0,0.006987403,-0.010128455,-0.026706577,-0.010128455,-0.019645188,-0.013433018,0.000460087,-0.003995943,0.123046875,0.637695313,0.464127604,0.481445313,0.340820313,0.123046875,158.5,5.687591553,16.35195923,12.79998779,36.79998779,pen
0,0.246367503,0.072429451,0.015455163,0,0.135419573,-0.668715678,0.906826719,0.015829013,0,0,-0.135416667,0,0.924785305,0.190484043,0.093451606,0,0.191510142,0,0.55445303,0.163002268,0.034782078,0,0.304763067,-1.504951709,2.040816324,0.035623121,0,0,-0.304763067,0,2.081232452,0.428684146,0.210319852,0,0.431000063,-0.023401498,0.022207544,0.000399205,0,0,0.012897102,-0.003269298,-0.004957352,-0.000335303,0.010051902,0.000487917,4.74992E-06,-0.054000483,0.092533339,-0.000464561,0,0,-0.012896825,0.013177723,0.007124036,-0.001727786,-0.010052477,-0.000996361,-0.009389139,-0.065986604,0.094365847,0.000967226,0,0,0.018239061,-0.013151753,-0.008756379,0.000613679,0.014215942,0.000753601,-0.000471917,-0.052666094,0.049979048,0.000898388,0,0,0.029025054,-0.007357575,-0.011156595,-0.000754673,0.022621957,0.00109803,1.14752E-05,-0.12152791,0.208246563,-0.001045526,0,0,-0.029025054,0.029656402,0.016031684,-0.00388849,-0.022622532,-0.002242394,-0.021129726,-0.148503561,0.212370658,0.002176768,0,0,0.041047625,-0.029598003,-0.01970532,0.001381084,0.031992685,0.001695966,-0.001061982,0.291992188,0.608398438,0.448863636,0.485839844,0.291992188,0.311523438,227.1,17.41833496,20.26220703,39.20001221,45.60003662,pen
