pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.374023438,6960.7,-28.80004883,-0.799987793,28.81115744,-28.80004883,-0.799987793,28.81115744,-2.618186257,-0.072726163,2.619196131,-2.618186257,-0.072726163,2.619196131,-0.238016932,-0.006611469,0.238108739,-0.238016932,-0.006611469,0.238108739,700.5874939,507.4000244,11,page
0.42578125,422.7,-0.799926758,-0.799987793,1.131310429,-0.799926758,-0.799987793,1.131310429,-0.070789978,-0.07079538,0.100115967,-0.070789978,-0.07079538,0.100115967,-0.0062646,-0.006265078,0.00885982,-0.0062646,-0.006265078,0.00885982,737.3875427,504.2000122,11.30000001,page
0.323242188,655,-4.800048828,0,4.800048828,-4.800048828,0,4.800048828,-0.41739555,0,0.41739555,-0.41739555,0,0.41739555,-0.036295265,0,0.036295265,-0.036295265,0,0.036295265,732.5874939,489,11.5,page
0.102539063,26704.3,-0.319213867,0,0.319213867,-0.800048828,0,0.800048828,-0.026601156,0,0.026601156,-0.066670736,0,0.066670736,-0.002216763,0,0.002216763,-0.005555895,0,0.005555895,10.72113037,418.4740906,12,pen
0.267578125,117.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59396362,421.6661072,10.69999999,pen
0.3515625,88.10000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59396362,427.7310181,10.89999998,pen
0.19140625,316.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25482178,414.0052185,10.89999998,pen
0.408203125,72.90000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63891602,413.3668518,10.09999996,pen
0.354492188,218.5,-0.319213867,0,0.319213867,-0.799987793,0,0.799987793,-0.027052023,0,0.027052023,-0.067795576,0,0.067795576,-0.002292544,0,0.002292544,-0.005745388,0,0.005745388,25.72369385,430.6038208,11.80000001,pen
0.180664063,274.4,-0.638427734,0.31918335,0.713770259,-1.599975586,0.800018311,1.788840734,-0.050668868,0.025332012,0.056648433,-0.126982189,0.063493517,0.141971487,-0.004021339,0.002010477,0.004495907,-0.010077951,0.005039168,0.011267578,43.59906006,412.7284241,12.60000002,pen
0.188476563,86.69999999,-0.319244385,0,0.319244385,-0.800048828,0,0.800048828,-0.029022217,0,0.029022217,-0.072731712,0,0.072731712,-0.002638383,0,0.002638383,-0.006611974,0,0.006611974,41.04544067,413.3668518,11,pen
0.46875,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.85342407,422.9429626,11,pen
0.143554688,225,-0.319213867,0,0.319213867,-0.799987793,0,0.799987793,-0.028758006,0,0.028758006,-0.072070973,0,0.072070973,-0.002590811,0,0.002590811,-0.00649288,0,0.00649288,52.85595703,422.6237488,11.09999996,pen
0.354492188,353.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.07049561,405.7059631,10.80000001,pen
0.481445313,104.4,0,0.31918335,0.31918335,0,0.799987793,0.799987793,0,0.030111637,0.030111637,0,0.075470546,0.075470546,0,0.00284072,0.00284072,0,0.007119863,0.007119863,66.58172607,405.0675354,10.60000002,pen
0.421875,118.4,-0.319213867,0,0.319213867,-0.799987793,0,0.799987793,-0.028249015,0,0.028249015,-0.07079538,0,0.07079538,-0.002499913,0,0.002499913,-0.006265078,0,0.006265078,70.09295654,408.8980103,11.30000001,pen
0.345703125,643.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.87844849,428.0502014,10.5,pen
0.162109375,202.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.22012329,414.0052185,11.09999996,pen
