pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.185546875,3891,-3.200012207,-2.399993896,4.000006104,-3.200012207,-2.399963379,3.999987793,-0.273505316,-0.205127683,0.341880862,-0.273505316,-0.205125074,0.341879297,-0.023376523,-0.01753228,0.029220586,-0.023376523,-0.017532058,0.029220453,619.7875061,395.4000244,11.70000005,page
0.586914063,202.9,-5.600036621,-2.400054932,6.092673784,-5.600036621,-2.400024414,6.092661762,-0.495578464,-0.212394243,0.539174673,-0.495578464,-0.212391542,0.53917361,-0.043856501,-0.018795951,0.047714573,-0.043856501,-0.018795712,0.047714479,601.3874817,432.2000122,11.29999995,page
0.55078125,181,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.076195126,0,0.076195126,-0.076195126,0,0.076195126,-0.007256679,0,0.007256679,-0.007256679,0,0.007256679,545.3874817,461.8000183,10.5,page
0.787109375,451.9,-8,-4.799987793,9.329516751,-8,-4.799987793,9.329516751,-0.720720719,-0.432431332,0.840497003,-0.720720719,-0.432431332,0.840497003,-0.064929794,-0.038957778,0.075720451,-0.064929794,-0.038957778,0.075720451,537.3874817,488.2000122,11.10000002,page
0.537109375,287.1999999,12.79998779,-4,13.41043204,12.79998779,-4,13.41043204,1.142856048,-0.357142856,1.197359998,1.142856048,-0.357142856,1.197359998,0.102040718,-0.031887755,0.106907142,0.102040718,-0.031887755,0.106907142,463.7875061,467.3999939,11.20000005,page
0.135742188,11806.4,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.071427481,0,0.071427481,0.071427481,0,0.071427481,0.006377454,0,0.006377454,0.006377454,0,0.006377454,28.5874939,38.6000061,11.20000005,pen
0.280273438,120,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.07079538,0,0.07079538,0.07079538,0,0.07079538,0.006265078,0,0.006265078,0.006265078,0,0.006265078,16.5874939,45.79999924,11.29999995,pen
0.505859375,91.4000001,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.070798081,0,0.070798081,0.070798081,0,0.070798081,0.006265317,0,0.006265317,0.006265317,0,0.006265317,51.7875061,71.40001678,11.29999995,pen
0.515625,56.10000002,1.599975586,0.799987793,1.788827086,1.599975586,0.799987793,1.788827086,0.146786751,0.073393376,0.164112577,0.146786751,0.073393376,0.164112577,0.013466674,0.006733337,0.0150562,0.013466674,0.006733337,0.0150562,66.98748779,72.20000458,10.89999998,pen
0.342773438,863.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5874939,29.80000305,10.5,pen
0.546875,119.6,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.075473425,0,0.075473425,0.075473425,0,0.075473425,0.007120134,0,0.007120134,0.007120134,0,0.007120134,103.7875061,48.20000076,10.60000002,pen
0.193359375,764.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9874878,49.79999924,11.20000005,pen
0.208984375,61.39999998,0,0.800003052,0.800003052,0,0.800003052,0.800003052,0,0.0776702,0.0776702,0,0.0776702,0.0776702,0,0.007540796,0.007540796,0,0.007540796,0.007540796,136.5874939,33,10.29999995,pen
0.479492188,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1875,38.6000061,10.20000005,pen
0.182617188,103.5999999,0,0.800003052,0.800003052,0,0.800003052,0.800003052,0,0.07476664,0.07476664,0,0.07476664,0.07476664,0,0.006987536,0.006987536,0,0.006987536,0.006987536,166.9874878,31.40000916,10.70000005,pen
0.365234375,76.70000005,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.075473425,0,0.075473425,0.075473425,0,0.075473425,0.007120134,0,0.007120134,0.007120134,0,0.007120134,173.3875122,45.79999924,10.60000002,pen
0.375,54.10000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.1875,70.6000061,10.5999999,pen
