pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.173828125,1598.3,0.799987793,-3.200073242,3.298552595,0.799987793,-3.200012207,3.298493382,0.066665649,-0.26667277,0.274879383,0.066665649,-0.266667684,0.274874449,0.005555471,-0.022222731,0.022906615,0.005555471,-0.022222307,0.022906204,709.3874817,495.3999939,12,page
0.372070313,557,-4.800048828,-0.799987793,4.866256181,-4.800048828,-0.799987793,4.866256181,-0.41739555,-0.069564156,0.423152711,-0.41739555,-0.069564156,0.423152711,-0.036295265,-0.006049057,0.036795888,-0.036295265,-0.006049057,0.036795888,716.5874939,536.2000122,11.5,page
0.251953125,723,-1.599975586,-1.599975586,2.262707173,-1.599975586,-1.599975586,2.262707173,-0.146786753,-0.146786753,0.207587817,-0.146786753,-0.146786753,0.207587817,-0.013466675,-0.013466675,0.019044754,-0.013466675,-0.013466675,0.019044754,726.9875183,530.6000366,10.89999986,page
0.162109375,11121.6,0,-0.800033569,0.800033569,0,-0.800018311,0.800018311,0,-0.074077183,0.074077183,0,-0.07407577,0.07407577,0,-0.006858998,0.006858998,0,-0.006858868,0.006858868,70.98748779,241,10.79999995,pen
0.213867188,265.5999999,0,-0.800003052,0.800003052,0,-0.799987793,0.799987793,0,-0.07272755,0.07272755,0,-0.072726163,0.072726163,0,-0.006611595,0.006611595,0,-0.006611469,0.006611469,73.38751221,238.6000061,11,pen
0.137695313,287.7,0,-0.800003052,0.800003052,0,-0.799987793,0.799987793,0,-0.071428844,0.071428844,0,-0.071427481,0.071427481,0,-0.006377575,0.006377575,0,-0.006377454,0.006377454,71.7875061,246.6000061,11.20000005,pen
0.280273438,109.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.7875061,245.8000336,10.70000005,pen
0.3359375,89.29999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7875061,260.2000122,10.79999995,pen
0.25390625,71.89999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7875061,273,10.20000005,pen
0.396484375,101.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.1875,262.6000061,10.4000001,pen
0.198242188,177.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.38751221,282.6000061,14.20000005,pen
0.1484375,5014.3,0,-0.800033569,0.800033569,0,-0.800018311,0.800018311,0,-0.070178383,0.070178383,0,-0.070177044,0.070177044,0,-0.006155998,0.006155998,0,-0.006155881,0.006155881,130.9874878,237,11.4000001,pen
0.189453125,184,0,-0.800003052,0.800003052,0,-0.799987793,0.799987793,0,-0.07272755,0.07272755,0,-0.072726163,0.072726163,0,-0.006611595,0.006611595,0,-0.006611469,0.006611469,135.7875061,236.1999969,11,pen
0.1875,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9874878,254.6000061,10.20000005,pen
0.176757813,114.0999999,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.067225864,0,0.067225864,-0.067225864,0,0.067225864,-0.005649232,0,0.005649232,-0.005649232,0,0.005649232,119.7875061,265,11.9000001,pen
0.276367188,69.30000019,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.075473426,0.075473426,0,-0.075473426,0.075473426,0,-0.007120135,0.007120135,0,-0.007120135,0.007120135,142.1875,263.3999939,10.5999999,pen
0.372070313,1005.3,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.067795576,0,0.067795576,-0.067795576,0,0.067795576,-0.005745388,0,0.005745388,-0.005745388,0,0.005745388,173.3875122,236.1999969,11.79999995,pen
0.213867188,170.9000001,-0.799987793,0.799987793,1.131353587,-0.799987793,0.799987793,1.131353587,-0.072070973,0.072070973,0.101923747,-0.072070973,0.072070973,0.101923747,-0.006492881,0.006492881,0.00918232,-0.006492881,0.006492881,0.00918232,163.7875061,254.6000061,11.0999999,pen
0.258789063,130.2,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.068964464,0,0.068964464,-0.068964464,0,0.068964464,-0.005945212,0,0.005945212,-0.005945212,0,0.005945212,167.7875061,261.8000183,11.60000014,pen
0.190429688,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.9874878,267.3999939,10.4000001,pen
0.181640625,81.0999999,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.074765214,0.074765214,0,0.074765214,0.074765214,0,0.006987403,0.006987403,0,0.006987403,0.006987403,177.3875122,271.3999939,10.70000005,pen
0.137695313,490,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.07079538,0,0.07079538,-0.07079538,0,0.07079538,-0.006265078,0,0.006265078,-0.006265078,0,0.006265078,190.1875,236.1999969,11.29999995,pen
0.3046875,98.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.1875,229,10.79999995,pen
0.188476563,113.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.3875122,246.6000061,11.19999981,pen
0.10546875,60.70000005,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.075470547,0,0.075470547,-0.075470547,0,0.075470547,-0.007119863,0,0.007119863,-0.007119863,0,0.007119863,199.7875061,245,10.5999999,pen
0.2578125,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.3875122,265.8000183,10.4000001,pen
0.161132813,539.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.5874939,267.3999939,10.70000005,pen
0.2109375,180.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.5874939,285.8000183,10.70000005,pen
0.1796875,190.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.7875061,294.6000061,10.4000001,pen
0.072265625,222.7,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.072070973,0,0.072070973,-0.072070973,0,0.072070973,-0.006492881,0,0.006492881,-0.006492881,0,0.006492881,195.7875061,273.8000183,11.0999999,pen
0.251953125,88,-0.799987793,0.800018311,1.131375166,-0.799987793,0.800018311,1.131375166,-0.075470547,0.075473426,0.106733507,-0.075470547,0.075473426,0.106733507,-0.007119863,0.007120135,0.010069199,-0.007119863,0.007120135,0.010069199,210.1875305,284.2000122,10.5999999,pen
0.512695313,149.3000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.1875,265,10.89999986,pen
0.421875,285.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.1875305,247.4000092,10.79999995,pen
0.448242188,134.9000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.7875061,250.6000061,10.9000001,pen
0.154296875,72.29999995,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.070174369,0.070174369,0,-0.070174369,0.070174369,0,-0.006155646,0.006155646,0,-0.006155646,0.006155646,227.7875061,260.2000122,11.39999986,pen
0.202148438,130.1000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.5874939,273,10.5999999,pen
0.374023438,218.5,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.068967096,0.068967096,0,-0.068967096,0.068967096,0,-0.005945439,0.005945439,0,-0.005945439,0.005945439,222.9875183,283.3999939,11.5999999,pen
0.180664063,115.8,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.073398976,0,0.073398976,-0.073398976,0,0.073398976,-0.006733851,0,0.006733851,-0.006733851,0,0.006733851,229.3874817,285,10.89999986,pen
0.25390625,195.8,0.799987793,-0.799987793,1.131353587,0.799987793,-0.800018311,1.131375166,0.068964465,-0.068964465,0.097530482,0.068964465,-0.068967096,0.097532343,0.005945213,-0.005945213,0.0084078,0.005945213,-0.005945439,0.008407961,227.7875061,239.4000092,11.5999999,pen
0.16796875,497.6000001,-0.800048828,0,0.800048828,-0.800048828,0,0.800048828,-0.074078596,0,0.074078596,-0.074078596,0,0.074078596,-0.006859129,0,0.006859129,-0.006859129,0,0.006859129,281.3874817,236.1999969,10.79999995,pen
0.182617188,211.2,0.799987793,-0.800033569,1.131385956,0.799987793,-0.800018311,1.131375166,0.074072944,-0.074077183,0.104757959,0.074072944,-0.07407577,0.10475696,0.006858606,-0.006858998,0.009699811,0.006858606,-0.006858868,0.009699719,263.7875061,241,10.79999995,pen
0.181640625,150.5999999,0,-0.800033569,0.800033569,0,-0.800018311,0.800018311,0,-0.076926304,0.076926304,0,-0.076924837,0.076924837,0,-0.00739676,0.00739676,0,-0.007396619,0.007396619,297.3874817,237,10.4000001,pen
0.28515625,156.3999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.3874817,257.8000183,11.10000014,pen
0.349609375,99.5,-0.799987793,-0.799987793,1.131353587,-0.799987793,-0.799987793,1.131353587,-0.074765216,-0.074765216,0.105733982,-0.074765216,-0.074765216,0.105733982,-0.006987403,-0.006987403,0.009881681,-0.006987403,-0.006987403,0.009881681,266.1875305,258.6000061,10.69999981,pen
0.163085938,233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.1875305,266.6000061,11.4000001,pen
0.280273438,111.5,0.799987793,0,0.799987793,0.799987793,0,0.799987793,0.071427481,0,0.071427481,0.071427481,0,0.071427481,0.006377454,0,0.006377454,0.006377454,0,0.006377454,272.5874939,265.8000183,11.20000005,pen
0.333984375,359,0,-0.800018311,0.800018311,0,-0.800018311,0.800018311,0,-0.075473426,0.075473426,0,-0.075473426,0.075473426,0,-0.007120135,0.007120135,0,-0.007120135,0.007120135,266.9875183,287.3999939,10.5999999,pen
0.290039063,135.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.5874939,301,11.20000005,pen
0.0859375,9349.3,0,0.800048828,0.800048828,0,0.800048828,0.800048828,0,0.072731712,0.072731712,0,0.072731712,0.072731712,0,0.006611974,0.006611974,0,0.006611974,0.006611974,22.98748779,426.6000671,11,pen
0.25,163.7,0,-0.800048828,0.800048828,0,-0.800048828,0.800048828,0,-0.074078596,0.074078596,0,-0.074078596,0.074078596,0,-0.006859129,0.006859129,0,-0.006859129,0.006859129,35.7875061,433.8000183,10.79999995,pen
0.176757813,339.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1875,425,11.20000005,pen
0.234375,109.8999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1875,423.3999939,10.70000005,pen
0.5234375,230.2,0,-0.799926758,0.799926758,0,-0.799987793,0.799987793,0,-0.076916035,0.076916035,0,-0.076921904,0.076921904,0,-0.007395773,0.007395773,0,-0.007396337,0.007396337,101.3875122,426.6000671,10.39999986,pen
0.276367188,88.19999981,-0.799987793,0.799987793,1.131353587,-0.799987793,0.799987793,1.131353587,-0.072070971,0.072070971,0.101923745,-0.072070971,0.072070971,0.101923745,-0.00649288,0.00649288,0.009182319,-0.00649288,0.00649288,0.009182319,106.1875,453,11.10000014,pen
0.361328125,258.5,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393375,0,0.073393375,-0.073393375,0,0.073393375,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,143.7875061,435.3999939,10.9000001,pen
0.129882813,418.7,-0.799987793,-0.800018311,1.131375166,-0.799987793,-0.799987793,1.131353587,-0.074072944,-0.07407577,0.10475696,-0.074072944,-0.074072944,0.104754962,-0.006858606,-0.006858868,0.009699719,-0.006858606,-0.006858606,0.009699534,194.1875,419.3999939,10.79999995,pen
0.229492188,70.79999995,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.078430175,0,0.078430175,-0.078430175,0,0.078430175,-0.007689233,0,0.007689233,-0.007689233,0,0.007689233,198.1875,415.3999939,10.20000005,pen
0.165039063,419.1999998,0.799987793,-0.799926758,1.131310429,0.799987793,-0.799987793,1.131353587,0.076921902,-0.076916034,0.108779848,0.076921902,-0.076921902,0.108783998,0.007396337,-0.007395772,0.010459601,0.007396337,-0.007396337,0.01046,254.9875183,426.6000671,10.4000001,pen
0.115234375,498.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.5874939,402.6000671,10.69999981,pen
0.264648438,122.8999999,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.072070971,0.072070971,0,-0.072070971,0.072070971,0,-0.00649288,0.00649288,0,-0.00649288,0.00649288,314.1875305,396.2000122,11.10000014,pen
0.25390625,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.7875061,425,10.19999981,pen
0.370117188,101.8999999,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.073393375,0,0.073393375,-0.073393375,0,0.073393375,-0.006733337,0,0.006733337,-0.006733337,0,0.006733337,306.9875183,422.6000671,10.9000001,pen
0.236328125,702.6000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.7875061,402.6000671,10.70000005,pen
0.258789063,94.0999999,-0.799987793,-0.799957275,1.131332008,-0.799987793,-0.799987793,1.131353587,-0.074072942,-0.074070117,0.104752962,-0.074072942,-0.074072942,0.10475496,-0.006858606,-0.006858344,0.009699348,-0.006858606,-0.006858606,0.009699533,367.7875061,390.6000671,10.80000019,pen
0.271484375,87.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.9875183,415.3999939,10.79999995,pen
0.486328125,121.2,-0.799987793,-0.799987793,1.131353587,-0.799987793,-0.799987793,1.131353587,-0.072726163,-0.072726163,0.102850326,-0.072726163,-0.072726163,0.102850326,-0.006611469,-0.006611469,0.00935003,-0.006611469,-0.006611469,0.00935003,351.7875061,399.4000244,11,pen
0.375,67.5999999,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.072070971,0,0.072070971,-0.072070971,0,0.072070971,-0.00649288,0,0.00649288,-0.00649288,0,0.00649288,354.9875183,414.6000671,11.10000014,pen
0.543945313,95.70000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.1875305,419.3999939,10.79999995,pen
0.342773438,184.0999999,0,-0.799926758,0.799926758,0,-0.799987793,0.799987793,0,-0.068959202,0.068959202,0,-0.068964464,0.068964464,0,-0.005944759,0.005944759,0,-0.005945212,0.005945212,344.5874939,438.6000671,11.60000014,pen
0.19140625,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.9875183,431.3999939,10.89999986,pen
