pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.233398438,4165.2,-4.799987793,-0.800018311,4.866200994,-4.799987793,-0.799987793,4.866195976,-0.452829041,-0.075473426,0.45907557,-0.452829041,-0.075470547,0.459075096,-0.042719721,-0.007120135,0.043309016,-0.042719721,-0.007119863,0.043308972,717.3874817,491.3999939,10.5999999,page
0.307617188,833.5999999,-5.600036621,0,5.600036621,-5.600036621,0,5.600036621,-0.538465055,0,0.538465055,-0.538465055,0,0.538465055,-0.051775486,0,0.051775486,-0.051775486,0,0.051775486,692.5874939,512.2000122,10.4000001,page
0.5625,584.3,-3.200012207,-3.200012207,4.525500663,-3.200012207,-3.200012207,4.525500663,-0.288289384,-0.288289384,0.407702757,-0.288289384,-0.288289384,0.407702757,-0.025972016,-0.025972016,0.036729978,-0.025972016,-0.025972016,0.036729978,685.3874817,532.2000122,11.10000014,page
0.374023438,6461.4,5.599975586,-2.399993896,6.09259364,5.599975586,-2.400024414,6.092605662,0.495573063,-0.212388841,0.539167581,0.495573063,-0.212391542,0.539168645,0.043856023,-0.018795473,0.047713945,0.043856023,-0.018795712,0.04771404,337.3874817,501,11.29999995,page
0.138671875,18405.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.7875061,166.6000061,10.80000019,pen
0.127929688,178,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.078430177,0.078430177,0,-0.078430177,0.078430177,0,-0.007689233,0.007689233,0,-0.007689233,0.007689233,96.5874939,184.2000122,10.19999981,pen
0.120117188,143.6000001,0,0.799987793,0.799987793,0,0.799987793,0.799987793,0,0.076189314,0.076189314,0,0.076189314,0.076189314,0,0.007256125,0.007256125,0,0.007256125,0.007256125,115.7875061,177,10.5,pen
0.1953125,91.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7875061,189,10.9000001,pen
0.158203125,418.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.3875122,171.4000092,10.89999986,pen
0.182617188,77.19999981,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.07619222,0,0.07619222,0.07619222,0,0.07619222,0.007256402,0,0.007256402,0.007256402,0,0.007256402,129.3875122,185,10.5,pen
0.19140625,205.2,-0.799987793,0.800033569,1.131385956,-0.799987793,0.800018311,1.131375166,-0.072726163,0.072730324,0.102853269,-0.072726163,0.072728937,0.102852288,-0.006611469,0.006611848,0.009350297,-0.006611469,0.006611722,0.009350208,150.1875,177.8000336,11,pen
0.143554688,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.7875061,177,10.70000005,pen
0.081054688,1703.5,0,-0.800003052,0.800003052,0,-0.800018311,0.800018311,0,-0.072072348,0.072072348,0,-0.072073722,0.072073722,0,-0.006493004,0.006493004,0,-0.006493128,0.006493128,165.3875122,175.4000092,11.0999999,pen
0.141601563,76.29999995,0,-0.799987793,0.799987793,0,-0.799987793,0.799987793,0,-0.067795575,0.067795575,0,-0.067795575,0.067795575,0,-0.005745388,0.005745388,0,-0.005745388,0.005745388,166.9874878,172.2000122,11.80000019,pen
0.185546875,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.5874939,177.8000336,10.79999995,pen
0.293945313,92.20000005,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.07619222,0,0.07619222,0.07619222,0,0.07619222,0.007256402,0,0.007256402,0.007256402,0,0.007256402,167.7875061,180.2000122,10.5,pen
0.177734375,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.1875,187.4000092,10.9000001,pen
0.158203125,172.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.3875122,190.6000061,10.5999999,pen
0.181640625,103.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.9874878,192.2000122,10.70000005,pen
0.169921875,531.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.1875,177,11.79999995,pen
0.1640625,95.20000005,0.800018311,0,0.800018311,0.800018311,0,0.800018311,0.073396175,0,0.073396175,0.073396175,0,0.073396175,0.006733594,0,0.006733594,0.006733594,0,0.006733594,185.3875122,165.8000336,10.9000001,pen
0.177734375,120.8999999,-0.799987793,0.800033569,1.131385956,-0.799987793,0.800018311,1.131375166,-0.073393375,0.073397575,0.103796876,-0.073393375,0.073396175,0.103795886,-0.006733337,0.006733722,0.009522649,-0.006733337,0.006733594,0.009522558,193.3875122,177.8000336,10.9000001,pen
0.125976563,4722.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.7875061,165,11.29999995,pen
0.1796875,234.5999999,-0.799987793,0,0.799987793,-0.799987793,0,0.799987793,-0.075470545,0,0.075470545,-0.075470545,0,0.075470545,-0.007119863,0,0.007119863,-0.007119863,0,0.007119863,218.1875305,184.2000122,10.60000014,pen
0.155273438,189.1000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.9875183,173,10.5999999,pen
