pressure0,intervalTime,gapX,gapY,gap,gapRX,gapRY,gapR,velX,velY,vel,velRX,velRY,velR,accelerationX,accelerationY,acceleration,accelerationRX,accelerationRY,accelerationR,posX,posY,msec,Mode
0.41015625,1109.7,-44,7.200073242,44.58521117,-44,7.200012207,44.58520131,-4,0.654552113,4.053201015,-4,0.654546564,4.053200119,-0.363636364,0.059504738,0.36847282,-0.363636364,0.059504233,0.368472738,537.3874817,450.6000671,11,page
0.702148438,348.3,-18.40002441,-0.799987793,18.41740695,-18.40002441,-0.799987793,18.41740695,-1.735851356,-0.075470546,1.737491218,-1.735851356,-0.075470546,1.737491218,-0.163759562,-0.007119863,0.163914265,-0.163759562,-0.007119863,0.163914265,591.7875061,456.2000122,10.60000002,page
0.5625,457.3,-23.19995117,-0.799926758,23.21373768,-23.19995117,-0.799987793,23.21373979,-2.230764541,-0.076916035,2.232090167,-2.230764541,-0.076921903,2.232090369,-0.214496591,-0.007395773,0.214624055,-0.214496591,-0.007396337,0.214624074,654.1875305,458.6000671,10.39999998,page
0.193359375,7543.2,-0.35546875,0,0.35546875,-0.799987793,0,0.799987793,-0.034179687,0,0.034179687,-0.076921903,0,0.076921903,-0.003286508,0,0.003286508,-0.007396337,0,0.007396337,19.65179443,418.6174927,10.40000004,pen
0.340820313,202.8,0,0.355499268,0.355499268,0,0.799987793,0.799987793,0,0.032614612,0.032614612,0,0.073393376,0.073393376,0,0.002992166,0.002992166,0,0.006733337,0.006733337,54.13302612,417.1955566,10.89999998,pen
0.186523438,119.8,-0.35546875,0,0.35546875,-0.799987793,0,0.799987793,-0.033534788,0,0.033534788,-0.075470547,0,0.075470547,-0.003163659,0,0.003163659,-0.007119863,0,0.007119863,57.33233643,410.4414978,10.59999996,pen
0.278320313,123.5,-0.355499268,0,0.355499268,-0.799987793,0,0.799987793,-0.032614612,0,0.032614612,-0.073393376,0,0.073393376,-0.002992166,0,0.002992166,-0.006733337,0,0.006733337,74.03973389,416.8400574,10.89999998,pen
0.481445313,195.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7902832,422.5277405,11.30000001,pen
0.340820313,140.9,-0.35546875,0,0.35546875,-0.799987793,0,0.799987793,-0.033221378,0,0.033221378,-0.074765214,0,0.074765214,-0.003104802,0,0.003104802,-0.006987403,0,0.006987403,117.0524292,411.5079041,10.70000005,pen
0.291992188,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.25177,402.6210022,10.5,pen
0.2734375,129.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.8694458,406.53125,10.60000002,pen
0.185546875,403.4,0,-0.35546875,0.35546875,0,-0.799987793,0.799987793,0,-0.032024212,0.032024212,0,-0.072070972,0.072070972,0,-0.002885064,0.002885064,0,-0.00649288,0.00649288,162.9089966,396.2224121,11.10000002,pen
0.4453125,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.3309021,394.4450378,10.5,pen
0.25390625,82.5,-1.77734375,0,1.77734375,-4,0,4,-0.167673939,0,0.167673939,-0.377358492,0,0.377358492,-0.015818296,0,0.015818296,-0.035599858,0,0.035599858,160.7761841,411.8633728,10.59999996,pen
